Tamil,Marathi
கருக்கலைப்பு,गर्भपात
டைமரை நிறுத்துங்கள்,गर्भपात टाइमर
முழுமையான முகவரி,परिपूर्ण पत्ता
முழுமையான முகவரி,परिपूर्ण पत्ता
முழுமையான அசெம்பிளர்,परिपूर्ण असेंबलर
முழுமையான குறியீடு,परिपूर्ण कोड
முழுமையான குறியீட்டு முறை,परिपूर्ण कोडिंग
முழுமையான கட்டளை,परिपूर्ण आज्ञा
முழுமையான ஒருங்கிணைப்பு,परिपूर्ण समन्वय
முழுமையான தரவு,परिपूर्ण डेटा
முழுமையான பிழை,परिपूर्ण त्रुटी
முழுமையான வெளிப்பாடு,परिपूर्ण अभिव्यक्ती
முழுமையான அறிவுறுத்தல்,परिपूर्ण सूचना
முழுமையான ஏற்றி,परिपूर्ण लोडर
முழுமையான வரிசை,परिपूर्ण ऑर्डर
முழுமையான நிரலாக்க,परिपूर्ण प्रोग्रामिंग
முழுமையான சொல்,परिपूर्ण संज्ञा
துல்லியமான மதிப்பு,परिपूर्ण मूल्य
முழுமையான திசையன்,परिपूर्ण वेक्टर
சுருக்கம்,गोषवारा
சுருக்கம்,अमूर्त
சுருக்க சின்னம்,अमूर्त प्रतीक
முடுக்கம் காலம்,प्रवेग कालावधी
முடுக்கம் நேரம்,प्रवेग वेळ
உச்சரிப்பு,उच्चारण
ஏற்பு சோதனை,स्वीकृती चाचणी
அணுகல்,प्रवेश
அணுகல் கை,प्रवेश आर्म
அணுகல் ஏற்பாடு,प्रवेश व्यवस्था
அணுகல் அதிகாரம்,प्रवेश प्राधिकरण
அணுகல் கட்டணம்,प्रवेश शुल्क
அணுகல் வகுப்பு,प्रवेश वर्ग
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,प्रवेश डेटा बेस व्यवस्थापन
அணுகல் சூழல்,प्रवेश वातावरण
அணுகல் இடைவெளி,प्रवेश अंतर
அணுகல் அட்டவணை,प्रवेश निर्देशांक
அணுகல் வரி,Line क्सेस लाइन
அணுகல் பொறிமுறை,प्रवेश यंत्रणा
அணுகல் முறை,प्रवेश पद्धत
அணுகல் முறை வழக்கமான,प्रवेश पद्धत दिनचर्या
அணுகல் பயன்முறை,प्रवेश मोड
அணுகல் உரிமை,प्रवेश बरोबर
அணுகல் ஸ்கேன்,प्रवेश स्कॅन
அணுகல் நேரம்,प्रवेश वेळ
கணக்கியல்,लेखा
கணக்கியல் நிதி அமைப்பு,लेखा वित्त प्रणाली
கணக்கியல் இயந்திரம்,लेखा मशीन
கணக்கு எண்,खाते क्रमांक
திரட்டுதல் இனப்பெருக்கம்,पुनरुत्पादक संचय
குவிப்பான்,संचयक
குவிப்பான் பதிவு,संचयक नोंदणी
திரட்டல் ஷிப்ட் வழிமுறை,संचयक शिफ्ट सूचना
துல்லியம்,अचूकता
துல்லியம் கட்டுப்பாட்டு தன்மை,अचूकता नियंत्रण वर्ण
துல்லியம் கட்டுப்பாட்டு அமைப்பு,अचूकता नियंत्रण प्रणाली
ஏஸ் பைலட்,ऐस पायलट
தன்மையை ஒப்புக் கொள்ளுங்கள்,चरित्र कबूल करा
ஒலி கப்ளர்,ध्वनिक कपलर
ஒலி இணைப்பு,ध्वनिक कपलिंग
ஒலி தாமத வரி,ध्वनिक विलंब रेखा
ஒலி நினைவகம்,ध्वनिक मेमरी
ஒலி மோடம்,ध्वनिक मॉडेम
ஒலி சமிக்ஞை,ध्वनिक सिग्नल
ஒலி சேமிப்பு,ध्वनिक संचयन
சுருக்கம்,परिवर्णी शब्द
செயல்,क्रिया
செயல் சுழற்சி,कृती चक्र
செயல் வரி,कृती ओळ
செயல் செய்தி,कृती संदेश
செயல் விவரக்குறிப்பு,कृती तपशील
செயல்படுத்தல்,सक्रियकरण
செயலில்,सक्रिय
செயலில் உள்ள கோப்பு,सक्रिय फाईल
செயலில் வரி,सक्रिय ओळ
செயலில் இணைப்பு,सक्रिय दुवा
செயலில் உள்ள முதன்மை கோப்பு,सक्रिय मास्टर फाइल
செயலில் உள்ள முதன்மை உருப்படி,सक्रिय मास्टर आयटम
செயலில் உள்ள செயற்கைக்கோள்,सक्रिय उपग्रह
செயலில் நிலையம்,सक्रिय स्टेशन
செயலில் சேமிப்பு,सक्रिय संचयन
செயல்பாடு,क्रियाकलाप
செயல்பாட்டு நிலை,क्रियाकलाप पातळी
செயல்பாடு ஏற்றுதல்,क्रियाकलाप लोडिंग
செயல்பாட்டு விகிதம்,क्रियाकलाप प्रमाण
உண்மையான முகவரி (= முழுமையான முகவரி),वास्तविक पत्ता (= परिपूर्ण पत्ता)
உண்மையான குறியீடு (= முழுமையான குறியீடு),वास्तविक कोड (= परिपूर्ण कोड)
உண்மையான தரவு பரிமாற்ற வீதம்,वास्तविक डेटा हस्तांतरण दर
உண்மையான தசம புள்ளி,वास्तविक दशांश बिंदू
உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்),वास्तविक सूचना (= प्रभावी सूचना)
உண்மையான விசை,वास्तविक की
உண்மையான நேரம்,वास्तविक वेळ
உண்மையான வேலை நேரம்,वास्तविक कामाची वेळ
செயல்பாட்டு சமிக்ஞை,अ‍ॅक्ट्युएटिंग सिग्नल
தகவமைப்பு,अनुकूलता
பின்னல்,अ‍ॅडॉप्टर
தகவமைப்பு சேனல் ஒதுக்கீடு,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
தகவமைப்பு ஒருங்கிணைப்பு,अनुकूली एकत्रीकरण
தகவமைப்பு குறுக்குவெட்டு சமநிலை,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
நுழைவு சேர்க்கப்பட்டது,जोडलेली प्रविष्टी
கூடுதல்,परिशिष्ट
அடி,अ‍ॅडर
சேர்க்கை துணைப்பிரிவு,अ‍ॅडडर सबट्रॅक्टर
கோப்பைச் சேர்க்கவும்,फाईल जोडा
கூடுதல் எழுத்து (= சிறப்பு எழுத்து),अतिरिक्त वर्ण (= विशेष वर्ण)
கூடுதலாக ரெக்கார்டர்,व्यतिरिक्त रेकॉर्डर
கூடுதலாக அட்டவணை,व्यतिरिक्त सारणी
சேர்க்கை பண்புக்கூறு,अ‍ॅडिटिव्ह विशेषता
பயன்முறையைச் சேர்க்கவும்,मोड जोडा
செயல்பாட்டைச் சேர்க்கவும்,ऑपरेशन जोडा
முகவரி,पत्ता
முகவரி அளவீடு,पत्तेपणाचा उपाय
முகவரியிடக்கூடிய கிடைமட்ட நிலை,पत्ते करण्यायोग्य क्षैतिज स्थिती
முகவரிக்குரிய புள்ளி,पत्ता योग्य बिंदू
