Hindi,Bengali
" उपशमन ,कमी",অবসান
संक्षिप्‍ति,সংক্ষেপণ
अपहरण,অপহরণ
प्रास्थगन,অবসান
योग्यता,ক্ষমতা
"आदित:,आरंभ से",অ্যাব initio
योग्य,সক্ষম
अपसामान्य,অস্বাভাবিক
" उन्मूलन , समाप्‍ति",বিলুপ্তি
पद समाप्‍ति,বিলোপ পোস্ট
"ऊपर उल्लिखित, उपर्युक्‍त",উপর্যুক্ত
ऊपर उद्‍धृत,উপরে উদ্ধৃত
उपर्युक्‍त,উপরে বলেছেন
" अनुपस्थिति, गैरहाजि़री , अभाव",অনুপস্থিতি
"अनुपस्थित, ग़ैरहाजि़र",অনুপস্থিত
" अनुपस्थिति-प्रवृत्‍ति , अन्यत्रवासिता",অনুপস্থিতি
अनुपस्थिति-विवरण,অনুপস্থিত বিবৃতি
" पूर्ण , निरपेक्ष",পরম
पूर्ण एकाधिकार,পরম একচেটিয়া
पूर्ण स्वामित्व,পরম মালিকানা
" आमेलन , अवशोषण",শোষণ
सार,বিমূর্ত
सार-विवरण,অ্যাবস্ট্রাক্টস্টেটমেন্ট
"अर्थहीन, बेतुका",অযৌক্তিক
प्रचुरता,প্রাচুর্য
शक्‍ति का दुरुपयोग,ক্ষমতার অপব্যবহার
गाली-गलौज,অবমাননাকর ভাষা
"अकादमिक, शैक्षणिक,विद्‌यासंबंधी,शास्त्रीय",একাডেমিক
शास्त्रीय चर्चा,একাডেমিক আলোচনা
अकादमिक छुट्टी,একাডেমিক ছুটি
शैक्षिणिक अर्हता,শিক্ষাগত যোগ্যতা
"शैक्षिक रिकार्ड,शैक्षिक अभिलेख",একাডেমিক রেকর্ড
"मान लेना, अधिमिलन होना",প্রশংসা
"स्वीकार करना,मानना",গ্রহণ
" स्वीकृति , प्रतिग्रहण ",গ্রহণযোগ্যতা
पद-स्वीकृति,অফিস গ্রহণ
निविदा की स्वीकृति,দরপত্র গ্রহণ
पहुंच,অ্যাক্সেস
"राज्यारोहण , पदारोहण , परिग्रहण",প্রবেশ
" अनुषंगी, उपसाधन",আনুষঙ্গিক
" दुर्घटना, संयोग",দুর্ঘটনা
पर्यनुकूलन,প্রশংসাপত্র
" आवास, निर्वाह , समंजन",থাকার ব্যবস্থা
संगकार,সহকারী
" समझौता, प्रदान करना, देना",চুক্তি
"अनुरूपता, संगति",অ্যাকশন
तदनुसार,তদনুসারে
" लेखा,खाता ,हिसाब",অ্যাকাউন্ট
जवाबदेही,দায়িত্ব
" जवाबदेह, देनदार",দায়ী
" लेखा विधि , लेखा कार्य",হিসাবরক্ষণ
लेखाकार,হিসাবরক্ষক
" कारण बताना , लेखा-जोखा देना",কি কারণে
लेखा-शीर्ष,অ্যাকাউন্ট হেড
प्रोद्‌भूत हितलाभ,অর্জিত সুবিধা
प्रोद्‌भूत पेन्शन,পেনশন আদায়
"संचय,संचयन",জমা
" यथार्थता , परिशुद्‌धता",সঠিকতা
" यथार्थ, सही , परिशुद्‌ध",নির্ভুল
अभियोग लगाना,অভিযোগ
अभियुक्‍त,অভিযুক্ত
उपलब्‍धि,অর্জন
" पावती,प्राप्‍ति सूचना ,अभिस्वीकृति ",স্বীকৃতি
"पावती पत्र, रसीदी",স্বীকৃতি বকেয়া
" (व्यक्‍ति) परिचित , परिचय",পরিচিত
"अधिग्रहण, अर्जन",অধিগ্রহণ
"भुगतान , भरपाई,निस्तारण ",খালাস
"कार्य, कृत्य,अधिनियम",আইন
कार्यकारी भत्‍ता,অভিনয় ভাতা
"कार्रवाई,क्रिया, कार्य , संघर्ष",কর্ম
कार्य योजना,অ্যাকশন প্ল্যান
सक्रिय,সক্রিয়
"सक्रियता से, सक्रियतापूर्वक",সক্রিয়ভাবে
" कर्मठ कार्यकता , सक्रियतावादी",কর্মী
दैव कृत्य,Of শ্বরের আইন
कदाचार,অসদাচরণের আইন
भूल-चूक,কমিশন ও বাদ দেওয়া আইন
वास्तविक,আসল
वास्तविक आंकडे,বাস্তব
" अनुकूलन, रूपांतर",অভিযোজন
" योग, जोड़, परिवर्धन",সংযোজন
अतिरिक्‍त प्रभार,অতিরিক্ত চার্জ
अतिरिक्‍त निधि,অতিরিক্ত তহবিল
अतिरिक्‍त अनुदान,অতিরিক্ত অনুদান
"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी",অতিরিক্ত তথ্য
अतिरिक्‍त वेतन,অতিরিক্ত বেতন
परिवर्तन-परिवर्धन,সংযোজন এবং পরিবর্তন
" पता, अभिभाषण, संबोधन,संबोधित करना, मानपत्र , विचार करना",ঠিকানা
"पाने वाला, प्रेषिती",ঠিকানা
अभिनंदन पत्र,স্বাগত ঠিকানা
पर्याप्‍त,পর্যাপ্ত
"पर दृढ़ रहना, पर जमे रहना",মেনে চলুন
तदर्थ,অ্যাডহক
तदर्थ दावा,অ্যাডহক দাবি
तदर्थ समिति,তদর্থক কমিটি
तदर्थ वृद्‌धि,অ্যাডহক বৃদ্ধি
तदर्थ भुगतान,অ্যাডহক পেমেন্ট
‍पार्श्‍वस्थ,সংলগ্ন
"लगा होना, सटा होना",সংলগ্ন (= সংহত)
स्थगन,স্থগিতাদেশ
"स्थगन प्रस्ताव, काम रोको प्रस्ताव",স্থগিতের গতি
न्यायनिर्णीत करना,রায়
न्यायनिर्णय करना,বিচারক
न्यायनिर्णयन,বিচার
न्यायनिर्णायक,বিচারক
समायोजन,সামঞ্জস্য
" प्रशासन करना, देना,दिलाना , व्यवस्था करना",প্রশাসনিক
शपथ दिलाना,শপথ পরিচালনা করুন
प्रशासन,প্রশাসন
न्याय-प्रशासन,বিচার প্রশাসন
प्रशासनिक,প্রশাসনিক
प्रशासनिक कार्रवाई,প্রশাসনিক ক্রিয়া
प्रशासनिक मूल्यांकन,প্রশাসনিক মূল্যায়ন
प्रशासनिक अनुमोदन,প্রশাসনিক অনুমোদন
प्रशासनिक प्राधिकारी,প্রশাসনিক কর্তৃপক্ষ
प्रशासनिक नियंत्रण,প্রশাসনিক নিয়ন্ত্রণ
प्रशासनिक निर्णय,প্রশাসনিক সিদ্ধান্ত
प्रशासकीय विभाग,প্রশাসনিক দপ্তর
प्रशासनिक प्रधान,প্রশাসনিক মাথা
प्रशासनिक मुख्यालय,প্রশাসনিক সদর দফতর
प्रशासनिक उपाय,প্রশাসনিক ব্যবস্থা
"प्रशासी शक्‍ति, प्रशासनिक शक्ति",প্রশাসনিক শক্তি
प्रशासनिक मंजूरी,প্রশাসনিক অনুমোদন
"प्रशासन तकनीक, प्रशासनिक प्रविधि",প্রশাসনিক কৌশল
प्रशासनिक अधिकरण,প্রশাসনিক ট্রাইব্যুনাল
ग्राह्‌यता: स्वीकार्यता,প্রবেশযোগ্যতা
ग्राह्‌य व्यय,স্বীকৃত ব্যয়
" प्रवेश करने देना, अंदर आने देना , स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना",স্বীকার করুন
"प्रवेश पत्र, प्रवेश पत्रक",ভর্তি কার্ড
" प्रविष्‍ट दाखिल ,स्वीकृत",ভর্তি
भर्त्‍सना करना,উপদেশ
दत्‍तक,গ্রহণ
दत्‍तकगृहीता,গ্রহণকারী
" अंगीकरण , दत्‍तक-ग्रहण",গ্রহণ
"प्रौढ, वयस्क",প্রাপ্তবয়স্ক
"अपमिश्रण, मिलावट",ভেজাল
जारकर्म,ব্যভিচার
वयस्क मताधिकार,প্রাপ্তবয়স্ক ভোটাধিকার
यथामूल्य शुल्क,বিজ্ঞাপন ভ্যালোরেম ডিউটি
"अग्रिम, पेशगी",অগ্রিম
अग्रिम बुकिंग,আগাম বুকিং
अग्रिम प्रति,অগ্রিম অনুলিপি
अग्रिम  वृद्‌धि,অগ্রিম বৃদ্ধি
"अग्रिम अदायगी, अग्रिम भुगतान",অগ্রিম প্রদান
"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि",প্রতিকূল এন্ট্রি
प्रतिकूल अभ्युक्‍ति,বিরূপ মন্তব্য
प्रतिकूल रिपोर्ट,প্রতিকূল প্রতিবেদন
विज्ञापन,বিজ্ঞাপন
" सलाह , सूचना, संज्ञापन",পরামর্শ
"भुगतान सूचना, भुगतान-संज्ञापन",অর্থ প্রদানের পরামর্শ
सलाहकार समिति,উপদেষ্টা কমিটি
सलाहकार परिषद्,উপদেষ্টা পরিষদ
" अधिवक्‍ता, एडवोकेट , पक्ष-समर्थक",অ্যাডভোকেট
"कार्य, मामले",বিষয়
"शपथपत्र, हलफ़नामा",হলফনামা
संबंधन,অধিভুক্তি
" अभिपुष्‍टि ,प्रतिज्ञान ",নিশ্চিতকরণ
सकारात्मक,ইতিবাচক
" समर्थ होना ,  प्रदान करना, दे सकना",সামর্থ্য
पूर्वोक्‍त,উপরোক্ত
नए सिरे से,নতুন করে
" विरुद्‌ध, के प्रति, के सामने, के सम्मुख , की तुलना में",বিরুদ্ধে
" आयु,उम्र , युग",বয়স
