Bengali,Kannada
বাতিল অঙ্গ,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
বাতিল বীজ,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
গর্ভপাত,ಗರ್ಭಪಾತ
পরম আগাছা,ಸಂಪೂರ್ಣ ಕಳೆ
শোষিত কেশন,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
শোষণ,ಹೀರುವಿಕೆ
অ্যাবিসিনিয়ান সরিষা,ಪ್ರಪಾತದ ಸಾಸಿವೆ
অ্যাকারিসাইড,ಉಜ್ಜೆ
অ্যাকসেন্ট্রিক,ಉಪನಾಮದ
উচ্চারণ (সেল),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
স্বীকৃত সহনশীলতা,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
আনুষঙ্গিক,ಪರಿಕರ
প্রশংসাপত্র,ಒಗ್ಗೂಡಿಸುವಿಕೆ
জমা,ಸಂಗ್ರಹಣೆ
সঠিকতা,ನಿಖರತೆ
এসারভুলাস,ಕಸಚೂಕು
অ্যাসিটিফিকেশন,ಸಮಗ್ರೀಕರಣ
অ্যাসিডিফিকেশন,ಆಮ್ಲೀಕರಣ
অ্যাসিডিমিটার,ಆಚಿಮೀಟರ್ ಚೀಟಿ
অম্লতা,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
অ্যাসিডোফিলিক,ಸಿಹಿನೀರಿನ
অ্যাসিডুলেটেড রক ফসফেট,ಆಮ್ಲೀಯ
অ্যাসিডুরিক,ಸಂಚೇಮದ
জলজ,ಜಲಚರಗಳು
অধিগ্রহণ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
একর,ಎಕರೆ
জমি,ಎಕರೆ
অ্যাক্রোসেন্ট্রিক ক্রোমোজোম,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
অ্যাক্রোপেটাল,ಖುಷಿಯ
অ্যাক্রোসোম,ಸುಣ್ಣ
অ্যাক্টিনোমাইসেটস,ಅಂಧ
সক্রিয় মূল অঞ্চল,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
তীব্র,ತೀವ್ರ
অভিযোজনযোগ্যতা,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
অভিযোজন,ರೂಪಾಂತರ
আঠালো,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
অ্যাডিপোজ,ಅಡಿ
সামঞ্জস্য সমীকরণ,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
অ্যাডোব মাটি,ಮಣ್ಣು
ভেজাল,ವ್ಯಭಿಚಾರಮಾಡುವ
অ্যাডভেটিয়াস,ಸಾಹಸದ
আইসিডিওস্পোর,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
আইওলিয়ান প্রক্রিয়া,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
আইওলিয়ান,ಅಯೋಲಿಯನ್
এয়ারেট,ಗಾಳಿಗೊಡ್ಡು
এরিয়াল,ವೈಮಾನಿಕ
এয়ারোমিটার,ವಾಯುಮಾಪಕ
অ্যারোসোল,ವಾಯುಪಾವತಿ
এ্যাস্টিভেশন,ಅಸ್ವಸ್ಥತೆ
এটিওলজি (এটিওলজি),ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
Afforastation,ಸಂಯಮ
আন্দোলন,ಆಂದೋಲನ
অ্যাগমার্ক,ಅಣಕೇಡು
কৃষি,ಕೃಷಿ
কৃষি ক্লিনিক,ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ
কৃষি শ্রম,ಕೃಷಿ ದುಡಿಮೆ
কৃষি বিপণন,ಕೃಷಿ ಮಾರಾಟ
কৃষি প্রযুক্তি,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
কৃষি,ಕೃಷಿ
এগ্রিসিলভিকালচার,ಕೃಪಣಸಾಮರಿ
কৃষি,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
অ্যাগ্রোবায়োলজিকাল ত্রুটিগুলি,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು
অ্যাগ্রোবায়োলজি,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ
অ্যাগ্রোক্লিম্যাটিক বৈচিত্র্য,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
অ্যাগ্রোক্লিম্যাটিক জোনিং,ಕೃಷಿ ವಲಯ
কৃষি,ಕೃಚಾರಕ
কৃষিবিদ,ಕೃಷಿ ಶಾಸ್ತ್ರ
কৃষি,ಕೃಷಿ ವಿಜ್ಞಾನ
অ্যাগ্রোপাস্টোরাল,ಅಬ್ವಿಶರ
কৃষি,ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್
অ্যাগ্রোস্টোলজি,Agrostology
এগ্রোটাইপ,ಕೃಪೆ
এয়ার প্ল্যান্ট,ಗಾಳಿ ಸಸ್ಯ
আকিওচি মাটি,ಅಕೋಚಿ ಮಣ್ಣು
অ্যালবিনিজম,ಆಲ್ಬೋ
আলফিসোলস,ಆಲ್ಫಿಸೋಲ್ಸ್
শৈবাল,ಪಾಚಿ
অ্যালগাল ডিজিজ,ಪಾಚಿಯ ಕಾಯಿಲೆ
ক্ষার জল,ಕ್ಷಾರ ನೀರು
ক্ষারীয়,ಕ್ಷಾರೀಯ
অ্যালিল,ಇಳಿಜಾರು
অ্যালিলোকেমিক্যালস,ಆಲಿನೋಕೆಮಿಕಲ್ಸ್
Allelomorph,ಅನನುಕಣ
অ্যালোলোপ্যাথি,ಅಲಲೋಪತಿ
অলি ক্রপিং,ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್
বরাদ্দ,ನಿಯೋಜಕ
অ্যালোগ্যামি,ಅಲೋಗಮಿ
অ্যালোমেট্রি,ಮಾಪಕ
অ্যালোপলিপ্লয়েড,ಸೂತ್ರ
Allosynapsis (allosyndesis),ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್)
বিকল্প ভারবহন,ಪರ್ಯಾಯ ಬೇರಿಂಗ್
বিকল্প জমি ব্যবহার,ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ
পরিবেষ্টিত,ಸುತ್ತುವರಿಯುವ
অ্যামেলিয়োর্যান্ট,ಅಚಲ
অ্যামিটোসিস,ಅಮೀಟಾಸಿ
গোলাবারুদ,ಕಸಚುಗಾರ
অ্যামোনিফিকেশন,ಅಮೋನೀಕರಣ
অ্যামোনিফায়ার,ಅಮೋನಿಗೆ ಮಾಡುವವ
অ্যামর্ফ,ಅಬ್ಬರಿಸು
অ্যাম্ফিমিক্সিস,ಉಭಯಮತ್ರ
এমফোটেরিক,ಉದ್ದವಾದ
অ্যানাবোলিজম,ಅನಾಬಾಲಿಸಂ
অ্যানেরোব,ಬಯೆರೋಲೆ
অ্যানিউপ্লয়েড,ಅನೆಲಾಯ್ಡ್
কোণ রোপণ,ಕೋನ ನೆಡುವುದು
পশুপালন,ಪಶುಸಂಗೋಪನೆ
প্রাণী প্রত্যাখ্যান,ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ
অ্যানিমেট শক্তি,ಅನಿಮೇಟ್ ಎನರ್ಜಿ
অ্যানিসোপ্লয়েড,ಹದಮೆರಗಿ
বার্ষিক উদ্ভিদ,ವಾರ್ಷಿಕ ಸಸ್ಯ
বার্ষিক,ವಾರ್ಷಿಕ
অ্যান্থেসিস,ಸ ೦ ಗೀತ
অ্যানথ্রাক্স,ಆಂಥ್ರಾಕ್ಸ್
অ্যানথ্রোপোজেনিক ফ্যাক্টর,ಮಾನವಜನ್ಯದ ಅಂಶ
অ্যান্টিবায়োসিস,ಪ್ರತಿಜೀವಕ
অ্যান্টিবায়োটিক,ಪ್ರತಿಜೀವಕ
প্রতিষেধক,ಪ್ರತಿವಿಷ
অ্যান্টিঅক্সিডেন্টস,ಆವರಣಕಾರಕ
অ্যান্টিটক্সিন,ಪ್ರತಿಚರಣ
অ্যানুলাস,ಉಚ್ಚಾರಣಾ
এফিড,ಮುನಸು
অ্যাপিকাল কুঁড়ি,ಸುಲಿಯ ಮೊಗ್ಗು
অ্যাপিকাল আধিপত্য,ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ
এপিক্যালচার (মৌমাছি পালন),ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್)
অ্যাপোমিক্সিস,ತಿಕ್ಕಲು
অ্যাপোপটোসিস,ಅಪಶೂನ್ಯತೆ
সংযোজন,ಅನುಬಂಧ
ক্ষুধার্ত,ಜೀರ್ಣಕಾರಕವಾಗಿ
প্রয়োগ,ಅನ್ವಯಿಕ
জলজ আগাছা,ಜಲಚರಗಳು
আরবোরিয়াল,ಆಕ್ಷರ
আর্বোরাইজেশন,ಗುಂಡಿನ ಕವಚ
আর্কিও-বোটানিকাল রেকর্ডস,ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
অঞ্চল পরিসংখ্যান,ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು
অঞ্চল,ಪ್ರದೇಶ
শুকনো বাস্তুতন্ত্র,ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
আরিল,ಹದಮೆರಗಿ
সুগন্ধ,ಸುವಾಸನೆ
সুগন্ধযুক্ত উদ্ভিদ,ಆರ್ಯ ಸಸ್ಯ
সুগন্ধযুক্ত চাল,ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ
তীর,ಬಾಣ
Asepsis,ಕಸ ರೋಗಿಗಳು
অ্যাসেপটিক,ಅಸೆಪ್ಟ್
অ্যাসেক্সুয়াল প্রচার,ಅಲೈಂಗಿಕ ಪ್ರಸಾರ
অ্যাস,ಪರಾಕ್ರಮ
সম্পদ,ಸ್ವಸಮಾನಗಳು
সংমিশ্রণ,ಏಕೀಕರಣ
সংঘ,ಸಂಘ
জ্যোতিষী,ತಗ್ಗು
অ্যাসিনাপসিস,ಕಸ ರೋಗ
Atavism,ಅಟಾವ್ ವಾದ
Atomizer,ವ್ಯಭಿಚಾರಿ
অ্যাট্রোফি,ಕ್ಷೀಣತೆ
অটোগামি,ಸ್ವಯಂಚಾಲಿತ
অটোলাইসিস,ಆಟೊಲಿಸಿಸ್
অটোক্সিডেশন,ದಾಟುವಿಕೆ
অটোপলিপ্লয়েড,ಸ್ವಯಂಚಾಲನ ಫಲಕ
অক্সিনস,ಸಮಶೀತ
এডাব্লুএন (ব্রিজল),AWN (ಬಿರುಗೂದಲುಗಳು)
বাদাম,ಬಾದು
অ্যালো,ಅಡೆ
অমরান্থাস,ಹುಳಿ
আম্মি,ಅಮ್ಮ
অঞ্জান ঘাস,ಅಂಜಾನ್ ಹುಲ್ಲು
অ্যান্থুরিয়াম,ಆಧಿವಾತ
"অোনলা, ভারতীয় গুজবেরি","ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ"
অ্যাপল,ಸೇಬು
এপ্রিকট,ಏಪ್ರಲಿ
আরবিয়ান জেসমিন,ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್
সুপারি বাদাম,ಅರೆನಗವ
অর্জুন,ಹಳ್ಳ
Asfoetida,ಅಸ್ಫೊಟಿಡಾ
অ্যাশ লাউ,ಬೂದಿ ಸೋರೆಕಾಯಿ
অশোক গাছ,ಅಶೋಕ ಮರ
আশ্থমা আগাছা (ইউফোর্বিয়া),ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ)
অ্যাস্পারাগাস,ಶತಾವರಿ
অ্যাভোকাডো,ಆವಕಾಡು
আলফালফা (লুসার্ন),ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್)
পিঁপড়া,ಇರುವೆಗಳು
এফিডস,ಗಿಡಹೇನುಗಳು
সেনা কৃমি,ಸೈನ್ಯದ ಹುಳು
কৃষি অর্থনীতিবিদ,ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ
কৃষি এক্সটেনশনিস্ট,ಕೃಷಿ ವಿಸ್ತರಣಾವಾದಿ
কৃষি বিজ্ঞানী,ಕೃಷಿ ವಿಜ್ಞಾನಿ
কৃষি প্রকৌশলী,ಕೃಷಿ ಎಂಜಿನಿಯರ್
অ্যাগ্রোবায়োলজিস্ট,ಕೃಷಿ ವಿಜ್ಞಾನಿ
কৃষিবিদ,ಕೃಷಿವಾದಿ
অ্যাগ্রোফিজিসট,ಕೃಷಿ ಭೌತ
প্রাণী ব্রিডার,ಪ್ರಾಣಿ ತಳಿಗಾರ
ব্যাসিলাস ভাইরাস,ಬ್ಯಾಸಿಲಸ್ ವೈರಸ್
ব্যাসিলাস,ಗಾಡಿ
ব্যাকটিরিয়া,ಬ್ಯಾಕ್ಟೀರಿಯಾ
ব্যাকটিরিওক্সিন,ಬ್ಯಾಕ್ಟೀರಿಯೊಕ್ಸಿನ್
ব্যাগাস,ಬಜಾಸ್ಸೆ
ব্যালেন্স শীট,ಸಮತೋಲನ
ভারসাম্যহীন নিষেক,ಸಮತೋಲನೀಕರಣ
বার ডায়াগ্রাম,ಗಿರಣಿ ರೇಖೆ
বাকল,ತೊಗಟೆ
ব্যারোমিটার,ಮಾಪಕ
বন্ধ্যা,ಬಂಜೆ
বেস,ಬೇನೆ
বেসিন,ಜಲಾನಯನ ಪ್ರದೇಶ
বেসিপেটাল,ಸ್ವಲ್ಪ
বেসস্টারনাম,ಬಾಸದ
উপসাগর,ಕೊಂಬೆ ಮಾನ್ಸುನ್
বিয়ারিং প্ল্যান্ট,ಹೊಳಪಿನ
বিছানা,ಹಾಸಿಗೆ
বেডার,ದಟ್ಟಕಾರ
বিছানাপত্র,ಹಾಸಿಗೆ
বীট গুড়,ಬೀಟ್ ಮೊಲಾಸಸ್
বেলো,ಬೆನ್ನೆಲುಬು
বেল্ট,ಪಟ್ಟಿಗೆ
বেনিফিট-ব্যয় বিশ্লেষণ,ಲಾಭ-ವೆಚ್ಚ ವಿಶ್ಲೇಷಣೆ
পক্ষপাতদুষ্ট (নমুনা),ಪಕ್ಷಪಾತ (ಮಾದರಿ)
