Assamese,Gujarati
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,A B વર્ગ એમ્પ્લીફાયર
বিচ্যুতি,વિકૃતિ
অস্বাভাৱিক সংক্ৰমণ,અસામાન્ય ટ્રાન્સમિશન
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
অনুপস্থিত বৰ্ণালী,ગુમ થયેલ સ્પેક્ટ્રમ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
নিৰপেক্ষ আৰ্দ্ৰতা,સંપૂર્ણ ભેજ
নিৰপেক্ষ গতি,સંપૂર્ણ ગતિ
নিৰপেক্ষ পৰ্যবেক্ষণ,સંપૂર્ણ અવલોકન
নিৰপেক্ষ উষ্ণতা,સંપૂર્ણ તાપમાન
নিৰপেক্ষ শূন্য,સંપૂર્ણ શૂન્ય
শুহি লোৱা,શોષી લેવું
"শোষক, শোষক","શોષક, શોષક"
শোষণ ক্ষমতা,શોષણ ક્ષમતા
শোষণ ক্ষমতা,શોષણ
শোষক,શોષક
শোষণ ক্ষমতা,શોષકતા
বহুগুণতা অনুপাত,ગુણાકાર ગુણોત્તર
ত্বৰান্বিত কৰক,વેગ આપો
খৰধৰকৈ উঠিল,ઉતાવળ કરી
বেগ বৃদ্ধি,પ્રવેગ
মাধ্যাকৰ্ষণৰ ত্বৰণ,ગુરુત્વાકર્ષણ પ્રવેગક
ত্বৰণকাৰী,પ્રવેગક
ত্বৰণকাৰী,પ્રવેગક
এক্সিলেৰমিটাৰ,એક્સેલરોમીટર
প্ৰিষ্ট্ৰেছাৰ,prestresser
গ্ৰহণযোগ্য পৰীক্ষা,સ્વીકાર્ય પરીક્ષણ
গ্ৰহণকাৰী,સ્વીકારનાર
দাতা অণু,દાતા પરમાણુ
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","પ્રવેશ, રાહ, સુલભતા"
অভিগম্যতা,ઉપલ્બધતા
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
প্ৰৱেশ সময়,ઍક્સેસ સમય
দৰ্শকৰ ভুল,મુલાકાતી ભૂલ
সমন্বয়,ગોઠવણ
সঞ্চিত কৰা হৈছে,સંચિત
"সঞ্চয়, সঞ্চয়","સંચય, સંચય"
এক্যুলেটৰ,સંચયક
শুদ্ধতা,ચોકસાઈ
বাস্তৱতা,વાસ્તવિકતા
ৰঙীন লেন্স,વર્ણહીન લેન્સ
achromatic,વર્ણહીન
achromaticity,વર્ણહીનતા
একাউষ্টিক,એકોસ્ટિક
শব্দ নিবাৰণ,સાઉન્ડપ્રૂફ
একাউষ্টিক ফ&#39;নন,એકોસ્ટિક ફોનોન
শব্দ একক,ધ્વનિ એકમ
একাউষ্টিক,એકોસ્ટિક
শব্দ উৎপাদক,અવાજ જનરેટર
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ક્રિયા અને પ્રતિક્રિયા
সক্ৰিয়কৰণ,સક્રિયકરણ
সক্ৰিয়কৰণ শক্তি,સક્રિયકરણ ઊર્જા
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","એક્ટિવેટર, એક્ટિવેટર"
সক্ৰিয়,સક્રિય
সক্ৰিয়তা,સક્રિયતા
প্ৰকৃত মানসিক চাপ,વાસ્તવિક તણાવ
ফুচফুচাই কোৱা,બબડાટ
সামৰণিত,સારાંશ માટે
"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)","સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)"
