Kannada,Gujarati
ಅಸಹಜ,અસામાન્ય
ಸ್ಥಗಿತಗೊಳಿಸು,ગર્ભપાત
ಸವೆದುಹೋಗುವಿಕೆ,ઘર્ષણ
ಹಠಾತ್ತಾಗಿ,અચાનક
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,સંપૂર્ણ ક્ષેત્ર શક્તિ
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,સંપૂર્ણ તાપમાન
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,અબાધિત મૂલ્ય
ಹೀರಿಕೊಳ್ಳಿ,શોષવું
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,સહ-કાર્યક્ષમ
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,શોષણ
ಅಮೂರ್ತ,નિષ્ક્રિય
ವೇಗವರ್ಧಕ ಮಾಪಕ,પ્રવેગમાપક
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,સ્વીકૃતિ કસોટી
ಪ್ರವೇಶ,પ્રવેશ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,વપરાશ નિયંત્રણ
ಪ್ರವೇಶ,પ્રવેશ -બિંદુ
ಪ್ರವೇಶ ಸಮಯ,પ્રવેશ સમય
ಪ್ರವೇಶಿಸುವಿಕೆ,ઉપલ્બધતા
ಸಂಚಯಕ ಕೋಶ,સંકુચિત સેલી
ನಿಖರತೆ,ચોકસાઈ
ನಿಖರವಾದ,ચોક્કસ
ವರ್ಣರಂಜಿತ ಮಸೂರದ,ઘેટાંના લેન્સ
ಆಮ್ಲ,તેજાબ
ಆಮ್ಲ ಪುರಾವೆ,એસિડ પ્રૂફ
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,અમલ્ય
ಸ್ವೀಕೃತ ಬಿಟ್,સ્વીકૃતિ
Acೇಳ್ಳರದ,ધ્વનિશાસ્ત્ર
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,ધ્વનિશાસ્ત્ર
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,ધ્વનિ -પ્રસરણ
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,ધ્વનિ -બરાબરી
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ધ્વનિ -પ્રતિસાદ
ಕೊಳೆತ ಫಿಲ್ಟರ್,ધ્વનિ ફિલ્ટર
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,ધ્વનિ અવરોધ
ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ,ધ્વનિ -માસ્કીંગ
ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ,ધ્વનિની શક્તિ
ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ,ધ્વનિપક્ષીય મિલકત
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ધ્વનિની પ્રતિક્રિયા
ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್,ધ્વનિ -પ્રતિબિંબ
ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್,ધ્વનિ ટાઇલ
ಸ ೦ ವರ ತರಂಗ,ધ્વનિ તરંગ
ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,શ્રવ -શોષણ
ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ,શ્રવણશક્તિ એટેન્યુએશન
ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್,શ્રવણની ભીનાશ
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,ધ્વનિ વિલંબ રેખા
ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ,ધ્વનિની વિકૃતિ
ಅಕೌಟಿಕಲ್ ನಾಳ,શ્રવણ નલિક
ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ,શ્રવણશક્તિ
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,શ્રવણશક્તિ
ಕೊಳೆತ ಫಿಲ್ಟರ್,શ્રદ્ધ ફિલ્ટર
ಕೊಳೆತ ಪ್ರತಿರೋಧ,શ્રવણનો અવરોધ
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ,ધ્વનિ -પ્રચાર
ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ,શ્રવણ પ્રતિકાર
ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ,ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ
ಸ್ರವಿಸುವ,ધ્વનિશાસ્ત્ર
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,સંપાદન
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ટૂંકાક્ષર
ಕಾರ್ಯ ಪ್ರದೇಶ,કાર્યવાહી ક્ષેત્ર
ಸಕ್ರಿಯ ತಂತು,સક્રિય ફિલામેન્ટ
ಸಕ್ರಿಯ,સક્રિય
ಸಕ್ರಿಯ ಪ್ರದೇಶ,સક્રિય ક્ષેત્ર
ಸಕ್ರಿಯ ಕಿಟಕಿ,સક્રિય બારી
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,અનુકૂલનક્ષમતા
ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್),એડેપ્ટર (એડેપ્ટર)
ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್,અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન
ವಿಳಾಸ ಪುಸ್ತಕ,સરનામા પુસ્તિકા
ವಿಳಾಸ ಬಸ್,સરનાવ બસ
ವಿಳಾಸ ಪರಿಹಾರ,ઠરાવ
ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ,સંલગ્ન ચેનલ દખલ
ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ,સંલગ્ન ચેનલ પસંદગી
ಪಕ್ಕದ ಆವರ್ತನ,સંલગ્ન આવર્તન
ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್,સંલગ્ન આવર્તન ચેનલ
ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ,અડીને ચિત્ર વાહક
ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ,અડીને ધ્વનિ વાહક
ಪಕ್ಕದ ನಿಲ್ದಾಣ,સંલગ્ન મથક
ಹೊಂದಿಸಲಾಗುವ,ગોઠવણપાત્ર
ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್,ગોઠવણપાત્ર કન્ડેન્સર
ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು,ગોઠવણ
ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ,સમાયોજન
ಹೊಂದಾಣಿಕೆ,સમાયોજન
ನಿರ್ವಾಹಕ,વહીવટકર્તા
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ,અદ્યતન ટેકનોલોજી
ವೈಮಾನಿಕ,હવાઈ
ವೈಮಾನಿಕ ರಚನೆ,હવાઈ ​​એરે
ವೈಮಾನಿಕ ಬೂಸ್ಟರ್,હવાઈ ​​બૂસ્ટર
ವೈಮಾನಿಕ ಪ್ರವಾಹ,હવાઈ ​​પ્રવાહ
