Telugu,Marathi
అబార్ట్,गर्भपात
అబార్ట్ టైమర్,गर्भपात टाइमर
సంపూర్ణ చిరునామా,परिपूर्ण पत्ता
సంపూర్ణ చిరునామా,परिपूर्ण पत्ता
సంపూర్ణ సమీకరించేవాడు,परिपूर्ण असेंबलर
సంపూర్ణ కోడ్,परिपूर्ण कोड
సంపూర్ణ కోడింగ్,परिपूर्ण कोडिंग
సంపూర్ణ ఆదేశం,परिपूर्ण आज्ञा
సంపూర్ణ కోఆర్డినేట్,परिपूर्ण समन्वय
సంపూర్ణ డేటా,परिपूर्ण डेटा
సంపూర్ణ లోపం,परिपूर्ण त्रुटी
సంపూర్ణ వ్యక్తీకరణ,परिपूर्ण अभिव्यक्ती
సంపూర్ణ సూచన,परिपूर्ण सूचना
సంపూర్ణ లోడర్,परिपूर्ण लोडर
సంపూర్ణ క్రమం,परिपूर्ण ऑर्डर
సంపూర్ణ ప్రోగ్రామింగ్,परिपूर्ण प्रोग्रामिंग
సంపూర్ణ పదం,परिपूर्ण संज्ञा
సంపూర్ణ విలువ,परिपूर्ण मूल्य
సంపూర్ణ వెక్టర్,परिपूर्ण वेक्टर
నైరూప్య,गोषवारा
సంగ్రహించడం,अमूर्त
నైరూప్య చిహ్నం,अमूर्त प्रतीक
త్వరణం కాలం,प्रवेग कालावधी
త్వరణం సమయం,प्रवेग वेळ
యాస,उच्चारण
అంగీకార పరీక్ష,स्वीकृती चाचणी
యాక్సెస్,प्रवेश
యాక్సెస్ ఆర్మ్,प्रवेश आर्म
యాక్సెస్ అమరిక,प्रवेश व्यवस्था
యాక్సెస్ అథారిటీ,प्रवेश प्राधिकरण
యాక్సెస్ ఛార్జ్,प्रवेश शुल्क
యాక్సెస్ క్లాస్,प्रवेश वर्ग
డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్,प्रवेश डेटा बेस व्यवस्थापन
యాక్సెస్ ఎన్విరాన్మెంట్,प्रवेश वातावरण
యాక్సెస్ గ్యాప్,प्रवेश अंतर
ప్రాప్యత సూచిక,प्रवेश निर्देशांक
యాక్సెస్ లైన్,Line क्सेस लाइन
యాక్సెస్ మెకానిజం,प्रवेश यंत्रणा
యాక్సెస్ పద్ధతి,प्रवेश पद्धत
యాక్సెస్ పద్ధతి దినచర్య,प्रवेश पद्धत दिनचर्या
యాక్సెస్ మోడ్,प्रवेश मोड
హక్కును యాక్సెస్ చేయండి,प्रवेश बरोबर
యాక్సెస్ స్కాన్,प्रवेश स्कॅन
ప్రాప్యత సమయం,प्रवेश वेळ
అకౌంటింగ్,लेखा
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,लेखा वित्त प्रणाली
అకౌంటింగ్ మెషిన్,लेखा मशीन
ఖాతా సంఖ్య,खाते क्रमांक
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,पुनरुत्पादक संचय
సంచితం,संचयक
సంచిత రిజిస్టర్,संचयक नोंदणी
సంచిత షిఫ్ట్ సూచన,संचयक शिफ्ट सूचना
ఖచ్చితత్వం,अचूकता
ఖచ్చితత్వ నియంత్రణ పాత్ర,अचूकता नियंत्रण वर्ण
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,अचूकता नियंत्रण प्रणाली
ఏస్ పైలట్,ऐस पायलट
పాత్రను గుర్తించండి,चरित्र कबूल करा
ఎకౌస్టిక్ కప్లర్,ध्वनिक कपलर
శబ్ద కలపడం,ध्वनिक कपलिंग
శబ్ద ఆలస్యం రేఖ,ध्वनिक विलंब रेखा
శబ్ద జ్ఞాపకశక్తి,ध्वनिक मेमरी
ఎకౌస్టిక్ మోడెమ్,ध्वनिक मॉडेम
శబ్ద సిగ్నల్,ध्वनिक सिग्नल
శబ్ద నిల్వ,ध्वनिक संचयन
ఎక్రోనిం,परिवर्णी शब्द
చర్య,क्रिया
చర్య చక్రం,कृती चक्र
యాక్షన్ లైన్,कृती ओळ
చర్య సందేశం,कृती संदेश
చర్య స్పెసిఫికేషన్,कृती तपशील
క్రియాశీలత,सक्रियकरण
క్రియాశీల,सक्रिय
యాక్టివ్ ఫైల్,सक्रिय फाईल
యాక్టివ్ లైన్,सक्रिय ओळ
క్రియాశీల లింక్,सक्रिय दुवा
యాక్టివ్ మాస్టర్ ఫైల్,सक्रिय मास्टर फाइल
యాక్టివ్ మాస్టర్ ఐటెమ్,सक्रिय मास्टर आयटम
క్రియాశీల ఉపగ్రహం,सक्रिय उपग्रह
యాక్టివ్ స్టేషన్,सक्रिय स्टेशन
క్రియాశీల నిల్వ,सक्रिय संचयन
కార్యాచరణ,क्रियाकलाप
కార్యాచరణ స్థాయి,क्रियाकलाप पातळी
కార్యాచరణ లోడింగ్,क्रियाकलाप लोडिंग
కార్యాచరణ నిష్పత్తి,क्रियाकलाप प्रमाण
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),वास्तविक पत्ता (= परिपूर्ण पत्ता)
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),वास्तविक कोड (= परिपूर्ण कोड)
వాస్తవ డేటా బదిలీ రేటు,वास्तविक डेटा हस्तांतरण दर
వాస్తవ దశాంశ బిందువు,वास्तविक दशांश बिंदू
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),वास्तविक सूचना (= प्रभावी सूचना)
అసలు కీ,वास्तविक की
అసలు సమయం,वास्तविक वेळ
వాస్తవ పని సమయం,वास्तविक कामाची वेळ
సిగ్నల్ యాక్చువేటింగ్,अ‍ॅक्ट्युएटिंग सिग्नल
అనుకూలత,अनुकूलता
అడాప్టర్,अ‍ॅडॉप्टर
అడాప్టివ్ ఛానల్ కేటాయింపు,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
అడాప్టివ్ ఇంటిగ్రేషన్,अनुकूली एकत्रीकरण
అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
ఎంట్రీ జోడించబడింది,जोडलेली प्रविष्टी
అనుబంధం,परिशिष्ट
Adder,अ‍ॅडर
అడెర్ సబ్‌ట్రాక్టర్,अ‍ॅडडर सबट्रॅक्टर
ఫైల్ జోడించండి,फाईल जोडा
అదనపు అక్షరం (= ప్రత్యేక అక్షరం),अतिरिक्त वर्ण (= विशेष वर्ण)
అదనంగా రికార్డర్,व्यतिरिक्त रेकॉर्डर
అదనంగా పట్టిక,व्यतिरिक्त सारणी
సంకలిత లక్షణం,अ‍ॅडिटिव्ह विशेषता
మోడ్‌ను జోడించండి,मोड जोडा
ఆపరేషన్ జోడించండి,ऑपरेशन जोडा
చిరునామా,पत्ता
చిరునామా కొలత,पत्तेपणाचा उपाय
చిరునామా క్షితిజ సమాంతర స్థానం,पत्ते करण्यायोग्य क्षैतिज स्थिती
చిరునామా పాయింట్,पत्ता योग्य बिंदू
చిరునామా స్థానం,पत्ता योग्य स्थिती
చిరునామా రిజిస్టర్,पत्ते करण्यायोग्य नोंदणी
చిరునామా నిల్వ,पत्ता योग्य स्टोरेज
చిరునామా నిలువు స్థానం,पत्ता योग्य अनुलंब स्थिती
చిరునామా బస్సు,अ‍ॅड्रेस बस
చిరునామా కోడ్,पत्ता कोड
చిరునామా కంపారిటర్,पत्ता तुलनात्मक
చిరునామా గణన,पत्ता गणना
చిరునామా స్థిరాంకం,पत्ता स्थिर
చిరునామా మార్పిడి,पत्ता रूपांतरण
చిరునామా డేటా,पत्ता डेटा
చిరునామా మెమరీ,संबोधित मेमरी
చిరునామా ప్రభావవంతంగా ఉంటుంది,पत्ता प्रभावी
చిరునామా ఫీల్డ్,पत्ता फील्ड
చిరునామా ఆకృతి,पत्ता स्वरूप
చిరునామా ఉచిత ప్రోగ్రామ్,पत्ता विनामूल्य कार्यक्रम
చిరునామా,पत्ता
చిరునామా  పాత్ర,पत्ता  वर्ण
అంతరాయాన్ని పరిష్కరించడం,व्यत्यय संबोधित करणे
చిరునామా లూప్,पळवाट पळवाट
వర్చువల్ మెమరీని పరిష్కరించడం,आभासी मेमरी संबोधित करणे
చిరునామా ఇంటర్లేసింగ్,पत्ता इंटरलॅकिंग
చిరునామా లేని సూచనల ఆకృతి,पत्ता नसलेली सूचना स्वरूप
చిరునామా లైన్,पत्ता ओळ
చిరునామా మ్యాపింగ్,पत्ता मॅपिंग
చిరునామా గుర్తు,पत्ता चिन्ह
చిరునామా మార్పు,पत्ता बदल
చిరునామా భాగం,पत्ता भाग
చిరునామా పాయింటర్,पत्ता पॉईंटर
చిరునామా రిజిస్టర్,पत्ता नोंदणी
చిరునామా సిగ్నల్,पत्ता सिग्नल
చిరునామా పరిమాణం,पत्ता आकार
చిరునామా స్థలం,पत्ता जागा
చిరునామా స్పేస్ ఐడెంటిఫైయర్,पत्ता जागा अभिज्ञापक
చిరునామా స్టాప్,पत्ता थांबा
చిరునామా ట్రేస్,पत्ता ट्रेस
చిరునామా ట్రాక్,पत्ता ट्रॅक
చిరునామా అనువాదం,पत्ता अनुवाद
చిరునామా అనువాదకుడు,पत्ता अनुवादक
జోడించు-ఉపశమనం సమయం,अ‍ॅड-सबस्ट्रॅक्ट वेळ
సమయాన్ని జోడించండి,वेळ जोडा
ప్రక్కనే,समीप
ప్రక్కనే ఉన్న నిర్మాణం,जवळची रचना
ప్రక్కనే ఉన్న ఛానల్,समीप चॅनेल
ప్రక్కనే ఉన్న డొమైన్,समीप डोमेन
ప్రక్కనే ఉన్న మాతృక,समीप मॅट्रिक्स
ప్రక్కనే ఉన్న నోడ్,समीप नोड
ప్రక్కనే ఉన్న సబ్‌యారియా,समीप सुबेरिया
అడ్జాయింట్ (సిస్టమ్),संक्षिप्त रुप (सिस्टम)
సర్దుబాటు,समायोजित करा
సర్దుబాటు పరిధి,समायोज्य मर्यादा
టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి,मजकूर मोड समायोजित करा
అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్,प्रशासकीय डेटा प्रक्रिया
పరిపాలనా ఆపరేషన్,प्रशासकीय ऑपरेशन
అడ్మినిస్ట్రేటివ్ ఆపరేటర్,प्रशासकीय ऑपरेटर
అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్,प्रशासकीय ऑपरेटर स्टेशन
పరిపాలనా మద్దతు వ్యవస్థ,प्रशासकीय समर्थन प्रणाली
అధునాతన కమ్యూనికేషన్ సేవ,प्रगत संप्रेषण सेवा
అధునాతన సమాచార వ్యవస్థ,प्रगत माहिती प्रणाली
అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్,प्रगत ऑप्टिकल कॅरेक्टर रीडर
అధునాతన శాస్త్రీయ కంప్యూటర్,प्रगत वैज्ञानिक संगणक
ఆకాశయాన,हवाई
మొత్తం,एकूण
మొత్తం వ్యక్తీకరణ,एकूण अभिव्यक्ती
లక్ష్య వృత్తం,लक्ष्य वर्तुळ
లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం),लक्ष्य फील्ड (= लक्ष्य चिन्ह)
లక్ష్యం చిహ్నం,लक्ष्य प्रतीक
వాయుమార్గాన కంప్యూటర్ వ్యవస్థ,एअरबोर्न संगणक प्रणाली
బీజగణిత ఈజెన్వాల్యూ సమస్య,बीजगणित ईगेनव्हल्यू समस्या
బీజగణితం  అనుసంధానం,बीजगणित  एकत्रीकरण
బీజగణిత భాష,बीजगणित भाषा
