English,Tamil
Acidoid,அமிலத்தன்மை
Aeolian soil,அயோலியன் மண்
Aggregate,மதிப்பீட்டு
Aggregation,திரட்டுதல்
Agrology,வேளாண்மை
Agronomy,வேளாண்மை
A-horizon,A- அடிவானம்
Ao-horizon ,Ao- அடிவானம்
Aoo-horizon,Aoo- அடிவானம்
Air capacity of soil,மண்ணின் காற்று திறன்
Air content of soil,மண்ணின் காற்றின் உள்ளடக்கம்
Air picnometer,காற்று பிக்னோமீட்டர்
Allitic soil,அல்லிடிக் மண்
Alluvial soil,வண்டல் மண்
Ampholytoid,ஆம்போலிடாய்டு
Anion,அயன்
"Apparent specific gravity volume weight or bulk specific gravity,""","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
Arris,அரிஸ்
Ashlar fine masonry,Ashlar நன்றாக கொத்து
Ashlar masonry,ஆஷ்லர் கொத்து
Azonal soil,அசோனல் மண்
Back acter ,பின் நடிகர்
Back arch,பின் வளைவு
Back band,பின் இசைக்குழு
Back brush,பின் தூரிகை
Back check,மீண்டும் சரிபார்க்கவும்
Back counter,பின் கவுண்டர்
Back cutting,முதுகு வெட்டுதல்
Back draft damper,பின் வரைவு damper
Back drain,பின் வடிகால்
Back drop,பின் துளி
Back fill,பின் நிரப்பவும்
Back fillet,பின் ஃபில்லட்
Back flap hinge,பின் மடல் கீல்
Back flow connection,பின் ஓட்ட இணைப்பு
Back flow preventer,பின் ஓட்டம் தடுப்பான்
Back gauge ,பின் அளவுகோல்
Back gutter ,பின்புற சாக்கடை
Back hearth,பின் அடுப்பு
Backing,ஆதரவு
Backing board,பேக்கிங் போர்டு
Back pressure,பின் அழுத்தம்
Back prop,பின் முட்டு
Back sight ,பின் பார்வை
Back water,பின் நீர்
Baffle,குழப்பம்
Bagwork ,பை வேலை
Ballast,பேலாஸ்ட்
Ball clay,பந்து களிமண்
Ball cone clamp,பந்து கூம்பு கவ்வி
Barbed wire,முள்வேலி
Bar dog,பார் நாய்
Barge board,விசைப்படகு பலகை
Barium sulphate test,பேரியம் சல்பேட் சோதனை
Barrage,சரமாரி
Barrett,பாரெட்
Base,அடித்தளம்
Base exchange,அடிப்படை பரிமாற்றம்
Base line ,அடிப்படை வரி
Basement,அடித்தளம்
Basement wall,அடித்தள சுவர்
Base plate,அடித்தட்டு
"Base plate, adjustable","அடிப்படை தட்டு, சரிசெய்யக்கூடியது"
Base saturation,அடிப்படை செறிவு
Basoid,பாசாய்டு
Bat,வௌவால்
Bath and W.C.,பாத் மற்றும் WC
Batter peg,இடி ஆப்பு
Batter pier,பேட்டர் பையர்
Batter rule,பேட்டர் விதி
Baulk (balk),பால்க் (பால்க்)
Bay,விரிகுடா
Bearer,தாங்குபவர்
Bearing capacity,தாங்கும் திறன்
Bearing pile,தாங்கும் பைல்
Bearing stratum,தாங்கி அடுக்கு
Bed,படுக்கை
Bedding plane,படுக்கை விமானம்
Bed joint,படுக்கை கூட்டு
Bed rock,படுக்கை பாறை
Bed room,படுக்கை அறை
Beeswax,தேன் மெழுகு
Bell box,மணி பெட்டி
Belling bucket,பெல்லிங் வாளி
Bellofram,பெல்லோஃப்ராம்
Benched foundation,பெஞ்ச் அடித்தளம்
Benching,பெஞ்சிங்
Bench mark,பெஞ்ச் மார்க்
Benefit cost analysis,நன்மை செலவு பகுப்பாய்வு
Berm,பெர்ம்
Bevelled closure,வளைந்த மூடல்
"B-horizon,""B-","பி-ஹரைசன்,&quot;பி-"
Biat,பயாட்
Binder,பைண்டர்
Binding material,பிணைப்பு பொருள்
Biot's theory,பயோட்டின் கோட்பாடு
Bitumen,பிடுமின்
Black cotton soil,கருப்பு பருத்தி மண்
Black earth ,கருப்பு பூமி
Black turf soil,கருப்பு தரை மண்
Blade,கத்தி
Blast furnace slag cement,ஊது உலை கசடு சிமெண்ட்
Blocky structure,தடுப்பு அமைப்பு
Bogie resistance,போகி எதிர்ப்பு
Bog-iron ore,போக்-இரும்பு தாது
Bond,பத்திரம்
Bonded member,பிணைக்கப்பட்ட உறுப்பினர்
Bonded post tensioning,பிணைக்கப்பட்ட பிந்தைய பதற்றம்
Bond stone,பத்திர கல்
Bound water,கட்டுப்பட்ட நீர்
Box gutter,பெட்டி சாக்கடை
Brace,பிரேஸ்
Brick-on-edge,விளிம்பில் செங்கல்
Bridle,கடிவாளம்
Brightness,பிரகாசம்
Brown soil,பழுப்பு மண்
Building,கட்டிடம்
