Malayalam,Punjabi
എ.സി തുല്യമായ സർക്യൂട്ട്,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
കേവല പൂജ്യം,ਪੂਰਨ ਜ਼ੀਰੋ
ആഗിരണം ഗുണകം,ਸਮਾਈ ਗੁਣਾਂਕ
ആഗിരണം സ്പെക്ട്രം,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
റിസപ്റ്റർ ആറ്റം,ਰੀਸੈਪਟਰ ਐਟਮ
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
ഇലക്ട്രോൺ വിളവെടുപ്പ്,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
ദ്വാര സംഭരണം,ਮੋਰੀ ਸਟੋਰੇਜ਼
സജീവമാക്കൽ ഊർജ്ജം,ਸਰਗਰਮੀ ਊਰਜਾ
സജീവ ആംപ്ലിഫയർ,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
സജീവ ഡയോഡ് സർക്യൂട്ട്,ਸਰਗਰਮ diode ਸਰਕਟ
സജീവ ഫിൽട്ടർ,ਸਰਗਰਮ ਫਿਲਟਰ
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
സജീവ ലോഡ്,ਸਰਗਰਮ ਲੋਡ
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
സജീവമായ പ്രദേശം,ਸਰਗਰਮ ਖੇਤਰ
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
