Telugu,Kannada
గర్భస్రావం చేసిన అవయవం,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
గర్భస్రావం చేసిన విత్తనం,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
గర్భస్రావం,ಗರ್ಭಪಾತ
సంపూర్ణ కలుపు,ಸಂಪೂರ್ಣ ಕಳೆ
గ్రహించిన కేషన్,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
శోషణ,ಹೀರುವಿಕೆ
అబిస్సినియన్ ఆవాలు,ಪ್ರಪಾತದ ಸಾಸಿವೆ
అకారిసైడ్,ಉಜ್ಜೆ
యాక్సెంట్రిక్,ಉಪನಾಮದ
ఉచ్ఛారణ (సెల్),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
అంగీకరించబడిన సహనం,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
అనుబంధ,ಪರಿಕರ
అలవాటు,ಒಗ್ಗೂಡಿಸುವಿಕೆ
చేరడం,ಸಂಗ್ರಹಣೆ
ఖచ్చితత్వం,ನಿಖರತೆ
అసర్వులస్,ಕಸಚೂಕು
ఎసిటిఫికేషన్,ಸಮಗ್ರೀಕರಣ
ఆమ్లీకరణ,ಆಮ್ಲೀಕರಣ
అసిడిమీటర్,ಆಚಿಮೀಟರ್ ಚೀಟಿ
ఆమ్లత్వం,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
అసిడోఫిలిక్,ಸಿಹಿನೀರಿನ
ఆమ్లీకృత రాక్ ఫాస్ఫేట్,ಆಮ್ಲೀಯ
యాసిడ్యూరిక్,ಸಂಚೇಮದ
జలాశయం,ಜಲಚರಗಳು
సముపార్జన,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ఎకరాలు,ಎಕರೆ
ఎకరాల,ಎಕರೆ
అక్రోసెంట్రిక్ క్రోమోజోమ్,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
అక్రోపెటల్,ಖುಷಿಯ
అక్రోసోమ్,ಸುಣ್ಣ
ఆక్టినోమైసెట్స్,ಅಂಧ
యాక్టివ్ రూట్ జోన్,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
తీవ్రమైన,ತೀವ್ರ
అనుకూలత,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
అనుసరణ,ರೂಪಾಂತರ
సంశ్లేషణ,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
కొవ్వు,ಅಡಿ
సర్దుబాటు సమీకరణం,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
అడోబ్ నేల,ಮಣ್ಣು
కల్తీ,ವ್ಯಭಿಚಾರಮಾಡುವ
సాహసోపేతమైనది,ಸಾಹಸದ
Aecidiospore,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
అయోలియన్ ప్రక్రియ,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
అయోలియన్,ಅಯೋಲಿಯನ್
ఎఫరేట్,ಗಾಳಿಗೊಡ್ಡು
ఆకాశయాన,ವೈಮಾನಿಕ
ఏరోమీటర్,ವಾಯುಮಾಪಕ
ఏరోసోల్,ವಾಯುಪಾವತಿ
ఎస్టివేషన్,ಅಸ್ವಸ್ಥತೆ
పశ్చాత్తాప విజ్ఞానము,ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
అటవీ నిర్మూలన,ಸಂಯಮ
ఆందోళన,ಆಂದೋಲನ
అగ్మార్క్,ಅಣಕೇಡು
వ్యవసాయం,ಕೃಷಿ
వ్యవసాయ క్లినిక్,ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ
వ్యవసాయ శ్రమ,ಕೃಷಿ ದುಡಿಮೆ
వ్యవసాయ మార్కెటింగ్,ಕೃಷಿ ಮಾರಾಟ
వ్యవసాయ సాంకేతిక పరిజ్ఞానం,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
వ్యవసాయం,ಕೃಷಿ
అగ్రిసిల్వికల్చర్,ಕೃಪಣಸಾಮರಿ
అగ్రోబియోడివైవర్సిటీ,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
అగ్రోబయోలాజికల్ లోపాలు,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು
అగ్రోబయాలజీ,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ
అగ్రోక్లిమాటిక్ వైవిధ్యం,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
అగ్రోక్లిమాటిక్ జోనింగ్,ಕೃಷಿ ವಲಯ
అగ్రోఫారెస్ట్రీ,ಕೃಚಾರಕ
వ్యవసాయ శాస్త్రం,ಕೃಷಿ ಶಾಸ್ತ್ರ
వ్యవసాయ శాస్త్రం,ಕೃಷಿ ವಿಜ್ಞಾನ
అగ్రోపాస్టోరల్,ಅಬ್ವಿಶರ
అగ్రోప్రాసెసింగ్,ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್
అగ్రోస్టాలజీ,Agrostology
అగ్రోటైప్,ಕೃಪೆ
ఎయిర్ ప్లాంట్,ಗಾಳಿ ಸಸ್ಯ
అకియోచి నేల,ಅಕೋಚಿ ಮಣ್ಣು
అల్బినిజం,ಆಲ್ಬೋ
ఆల్ఫిసోల్స్,ಆಲ್ಫಿಸೋಲ್ಸ್
ఆల్గే,ಪಾಚಿ
ఆల్గల్ వ్యాధి,ಪಾಚಿಯ ಕಾಯಿಲೆ
క్షార నీరు,ಕ್ಷಾರ ನೀರು
ఆల్కలీన్,ಕ್ಷಾರೀಯ
యుగ్మ వికల్పం,ಇಳಿಜಾರು
అల్లెలోకెమికల్స్,ಆಲಿನೋಕೆಮಿಕಲ್ಸ್
అల్లెలోమోర్ఫ్,ಅನನುಕಣ
అల్లెలోపతి,ಅಲಲೋಪತಿ
అల్లే క్రాపింగ్,ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್
కేటాయింపు,ನಿಯೋಜಕ
అయోగాగమి,ಅಲೋಗಮಿ
అలోమెట్రీ,ಮಾಪಕ
అల్లోపాలిప్లోయిడ్,ಸೂತ್ರ
(అలోసిన్సిస్ఐలు,ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್)
ప్రత్యామ్నాయ బేరింగ్,ಪರ್ಯಾಯ ಬೇರಿಂಗ್
ప్రత్యామ్నాయ భూ వినియోగం,ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ
పరిసర,ಸುತ್ತುವರಿಯುವ
అమేలియోరెంట్,ಅಚಲ
అమిటోసిస్,ಅಮೀಟಾಸಿ
అమినైజేషన్,ಕಸಚುಗಾರ
అమ్మోనిఫికేషన్,ಅಮೋನೀಕರಣ
అమ్మోనిఫైయర్,ಅಮೋನಿಗೆ ಮಾಡುವವ
AMORFH,ಅಬ್ಬರಿಸು
యాంఫిమిక్సిస్,ಉಭಯಮತ್ರ
యాంఫోటెరిక్,ಉದ್ದವಾದ
అనాబాలిజం,ಅನಾಬಾಲಿಸಂ
Anaerobe,ಬಯೆರೋಲೆ
అనూప్లోయిడ్,ಅನೆಲಾಯ್ಡ್
యాంగిల్ నాటడం,ಕೋನ ನೆಡುವುದು
పశుసంరక్షణ,ಪಶುಸಂಗೋಪನೆ
జంతు తిరస్కరణ,ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ
శక్తిని యానిమేట్ చేయండి,ಅನಿಮೇಟ್ ಎನರ್ಜಿ
అనిసోప్లాయిడ్,ಹದಮೆರಗಿ
వార్షిక ప్లాంట్,ವಾರ್ಷಿಕ ಸಸ್ಯ
వార్షిక,ವಾರ್ಷಿಕ
సంశ్లేషణ,ಸ ೦ ಗೀತ
ఆంత్రాక్స్,ಆಂಥ್ರಾಕ್ಸ್
మానవ కారకం,ಮಾನವಜನ್ಯದ ಅಂಶ
యాంటీబయోసిస్,ಪ್ರತಿಜೀವಕ
యాంటీబయాటిక్,ಪ್ರತಿಜೀವಕ
విరుగుడు,ಪ್ರತಿವಿಷ
యాంటీఆక్సిడెంట్లు,ಆವರಣಕಾರಕ
యాంటిటాక్సిన్,ಪ್ರತಿಚರಣ
యాన్యులస్,ಉಚ್ಚಾರಣಾ
అఫిడ్,ಮುನಸು
ఎపికల్ బడ్,ಸುಲಿಯ ಮೊಗ್ಗು
ఎపికల్ ఆధిపత్యం,ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ
పుష్పగుచ్ఛము,ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್)
అపోమిక్సిస్,ತಿಕ್ಕಲು
అపోప్టోసిస్,ಅಪಶೂನ್ಯತೆ
అనుబంధం,ಅನುಬಂಧ
ఆకలి,ಜೀರ್ಣಕಾರಕವಾಗಿ
అనువర్తిత,ಅನ್ವಯಿಕ
జల కలుపు,ಜಲಚರಗಳು
అర్బోరియల్,ಆಕ್ಷರ
అర్బరైజేషన్,ಗುಂಡಿನ ಕವಚ
ఆర్కియో-బొటానికల్ రికార్డులు,ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
ప్రాంత గణాంకాలు,ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು
ప్రాంతం,ಪ್ರದೇಶ
శుష్క పర్యావరణ వ్యవస్థ,ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
అరిల్,ಹದಮೆರಗಿ
వాసన,ಸುವಾಸನೆ
సుగంధ మొక్క,ಆರ್ಯ ಸಸ್ಯ
సుగంధ బియ్యం,ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ
బాంజింగ్,ಬಾಣ
అసేప్సిస్,ಕಸ ರೋಗಿಗಳು
అసెప్టిక్,ಅಸೆಪ್ಟ್
అలైంగిక ప్రచారం,ಅಲೈಂಗಿಕ ಪ್ರಸಾರ
పరీక్ష,ಪರಾಕ್ರಮ
ఆస్తులు,ಸ್ವಸಮಾನಗಳು
సమీకరణ,ಏಕೀಕರಣ
అసోసియేషన్,ಸಂಘ
రక్తస్రావం,ತಗ್ಗು
అసినప్సిస్,ಕಸ ರೋಗ
అటావిజం,ಅಟಾವ್ ವಾದ
అటామైజర్,ವ್ಯಭಿಚಾರಿ
క్షీణత,ಕ್ಷೀಣತೆ
ఆటోగామి,ಸ್ವಯಂಚಾಲಿತ
ఆటోలిసిస్,ಆಟೊಲಿಸಿಸ್
ఆటోక్సీడేషన్,ದಾಟುವಿಕೆ
ఆటోపోలిప్లోయిడ్,ಸ್ವಯಂಚಾಲನ ಫಲಕ
ఆక్సిన్లు,ಸಮಶೀತ
దంపతులు,AWN (ಬಿರುಗೂದಲುಗಳು)
బాదం,ಬಾದು
కలబంద,ಅಡೆ
అమరాంథస్,ಹುಳಿ
Ammi,ಅಮ್ಮ
అంజన్ గడ్డి,ಅಂಜಾನ್ ಹುಲ್ಲು
ఆంథూరియం,ಆಧಿವಾತ
"అయోన్లా, ఇండియన్ గూస్బెర్రీ","ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ"
ఆపిల్,ಸೇಬು
నేరేడు పండు,ಏಪ್ರಲಿ
అర్బియన్ జాస్మిన్,ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್
అరేకా గింజ,ಅರೆನಗವ
అర్జున్,ಹಳ್ಳ
అస్ఫోటిడా,ಅಸ್ಫೊಟಿಡಾ
యాష్ పొట్లకాయ,ಬೂದಿ ಸೋರೆಕಾಯಿ
అశోక చెట్టు,ಅಶೋಕ ಮರ
కవచము కలుపు,ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ)
ఆస్పరాగస్,ಶತಾವರಿ
అవోకాడో,ಆವಕಾಡು
అంతా అల్నాఫ్న్నే,ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್)
చీమలు,ಇರುವೆಗಳು
అఫిడ్స్,ಗಿಡಹೇನುಗಳು
ఆర్మీ పురుగు,ಸೈನ್ಯದ ಹುಳು
వ్యవసాయ ఆర్థికవేత్త,ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ
వ్యవసాయ పొడిగింపు,ಕೃಷಿ ವಿಸ್ತರಣಾವಾದಿ
వ్యవసాయ శాస్త్రవేత్త,ಕೃಷಿ ವಿಜ್ಞಾನಿ
వ్యవసాయ ఇంజనీర్,ಕೃಷಿ ಎಂಜಿನಿಯರ್
అగ్రోబయాలజిస్ట్,ಕೃಷಿ ವಿಜ್ಞಾನಿ
వ్యవసాయ శాస్త్రవేత్త,ಕೃಷಿವಾದಿ
అగ్రోఫిసిక్,ಕೃಷಿ ಭೌತ
జంతువుల పెంపకందారుడు,ಪ್ರಾಣಿ ತಳಿಗಾರ
బాసిల్లస్ వైరస్,ಬ್ಯಾಸಿಲಸ್ ವೈರಸ್
బాసిల్లస్,ಗಾಡಿ
బాక్టీరియా,ಬ್ಯಾಕ್ಟೀರಿಯಾ
బాక్టీరియోటాక్సిన్,ಬ್ಯಾಕ್ಟೀರಿಯೊಕ್ಸಿನ್
బాగస్సే,ಬಜಾಸ್ಸೆ
బ్యాలెన్స్ షీట్,ಸಮತೋಲನ
సమతుల్య ఫలదీకరణం,ಸಮತೋಲನೀಕರಣ
బార్ రేఖాచిత్రం,ಗಿರಣಿ ರೇಖೆ
బెరడు,ತೊಗಟೆ
బేరోమీటర్,ಮಾಪಕ
బంజరు,ಬಂಜೆ
బేస్,ಬೇನೆ
బేసిన్,ಜಲಾನಯನ ಪ್ರದೇಶ
బాసిపెటల్,ಸ್ವಲ್ಪ
బేసిథెర్నమ్,ಬಾಸದ
బే రుతుపవనాలు,ಕೊಂಬೆ ಮಾನ್ಸುನ್
బేరింగ్ ప్లాంట్,ಹೊಳಪಿನ
మం చం,ಹಾಸಿಗೆ
బెడర్,ದಟ್ಟಕಾರ
పరుపు,ಹಾಸಿಗೆ
దుంప మొలాసిస్,ಬೀಟ್ ಮೊಲಾಸಸ್
బెలోస్,ಬೆನ್ನೆಲುಬು
బెల్ట్,ಪಟ್ಟಿಗೆ
బెనిఫిట్-కాస్ట్ అనాలిసిస్,ಲಾಭ-ವೆಚ್ಚ ವಿಶ್ಲೇಷಣೆ
పక్షపాతం,ಪಕ್ಷಪಾತ (ಮಾದರಿ)
ద్వైవార్షిక,ದ್ವೈವಾರ್ಷಿಕ
ద్విపద,ದ್ವಿಪದೀಯ
బయోజెంట్,ಜೈವಿಕ ವ್ಯಾಪ್ತಿಯ
బయోక్లైమేట్,ಜೈ ಜೈವಿಕ ಗ್ರಂಥಾಲಯ
బయోఎనర్జీ,ಜೈವಿಕ ಕರ್ತವ್ಯ
బయోనోమిక్స్,ಜೈವಿಕಶಾಸ್ತ್ರ
బయోఇయాక్టర్,ಜೈವಿಕ ರಿಯಾಯಿತಿ
బయోస్పియర్,ಜೀವಗೋಳ
బయోటిక్,ಜೈವಿಕ
బయోటైప్,ಬಯೋಟೈತನ
ద్విలింగ,ದ್ವಿಲಿಂಗಿ
బ్లాంచింగ్,ಚಿರತೆ
