Assamese,Marathi
"১.এবাকাছ, ২. গণনা কৰি আছে","1.अॅबॅकस, 2. मोजणी"
অস্বাভাৱিক অন্ত,असामान्य शेवट
ইন্টাৰচেপ্ট,इंटरसेप्ट
"১.নিৰপেক্ষ, ২. পৰম","1. निरपेक्ष, 2. सर्वोच्च"
নিৰপেক্ষ ঠিকনা,परिपूर्ण पत्ता
নিৰপেক্ষ ঠিকনাযোগ্যতা,परिपूर्ण पत्ता योग्यता
নিৰপেক্ষ এছেম্বলাৰ,परिपूर्ण असेंबलर
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
নিৰপেক্ষ আদেশ,निरपेक्ष आज्ञा
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
নিৰপেক্ষ নিৰ্দেশনা,परिपूर्ण सूचना
নিৰপেক্ষ ধৰণ,परिपूर्ण मोड
নিৰপেক্ষ পথ,परिपूर्ण मार्ग
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
বিমূৰ্ত শ্ৰেণী,अमूर्त वर्ग
বিমূৰ্ত তথ্যৰ ধৰণ,अमूर्त डेटा प्रकार
বিমূৰ্ত মেচিন,अमूर्त मशीन
বিমূৰ্ত চিহ্ন,अमूर्त चिन्ह
বিমূৰ্ত বাক্যবিন্যাস,अमूर्त वाक्यरचना
গ্ৰহণযোগ্যতা পৰীক্ষা,स्वीकृती चाचणी
প্ৰৱেশ প্ৰমাণীকৰণ,प्रवेश प्रमाणपत्र
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. प्रवेश कोड, 2. प्रवेश कोड"
প্ৰৱেশ নিয়ন্ত্ৰণ,प्रवेश नियंत्रण
অভিগম স্কেনিং,प्रवेश स्कॅनिंग
আনুষংগিক বস্তু,उपकरणे
হিচাপ-নিকাচ,लेखा
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. खाते आयडी, 2. लेखा ओळख"
এক্যুলেটৰ,संचयक
"১/ সঠিকতা, ২. শুদ্ধতা","1. अचूकता, 2. अचूकता"
প্ৰৱেশাধিকাৰ,प्रवेश
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,प्रवेश नियंत्रण बाइट्स
প্ৰৱেশ সূচক,प्रवेश सूचक
অভিগম কি&#39;,प्रवेश की
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
অভিগম ধৰণ,प्रवेश मोड
অভিগম বিশেষাধিকাৰসমূহ,प्रवेश विशेषाधिकार
অভিগম সুৰক্ষা,प्रवेश सुरक्षा
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
প্ৰৱেশ সময়,प्रवेश वेळ
স্বীকৃতি,पोचपावती
শব্দবিজ্ঞান,ध्वनीशास्त्र
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. संक्षेप, 2. संक्षेप, 3. पासून लहान"
কাৰ্য্য বাৰ্তা,क्रिया संदेश
সক্ৰিয়কৰণ,सक्रियकरण
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,सक्रिय सर्व्हर पृष्ठ
সক্ৰিয় সংস্কৰণ,सक्रिय आवृत्ती
অচক্ৰীয়,अॅसायक्लिक
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख"
আদা কম্পিউটাৰ ভাষা,अडा संगणक भाषा
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. ऑप्टिमायझर, 2. अनुकूलक"
to sum),बेरीज करण्यासाठी)
যোগফল নথিপত্ৰ,बेरीज फाइल
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन"
adder,जोडणारा
ঠিকনা,जाणून घ्या
ঠিকনা বাছ,पत्ता बस
ঠিকনা নথিপত্ৰ,पत्ता फाइल
ঠিকনা বিন্যাস,पत्त्याचे स्वरूप
ঠিকনা উৎপাদক,पत्ता जनरेटर
ঠিকনা ৰেখা,पत्ता ओळ
ঠিকনা মেপিং,पत्ता मॅपिंग
ঠিকনা সূচক,पत्ता सूचक
ঠিকনা পঞ্জীয়ন,पत्ता नोंदवही
ঠিকনা ভাঙি যোৱা,पत्ता ब्रेकडाउन
ঠিকনা অনুবাদ,पत्ता अनुवाद
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি","1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी"
সম্বোধন কৰা,संबोधित
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী","1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष"
সংলগ্ন কৰা হৈছে,संलग्नक
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ","1. व्यवस्थापन, 2. नियंत्रण"
"১.পৰিচালক, ২. নিয়ন্ত্ৰক","1. व्यवस्थापक, 2. नियंत्रक"
এডোব এক্ৰ&#39;বেট,adobe acrobat
এডোব ফটোশ্বপ,अडोब फोटोशाॅप
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),ABAP (प्रगत व्यवसाय प्रोग्रामिंग)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. प्रगत डेटा, 2. प्रगत डेटा"
উন্নত তথ্য ব্যৱস্থা,प्रगत माहिती प्रणाली
উন্নত প্ৰযুক্তি (AT),प्रगत तंत्रज्ञान (AT)
কাৰ্য কৰা,क्रिया
একত্ৰীকৰণ,एकत्रीकरण
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,एअरबोर्न संगणक प्रणाली
aldus পৃষ্ঠা-নিৰ্মাণ,aldus page-make
সতৰ্কবাণী বাকচ,अलर्ट बॉक्स
algol (কম্পিউটাৰ ভাষা),अल्गोल (संगणक भाषा)
"1. এলগৰিদম , 2. এলগৰিদম","1. अल्गोरिदम, 2. अल्गोरिदम"
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ","1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण"
এলগৰিদম দক্ষতা,अल्गोरिदम कार्यक्षमता
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka","1. इलियास, 2. टोपणनाव, 3. उर्फ"
প্ৰান্তিককৰণ,संरेखन
"১.আবণ্টন, ২. আবণ্টন","1. वाटप, 2. वाटप"
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম","1. वर्णमाला, 2. अक्षर क्रमानुसार"
আলফানিউমেৰিক,अल्फान्यूमेरिक
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড","1. अल्फान्यूमेरिक कीबोर्ड, 2. अल्फान्यूमेरिक कीबोर्ड"
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),अल्फा-चाचणी (पहिली स्तर चाचणी)
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ","1. अल्फा आवृत्ती, 2. अल्फा फॉर्म"
