Hindi,Assamese
ए.सी. समतुल्य परिपथ,এ চি সমতুল্য বৰ্তনী
अनुरूप से अंकीय परिवर्तक,এনালগ টু সংখ্যাগত ৰূপান্তৰক
परम शून्य,নিৰপেক্ষ শূন্য
अवशोषण गुणांक,শোষণ সহগ
अवशोषण स्पेक्ट्रम,শোষণ বৰ্ণালী
ग्राही परमाणु,ৰিচেপ্টৰ পৰমাণু
प्रत्यावर्ती धारा युग्मन,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
इलेक्ट्रॉन संचयन,ইলেক্ট্ৰন সংগ্ৰহ কৰা
होल संचयन,ফুটা সংৰক্ষণ
सक्रियण ऊर्जा,সক্ৰিয়কৰণ শক্তি
सक्रिय प्रवर्धक,সক্ৰিয় পৰিবৰ্ধক
सक्रिय डायोड परिपथ,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
सक्रिय फिल्टर,সক্ৰিয় ফিল্টাৰ
सक्रिय उच्च आवृत्ति पारक फिल्टर,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
सक्रिय लोड,সক্ৰিয় লোড
सक्रिय निमन आवृत्ति पारक फिल्टर,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
सक्रिय क्षेत्र,সক্ৰিয় অঞ্চল
अनुकूली इलेक्ट्रॉनिकी,অভিযোজিত ইলেক্ট্ৰনিক্স
योजक,adder
समायोजी बैंड विस्तार,এডজাষ্টেবল বেণ্ড এক্সটেনচন
प्रवेश्यता,ভেদ
एरियल,এৰিয়েল
स्फूर्ति आवृत्ति,pep কম্পাঙ্ক
वातानुकूलक,এয়াৰ কণ্ডিচনাৰ
संरेखन,প্ৰান্তিককৰণ
आल्गोरिदम,এলগৰিদম
समस्त पारक फिल्टर,সকলো পাছ ফিল্টাৰ
मिश्रधातु संधि,মিশ্ৰণ সংযোগ
क्षीणन,ক্ষীণকৰণ
प्रत्यावर्ती धारा,বিকল্প বিদ্যুৎ প্ৰবাহ
परिवेश ताप,পৰিৱেশৰ উষ্ণতা
उभयध्रुवीय,বাইপোলাৰ
प्रवर्धन,এম্প্লিফিকেশন
प्रवर्धक,এম্প্লিফায়াৰ
प्रवर्धक दक्षता,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
आयाम,মাত্ৰাসমূহ
आयाम क्षीणन,প্ৰসাৰণ ক্ষীণকৰণ
आयाम मॉडुलित ए.एम. दोलित्र,প্ৰসাৰণ মডুলেটেড AM দোলক
आयाम मॉडुलन,প্ৰসাৰণ মডুলেচন
आयाम मॉडुलक,প্ৰসাৰণ মডুলেটৰ
एंगस्ट्रॉम इकाई,angstrom একক
अनुरूप परिपथ,এনালগ বৰ্তনী
अनुरूप कंप्यूटर,এনালগ কম্পিউটাৰ
अनुरूप फिल्टर,এনালগ ফিল্টাৰ
अनुरूप बहुमापी,এনালগ মাল্টিমিটাৰ
अनुरूप स्विच,এনালগ চুইচ
AND गेट,AND গেট
कोणीय आवृत्ति,কৌণিক কম্পাঙ্ক
"ऋणायन, एनॉयन","এনিয়ন, এনিয়ন"
अनीलन तापमान,এনিয়েলিং উষ্ণতা
ऐनोड,এনোড
ऐनोड प्रवर्धक,এনোড এম্প্লিফায়াৰ
ऐनोडी करण,এনোডাইন
ऐन्टेना,এন্টেনা
ऐन्टेना घटक,এন্টেনা উপাদান
परावर्तन रोधी लेपन,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
प्रतिलघुगुणक प्रवर्धक,এন্টিলগিন এম্প্লিফায়াৰ
प्रतिअनुनादी परिपथ,এন্টিৰেজোনেণ্ট চাৰ্কিট
द्वारक काल,দ্বাৰক যুগ
आभासीय शक्ति,ভাৰ্চুৱেল শক্তি
तार संयोजन,তাঁৰৰ সংযোগ
