Tamil,English
உயிரற்ற இனப்பெருக்கம்,abiogenesis
அமானுஷ்ய,abnormal
1. நான்காவது வயிறு 2. எவோமாசோம்,abomasum
வயிற்று வளர்ச்சி உறுப்பு,aborted organ
வளர்ச்சி குன்றிய விதை,aborted seed
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,abortion
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,absolute weed
உறிஞ்சப்பட்ட கேஷன்,absorbed cation
உறிஞ்சுதல்,absorption
அபிசீனிய கடுகு,abyssinian mustard
1. காரக்கொல்லி,acaricide
மையவிலக்கு,accentric
பெருக்கம் (செல்),accentuate (cell)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,accepted tolerance
1.கூடுதல் 2.துணை 3.துணை,accessory
தழுவல்,acclimatization
திரட்சி,accumulation
1.vacuracy 2. துல்லியம்,accuracy
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,acervulus
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,acetification
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,acidification
1. அமிலமானி 2. அமிலமானி,acidimeter
அமிலத்தன்மை,acidity
அமிலத்தன்மை,acidophilic
அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்,acidulated rock phosphate
அமிலமாக்கப்பட்ட,aciduric
நீர்நிலை,acquifer
கையகப்படுத்தல்,acquisition
ஏக்கர்,acre
1. பகுதி 2. பகுதி,acreage
இறுதி புள்ளி குரோமோசோம்,acrocentric chromosome
முன்னோக்கு,acropetal
குரோசோம்,acrosome
ஆக்டினோமைசீட்ஸ்,actinomycetes
செயலில் உள்ள மைய,active root zone
1. சீற்றம் 2. தீவிரம்,acute
தழுவல்,adaptability
தனிப்பயனாக்கம்,adaptation
1. ஒட்டுதல் 2. ஒட்டுதல்,adhesion
செபாசியஸ்,adipose
சரிசெய்தல் சமன்பாடு,adjustment equation
அடோப் மண்,adobe soil
கலப்படம்,adulterant
எக்டோபிக்,adventitious
இசிடியோஸ்போர் இசிடியம் ஸ்போர்,aecidiospore
ஏரோடைனமிக் செயல்முறை,aeolian process
வென்ட்ரல்,aeolian
காற்றோட்டம் செய்ய,aerate
1. காற்று 2. ஆகாஷி,aerial
1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்,aerometer
ஏரோசல்,aerosol
1. மஞ்சரி 2. கோடை உறக்கம்,aestivation
நோய் அறிவியல்,aetiology (etiology)
காடு வளர்ப்பு,afforestation
1. கிளர்ச்சி 2. கொந்தளிப்பு,agitation
அக்மார்க்,agmark
1. நிலம் தொடர்பான 2. விவசாயம்,agrarian
விவசாய மருத்துவமனை,agricultural clinic
1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்,agricultural labour
விவசாய சந்தைப்படுத்தல்,agricultural marketing
விவசாய தொழில்நுட்பம்,agricultural technology
1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்,agriculture
விவசாய காடுகள்,agrisilviculture
விவசாய பல்லுயிர்,agrobiodiversity
விவசாய கரிம குறைபாடுகள்,agrobiological defects
விவசாய உயிரியல்,agrobiology
விவசாய காலநிலை பன்முகத்தன்மை,agroclimatic diversity
வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்,agroclimatic zoning
வளர்ப்பு,agroforestry
வேளாண்மை,agrology
வேளாண்மை,agronomy
விவசாய மேய்ச்சல்,agropastoral
பயிர் செயலாக்கம்,agroprocessing
புல் அறிவியல்,agrostology
பயிர் வகை,agrotype
எபிஃபைட்,air plant
aikiochi மண்,akiochi soil
வண்ண குருட்டுத்தன்மை,albinism
அல்பிசோல்,alfisols
பாசி,algae
பாசி நோய்,algal disease
காரம் நீர்,alkali water
காரமானது,alkaline
மாற்று,allele
அலெலோ வேதியியல்,allelochemicals
அலீல்,allelomorph
அலெலோபதி,allelopathy
வேத்தி பயிர்,alley cropping
நிறைவு,allocarpy
கருத்தரித்தல்,allogamy
1. சார்பியல் 2. அலோமெட்ரி,allometry
பலவகை,allopolyploid
1. Parazygosity,allosynapsis (allosyndesis)
1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு,alternate bearing
மாற்று நில பயன்பாடு,alternate land use
சூழல்,ambient
சீர்திருத்தவாதி,ameliorant
மைடோசிஸ்,amitosis
அமீனன்,amminization
அம்மோனியன்,ammonification
அம்னிஃபெரஸ்,ammonifier
1. பயனற்ற வடிவம் 2. அரூபி,amorph
நீர்வீழ்ச்சி கலவை,amphimixis
ஆம்போடெரிக்,amphoteric
கையிருப்பு,anabolism
1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்,anaerobe
ஹாப்ளாய்டு,aneuploid
கோண நடவு,angle planting
கால்நடை வளர்ப்பு,animal husbandry
விலங்கு மலம்,animal refuse
வாழ்க்கை ஆற்றல்,animate energy
முரண்பாடான,anisoploid
ஒரு வருடம் பழமையான ஆலை,annual plant
ஆண்டு,annual
1. பரவசம் 2. பிரகாசம்,anthesis
ஆந்த்ராக்ஸ்,anthrax
மானுடவியல் காரணிகள்,anthropogenic factor
உயிர்வாழ்தல்,antibiosis
1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி,antibiotic
விரட்டும்,antidote
ஆக்ஸிஜனேற்ற,antioxidants
ஆன்டிடாக்சின்,antitoxin
மோதிர விரல்,anulus
1. அசுவினி 2. மஹு 3. செபா,aphid
மேல் மொட்டு,apical bud
உச்ச செயல்திறன்,apical dominance
தேனீ வளர்ப்பு,apiculture (bee keeping)
ஓரினச்சேர்க்கை,apomixis
அப்போப்டொசிஸ்,apoptosis
பிற்சேர்க்கைகள்,appendage
பசியை உண்டாக்கும்,appetizer
விண்ணப்பித்தார்,applied
நீர்வாழ் களை,aquatic weed
1. மரம் 2. மரத்தில் வசிப்பவர்,arboreal
கிளைகள்,arborization
புரோட்டோபோட்டானிக்கல் பதிவுகள்,archaeo-botanical records
மண்டல எண்,area statistics
1. பகுதி 2. பகுதி,area
உலர் சுற்றுச்சூழல்,arid ecosystem
கோட்டிலிடன்,aril
சௌரப்,aroma
நறுமண ஆலை,aromatic plant
வாசனை அரிசி,aromatic rice
இக்ஷு புஷ்பன்,arrowing
அசெப்டிக்,asepsis
1. அசெப்டிக் 2. அசெப்டிக்,aseptic
பாலின இனப்பெருக்கம்,asexual propagation
அளவு,assay
சொத்து,assets
1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு,assimilation
1. சங்கம் 2. சங்கம்,association
1. நெடுவரிசை 2. துவர்ப்பு,astringent
பன்முகத்தன்மை,asynapsis
1. முன்னோர் 2. அடவிசம்,atavism
துகள்,atomizer
1. உறுதிப்படுத்தல் 2. குறைபாடு,atrophy
சுய இணைத்தல்,autogamy
தன்னியக்கம்,autolysis
1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்,autooxidation
சுய மல்டிபிளக்ஸ்,autopolyploid
ஆக்சின்,auxins
1. குலுக்கல் 2. தேரை,awn (bristle)
தண்டனை வைரஸ்,baccilovirus
1. பேசிலஸ் 2. பேசிலஸ்,bacillus
1. பாக்டீரியா 2. பாக்டீரியா,bacteria
பாக்டீரியா நச்சு,bacteriotoxin
கரும்பு சக்கை,bagasse
இருப்பு தாள்,balance sheet
சீரான உர பயன்பாடு,balanced fertilization
சட்ட வரைபடம்,bar diagram
பட்டை,bark
1. காற்றழுத்தமானி 2. காற்றழுத்தமானி,barometer
1. buzzer 2. inert 3. barren,barren
1. அடிப்படை 2. அடிப்படை 3. குபாங்,base
1. தாலா 2. பேசின்,basin
தலபிசாரி,basipetal
1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்,basisternum
வளைகுடா பருவமழை,bay monsoon
பழ செடி,bearing plant
படுக்கை,bed
படுக்கை ஆலை,bedder
படுக்கை,bedding
பீற்று வெல்லப்பாகு,beet molasses
பெல்லோஸ்,bellows
1. கீற்று 2. நிலப்பரப்பு,belt
இலாப-செலவு பகுப்பாய்வு,benefit-cost analysis
ஆர்வலர் (மாதிரி),biased (sampling)
இரு ஆண்டு தாவரங்கள்,biennial
இருவகை,binomial
உயிர் காரணி,bioagent
உயிரியல் காலநிலை,bioclimate
உயிர் ஆற்றல்,bioenergy
விலங்கு சூழலியல்,bionomics
1. உயிர் செயலி 2. உயிர் உலை,bio-reactor
உயிர்க்கோளம்,biosphere
உயிரியல்,biotic
விலங்கினங்கள்,biotype
திவிலிங்கி,bisexual
தவலன்,blanching
1. பிரத்வாசன் (நோய்) 2. குடல் நோய்,blast
கலத்தல்,blend
1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்),blight
1. கொப்புளம் 2. கொப்புளம் 3. வெடிப்பு 4. கொப்புளம்,blister
நீல புரட்சி,blue revolution
பிளானர் வெப்பமூட்டும் அறை,bottom heat chamber
பிளானர் வெப்பமாக்கல் தொழில்நுட்பம்,bottom heat technique
தவிடு,bran
கிளைகள்,branching
1. கிளை 2. துணைக் கிளை,branchlet
இனம்,breed
இனப்பெருக்கம்,breeding
ஆரம்ப முளைப்பு சிகிச்சை,brimming
1. குட்டி 2. முட்டை 3. கரு,brood
துளிர்க்கிறது,budding
பட்ஜெட்,budget
1.ஆம்போடெரிக் 2. தாங்கல்,buffer
இனிப்பு உருளைக்கிழங்கு,bulb
பன்ட் (நோய்),bunt
1. துணை தயாரிப்பு 2. துணை தயாரிப்பு,by-product
c ஈரப்பதம் விவரக்குறிப்பு வளைவு,c moisture characteristic curve
எண்ணெய் கேக்,cake
1. சுண்ணாம்பு 2. கால்சியம்,calcarious
கால்சியன்,calcification
பாஸ்பேட் நீக்கம்,calcination of phosphate
1. கினாட்டா 2. கலாட்டா,callosity
1.காலஸ் 2. கதிர்,callus
1. செப்பல்ஸ் 2. கேலிக்ஸ்,calyx
வெளிப்புற முடிவு,calyx-end
எதா,cambium
புற்றுநோய் (பாக்டீரியா நோய்),canker
பதப்படுத்தல்,canning
வானம்,canopy
நிதி,capital
மகரந்தச் சேர்க்கை (அத்திப்பழங்கள்),caprification
1. காப்ஸ்யூல் 2. காப்ஸ்யூல் 3. கேப்சூல்,capsule
கார்பனேற்றப்பட்டது,carbonated
கார்பனான்,carbonization
கார்பேஸ்,carpel
வளையல்,carpus
1. வார்ப்பு (இரும்பு) 2. க்ஷிப்தி (பூச்சி),casting
வினையூக்கம்,catabolism
தூண்டுதல்,catalysis
1. கம்பளிப்பூச்சி 2. கம்பளிப்பூச்சி,caterpillar
c d. என். அ. சேகரிப்பு,C-DNA Library
சரகம்,ceiling
1. செல் 2. செல்,cell
மத்திய முன் அமைப்பு,central leader system
1. புள்ளி 2. கவனம்,centric
மையவிலக்கு,centrifugation
மையவிலக்கு,centrifuge
நட்சத்திர மையம்,centriole
எபிஜெனெடிக்,centrogenic
கேந்திரராஜா,centrogenous
தறி,cercus
1. தானியம் 2. தொடர்,cereal
1. சான்றிதழ் 2. சான்றிதழ்,certification
சான்றளிக்கப்பட்ட விதை,certified seed
1. வைக்கோல் 2. குட்டி 3. ஷலாக் சஹாபத்ரா,chaff
1. நிபாக் 2. கைலாஜா,chalaza
கைமோகிராபி,chemotropism
1. கியாஸ்மா 2. பிஸி,chiasma
supercooling மணி,chilling hours
உறைபனி சேதம்,chilling injury
1. விசிரோடகி 2. சிமேரா,chimera
பச்சை கஞ்சி,chloranthy
1. தழை 2. பச்சை,chlorophyll
சயனோசிஸ்,chlorosis
உயிரியல் விநியோக அறிவியல்,chorology
1. குரோமாடிட்ஸ் 2. அரை குரோமோசோம்கள்,chromatid
குரோமடின்,chromatin
குரோமடோகிராபி,chromatography
நிறமாற்றம்,chromatolysis
ஏட்ரியல் புள்ளி,chromocentre
நிறமூர்த்தம்,chromogenesis
1. குரோமோபுரோட்டீன் 2. நிறமி புரதம்,chromoprotein
1. குரோமோசோம்கள் 2. குரோமோசோம்கள்,chromosome
1. நாள்பட்ட 2. நாள்பட்ட 3. நாள்பட்ட 4. வழக்கற்று,chronic
சிட்ரேஞ்ச்,citrange
இலையுதிர் திருவிழா,cladode
வகைப்பாடு,classification
1. களிமண் 2. களிமண்,clay
1. சுத்தம் செய்தல் 2. ஸ்க்ரப்பிங் 3. சுத்தம் செய்தல் 4. சுத்திகரிப்பு,cleaning
தொடர்ந்து மகரந்த சேர்க்கை,cleistogamy
சிலுவை பழம்,climacteric fruit
காலநிலை,climate
காலநிலையியல்,climatology
வெட்டு,clipper
கட்டி (களிமண்),clod
குளோன்,clone
1.மேகங்கள் 2.மேகங்கள்,cloud
கொத்து,clump
கொத்து,cluster
1. கரடுமுரடான 2. கரடுமுரடான 3. கச்சா 4. கரடுமுரடான,coarse
1. கவர் 2. leatherette,coat (seed)
கோயா,cocoon
1. கோஎன்சைம் 2. கோ-என்சைம்,coenzyme
ஒற்றுமை,cohesion
1. நார்ச்சத்து (சணல் சணல்) 2. தேங்காய் கரடுமுரடானது,coir
மூலங்கூர் சோழன்,coleorrhiza
,collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा
கொலாய்டு (மண்),colloid (soil)
1.நெடுவரிசை 2.கொலுமல்லா,columella
1. தண்டனை 2. நெடுவரிசை 3. நெடுவரிசை,column
ஒற்றுமை,commensalism
வணிக வங்கி,commercial bank
1. சரக்கு 2. வணிகப் பொருட்கள்,commodity
சமூக,community
சுருக்கம் (மண்),compaction (of soil)
1. இணக்கம் 2. இணக்கம்,compatibility
பொருந்தக்கூடிய தன்மை,compatibility
1. இழப்பீடு 2. இழப்பீடு,compensation
போட்டி தொடர்பு,competitive interaction
துணை பயிர்,complementary crop
1.கலவை 2. சிக்கலானது,complex
தொகுதி,component
கலவை,composition
உரம்,compost
கூட்டு வட்டி,compound interest
கணக்கீடு,computation
1. கணினி 2. கணினி,computer
1. செறிவு 2. செறிவு,concentration
1. Optimizer 2. Revitalizer,conditioner
கடத்துத்திறன்,conductance
1. கட்டமைப்பு 2. கட்டமைப்பு,configuration
1. இணக்கம் 2. கட்டமைப்பு 3. இணக்கம்,conformity
1. ஒருங்கிணைப்பு 2. கலப்பு,confounding
இணைத்தல்,conjugation
1. சேர்க்கை 2. இணைப்பு,connective
பாதுகாப்பு,conservation
ஒருங்கிணைப்பு,consolidation
1. மூலப்பொருள் 2. தேவையான பொருட்கள்,constituents
நுகர்வோர்,consumer
நுகர்வு,consumption
மாசுபடுதல்,contamination
விளிம்பு நடவு,contour planting
விளிம்பு கோடு,contour
1. ஒப்பந்த விவசாயம் 2. ஒப்பந்த விவசாயம் 3. ஒப்பந்த விவசாயம்,contract farming
கட்டுப்படுத்தப்பட்ட வளிமண்டல சேமிப்பு,controlled storage
கூட்டுறவு வங்கி,co-operative bank
கூட்டுறவு சங்க உறுப்பினர்,cooperator
குல்மவன்,coppice
க்யூப்ஸ்,corm
1. தல்புஞ்ச் 2. கொரோலா,corolla
1. கோர்டெக்ஸ் 2. கார்டெக்ஸ்,cortex
செலவு,cost
கோட்டிலிடன்,cotyledon (seed)
கடன் குழு,credit society
1. கடன் கொடுத்தல் 2. கடன்,credit
1. கடன் கொடுத்தவர் 2. கடன் கொடுத்தவர்,creditor
1. முகடு 2. உச்சி 3. கோபுரம்,crest
திரும்பப் பெறுதல்,crinkle
பிரச்சனை,crisis
சோதனை,criterion
முக்கியமான,critical
பயிர் காப்பீடு,crop insurance
பயிர் கடன்,crop loan
1. பயிர் 2. பயிர்,crop
சாகுபடி பகுதி,cropping area
குறுக்கு இணக்கமற்ற,cross-incompatible
1. கிரீடம் 2. உச்சம் (தாவரம்),crown (plant)
மென்மையான துகள்கள்,crumb
மேல் ஓடு,crust
1. கிரிப்டோகம் 2. புளோரிஃபார்ம் அல்லாதது,cryptogam
கொடிமுந்திரி (பழம்),cull (fruits)
பேனா,culm
சாகுபடி வகை,cultivar
1. இழுவை 2. விவசாயம் 3. விவசாயம்,cultivation
1. விவசாயி 2. உழவர்,cultivator
1. சாகுபடி 2. சாகுபடி 3. வளர்ப்பு,culture
1.வளம் 2.தயாரிப்பு,curing
1.குந்தலன் 2.குஞ்சன்,curling
தோரணை,currency
1. மேல்தோல் 2. க்யூட்டிகல்,cuticle
1. பேனா 2. வெட்டுதல் 3. வெட்டுதல் 4. வெட்டுதல் 5. வெட்டுதல்,cutting
1. புழு கார்பஸ் 2. நீர்க்கட்டி 3. நீர்க்கட்டி 4. சிதைந்த கட்டி 5. நியோபிளாசம்,cyst
சைட்டோக்ரோம்,cytochrome
செல் இணைப்பு,cytogamy
செல் இனப்பெருக்கம்,cytogenesis
செல் மரபியல்,cytogenetics
சைட்டோபிளாஸ்மிக் பிரிவு,cytokinesis
உயிரணு உயிரியல்,cytology
செல் சிதைவு,cytolysis
1. சைட்டோமியர் 2. செல் பிரிவு,cytomere
சைட்டோபிளாசம்,cytoplasm
1. பால்பண்ணை 2. பால்பண்ணை,dairy
பால் தொழில்,dairying
1. அணை 2. வளர்ப்பவர்,dam
நாள் முழுமையான தாவரம்,day-neutral
பூக்கும் மறுநாள்,days after flowering
முழு பூக்கும் மறுநாள்,days after full bloom
திறமையின்மை,deblossoming
சுண்ணாம்பு நீக்கம்,decalcification
1. அப்புறப்படுத்து 2. அப்புறப்படுத்து,decant
சிதைவு,decay
இலையுதிர்,deciduous
1. தசமம் 2. தசம,decimal
தாழ்வு மனப்பான்மை,deficiency
அனுரன் (மண்),deflocculation (soil)
விபுஷ்பன்,defloration
பில்லிங்,defoliation
காடழிப்பு,deforestation
அவமானம்,degeneration
சீரழிவு,degradation
பகுதி நாள்,degree days
1. அளவு 2. பகுதி,degree
விலகல்,dehiscence
உமி அகற்றுதல்,dehulling
உமி அகற்றுதல்,dehusking
நீரிழப்பு,dehydration
நீரற்ற,dehydrator
கோரிக்கை,demand
1. டினாட்டரேஷன் 2. பெருக்கல்,denaturation
கண்டனம்,denudation
1. வைப்பு (மண்) 2. வைப்பு (பொருளாதாரம்),deposit
வைப்பு,deposition
1. தேய்மானம் 2. தேய்மானம்,depreciation
உப்புநீக்கம்,desalinization
1. நீர் உலர்த்துதல் 2. நீரிழப்பு,desiccation
1. வடிவமைப்பு 2. வடிவமைப்பு,design
உலர்,dessicator
கர்னல் அகற்றுதல்,destoning
இடைக்கணிப்பு,desuckering
இணைத்தல்,desynapsis
1. ஆண் மஞ்சரி பிரித்தெடுத்தல் (சோளம்) 2. பல்லார் பிரித்தெடுத்தல்,detassel
பல்லார் அல்லது குந்தன் வெட்டுதல்,detasseling
தீர்மானிப்பவர்,determinant
மதிப்பிழப்பு,devaluation
தாவரங்களை நீக்கும்,devegetation
விலகல்,deviation
இரட்டை,diad
நோய் கண்டறிதல்,diagnosis
வெவ்வேறு முதிர்ச்சி,dichogamy
பிளவு,dichotomy
1. டைகோடைலிடன் 2. டைகோடைலிடன் (விதை),dicotyledon (seed)
முதுகு நோய்,die back (disease)
1. பரவல் 2. பரவல்,diffusion
செரிமானம்,digestibility
இருகலப்பின,dihybrid
1. அணை 2. வாய்க்கால் 3. குடும்பம்,dike (dyke)
அற்ப,dilute
1. தனிக்குடித்தனம் 2. ஒருதார மணம்,dioecious
டிப்ளாய்டு,diploid
1. டிப்ளாய்டு 2. டிப்ளாய்டு,diploid
இருமுனை,diplonema
1. பிரித்தெடுத்தல் 2. மொட்டு அகற்றுதல்,disbudding
1. கலப்பை உழுதல் 2. நூற்பு,discing
தள்ளுபடி,discount
கிருமி நீக்கம்,disinfection
1. சிதறல் 2. சிதறல்,dispersion
1. சிதறல் 2. மாறுபாடு,dissemination
பல்வகைப்படுத்தல்,diversification
பல்வகைப்பட்ட விவசாயம்,diversified farming
டிஎன்ஏ படி,DNA Ladder
டிஎன்ஏ பெறுபவர்,DNA receptor
கப்பல்துறை வாடகை,dockage
பயனுள்ள,dominant
செயலற்ற நிலை,dormancy
1. அளவு 2. அளவு 3. அளவு,dose
இரட்டை சிக்மாய்டு வளைவு,douole sigmoid curve
1. புயல் 2. நீட்சி,draft (draught)
1. வெளியேற்ற வடிகால் 2. கழிவுநீர்,drain
வடிகால்,drainage
இழுவை,draw
1. மருந்து கொடு 2. நனை,drenching
அழகுசாதனப் பொருட்கள் (விதைகள்),dressing (seed)
