Telugu,Odiya
అబార్ట్,ପରିତ୍ୟାଗ
అబార్ట్ టైమర్,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
సంపూర్ణ చిరునామా,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
సంపూర్ణ చిరునామా,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
సంపూర్ణ సమీకరించేవాడు,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
సంపూర్ణ కోడ్,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
సంపూర్ణ కోడింగ్,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
సంపూర్ణ ఆదేశం,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
సంపూర్ణ కోఆర్డినేట్,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
సంపూర్ణ డేటా,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
సంపూర్ణ లోపం,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
సంపూర్ణ వ్యక్తీకరణ,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
సంపూర్ణ సూచన,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
సంపూర్ణ లోడర్,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
సంపూర్ణ క్రమం,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
సంపూర్ణ ప్రోగ్రామింగ్,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
సంపూర్ణ పదం,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
సంపూర్ణ విలువ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
సంపూర్ణ వెక్టర్,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
నైరూప్య,ବିସ୍ତୃତ
సంగ్రహించడం,ବିସ୍ତୃତ
నైరూప్య చిహ్నం,ବିସ୍ତୃତ ପ୍ରତୀକ |
త్వరణం కాలం,ତ୍ୱରଣ ସମୟ
త్వరణం సమయం,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
యాస,ଉଚ୍ଚାରଣ
అంగీకార పరీక్ష,ଗ୍ରହଣ ପରୀକ୍ଷା
యాక్సెస్,ପ୍ରବେଶ
యాక్సెస్ ఆర్మ్,ଆକ୍ସେସ୍ ବାହୁ
యాక్సెస్ అమరిక,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
యాక్సెస్ అథారిటీ,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
యాక్సెస్ ఛార్జ్,ପ୍ରବେଶ ଚାର୍ଜ
యాక్సెస్ క్లాస్,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
యాక్సెస్ ఎన్విరాన్మెంట్,ପ୍ରବେଶ ପରିବେଶ ସେବା
యాక్సెస్ గ్యాప్,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
ప్రాప్యత సూచిక,ପ୍ରବେଶ ସୂଚକାଙ୍କ
యాక్సెస్ లైన్,ଆକ୍ସେସ୍ ଲାଇନ୍ |
యాక్సెస్ మెకానిజం,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
యాక్సెస్ పద్ధతి,ପ୍ରବେଶ ପଦ୍ଧତି
యాక్సెస్ పద్ధతి దినచర్య,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
యాక్సెస్ మోడ్,ପ୍ରବେଶ ମୋଡ୍
హక్కును యాక్సెస్ చేయండి,ଅଧିକାର ପ୍ରବେଶ
యాక్సెస్ స్కాన్,ପ୍ରବେଶ ସ୍କାନ
ప్రాప్యత సమయం,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
అకౌంటింగ్,ହିସାବ
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
అకౌంటింగ్ మెషిన్,ହିସାବ ଯନ୍ତ୍ର
ఖాతా సంఖ్య,ଖାତା ସଂଖ୍ୟା
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,ପୁନର୍ବାର ଜମା କରିବା |
సంచితం,ଆକ୍ୟୁମୁଲେଟର
సంచిత రిజిస్టర్,ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |
సంచిత షిఫ్ట్ సూచన,ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |
ఖచ్చితత్వం,ସଠିକତା
ఖచ్చితత్వ నియంత్రణ పాత్ర,ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |
ఏస్ పైలట్,Ace ପାଇଲଟ୍ |
పాత్రను గుర్తించండి,ସ୍ୱୀକାର କରନ୍ତୁ ବର୍ଣ୍ଣ
ఎకౌస్టిక్ కప్లర్,ଆକାଶବାଣୀ କପତର୍ |
శబ్ద కలపడం,ଆକାଶବାଣୀ କଣ୍ଟା |
శబ్ద ఆలస్యం రేఖ,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
శబ్ద జ్ఞాపకశక్తి,ଆକାଶବାଣୀ ସ୍ମୃତି
ఎకౌస్టిక్ మోడెమ్,ଆକାଶବାଣୀ ମୋଡେମ୍ |
శబ్ద సిగ్నల్,ଆକାଶବାଣୀ ସଙ୍କେତ |
శబ్ద నిల్వ,ଆକାଶବାଣୀ ସଂରକ୍ଷଣ |
ఎక్రోనిం,ଆକ୍ରୋନିମ୍ |
చర్య,କାର୍ଯ୍ୟ
చర్య చక్రం,କ୍ରିୟା ଚକ୍ର
యాక్షన్ లైన్,କ୍ରିୟା ରେଖା
చర్య సందేశం,କ୍ରିୟା ବାର୍ତ୍ତା
చర్య స్పెసిఫికేషన్,କାର୍ଯ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
క్రియాశీలత,ସକ୍ରିୟକରଣ
క్రియాశీల,ସକ୍ରିୟ
యాక్టివ్ ఫైల్,ସକ୍ରିୟ ଫାଇଲ
యాక్టివ్ లైన్,ସକ୍ରିୟ ରେଖା
