English,Odiya
Abelian group,ଆବେଲି ଗୋଷ୍ଠୀ |
abelian semigroup,ଆବେଲି ଗୋଷ୍ଠୀ |
abscissa,ହାତ
absolute,"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
absolute convergence,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
absolute error,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
absolute maximum,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
absolute minimum,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
absolute value,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
absolute velocity,ସଂପୂର୍ଣ୍ଣ ବେଗ
abstract algebra,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
abstract group theory,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
acceleration,ତ୍ୱରଣ
acceleration due to gravity,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
acceptable choice set,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
acceptable quality level,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
acceptable range,ଗ୍ରହଣୀୟ ପରିସର
acceptable reliability level,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
acceptable sampling,ଗ୍ରହଣ ନମୁନା
accumulated error,ସଂଗୃହିତ ତ୍ରୁଟି |
accuracy,ସଠିକତା
acting force,ପ୍ରୟୋଗ ଶକ୍ତି
action,"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
action and reaction,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
acturial science,ବୀମା ବିଜ୍ଞାନ |
acute angled triangle,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
acyclic,acyclic
add,ସଂକ୍ଷେପରେ
adder,ଆଡର୍
addition,"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
addition formula,ଯୋଗର ସୂତ୍ର
addition of complex numbers,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
addition of functions,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
addition of matrices,ମାଟ୍ରିକ୍ସର ରାଶି
addition of polynomials,ବହୁଜନର ସମଷ୍ଟି |
addition of probabilities,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
addition of vectors,ଭେକ୍ଟରର ରାଶି
addition theorem,"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
additive group,ଯୋଗୀ ଗୋଷ୍ଠୀ |
additive inverse,ଯୋଗୀ ଓଲଟା |
additive property,ଯୋଗନୀୟତା |
additivity,ଯୋଗନୀୟତା |
adjacency matrix,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
adjacent,"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
adjacent angles,ସଂଲଗ୍ନ କୋଣ
adjacent vertex,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
adjoin,ସହଯୋଗ କରିବାକୁ
adjoining,ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
adjoint determinant,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
adjoint differential equation,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
adjoint equation,ସଂଲଗ୍ନ ସମୀକରଣ
adjoint matrix,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
adjoint of matrix,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
adjugate matrix,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
admissible decision function,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
admissible hypothesis,ଗ୍ରହଣୀୟ ଅନୁମାନ
aerodynamic force,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
