Tamil,Hindi
அபேலி குழு,आबेली समूह
அபேலி குழு,आबेली सामिसमूह
கை,भुज
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","निरपेक्ष, परम, अचर, परिशुद्‌ध"
முழுமையான ஒருங்கிணைப்பு,निरपेक्ष अभिसरण
முழுமையான பிழை,निरपेक्ष त्रुटि
உச்ச உச்ச,परम उच्चिष्ठ
முற்றிலும் குறைந்த,परम निम्निष्ठ
துல்லியமான மதிப்பு,निरपेक्ष मान
முழுமையான வேகம்,निरपेक्ष वेग
சுருக்க இயற்கணிதம்,अमूर्त बीजगणित
சுருக்க குழு கோட்பாடு,अमूर्त समूह सिद्‌धांत
முடுக்கம்,त्वरण
ஈர்ப்பு முடுக்கம்,गुरुत्वीय त्वरण
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,स्वीकार्य वरण-समुच्चय
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,स्वीकार्य गुणता स्तर
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,स्वीकार्य परिसर
சரியான நம்பகத்தன்மை நிலை,मान्य विश्वसनीयता स्तर
ஏற்பு மாதிரி,स्वीकरण-प्रतिचयन
திரட்டப்பட்ட பிழை,संचित त्रुटि
துல்லியம்,यथार्थता
பயன்படுத்தப்படும் சக்தி,लगा हुआ बल
"செயல், செயல்","क्रिया, कर्म"
செயல் மற்றும் எதிர்வினை,क्रिया और प्रतिक्रिया
காப்பீட்டு அறிவியல்,बीमा विज्ञान
கடுமையான முக்கோணம்,न्यूनकोण त्रिभुज
அசைக்ளிக்,अचक्रीय
மொத்தத்தில்,"योग करना, जोड़ना"
சேர்ப்பான்,योजक
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
யோகா சூத்திரம்,योग का सूत्र
கலப்பு எண்களின் கூட்டுத்தொகை,सम्मिश्र संख्याओं का योग
செயல்பாடுகளின் கூட்டுத்தொகை,फलनों का योग
மெட்ரிக்குகளின் கூட்டுத்தொகை,आव्यूहों का योग
பல்லுறுப்புக்கோவைகளின் தொகை,बहुपदों का योग
நிகழ்தகவுகளின் கூட்டுத்தொகை,प्रायिकताओं का योग
திசையன்களின் தொகை,सदिशों का योग
"தொகை தேற்றம், பெர்ரி கோட்பாடு,",योग प्रमेय बेरीज सिद्‌धांत
சேர்க்கை குழு,योज्य समूह
தலைகீழ் சேர்க்கை,योज्य व्युत्क्रम
சேர்க்கை,"योज्यता, योगशीलता"
சேர்க்கை,योज्यता
அருகாமை அணி,आसन्नता आव्यूह
"அருகாமை, அருகாமை, அருகாமை","संलग्न, निकटवर्ती, आसन्न"
அருகில் உள்ள கோணம்,आसन्न कोण
அருகில் உள்ள உச்சி,आसन्न शीर्ष
தொடர்புபடுத்த,सहबद्‌ध करना
"இணைக்கப்பட்ட உறை,",संलग्न संलग्नीत
பொதுவான தீர்மானிப்பான்,सहखंडज सारणिक
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,संलग्न अवकल समीकरण
இணைக்கப்பட்ட சமன்பாடு,संलग्न समीकरण
ஒரே மாதிரியான அணி,सहखंडज आव्यूह
அணி ஒருங்கிணைப்பு,आव्यूह सहखंडज
ஒரே மாதிரியான அணி,सहखंडज आव्यूह
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,ग्राह्य निर्णय फलन
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,ग्राह्य परिकल्पना
காற்றியக்க விசை,वायुगतिक बल
காற்றியக்கவியல்,वायु गतिकी
ஒரே மாதிரியான வடிவியல்,सजातीय ज्यामिति
ஒரே மாதிரியான மேப்பிங்,सजातीय प्रतिचित्रण
ஒரே மாதிரியான மாற்றம்,सजातीय रूपांतरण
மொத்த மாறி,समुच्चयी चर
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
"விதை மூடிய, விதை","बीजतः संवृत, बीजतः"
இயற்கணித சமன்பாடு,बीजीय समीकरण
இயற்கணித வெளிப்பாடு,बीजीय व्यंजक
இயற்கணித ஒருமைப்பாடு,बीजीय समघात
இயற்கணித செயல்பாடு,बीजीय फलन
இயற்கணித வடிவியல்,बीजीय ज्यामिति
இயற்கணித பன்மை,बीजीय बहुकता
இயற்கணித அமைப்பு,बीजीय निकाय
அனைத்து முழு எண் பிரச்சனை,सर्व-पूर्णांक समस्या
"ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி,",नियतन समस्या वाटपप्रश्न
அகரவரிசைக் குறியீடு,अक्षरात्मक संकेत पद्‌धति
அகரவரிசை எழுத்து,अक्षरात्मक संप्रतीक
மாற்று கோணங்கள்,एकांतर कोण
"மாற்று ஒரே மாதிரியான மாற்று வடிவம்,",एकांतर समघात प्रत्यावर्ती रूप
மாற்று குழு,एकांतर समूह
மாற்று அணி,एकांतर आव्यूह
மாற்று தொடர்,एकांतर श्रेणी
மாற்று கருதுகோள்,वैकल्पिक परिकल्पना
மாற்று உகந்தது,वैकल्पिक इष्टमत
மாற்று முடிவு,वैकल्पिक परिणाम
அனலாக்-இலக்க மாற்றி,अनुरूप-अंकीय परिवर्तक
"அனலாக் கணினி,",अनुरूप कम्प्यूटर
பகுப்பாய்வு,विश्लेषण
இணைநிலை பகுப்பாய்வு,सहप्रसरण-विश्लेषण
கணக்கெடுப்பு-தரவு பகுப்பாய்வு,गणन-आंकड़ों का विश्लेषण
மாறுபாடு பகுப்பாய்வு,प्रसरण-विश्लेषण
பகுப்பாய்வு வடிவியல்,विश्लेषिक ज्यामिति
பகுப்பாய்வு செயல்பாடு,विश्लेषिक फलन
கோணம்,कोण
தொடுகோடு கோணம்,स्पर्श-कोण
விலகல் கோணம்,विक्षेप-कोण
மனச்சோர்வு கோணம்,अवनमन-कोण
விலகல் கோணம்,विचलन-कोण
விலகல் கோணம்,विवर्तन-कोण
உயர கோணம்,उन्नयन-कोण
நிகழ்வு கோணம்,आपतन-कोण
திட்ட கோணம்,प्रक्षेप-कोण
பிரதிபலிப்பு கோணம்,परावर्तन-कोण
ஒளிவிலகல் கோணம்,अपवर्तन-कोण
சுழற்சி கோணம்,घूर्णन-कोण
பிரதிபலிப்பு முழுமையான கோணம்,पूर्ण परावर्तन-कोण
கோண முடுக்கம்,कोणीय त्वरण
கோண வேகம்,कोणीय गति
கோண வேகம்,कोणीय चाल
கோண வேகம்,कोणीय वेग
மோதிர விரல்,वलयिका
பதில்,उत्तर
எதிர் வழித்தோன்றல்,प्रति-अवकलज
ஐசோமெட்ரிக் செயல்பாடு,प्रतिसममित फलन
"மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய","आच्छाद्य, अनु प्रयोज्य, लागू"
"விண்ணப்ப விண்ணப்பம்,",अनुप्रयोग उपयोजन
பயன்பாட்டு டைனமிக் நிரலாக்கம்,अनुप्रयुक्त गतिशील प्रोग्रामन
பயன்படுத்தப்படும் வடிவியல்,अनुप्रयुक्त ज्यामिति
பயன்பாட்டு கணிதம்,अनुप्रयुक्त गणित
பயன்பாட்டு புள்ளிவிவரங்கள்,अनुप्रयुक्त सांख्यिकी
"தோராயமாக, தோராயமாக","सन्निकटतः, लगभग"
தோராயமாக தொடர்ச்சியான செயல்பாடு,सन्निकटतः संतत फलन
"மேக்ரோ முறை, தோராய முறை","स्थूल विधि, सन्निकट विधि"
தோராயமான தீர்வு,सन्निकट हल
தோராயமான பிரச்சனை,सन्निकटन-समस्या
தோராயமான சொத்து,सन्निकटन-गुणधर्म
திறன் சோதனை,अभिक्षमता-परीक्षावली
ஆர்கான் வரைபடம்,आरगाँ आरेख
தன்னார்வ,स्वेच्छगहीतृ
"சீரற்ற, சீரற்ற","स्वेच्छ, यादृच्छिक"
தன்னிச்சையான மாறிலி,स्वेच्छ अचर
இலவச உறுப்பு,स्वेच्छ अवयव
தன்னிச்சையான புள்ளி,स्वेच्छ बिन्दु
ஆர்க்கிமிடின் சட்டம்,आर्किमीडी नियम
ஆர்க்கிமிடிஸ் சட்டம்,आर्किमीडीज़ का नियम
"வில்-நீளம், வில்-நீளம்","चाप-दैर्घ्य, चाप-लम्बाई"
வட்ட வில்,वत्तृ चाप
தலைகீழ் சைன் விநியோகம்,प्रतिलोम ज्या बंटन
தலைகீழ் சைன் மாற்றம்,प्रतिलोम ज्या रूपांतरण
"பகுதி, பகுதி","क्षेत्र, क्षेत्रफल"
பிராந்திய கட்டமைப்பு,क्षेत्रीय विन्यास
ஒரு கலப்பு எண்ணின் கோணம்,सम्मिश्र संख्या का कोणांक
எண்கணித சராசரி,समांतर माध्य
டிஜிட்டல் செயல்பாடு,अंकीय संक्रिया
டிஜிட்டல் அலகு,अंकीय एकक
"கட்டமைப்பு, ஏற்பாடு","विन्यास, व्यवस्था"
"வரிசை, வரிசை","व्यूह, सरणी"
செயற்கை செயற்கைக்கோள்,कृत्रिम उपग्रह
செயற்கை மாறி,कृत्रिम चर
ஏறுவதற்கு,आरोहण करना
ஏறுமுகம்,आरोही
அளவின் ஏறுவரிசை,परिमाण का आरोही क्रम
ஏறும் தரம்,आरोही श्रेणी
அசெம்பிளர் மொழி,कोडांतरक भाषा
"ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி,",नियतन समस्या नियतन प्रश्न
துணை விதி,साहचर्य नियम
ஆபரேட்டர்களின் துணை விதி,संकारकों का साहचर्य नियम
துணை செயல்பாடு,साहचर्य-संक्रिया
தோழமை,सहचारिता
சராசரியாக கருதப்படுகிறது,कल्पित माध्य
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,कल्पित प्रायिकता बंटन
"கற்பனை செய்து, ஒப்புக்கொண்ட,","कल्पना, गृहीत"
ஜோதிடம்,ज्योतिष
"விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்,",अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता
வானியலாளர்*,खगोलज्ञ*
வானியல் கடிகாரம்,खगोलीय घड़ी
வானியல்,खगोलिकी
சமச்சீரற்ற வளைவு,असममित वक्र
சமச்சீரற்ற தன்மை,असममिति
அறிகுறியற்ற,अनंतस्पर्शी
மோசமாக்கும்,उपगामी
முற்போக்கான மதிப்பீட்டாளர்,उपगामी दक्ष आकलक
பிற்போக்கு சார்பு மதிப்பீட்டாளர்,उपगामी अनभिनत आकलक
பிற்போக்கு நடத்தை,उपगामी आचरण
தீவிர விநியோக செயல்பாடு,उपगामी बंटन-फलन
மேல்நோக்கி பரவியது,उपगामी प्रसार
வளிமண்டல அழுத்தம்,वायु मंडलीय दाब
"தற்செயலாக,",यदृच्छया
சொத்து*,गुण*
பண்பு-மாதிரி-பொறிமுறை,गुण-प्रतिचयन-क्रियाविधि
ஆக்மென்ட் மேட்ரிக்ஸ்,संवर्धित आव्यूह
தன்னியக்க தொடர்பு குணகம்,स्वसहसंबंध गुणांक
தன்னியக்க தொடர்பு செயல்பாடு,स्वसहसंबंध फलन
இணை மாறுபாடு,स्वसहप्रसरण
தானியங்கி கணினி,स्वचालित अभिकलित्र
தன்னியக்க பின்னடைவு,स्वसमाश्रयण
துணை சமன்பாடு,सहायक समीकरण
சராசரி மாதிரி எண் வளைவு (MPC வளைவு),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
"கோட்பாடு, கோட்பாடு","स्वयंसिद्‌ध, अभिगृहीत"
கோட்பாடு அணுகுமுறை,अभिगहीती दृष्टिकोण
நிகழ்தகவு கோட்பாடு,प्रायिकता अभिगृहीत
அச்சு,अक्ष
புஜக்ஷா,भुजाक्ष
பூமி அச்சு,भू-अक्ष
சுழற்சி அச்சு,परिक्रमण-अक्ष
சுழற்சி அச்சு,घूर्णन अक्ष
சுழல் அச்சு,प्रचक्रण-अक्ष
பிந்தைய மாற்று,पश्च-प्रतिस्थापन
பின்னர்,पश्चांतर
பின் செருகும் சூத்திரம்,पश्च अंतर्वेशन-सूत्र
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை","तुला, तराजू, संतु लन, शेष, बाकी, संतुलित होना, संतुलित करना"
சீரான வடிவமைப்பு,संतुलित अभिकल्पना
இருப்பு தாள்,तुलन-पत्र
ஏவுகணை,प्रक्षेपास्त्र
"பந்துவீச்சு, ஆயுதம்","प्राक्षेपिकी, अस्त्र विज्ञान"
"நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு","स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी, रोधिका, भित्ति, बार, रेखा, रेखिका, परीक्षण रेखा, धार"
"அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை","आधार, क्षारक, अधम, मूल, बेस"
அடிப்படை கோணம்,आधार कोण
"மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை","लघुगणक का आधार, लॉगरिथ्म का आधार"
"அடிப்படை, அடிப்படை,","आधारी, मूल"
அடிப்படை ஒத்திசைவான தீர்வு,आधारी सुसंगत हल
அடிப்படை தீர்வு,आधारी हल
அடிப்படை மாறி,आधारी चर
அடித்தளம்,आधारक
அடிப்படை உறுப்பு,आधार अवयव
