Hindi,Odiya
अपसामान्य,ଅସ୍ୱାଭାବିକ |
विफलन,ପରିତ୍ୟାଗ
" अपघर्षण , घिसाई",ଅଳିଆ ଆବେଗ
" असंलग्न , अचानक, सहसा   , विच्छिन्न",ଆକସ୍ମିକ
निरपेक्ष क्षेत्र सामर्थ्य,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
परम ताप,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
निरपेक्ष मान,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
"अवशोषित करना, अवशोषण करना",ଶୋଷଣ
अवशोषण गुणांक,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
अवशोषण हानि,ଶୋଷଣୀୟ କ୍ଷତି |
" अमूर्त , सारांश, सार, संक्षेप",ବିସ୍ତୃତ
त्वरणमापी,ଆକ୍ସଲେରୋମିଟର |
स्वीकृति परीक्षण,ଗ୍ରହଣ ପରୀକ୍ଷା
अभिगम,ପ୍ରବେଶ
अभिगम नियंत्रण,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
अभिगम बिंदु,ପ୍ରବେଶ ବିନ୍ଦୁ
अभिगम काल,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
अभिगम्यता,ଅଭିଗମ୍ୟତା |
संचायक सेल,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
यथार्थता,ସଠିକତା
यथार्थ,ସଠିକ୍
अवर्णक लेन्स,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
"अम्ल, ऐसिड",ଏସିଡ୍ |
अम्लसह,ଏସିଡ୍ ପ୍ରମାଣ |
अम्लता,ଅମ୍ଳତା
"पावती द्वयंक, पावती बिट",ସ୍ୱୀକୃତି ବିଟ୍
ध्वानिक,ଆକାଶବାଣୀ |
ध्वानिक संचार,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
ध्वानिक विसरण,ଆକାଶବାଣୀ ବିସ୍ତାର
ध्वानिक समकारी,ଆକାଶବାଣୀ ସମାନତା |
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",ଆକାଶବାଣୀ ମତାମତ |
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ध्वानिक प्रतिबाधा,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ଆକାଶବାଣୀ ମାସ୍କିଂ |
ध्वानिक षक्ति,ଆକାଶବାଣୀ ଶକ୍ତି |
ध्वानिक गुणधर्म,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
ध्वानिक प्रतिघात,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ध्वानिक प्रतिवर्त,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
ध्वानिक टाइल,ଆକାଶବାଣୀ ଟାଇଲ୍ |
ध्वानिक तरंग,ଆକାଶବାଣୀ ତରଙ୍ଗ |
ध्वानिक अवशोषण गुणांक,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
ध्वानिक अवमंदन,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ध्वानिक विलंब लाइन,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ध्वानिक विरूपण,ଆକାଶବାଣୀ ବିକୃତି |
ध्वनि-वाहिनी,ଆକାଶବାଣୀ ନଳୀ |
ध्वानिक ऊर्जा,ଆକାଶବାଣୀ ଶକ୍ତି |
ध्वानिक पुनर्निवेश,ଆକାଶବାଣୀ ମତାମତ |
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ध्वानिक प्रतिबाधा,ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |
ध्वानिक संचरण नियतांक,ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |
ध्वानिक प्रतिरोध,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ध्वानिकतः रुद्ध,ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |
"ध्वानिकी, ध्वनि विज्ञान",ଆକାଶବାଣୀ |
"अधिग्रहण, अर्जन, उपार्जन",ଅଧିଗ୍ରହଣ
संक्षिप्त रूप,ଆକ୍ରୋନିମ୍ |
कार्य क्षेत्र,କ୍ରିୟା କ୍ଷେତ୍ର
"सक्रियकृत तंतु, सक्रियित तंतु",ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |
सक्रिय,ସକ୍ରିୟ
सक्रिय क्षेत्र,ସକ୍ରିୟ କ୍ଷେତ୍ର
सक्रिय विंडो,ସକ୍ରିୟ ୱିଣ୍ଡୋ |
अनुकूलनीयता,ଅନୁକେତ
"अनुकूलक, अनुकूलित्र",ଆଡାପ୍ଟର (ଆଡାପ୍ଟର)
अनुकूली विभेदी स्पंद कोड मॉडुलन,ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |
"पता पुस्तिका, एड्रेस बुक",ଠିକଣା ବହି
"पता बस, एड्रेस बस",ଠିକଣା ବସ୍
"पता विभेदन, एड्रेस विभेदन",ଠିକଣା ରେଜୋଲୁସନ
"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण",ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |
"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता",ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ
आसन्न आवृत्ति,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |
आसन्न आवृत्ति चैनल,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
"आसन्न चित्र वाहक, संलग्न वीडियो वाहक",ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |
आसन्न ध्वनि वाहक,ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |
"निकटवतब स्टेशन, निकटवतब केंद्र",ସଂଲଗ୍ନ ଷ୍ଟେସନ |
समायोज्य,ନିୟନ୍ତ୍ରିତ
समायोज्य संधारित्र,ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |
समायोज्य दाब,ଚାପକୁ ସଜାଡିବା |
समायोजी रिंच,ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |
समायोजन,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
" प्रशासक , नियंत्रक",ପ୍ରଶାସକ
उन्नत प्रौद्योगिकी,ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |
"एरियल (ऐन्टेना), आकाशी, वायव, हवाई",ବାୟୁ
एरियल व्यूह,ଏରିଲ୍ ଆରେ |
"एरियल वर्धक, ऐन्टेना वर्धक",ଏରିଲ୍ ବୁଷ୍ଟର୍ |
ऐन्टेना धारा,ଏରିଲ୍ କରେଣ୍ଟ୍ |
ऐन्टेना भूसंपर्कक स्विच,ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |
ऐन्टेना दक्षता,ଏରିଲ୍ ଦକ୍ଷତା |
ऐन्टेना प्रतिबाधा,ଏରିଲ୍ ଇନପେଟେନ୍ସ |
ऐन्टेना प्रेरकत्व,ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |
ऐन्टेना विद्तरोधी,ଏରିଆଲ୍ ଇନସୁଲେଟର |
ऐन्टेना भारण कुंडली,ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |
आकाषी फोटोग्राफी,ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |
ऐन्टेना षक्ति,ଏରିଲ୍ ଶକ୍ତି |
आकाशी विकिरण प्रतिरोध,ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |
ऐन्टेना प्रतिघात,ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |
वायुगतिकी,ଏରୋଡାଇନାମିକ୍ସ
"एजेंसी, अभिकरण",ସଂସ୍ଥା
वायु संपीडक,ବାୟୁ କମ୍ପ୍ରେସାକ୍ର
वायु संधारित्र,ବାୟୁ କଣ୍ଡନସର୍ |
वायुशीतित,ବାୟୁ ଥଣ୍ଡା
वायु क्रोडित कुंडली,ବାୟୁ କୋଡ୍ କୋଇଲ୍ |
वातानुकूलन,Accometication
ऐल्बीडो,ଆଲବେଡୋ |
"कलन विधि, एल्गोरिथ्म",ଆଲଗୋରିଦମ
एलियासिंग,ଛଦ୍ମନାମ
संरेखण,ମିଶ୍ରଣ
संरेखण,ପରିଚାଳିତ
सर्व तरंग एरियल,ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |
नियतन,ଆବଣ୍ଟନ
"वर्णक्रमीय, वर्णक्रमिक",ବର୍ଣ୍ଣାନୁକ୍ରମିକ
अक्षरांकीय,ବର୍ଣ୍ଣମାଳା
