Kannada,Telugu
ದಾಟುವುದು,తగ్గింపు
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,సంక్షిప్తీకరణ
ಅಪಹರಣ,అపహరణ
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,Abeyance
ಸಾಮರ್ಥ್ಯ,సామర్థ్యం
ಎಬಿ ಇನಿಶಿಯೋ,అబ్ ఇనిషియో
ಸಮರ್ಥ,సామర్థ్యం
ಅಸಹಜ,అసాధారణ
ನಿರ್ಮೂಲನ,రద్దు
ರದ್ದುಮಾಡುವಿಕೆ,నిర్మూలన పోస్ట్
ಮೇಲೆ ತಿಳಿಸಿದ,పైన పేర్కొన్నారు
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,పైన కోట్ చేయబడింది
ಮೇಲೆ ಹೇಳಿದರು,పైన చెప్పారు
ಅನುಪಸ್ಥಿತಿ,లేకపోవడం
ಗೈರುಹಾಜರಿ,హాజరుకాని
ಗೈರುಹಾಜರಿ,హాజరుకానితనం
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,హాజరుకాని ప్రకటన
ಸಂಪೂರ್ಣ,సంపూర్ణ
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,సంపూర్ణ గుత్తాధిపత్యం
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,సంపూర్ణ యాజమాన్యం
ಹೀರುವಿಕೆ,శోషణ
ಅಮೂರ್ತ,నైరూప్య
ಅಮೂರ್ತತೆ,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
ಅಸಂಬದ್ಧ,అసంబద్ధం
ಹೇರಳವಾಗಿರುವುದು,సమృద్ధి
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,అధికార దుర్వినియోగం
ನಿಂದಕ ಭಾಷೆ,దుర్వినియోగ భాష
ಶೈಕ್ಷಣಿಕ,విద్యావేత్త
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,విద్యా చర్చ
ಶೈಕ್ಷಣಿಕ ರಜೆ,విద్యా సెలవు
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,విద్యా అర్హత
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,విద్యా రికార్డు
ತಪ್ಪೊಟ್ಟು,ACCEDE
ಒಪ್ಪಿಕೊಳ್ಳಿ,అంగీకరించండి
ಸ್ವೀಕಾರಾರ್ಹತೆ,అంగీకారం
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,కార్యాలయం అంగీకారం
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,టెండర్ అంగీకారం
ಪ್ರವೇಶ,యాక్సెస్
ಪ್ರವೇಶ,ప్రవేశం
ಪರಿಕರ,అనుబంధ
ಅಪಘಾತ,ప్రమాదం
ಒಗ್ಗೂಡಿಸುವಿಕೆ,అలవాటు
ಸೌಕರ್ಯ,వసతి
ಜೊತೆಗಾರ,తోడు
ಸ ೦ ಗೀತ,ఒప్పందం
ಪ್ರೇಕ್ಷಕ,అనుగుణంగా
ಹಾಗೆಯೇ,దీని ప్రకారం
ಖಾತೆ,ఖాతా
ಹೊಣೆಗಾರಿಕೆ,జవాబుదారీతనం
ಹೊಣೆಗಾರ,జవాబుదారీతనం
ಹೊಣೆ,అకౌంటెన్సీ
ಲೆಕ್ಕಪರಿಶೋಧಕ,అకౌంటెంట్
ಇದಕ್ಕೆ ಖಾತೆ,ఖాతా
ಖಾತೆ,ఖాతా హెడ్
ಸಂಚಿತ ಲಾಭ,సేకరించిన ప్రయోజనం
ಸಂಚಿತ ಪಿಂಚಣಿ,పెన్షన్ పెన్షన్
ಸಂಗ್ರಹಣೆ,చేరడం
ನಿಖರತೆ,ఖచ్చితత్వం
ನಿಖರವಾದ,ఖచ్చితమైనది
ಆರೋಪಿಸು,నిందించండి
ಆರೋಪಿ,ఆరోపణలు
ಸಾಧನೆ,సాధన
ಸ್ವೀಕೃತಿ,గుర్తింపు
ಸ್ವೀಕೃತಿ ಕಾರಣ,రసీదు గడువు
ಪರಿಚಯ,పరిచయము
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,సముపార్జన
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,సముపార్జన
ಕಯ,చట్టం
ನಟನಾ ಭತ್ಯೆ,నటన భత్యం
ಕ್ರಿಯಾಶೀಲತೆ,చర్య
ಕಾರ್ಯ ತಂತ್ರ,కార్య ప్రణాళిక
ಸಕ್ರಿಯ,క్రియాశీల
ಸಕ್ರಿಯವಾಗಿ,చురుకుగా
ಕಾರ್ಯಕರ್ತ,కార్యకర్త
ಭಗವಂತನ ಆಟ,దైవఘటన
ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ,దుష్ప్రవర్తన చర్య
ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ,కమీషన్ మరియు కమీషన్
ನಿಜವಾದ,అసలు
ವಾಸ್ತವಿಕ,వాస్తవాలు
ರೂಪಾಂತರ,అనుసరణ
ಸೇರ್ಪಡೆ,అదనంగా
ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ,అదనపు ఛార్జ్
ಹೆಚ್ಚುವರಿ ನಿಧಿ,అదనపు ఫండ్
ಹೆಚ್ಚುವರಿ ಅನುದಾನ,అదనపు గ్రాంట్
ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ,అదనపు సమాచారం
ಹೆಚ್ಚುವರಿ ವೇತನ,అదనపు వేతనం
ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ,అదనంగా మరియు మార్పు
ಭಾಷಣ,చిరునామా
ವಿಳಾಸದಾರ,చిరునామా
ಸ್ವಾಗತದ ವಿಳಾಸ,స్వాగత చిరునామా
ಸಮರ್ಪಕ,తగినంత
ಅಂಟಿಕೊಳ್ಳಿ,కట్టుబడి
ತಾತ್ಕಾಲಿಕ,తాత్కాలిక హాక్
ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು,తాత్కాలిక దావా
ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ,తాత్కాలిక కమిటీ
ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ,తాత్కాలిక పెరుగుదల
