Odiya,Tamil
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,A B வகுப்பு பெருக்கி
ଘୃଣ୍ୟତା |,பிறழ்வு
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,அசாதாரண பரிமாற்றம்
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,ஸ்பெக்ட்ரம் காணவில்லை
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","முழுமையான, முழுமையான, நிலையான, சரியான"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,முழுமையான ஈரப்பதம்
ସଂପୂର୍ଣ୍ଣ ଗତି,முழுமையான வேகம்
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,முழுமையான கவனிப்பு
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,முழுமையான வெப்பநிலை
ସଂପୂର୍ଣ୍ଣ ଶୂନ,முழுமையான பூஜ்ஜியம்
ଶୋଷଣ,உறிஞ்சி
"ଶୋଷକ, ଶୋଷକ","உறிஞ்சும், உறிஞ்சும்"
ଅବଶୋଷଣ କ୍ଷମତା |,உறிஞ்சும் திறன்
ଅବସାଦ |,உறிஞ்சுதல்
ଶୋଷକ,உறிஞ்சக்கூடியது
ଶୋଷଣ,உறிஞ்சும் தன்மை
ବହୁଗୁଣ ଅନୁପାତ |,பன்மடங்கு விகிதம்
ତ୍ୱରାନ୍ୱିତ କର |,முடுக்கி
ଶୀଘ୍ର ଶୀଘ୍ର,விரைந்தார்
ତ୍ୱରଣ,முடுக்கம்
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,ஈர்ப்பு முடுக்கம்
ତ୍ୱରକ,முடுக்கி
ତ୍ୱରକ,முடுக்கி
ଆକ୍ସିଲେରୋମିଟର,முடுக்கமானி
ସମ୍ମାନ,முன் அழுத்தம் கொடுப்பவர்
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,ஏற்றுக்கொள்ளக்கூடிய சோதனை
ଗ୍ରହଣକାରୀ,ஏற்பவர்
ଦାତା ଅଣୁ,நன்கொடையாளர் மூலக்கூறு
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |","அணுகல், காத்திருப்பு, அணுகல்"
ଅଭିଗମ୍ୟତା,அணுகல்
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
ପ୍ରବେଶ ସମୟ,அணுகல் நேரம்
ପରିଦର୍ଶକ ତ୍ରୁଟି |,பார்வையாளர் பிழை
ଆଡଜଷ୍ଟେସନ୍,சரிசெய்தல்
ସଂଗୃହିତ,திரட்டப்பட்டது
"ଜମା, ଜମା","திரட்சி, குவிப்பு"
ଜମାକାରୀ,திரட்டி
ସଠିକତା,துல்லியம்
ବାସ୍ତବତା,யதார்த்தம்
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,நிறமற்ற லென்ஸ்
ଆକ୍ରୋମାଟିକ୍ |,வண்ணமயமான
ଆକ୍ରୋମାଟିଟି,வண்ணமயமான தன்மை
ଶବ୍ଦ,ஒலியியல்
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,ஒலி எதிர்ப்பு
ଆକାଶବାଣୀ ଫୋନନ୍ |,ஒலி ஃபோனான்
ଧ୍ୱନି ଏକକ |,ஒலி அலகு
ଶବ୍ଦ,ஒலியியல்
ଶବ୍ଦ ଜେନେରେଟର,ஒலி ஜெனரேட்டர்
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,செயல் மற்றும் எதிர்வினை
ସକ୍ରିୟ,செயல்படுத்துதல்
ସକ୍ରିୟ ଶକ୍ତି,செயல்படுத்தும் ஆற்றல்
"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |","செயல்படுத்துபவர், செயல்படுத்துபவர்"
ସକ୍ରିୟ |,செயலில்
ସକ୍ରିୟତା,செயற்பாடு
ପ୍ରକୃତ ଚାପ,உண்மையான மன அழுத்தம்
ଫୁସ୍ଫୁସ୍,கிசுகிசுத்தல்
ସଂକ୍ଷେପରେ,மொத்தத்தில்
"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)","தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)"
"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)","இணைந்த தொனி, கூடுதல் தொனி (உயிர்)"
ଯୋଗୀ,சேர்க்கை
ଆଡିଶିନ୍ |,ஒட்டுதல்
ଆଡେସିଭ୍ ଶକ୍ତି |,பிசின் ஆற்றல்
