Marathi,English
वेस्टमिन्स्टरचे मठाधीश,Abbey of Westminster
निषिद्ध,Abditory
गुलामगिरीचे उच्चाटन,Abolition of slavery
आदिवासी,Aboriginal
अब्राहम युग,Abraham Era
अनुपस्थित जमीनदार,Absentee landlords
अकादमी,Academy
अक्रा परिषद,Accra conference
जमा,Accruals
संवर्धन,Acculturation
एसेलडामा,Aceldama
आचियन (=अचियन),Achaean (=Achian)
आचियन लीग (=अचियन लीग),Achaean League (=Achian League)
एक्रोपोलिस,Acropolis
Acta Diurna,Acta Diurna
Acta Senatus,Acta Senatus
ऍक्ट अॅडिशनल,Acte Additionel
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),Active record (=current record)
प्राप्तकर्त्याची कृती,Act of attainder
नुकसानभरपाई आणि विस्मरणाचा कायदा,Act of Indemnity and oblivion
सेटलमेंटचा कायदा,Act of Settlement
जाहिरात करार सील,Ad contractus seal
अदुल्लामाइट्स,Adullamites
विरोधक,Adversary
विरोधक,Adversary
एऑन,Aeon
एरेरियम,Aerarium
हवाई युद्ध,Aerial warfare
एटोलियन लीग,Aetolian League
वय,Age
वृद्धत्व (=वृद्धत्व),Ageing (=aging)
वृद्धत्व प्रक्रिया,Ageing process
अगेलाय,Agelai
पराक्रमाचे वय,Age of chivalry
ज्ञानाचे वय,Age of Englightment
पेरिकल्सचे वय,Age of Pericles
कारण वय,Age of reason
कृषीवाद,Agrarianism
कृषी चळवळ,Agrarian movement
अल्बिओन,Albion
अल्बम,Album
अल्डरमन,Alderman
मोहक हात,Allusive arms
मैत्री,Amity
एम्फेक्टियोनिक परिषद,Amphictyonic Council
एम्फेक्टियोनिक लीग,Amphictyonic League
अॅम्फिथिएटर,Amphitheatre
अमरी नल गट (मातीचा),Amri Nal group (of pottery)
अनाक्रोनिझम,Anachronism
अनाक्रोनिस्टिक,Anachronistic
पूर्वज,Ancestor
पूर्वजांची पूजा,Ancestor Worship
वंशपरंपरा,Ancestry
वंशपरंपरा,Ancestry
वंशपरंपरा,Ancestry
वंशपरंपरा,Ancestry
प्राचीन राजवट,Ancien regime
प्राचीन,Ancient
प्राचीन बालगीत,Ancient ballad
प्राचीन श्रद्धा,Ancient belief
प्राचीन प्रथा,Ancient custom
प्राचीन इतिहास,Ancient history
प्राचीन स्मारके,Ancient monuments
किस्सा,Anecdote
अँजेलोट,Angelot
एंजलस,Angelus
