Malayalam,Marathi
അബെലി ഗ്രൂപ്പ്,abeli गट
അബെലി ഗ്രൂപ്പ്,अबेली गट
കൈ,हात
"കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
കേവലമായ ഒത്തുചേരൽ,परिपूर्ण अभिसरण
സമ്പൂർണ്ണ പിശക്,परिपूर्ण त्रुटी
പരമോന്നത പരമോന്നത,सर्वोच्च सर्वोच्च
ഏറ്റവും താഴ്ന്നത്,परिपूर्ण सर्वात कमी
യഥാർത്ഥ മൂല്യം,परिपूर्ण मूल्य
കേവല വേഗത,परिपूर्ण वेग
അമൂർത്ത ബീജഗണിതം,अमूर्त बीजगणित
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,अमूर्त गट सिद्धांत
ത്വരണം,प्रवेग
ഗുരുത്വാകർഷണ ത്വരണം,गुरुत्वाकर्षण प्रवेग
സ്വീകാര്യമായ സെലക്ടർ,स्वीकार्य निवडकर्ता
സ്വീകാര്യമായ നിലവാരം,स्वीकार्य गुणवत्ता पातळी
സ്വീകാര്യമായ പരിസരം,स्वीकार्य परिसर
സാധുവായ വിശ്വാസ്യത നില,वैध विश्वसनीयता पातळी
സ്വീകാര്യത സാമ്പിൾ,स्वीकृती नमुना
സഞ്ചിത പിശക്,संचित त्रुटी
കൃത്യത,अचूकता
പ്രയോഗിച്ച ബലം,शक्ती लागू
"പ്രവൃത്തി, പ്രവൃത്തി","कृती, कृती"
പ്രവർത്തനവും പ്രതികരണവും,क्रिया आणि प्रतिक्रिया
ഇൻഷുറൻസ് ശാസ്ത്രം,विमा विज्ञान
നിശിത ത്രികോണം,तीव्र त्रिकोण
അസൈക്ലിക്,अॅसायक्लिक
സംഗ്രഹിക്കാനായി,बेरीज करणे
ചേർക്കുന്നയാൾ,जोडणारा
"തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
യോഗയുടെ ഫോർമുല,योगाचे सूत्र
സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക,जटिल संख्यांची बेरीज
പ്രവർത്തനങ്ങളുടെ ആകെത്തുക,कार्यांची बेरीज
മെട്രിക്സുകളുടെ ആകെത്തുക,मॅट्रिक्सची बेरीज
ബഹുപദങ്ങളുടെ ആകെത്തുക,बहुपदांची बेरीज
സാധ്യതകളുടെ ആകെത്തുക,संभाव्यतेची बेरीज
വെക്റ്ററുകളുടെ ആകെത്തുക,वेक्टरची बेरीज
"സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം,","बेरीज प्रमेय, बेरी सिद्धांत"
സങ്കലന ഗ്രൂപ്പ്,मिश्रित गट
വിപരീത വിപരീതം,additive inverse
കൂട്ടിച്ചേർക്കൽ,जोडणी
കൂട്ടിച്ചേർക്കൽ,जोडणी
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,संलग्नता मॅट्रिक्स
"തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള","समीप, समीप, समीप"
അടുത്തുള്ള കോൺ,समीप कोन
തൊട്ടടുത്തുള്ള ശീർഷകം,समीप शिरोबिंदू
സഹകരിക്കാൻ,संबद्ध करणे
"ഘടിപ്പിച്ച വലയം,",संलग्न संलग्न
പൊതുവായ ഡിറ്റർമിനന്റ്,सामान्य निर्धारक
ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു,संलग्न विभेदक समीकरण
ഘടിപ്പിച്ച സമവാക്യം,संलग्न समीकरण
ഏകീകൃത മാട്രിക്സ്,एकसंध मॅट्रिक्स
മാട്രിക്സ് കോവേരിയൻസ്,मॅट्रिक्स सहप्रसरण
ഏകീകൃത മാട്രിക്സ്,एकसंध मॅट्रिक्स
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,स्वीकार्य निर्णय कार्य
