English,Punjabi
A C equivalent circuit,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
A to D converter,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
Absolute zero,ਪੂਰਨ ਜ਼ੀਰੋ
Absorption coefficient,ਸਮਾਈ ਗੁਣਾਂਕ
Absorption spectrum,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
Acceptor atom,ਰੀਸੈਪਟਰ ਐਟਮ
A C coupling,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
Accumulation of electron,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
Accumulation of holes,ਮੋਰੀ ਸਟੋਰੇਜ਼
Activation energy,ਸਰਗਰਮੀ ਊਰਜਾ
Active amplifier,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
Active diode circuit,ਸਰਗਰਮ diode ਸਰਕਟ
Active filter,ਸਰਗਰਮ ਫਿਲਟਰ
Active high pass filter,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
Active load,ਸਰਗਰਮ ਲੋਡ
Active low pass filter,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
Active region,ਸਰਗਰਮ ਖੇਤਰ
Adaptive electronics,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
Adder,ਜੋੜਨ ਵਾਲਾ
Adjustable band width,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
Admittance,ਪ੍ਰਵੇਸ਼
Aerial,ਏਰੀਅਲ
Agility frequency,pep ਬਾਰੰਬਾਰਤਾ
Air conditioner,ੲੇ. ਸੀ
Alignment,ਅਲਾਈਨਮੈਂਟ
Algorithm,ਐਲਗੋਰਿਦਮ
All pass filter,ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ
Alloy junction,ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ
Attenuation,ਧਿਆਨ
Alternating current (AC),ਬਦਲਵੇਂ ਮੌਜੂਦਾ
Ambient temperature,ਅੰਬੀਨਟ ਤਾਪਮਾਨ
Ambipolar,ਬਾਈਪੋਲਰ
Amplification,ਵਾਧਾ
Amplifier,ਐਂਪਲੀਫਾਇਰ
Amplifier efficiency,ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ
Amplitude,ਮਾਪ
Amplitude altenuation,ਐਪਲੀਟਿਊਡ attenuation
Amplitude modulated oscillator,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ
Amplitude modulation,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ
Amplitude modulator,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ
Angstrom unit,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
Analog circuit,ਐਨਾਲਾਗ ਸਰਕਟ
Analog computer,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
Analog filter,ਐਨਾਲਾਗ ਫਿਲਟਰ
Analog multimeter,ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ
Analog switch,ਐਨਾਲਾਗ ਸਵਿੱਚ
AND gate,ਅਤੇ ਗੇਟ
Angular frequency,ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ
Anion,"anion, anion"
Annealing temperature,ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ
Anode,ਐਨੋਡ
Anode amplifier,ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ
Anodization,anodyne
Antenna,ਐਂਟੀਨਾ
Antenna elements,ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ
Anti-reflection coating,ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ
Anti-log amplifier,ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ
Anti-resonant circuit,antiresonant ਸਰਕਟ
Aperture time,ਦੁਆਰਕ ਕਾਲ
Apparent power,ਵਰਚੁਅਲ ਪਾਵਰ
Apparent wiring,ਤਾਰ ਕੁਨੈਕਸ਼ਨ
Approximate voltage gain,ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ
Armstrong modulator,armstrong modulator
Arrays of antenna,ਐਂਟੀਨਾ ਐਰੇ
Aspect ratio,"ਆਕਾਰ ਅਨੁਪਾਤ, ਆਕਾਰ ਅਨੁਪਾਤ"
Astable circuit (free running circuit),ਫਲੋਟਿੰਗ ਸਰਕਟ (ਮੁਫ਼ਤ ਓਪਰੇਟਿੰਗ ਸਰਕਟ)
Astable multivibrator,ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
Astable multivibrator,ਫਲੋਟਿੰਗ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
Asymmetrical junction,ਅਸਮਿਤ ਜੰਕਸ਼ਨ
Asynchronous counters,ਅਸਿੰਕ੍ਰੋਨਸ ਕੈਲਕੁਲੇਟਰ
Atom,ਪ੍ਰਮਾਣੂ
Atomic number,ਪਰਮਾਣੂ ਨੰਬਰ
Atomic structure,ਪਰਮਾਣੂ ਬਣਤਰ
Audio amplifier,ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ
Audio amplifier,ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ
Audio cassette,ਆਡੀਓ ਕੈਸੇਟ
Audio circuit,ਆਡੀਓ ਸਰਕਟ
Audio frequency,ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ
Automatic voltage control,ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਕੰਟਰੋਲ
Avalanche,ਬਰਫ਼ਬਾਰੀ
Average detector,ਔਸਤ ਖੋਜੀ
Axial mode,ਧੁਰੀ ਮੋਡ
Axial ratio,ਧੁਰੀ ਅਨੁਪਾਤ
Antenna,ਐਂਟੀਨਾ
Back e.m.f.,ਵਾਪਸ ਇਲੈਕਟ੍ਰੋਮੋਟਿਵ ਫੋਰਸ
Back field,ਪਿਛਲਾ ਖੇਤਰ
Back scattering,ਵਾਪਸ ਸਕੈਟਰ
Background charge,ਪਿਛੋਕੜ ਚਾਰਜ
Background noise,ਪਾਸੇ ਦਾ ਰੌਲਾ
Backlash,ਪਿਛਾਖੜੀ
Backlobe radiation,ਪਿਛਲਾ ਕਿਰਨ
Backward diode,ਬੈਕਵਰਡ ਡਾਇਡ / ਬੈਕਵਰਡ ਡਾਇਡ
Backward wave oscillator,ਬੈਕਵਰਡ ਵੇਵ ਔਸਿਲੇਟਰ
Baffle,"ਰੁਕਾਵਟ, ਰੁਕਾਵਟ"
Baffle shield,ਰੁਕਾਵਟ
Balanced bridge,ਸੰਤੁਲਿਤ ਪੁਲ
