Punjabi,Telugu
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
ਨਿਮਰਤਾ,పదవీ విరమణ
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,బానిసత్వ నిర్మూలన
ਆਦਿਵਾਸੀ,ఆదివాసి
ਅਬਰਾਹਮ ਯੁੱਗ,అబ్రహం యుగం
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,గైర్హాజరు భూస్వాములు
ਅਕੈਡਮੀ,అకాడమీ
ਅਕਰਾ ਕਾਨਫਰੰਸ,అక్ర సమావేశం
ਪ੍ਰਾਪਤੀ,సంపాదన
ਐਕਲਚਰੇਸ਼ਨ,సంస్కారము
ਐਸੇਲਡਾਮਾ,అసెల్డామా
ਅਚੀਅਨ (=ਅਚੀਅਨ),అచెయన్ (=అచియన్)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),అచీయన్ లీగ్ (=అచియన్ లీగ్)
ਐਕ੍ਰੋਪੋਲਿਸ,అక్రోపోలిస్
ਐਕਟਾ ਦਿਉਰਨਾ,ఆక్టా డియుర్నా
ਐਕਟਾ ਸੇਨੇਟਸ,ఆక్టా సెనాటస్
ਐਕਟ ਐਡੀਸ਼ਨਲ,యాక్టే అడిషనల్
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,సాధించేవారి చర్య
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,సెటిల్మెంట్ చట్టం
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,ప్రకటన ఒప్పంద ముద్ర
ਅਦੁਲਾਮਾਈਟਸ,అడుల్లామైట్స్
ਵਿਰੋਧੀ,విరోధి
ਵਿਰੋਧੀ,విరోధి
ਏਯੋਨ,అయాన్
ਏਰੈਰੀਅਮ,ఏరోరియం
ਹਵਾਈ ਜੰਗ,వైమానిక యుద్ధం
ਏਟੋਲੀਅਨ ਲੀਗ,ఏటోలియన్ లీగ్
ਉਮਰ,వయస్సు
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),వృద్ధాప్యం (=వృద్ధాప్యం)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,వృద్ధాప్య ప్రక్రియ
ਅਗੇਲੈ,అగెలై
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,శౌర్య యుగం
ਗਿਆਨ ਦੀ ਉਮਰ,జ్ఞానోదయం వయస్సు
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,పెరికిల్స్ వయస్సు
ਕਾਰਨ ਦੀ ਉਮਰ,కారణం వయస్సు
ਖੇਤੀਵਾਦ,వ్యవసాయం
ਖੇਤੀ ਅੰਦੋਲਨ,వ్యవసాయ ఉద్యమం
ਐਲਬੀਅਨ,అల్బియాన్
ਐਲਬਮ,ఆల్బమ్
ਐਲਡਰਮੈਨ,ఆల్డర్మాన్
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,అల్లుడు చేతులు
ਦੋਸਤੀ,సఖ్యత
Amphictyonic ਕੌਂਸਲ,యాంఫిక్యోనిక్ కౌన్సిల్
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,యాంఫిక్యోనిక్ లీగ్
ਅਖਾੜਾ,యాంఫీ థియేటర్
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),అమ్రి నల్ గ్రూప్ (కుండల)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,అనాక్రోనిజం
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,అనాక్రోనిస్టిక్
ਪੂਰਵਜ,పూర్వీకుడు
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,పూర్వీకుల ఆరాధన
ਵੰਸ਼,పూర్వీకులు
ਵੰਸ਼,పూర్వీకులు
ਵੰਸ਼,పూర్వీకులు
ਵੰਸ਼,పూర్వీకులు
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,ప్రాచీన పాలన
ਪ੍ਰਾਚੀਨ,ప్రాచీన
ਪ੍ਰਾਚੀਨ ਗੀਤ,పురాతన బల్లాడ్
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,పురాతన నమ్మకం
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,ప్రాచీన ఆచారం
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,పురాతన చరిత్ర
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,పురాతన స్మారక చిహ్నాలు
ਕਿੱਸਾ,ఉదంతము
ਐਂਜਲੋਟ,ఏంజెలోట్
ਐਂਜਲਸ,ఏంజెలస్
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),అంజివిన్ (=అంజెవిన్)
ਕੋਣ,కోణాలు
ਐਂਗਲੀਕਨ,ఆంగ్లికన్
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,ఆంగ్లికన్ కమ్యూనియన్
ਐਂਗਲੀਕਨਵਾਦ,ఆంగ్లికనిజం
ਐਂਗਲੋ-ਫੋਬ,ఆంగ్లో-ఫోబ్
ਐਂਗਲੋ-ਫੋਬੀਆ,ఆంగ్లో-ఫోబియా
ਐਂਗਲੋ-ਸੈਕਸਨ,ఆంగ్లో-సాక్సన్
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,ఆంగ్లో-సాక్సోనిజం
ਐਨਾਲਿਸਟ,అన్నలిస్ట్
ਇਤਿਹਾਸ,అన్నల్స్
ਅਨੇਕਸ਼ਨ,అనుబంధం
ਐਂਟੀ-ਬੇਲਮ,యాంటీ-బెల్లం
ਪਿਛਲੀ ਤਾਰੀਖ,ముందు తేదీ
