Marathi,Punjabi
गर्भपात केलेला अवयव,ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ
गर्भपात बियाणे,ਅਧੂਰਾ
गर्भपात,ਗਰਭਪਾਤ
परिपूर्ण तण,ਸੰਪੂਰਨ ਬੂਟੀ
शोषून घेतलेले केशन,ਸਮਾਈ
शोषण,ਸਮਾਈ
अ‍ॅबिसिनियन मोहरी,ਅਬੀਸਨੀਅਨ ਰਾਈ
एकरिसाइड,ਅਚੰਭੇ
उच्चारण,ਰਾਜਕੁਮਾਰੀ
उच्चारण (सेल),ਲਹਿਜ਼ਾ (ਸੈੱਲ)
स्वीकारलेले सहिष्णुता,ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ
Ory क्सेसरी,ਸਹਾਇਕ
सहनशीलता,ਅਨੁਕੂਲਤਾ
संचय,ਇਕੱਠਾ
अचूकता,ਸ਼ੁੱਧਤਾ
अ‍ॅसर्व्हुलस,ਏਸਰਵੂਲਸ
एसीटिफिकेशन,ਐਸੀਟਿਫਿਕੇਸ਼ਨ
आम्लता,ਐਸਿਡਿਫਿਕੇਸ਼ਨ
अ‍ॅसिडिमीटर,ਐਸਿਡਮੀਟਰ
आंबटपणा,ਐਸਿਡਿਟੀ
अ‍ॅसिडोफिलिक,ਐਸਿਡੋਫਿਲਿਕ
अ‍ॅसिड्युलेटेड रॉक फॉस्फेट,ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ
अ‍ॅसिड्यूरिक,ਐਸਿਡੁਰਿਕ
जलचर,ਐਕੁਇਫਰ
संपादन,ਗ੍ਰਹਿਣ
एकर,ਏਕੜ
एकर क्षेत्र,ਰਕਬੇ
अ‍ॅक्रोसेन्ट्रिक गुणसूत्र,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ
अ‍ॅक्रोपेटल,ਐਕਰੋਪੇਟਲ
अ‍ॅक्रोसोम,ਐਸ਼੍ਰੋਸੋਮ
अ‍ॅक्टिनोमाइसेट्स,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
सक्रिय रूट झोन,ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ
तीव्र,ਗੰਭੀਰ
अनुकूलता,ਅਨੁਕੂਲਤਾ
रुपांतर,ਅਨੁਕੂਲਤਾ
आसंजन,ਚਿਪਕਿਆ
Ip डिपोज,ADPIPOSE
समायोजन समीकरण,ਵਿਵਸਥ ਸਮੀਕਰਨ
अ‍ॅडोब माती,ਅਡੋਬ ਮਿੱਟੀ
व्यभिचारी,ਮਨਜ਼ੂਰ
साहसी,ਸਾਹਸੀ
एसीडिओस्पोर,ਏਸੀਡਿਓਸਪੋਰ
आयओलियन प्रक्रिया,ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ
आयओलियन,ਏਓਲੀਅਨ
वायुवीजन,Aeate
हवाई,ਏਰੀਅਲ
एरोमीटर,ਐਰੋਮੀਟਰ
एरोसोल,ਐਰੋਸੋਲ
एस्टिवेशन,ਖਰਾਸ਼
एटिओलॉजी (एटिओलॉजी),ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ)
वनीकरण,ਕਥਾ
आंदोलन,ਅੰਦੋਲਨ
अ‍ॅगमार्क,ਆਕਮਾਰਕ
कृषी,ਅਗਰਾਰੀਅਨ
कृषी क्लिनिक,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
कृषी कामगार,ਖੇਤੀਬਾੜੀ ਕਿਰਤ
कृषी विपणन,ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ
कृषी तंत्रज्ञान,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
शेती,ਖੇਤੀ ਬਾੜੀ
कृषी सांस्कृतिक,ਐਗਰੀਸਿਲਵੀਕਲਚਰ
अ‍ॅग्रोबायोडिव्हर्सिटी,ਖੇਰਤ
अ‍ॅग्रोबायोलॉजिकल दोष,ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ
कृषीशास्त्र,ਅਗਾਹੀਵੋਲੋਜੀ
अ‍ॅग्रोक्लिमॅटिक विविधता,ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ
अ‍ॅग्रोक्लिमॅटिक झोनिंग,ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ
अ‍ॅग्रोफोरेस्ट्री,ਐਗਰੋਫੋਰੈਸਟਰੀ
कृषीशास्त्र,ਖੇਤੀਬਾਜੀ
अ‍ॅग्रोनॉमी,ਖੇਤੀਬਾੜੀ
अ‍ॅग्रोपास्टोरल,ਐਗ੍ਰੋਪਾਸਟਰਲ
अ‍ॅग्रोप्रोसेसिंग,ਸ਼ਿਕਾਰ
अ‍ॅग्रोस्टोलॉजी,ਐਗਰੋਸਟੋਲੋਜੀ
अ‍ॅग्रोटाइप,ਐਗਰੋਟਾਈਪ
एअर प्लांट,ਏਅਰ ਪੌਦਾ
अकिओची माती,ਅਕੀਓਚੀ ਮਿੱਟੀ
अल्बिनिझम,ਅਲਮੀਨੀਜ਼ਮ
अल्फिसोल,ਐਲਫਿਸੋਲਸ
एकपेशीय वनस्पती,ਐਲਗੀ
अल्गल रोग,ਐਲਗਲ ਰੋਗ
अल्कली पाणी,ਅਲਕਾਲੀ ਪਾਣੀ
अल्कधर्मी,ਐਲਕਲੀਨ
अ‍ॅलेल,ਐਲੀਲੇ
Lel लोकेमिकल्स,ਐਲਲੋਕਲਿਕਸ
Lel लोमॉर्फ,ਅਲੇਲੋਮੋਰਫ
Lel लेलोपॅथी,ਅਲੇਲੋਪੈਥੀ
गल्ली पीक,ਐਲੀ ਫਸਲ
वाटप,ਅਲੋਕਰੇਪੀ
अ‍ॅलोगॅमी,ਆਲੋਗਮ
अ‍ॅलोमेट्री,ਐਲੋਮੈਟਰੀ
Ol लोपोलिपॉइड,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
Os लोसिनॅप्सिस (os लोसिंडेसिस),ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ)
वैकल्पिक बेअरिंग,ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ
वैकल्पिक जमीन वापर,ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
सभोवतालचे,ਅੰਬੀਨਟ
Meliorant,ਅਮਜੀਗਤ
अमिटोसिस,ਅਮਿਤੋਸਿਸ
अमृत,ਅਮਿਨਾਜਾਈਜ਼
अमोनिफिकेशन,ਅਨੁਮੋਧ
अमोनिफायर,ਅਮੋਨੀਫਾਇਰ
अमॉर्फ,ਅਮੋਰਫ
