Bengali,Marathi
ওয়েস্টমিনস্টারের অ্যাবে,वेस्टमिन्स्टरचे मठाधीश
বর্জনীয়,निषिद्ध
দাসত্বের সমাপ্তি,गुलामगिरीचे उच्चाटन
আদিবাসী,आदिवासी
আব্রাহাম যুগ,अब्राहम युग
অনুপস্থিত জমির মালিক,अनुपस्थित जमीनदार
একাডেমী,अकादमी
আকরা সম্মেলন,अक्रा परिषद
সঞ্চয়,जमा
সংগ্রহ,संवर्धन
অ্যাসেলডামা,एसेलडामा
আচিয়ান (=আচিয়ান),आचियन (=अचियन)
আচিয়ান লীগ (=আচিয়ান লীগ),आचियन लीग (=अचियन लीग)
অ্যাক্রোপলিস,एक्रोपोलिस
Acta Diurna,Acta Diurna
Acta Senatus,Acta Senatus
অ্যাক্ট অ্যাডিশনেল,ऍक्ट अॅडिशनल
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
প্রাপ্তির কাজ,प्राप्तकर्त्याची कृती
ক্ষতিপূরণ এবং বিস্মৃতির আইন,नुकसानभरपाई आणि विस्मरणाचा कायदा
নিষ্পত্তির আইন,सेटलमेंटचा कायदा
বিজ্ঞাপন চুক্তি সীল,जाहिरात करार सील
আদুল্লামাইটস,अदुल्लामाइट्स
প্রতিপক্ষ,विरोधक
প্রতিপক্ষ,विरोधक
Aeon,एऑन
এরারিয়াম,एरेरियम
বায়বীয় যুদ্ধ,हवाई युद्ध
এটোলিয়ান লীগ,एटोलियन लीग
বয়স,वय
বার্ধক্য (=বার্ধক্য),वृद्धत्व (=वृद्धत्व)
বার্ধক্য প্রক্রিয়া,वृद्धत्व प्रक्रिया
এগেলাই,अगेलाय
বীরত্বের বয়স,पराक्रमाचे वय
এনলাইটমেন্টের বয়স,ज्ञानाचे वय
পেরিক্লেসের বয়স,पेरिकल्सचे वय
কারণ বয়স,कारण वय
কৃষিবাদ,कृषीवाद
কৃষি আন্দোলন,कृषी चळवळ
অ্যালবিয়ন,अल्बिओन
অ্যালবাম,अल्बम
অল্ডারম্যান,अल्डरमन
লোভনীয় অস্ত্র,मोहक हात
বন্ধুত্ব,मैत्री
অ্যাম্ফিক্টোনিক কাউন্সিল,एम्फेक्टियोनिक परिषद
Amphictyonic লীগ,एम्फेक्टियोनिक लीग
অ্যাম্ফিথিয়েটার,अॅम्फिथिएटर
আমরি নল দল (মৃৎপাত্রের),अमरी नल गट (मातीचा)
অ্যানাক্রোনিজম,अनाक्रोनिझम
অ্যানাক্রোনিস্টিক,अनाक्रोनिस्टिक
পূর্বপুরুষ,पूर्वज
পূর্ব পুরুষের পুজা,पूर्वजांची पूजा
বংশ,वंशपरंपरा
বংশ,वंशपरंपरा
বংশ,वंशपरंपरा
বংশ,वंशपरंपरा
প্রাচীন শাসন,प्राचीन राजवट
প্রাচীন,प्राचीन
প্রাচীন গীতিনাট্য,प्राचीन बालगीत
প্রাচীন বিশ্বাস,प्राचीन श्रद्धा
প্রাচীন রীতি,प्राचीन प्रथा
প্রাচীন ইতিহাস,प्राचीन इतिहास
প্রাচীন স্মৃতিস্তম্ভ,प्राचीन स्मारके
উপাখ্যান,किस्सा
অ্যাঞ্জেলট,अँजेलोट
এঞ্জেলাস,एंजलस
অ্যাঞ্জেভিন (=এনজেভিন),अँजेविन (=अंजेविन)
কোণ,कोन
অ্যাংলিকান,अँग्लिकन
অ্যাংলিকান কমিউনিয়ন,अँग्लिकन कम्युनियन
অ্যাংলিকানিজম,अँग्लिकनवाद
অ্যাংলো-ফোব,अँग्लो-फोब
অ্যাংলো-ফোবিয়া,अँग्लो-फोबिया
অ্যাংলো-স্যাক্সন,अँग्लो-सॅक्सन
অ্যাংলো-স্যাক্সোনিজম,अँग्लो-सॅक्सोनवाद
অ্যানালিস্ট,अॅनालिस्ट
ইতিহাস,इतिहास
সংযোজন,संलग्नीकरण
এন্টে-বেলাম,अँटी-बेलम
তারিখের আগে,पूर्वीची तारीख
করণিকবাদ বিরোধী,कारकुनविरोधी
অ্যান্টি-ক্লারিক্যাল আইন,कारकुनी विरोधी कायदा
প্রাচীনত্ব,पुरातन वास्तू
ভাড়া বিরোধী,विरोधी भाडे
ভাড়া বিরোধী,विरोधी भाडे
সেমিটিজম বিরোধী,सेमिटिझम विरोधी
আনজাক,अँझॅक
আপেলা,अपेला
আরালু,अरालू
আর্চ বিশপ,आर्च बिशप
আর্চ ডুচি,आर्च डची
আর্চ ডিউক,आर्च ड्यूक
আর্কিফ (= আর্কাইভাল সংগ্রহ),आर्काइफ (=अभिलेख संग्रह)
আর্কিপিস্কোপেট,आर्किपिस्कोपेट
