Odiya,Marathi
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,A B वर्ग अॅम्प्लीफायर
ଘୃଣ୍ୟତା |,विकृती
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,असामान्य प्रसार
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,गहाळ स्पेक्ट्रम
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,परिपूर्ण आर्द्रता
ସଂପୂର୍ଣ୍ଣ ଗତି,परिपूर्ण गती
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,परिपूर्ण निरीक्षण
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,परिपूर्ण तापमान
ସଂପୂର୍ଣ୍ଣ ଶୂନ,पूर्ण शून्य
ଶୋଷଣ,शोषून घेणे
"ଶୋଷକ, ଶୋଷକ","शोषक, शोषक"
ଅବଶୋଷଣ କ୍ଷମତା |,शोषण क्षमता
ଅବସାଦ |,शोषण
ଶୋଷକ,शोषक
ଶୋଷଣ,शोषकता
ବହୁଗୁଣ ଅନୁପାତ |,गुणोत्तर गुणोत्तर
ତ୍ୱରାନ୍ୱିତ କର |,गती वाढवणे
ଶୀଘ୍ର ଶୀଘ୍ର,घाई केली
ତ୍ୱରଣ,प्रवेग
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,गुरुत्वाकर्षणाचा प्रवेग
ତ୍ୱରକ,प्रवेगक
ତ୍ୱରକ,प्रवेगक
ଆକ୍ସିଲେରୋମିଟର,प्रवेगमापक
ସମ୍ମାନ,prestresser
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,स्वीकार्य चाचणी
ଗ୍ରହଣକାରୀ,स्वीकारणारा
