Punjabi,English
ਅਧੂਰਾ ਛੱਡਣਾ,Abort
ਅਧੂਰਾ ਛੱਡੋ,Abort timer
निरपेक्ष an s,Absolute address
ਪੂਰਨ ਪਤਾ,Absolute addressing
ਸੰਪੂਰਨ ਸੰਜਮ,Absolute assembler
ਸੰਪੂਰਨ ਕੋਡ,Absolute code
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,Absolute coding
ਸੰਪੂਰਨ ਕਮਾਂਡ,Absolute command
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,Absolute coordinate
ਸੰਪੂਰਨ ਡੇਟਾ,Absolute data
ਪੂਰੀ ਗਲਤੀ,Absolute error
ਪੂਰਨ ਸਮੀਕਰਨ,Absolute expression
ਪੂਰਨ ਹਦਾਇਤ,Absolute instruction
ਸੰਪੂਰਨ ਲੋਡਰ,Absolute loader
ਸੰਪੂਰਨ ਕ੍ਰਮ,Absolute order
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,Absolute programming
ਸੰਪੂਰਨ ਅਵਧੀ,Absolute term
ਸਹੀ ਮੁੱਲ,Absolute value
ਸੰਪੂਰਨ ਵੈਕਟਰ,Absolute vector
ਸਾਰ,Abstract
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,Abstracting
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,Abstract symbol
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,Acceleration period
ਪ੍ਰਵੇਗ ਟਾਈਮ,Acceleration time
ਲਹਿਜ਼ਾ,Accent
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,Acceptance test
ਪਹੁੰਚ,Access
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,Access arm
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,Access arrangement
ਪਹੁੰਚ ਅਥਾਰਟੀ,Access authority
ਐਕਸੈਸ ਚਾਰਜ,Access charge
ਐਕਸੈਸ ਕਲਾਸ,Access class
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,Access data base management
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,Access environment
ਐਕਸੈਸ ਪਾੜਾ,Access gap
ਐਕਸੈਸ ਇੰਡੈਕਸ,Access index
ਐਕਸੈਸ ਲਾਈਨ,Access line
ਐਕਸੈਸ ਵਿਧੀ,Access mechanism
ਐਕਸੈਸ ਵਿਧੀ,Access method
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,Access method routine
ਐਕਸੈਸ ਮੋਡ,Access mode
ਸਹੀ ਪਹੁੰਚ,Access right
ਐਕਸੈਸ ਸਕੈਨ,Access scan
ਐਕਸੈਸ ਟਾਈਮ,Access time
ਲੇਖਾ,Accounting
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,Accounting finance system
ਲੇਖਾ ਮਸ਼ੀਨ,Accounting machine
ਅਕਾਊਂਟ ਨੰਬਰ,Account number
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,Accumulating reproducer
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,Accumulator
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,Accumulator register
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,Accumulator shift instruction
ਸ਼ੁੱਧਤਾ,Accuracy
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,Accuracy control character
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,Accuracy control system
ਏਸ ਪਾਇਲਟ,Ace pilot
ਅੱਖਰ ਮੰਨੋ,Acknowledge character
ਧੁਨੀ ਕਥਾ,Acoustic coupler
ਧੁਨੀ,Acoustic coupling
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,Acoustic delay line
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,Acoustic memory
ਧੁਨੀ ਮਾਡਮ,Acoustic modem
ਧੁਨੀ ਸੰਕੇਤ,Acoustic signal
ਧੁਨੀ ਸਟੋਰੇਜ,Acoustic storage
ਐਕਰੋਨਾਈਮ,Acronym
ਕਾਰਵਾਈ,Action
ਐਕਸ਼ਨ ਚੱਕਰ,Action cycle
ਐਕਸ਼ਨ ਲਾਈਨ,Action line
ਐਕਸ਼ਨ ਸੰਦੇਸ਼,Action message
ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ,Action specification
ਸਰਗਰਮੀ,Activation
ਕਿਰਿਆਸ਼ੀਲ,Active
ਐਕਟਿਵ ਫਾਈਲ,Active file
ਐਕਟਿਵ ਲਾਈਨ,Active line
ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ,Active link
ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ,Active master file
ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ,Active master item
ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ,Active satellite
ਐਕਟਿਵ ਸਟੇਸ਼ਨ,Active station
ਐਕਟਿਵ ਸਟੋਰੇਜ,Active storage
ਸਰਗਰਮੀ,Activity
ਸਰਗਰਮੀ ਪੱਧਰ,Activity level
ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ,Activity loading
ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ,Activity ratio
ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ),Actual address (=absolute address)
ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ),Actual code (=absolute code)
ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ,Actual data transfer rate
ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ,Actual decimal point
ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ),Actual instruction (=effective instruction)
ਅਸਲ ਕੁੰਜੀ,Actual key
ਅਸਲ ਸਮਾਂ,Actual time
ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ,Actual work time
ਅਦਾਕਾਰੀ ਸੰਕੇਤ,Actuating signal
ਅਨੁਕੂਲਤਾ,Adaptability
ਅਡੈਪਟਰ,Adapter
ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ,Adaptive channel allocation
ਅਨੁਕੂਲ ਏਕੀਕਰਣ,Adaptive integration
ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ,Adaptive transversal equalizer
ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ,Added entry
ਐਡੇਂਡ,Addend
ਐਡਰਰ,Adder
ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ,Adder subtracter
ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ,Add file
