Odiya,Malayalam
"1. ଆବାକସ୍, ୨। ଗଣନା","1.അബാക്കസ്, 2. എണ്ണുന്നു"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,അസാധാരണമായ അവസാനം
ବାଧା,തടസ്സപ്പെടുത്തുക
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. കേവലം, 2. പരമോന്നത"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,സമ്പൂർണ്ണ വിലാസം
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,സമ്പൂർണ്ണ വിലാസക്ഷമത
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,കേവല അസംബ്ലർ
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. കേവല കോഡ്, 2. കേവല കോഡ്"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,സമ്പൂർണ്ണ കമാൻഡ്
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,സമ്പൂർണ്ണ നിർദ്ദേശം
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,കേവല മോഡ്
ସଂପୂର୍ଣ୍ଣ ପଥ,കേവല പാത
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,അമൂർത്ത ക്ലാസ്
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,അമൂർത്ത ഡാറ്റ തരം
ବିସ୍ତୃତ ମେସିନ୍ |,അമൂർത്ത യന്ത്രം
ବିସ୍ତୃତ ପ୍ରତୀକ |,അമൂർത്ത ചിഹ്നം
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,അമൂർത്തമായ വാക്യഘടന
ଗ୍ରହଣ ପରୀକ୍ଷା,സ്വീകാര്യത പരിശോധന
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,പ്രവേശന നിയന്ത്രണം
ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |,ആക്സസ് സ്കാനിംഗ്
ଆନୁଷଙ୍ଗିକ,സാധനങ്ങൾ
ହିସାବ,അക്കൌണ്ടിംഗ്
"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
ଜମାକାରୀ,ശേഖരണം
"1. ସଠିକତା, 2 ସଠିକତା","1. കൃത്യത, 2. കൃത്യത"
ପ୍ରବେଶ,പ്രവേശനം
ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
ପ୍ରବେଶ ସୂଚକ,പ്രവേശന സൂചകം
ପ୍ରବେଶ କୀ,ആക്സസ് കീ
"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
ପ୍ରବେଶ ମୋଡ୍,ആക്സസ് മോഡ്
ସୁବିଧା ପ୍ରବେଶ,പ്രവേശനാവകാശങ്ങൾ
ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |,ആക്സസ് സുരക്ഷ
"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
ପ୍ରବେଶ ସମୟ,പ്രവേശന സമയം
ସ୍ୱୀକୃତି,അംഗീകാരം
ଆକାଶବାଣୀ,ശബ്ദശാസ്ത്രം
"1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,പ്രവർത്തന സന്ദേശം
ସକ୍ରିୟ,സജീവമാക്കൽ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |,സജീവ സെർവർ പേജ്
ସକ୍ରିୟ ସଂସ୍କରଣ |,സജീവ പതിപ്പ്
acyclic,അസൈക്ലിക്
"1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
