English,Bengali
abacus,"1.অ্যাবাকাস, 2. গণনা"
abnormal termination,অস্বাভাবিক সমাপ্তি
abort,পথিমধ্যে রোধ করা
absolute,"1. পরম, 2. সর্বোচ্চ"
absolute address,পরম ঠিকানা
absolute addressing,পরম ঠিকানাযোগ্যতা
absolute assembler,পরম সংযোজনকারী
absolute code,"1. পরম কোড, 2. পরম কোড"
absolute command,পরম আদেশ
absolute data,"1. পরম পরিসংখ্যান, 2. পরম তথ্য"
absolute instruction,পরম নির্দেশ
absolute mode,পরম মোড
absolute path,পরম পথ
absolute programming,"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
abstract class,বিমূর্ত ক্লাস
abstract data type,বিমূর্ত তথ্য প্রকার
abstract machine,বিমূর্ত মেশিন
abstract symbol,বিমূর্ত প্রতীক
abstract syntax,বিমূর্ত বাক্য গঠন
acceptance testing,স্বীকৃতি পরীক্ষা
access authentication,অ্যাক্সেস সার্টিফিকেশন
access code,"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
access control,প্রবেশাধিকার নিয়ন্ত্রণ
access scan,অ্যাক্সেস স্ক্যানিং
accessory,আনুষাঙ্গিক
account,অ্যাকাউন্টিং
account ID,"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
accumulator,সঞ্চয়কারী
accuracy,"1. নির্ভুলতা, 2. সঠিকতা"
acess,অ্যাক্সেস
acess control byte,অ্যাক্সেস নিয়ন্ত্রণ বাইট
acess index,অ্যাক্সেস সূচক
acess key,অ্যাক্সেস কী
acess matrix,"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
acess mode,অ্যাক্সেস মোড
acess privilege,সুযোগ সুবিধা
acess security,অ্যাক্সেস নিরাপত্তা
acess server,"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
acess time,প্রবেশাধিকার সময়
acknowledgement,স্বীকৃতি
acoustics,ধ্বনিবিদ্যা
acronym,"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
action message,কর্ম বার্তা
activation,সক্রিয়করণ
active server page (ASP),সক্রিয় সার্ভার পৃষ্ঠা
active version,সক্রিয় সংস্করণ
acyclic,অ্যাসাইক্লিক
acyclic graph,"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
Ada language,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
adapter,"1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
add,যোগ করা)
add file,সমষ্টি ফাইল
add operation,"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
adder,যোগকারী
address,জানি
address bus,ঠিকানা বাস
address file,ঠিকানা ফাইল
address format,ঠিকানা বিন্যাস
address generator,ঠিকানা জেনারেটর
address line,ঠিকানা লাইন
address mapping,ঠিকানা ম্যাপিং
address pointer,ঠিকানা নির্দেশক
address register,ঠিকানা রেজিস্টার
address resolution,ঠিকানা ভাঙ্গন
address translation,ঠিকানা অনুবাদ
addressed memory,"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
addressing,সম্বোধন
adequacy criteria,"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
adjoint,সংযুক্তি
administration,"1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
administrator,"1. ম্যানেজার, 2. নিয়ামক"
adobe acrobat,অ্যাডোবি অ্যাক্রোব্যাট
adobe photoshop,অ্যাডোবি ফটোশপ
Advance Business Application Programming (ABAP),ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং)
advanced data,"1. উন্নত তথ্য, 2. উন্নত তথ্য"
advanced information system,উন্নত তথ্য সিস্টেম
advanced technology (AT),উন্নত প্রযুক্তি (AT)
agent,কর্ম
aggregation,সমষ্টি
airborne computer system,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus page maker,aldus পৃষ্ঠা তৈরি
alert box,সতর্কতা বাক্স
algol,আলগোল (কম্পিউটার ভাষা)
algorithm,"1. অ্যালগরিদম, 2. অ্যালগরিদম"
algorithm analysis,"1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ"
algorithm efficiency,অ্যালগরিদম দক্ষতা
alias,"1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে"
alignment,প্রান্তিককরণ
allocation,"1. বরাদ্দ, 2. বরাদ্দ"
alphabetic,"1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে"
alphanumeric,আলফানিউমেরিক
alphanumeric key board,"1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড"
alpha-test,আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা)
alpha-version,"1. আলফা সংস্করণ, 2। আলফা ফর্ম"
alt key,alt কী
altavista,আলতাভিস্তা
ambiguity,বহুগুণ
ambiguous grammar,অস্পষ্ট ব্যাকরণ
American National Standards Institute (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI)
American Standard Code For Information Interchange (ASCII),আমেরিকান স্ট্যান্ডার্ড কাট (ascii)
analog,"1. সাদৃশ্যপূর্ণ, 2. এনালগ"
analog computer,"1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার"
analog device,"1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস"
analog modem,"1. এনালগ মডেম, 2. এনালগ মডেম"
Analog To Digital Converter (ADC),এনালগ থেকে ডিজিটাল কনভার্টার
AND,শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত)
AND circuit,শেষ সার্কিট
AND gate,শেষ গেট এবং গেট
AND not operation (Exclusion),শেষ নয় অপারেশন (বর্জন)
animation,"1. অ্যানিমেশন, 2. কম্পন"
annotation,বিঃদ্রঃ
anomaly,অসঙ্গতি
antecedent,আগে
anticipatory paging,প্রত্যাশিত পেজিং
anti-symmetric,কাউন্টার-সিমেট্রিক
antivirus program,অ্যান্টিভাইরাল প্রোগ্রাম
applet,"1. অ্যাপলেট, 2। আবেদন"
application developer,অ্যাপ্লিকেশন ডেভেলপার
application programming,অ্যাপ্লিকেশন প্রোগ্রামিং
application programming interface (API),"1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)"
application software,অ্যাপ্লিকেশন সফ্টওয়্যার
applicative language,অ্যাপ্লিকেশন ভাষা
approximation theory,আনুমানিক নীতি
architecture,গঠন
area transfer,ক্ষেত্র স্থানান্তর
argument,"1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ"
arithmatic and logic unit,"1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট"
arithmatic check,পাটিগণিত পরীক্ষা
arithmatic constant,গাণিতিক ধ্রুবক
arithmatic data,গাণিতিক তথ্য
arithmatical instruction,গাণিতিক নির্দেশ
arithmetic and logic unit (ALU),গাণিতিক ও লজিক্যাল ইউনিট (ALU)
ARPANET,ARPA নেট (RPNet)
array,অ্যারে
array cache,"1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি"
array computer,অ্যারে কম্পিউটার
array element,অ্যারে উপাদান
array name,অ্যারের নাম
array processor,অ্যারে প্রসেসর
arrow keys,তীর কী
articulation,সন্ধি
articulation point,সংযোগ বিন্দু
artificial compaction,কৃত্রিম কম্প্যাকশন
artificial control,কৃত্রিম নিয়ন্ত্রণ
artificial intelligence,কৃত্রিম অনুভূতি
ascender,মাউন্ট
ascending sort,আরোহী সাজানোর
ASCII betical order,ascii বর্ণমালা
ASCII control character,ascii নিয়ন্ত্রণ প্রতীক
ASCII file,ascii ফাইল
ASCII font,ascii ফন্ট
ASCII transfer,ASCII স্থানান্তর
aspect ratio,আনুমানিক অনুপাত
ASPI,"1. Aspy, 2. এএসপিআই"
ASR timer,এ এস আর কালাদ
assemble,"1. স্মরণ, 2. সমাবেশ, 3. জড় করা"
assembler,"1. অ্যাসেম্বলার, 2. অনুস্মারক"
assembly,"1. সমাবেশ, 2. স্মরণ"
assembly language,"1. মুখস্থ ভাষা, 2. একত্রিত ভাষা"
assertion,সংকল্প
assignment,"1. নির্দিষ্ট কাজ, 2. বরাদ্দ"
association,সাহচর্য
associative address,সহযোগী ঠিকানা
associative memory,"1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি"
asteric,তারকাচিহ্ন (* চিহ্ন)
asymmetric,অপ্রতিসম
asynchronous,"1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস"
asynchronous Digital Subscriber Line (ADSL),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
asynchronous Time Division Multiplexing (ATDM),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
asynchronous transfer,অ্যাসিঙ্ক্রোনাস স্থানান্তর
asynchronous Transfer Mode (ATM),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
atom,"1. পরমাণু, 2. পরমণ"
attached document,সংযুক্ত নথি
attached file,"1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল"
attachment,"1. ঘের, 2. সম্বন্ধযুক্ত"
attribute,"1. বৈশিষ্ট্য, 2. বিশেষত্ব"
audio,শ্রবণযোগ্য
audit programming,"1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং"
