Marathi,Tamil
गर्भपात,கருக்கலைப்பு
गर्भपात टाइमर,டைமரை நிறுத்துங்கள்
परिपूर्ण पत्ता,முழுமையான முகவரி
परिपूर्ण पत्ता,முழுமையான முகவரி
परिपूर्ण असेंबलर,முழுமையான அசெம்பிளர்
परिपूर्ण कोड,முழுமையான குறியீடு
परिपूर्ण कोडिंग,முழுமையான குறியீட்டு முறை
परिपूर्ण आज्ञा,முழுமையான கட்டளை
परिपूर्ण समन्वय,முழுமையான ஒருங்கிணைப்பு
परिपूर्ण डेटा,முழுமையான தரவு
परिपूर्ण त्रुटी,முழுமையான பிழை
परिपूर्ण अभिव्यक्ती,முழுமையான வெளிப்பாடு
परिपूर्ण सूचना,முழுமையான அறிவுறுத்தல்
परिपूर्ण लोडर,முழுமையான ஏற்றி
परिपूर्ण ऑर्डर,முழுமையான வரிசை
परिपूर्ण प्रोग्रामिंग,முழுமையான நிரலாக்க
परिपूर्ण संज्ञा,முழுமையான சொல்
परिपूर्ण मूल्य,துல்லியமான மதிப்பு
परिपूर्ण वेक्टर,முழுமையான திசையன்
गोषवारा,சுருக்கம்
अमूर्त,சுருக்கம்
अमूर्त प्रतीक,சுருக்க சின்னம்
प्रवेग कालावधी,முடுக்கம் காலம்
प्रवेग वेळ,முடுக்கம் நேரம்
उच्चारण,உச்சரிப்பு
स्वीकृती चाचणी,ஏற்பு சோதனை
प्रवेश,அணுகல்
प्रवेश आर्म,அணுகல் கை
प्रवेश व्यवस्था,அணுகல் ஏற்பாடு
प्रवेश प्राधिकरण,அணுகல் அதிகாரம்
प्रवेश शुल्क,அணுகல் கட்டணம்
प्रवेश वर्ग,அணுகல் வகுப்பு
प्रवेश डेटा बेस व्यवस्थापन,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
प्रवेश वातावरण,அணுகல் சூழல்
प्रवेश अंतर,அணுகல் இடைவெளி
प्रवेश निर्देशांक,அணுகல் அட்டவணை
Line क्सेस लाइन,அணுகல் வரி
प्रवेश यंत्रणा,அணுகல் பொறிமுறை
प्रवेश पद्धत,அணுகல் முறை
प्रवेश पद्धत दिनचर्या,அணுகல் முறை வழக்கமான
प्रवेश मोड,அணுகல் பயன்முறை
प्रवेश बरोबर,அணுகல் உரிமை
प्रवेश स्कॅन,அணுகல் ஸ்கேன்
प्रवेश वेळ,அணுகல் நேரம்
लेखा,கணக்கியல்
लेखा वित्त प्रणाली,கணக்கியல் நிதி அமைப்பு
लेखा मशीन,கணக்கியல் இயந்திரம்
खाते क्रमांक,கணக்கு எண்
पुनरुत्पादक संचय,திரட்டுதல் இனப்பெருக்கம்
संचयक,குவிப்பான்
संचयक नोंदणी,குவிப்பான் பதிவு
संचयक शिफ्ट सूचना,திரட்டல் ஷிப்ட் வழிமுறை
अचूकता,துல்லியம்
अचूकता नियंत्रण वर्ण,துல்லியம் கட்டுப்பாட்டு தன்மை
अचूकता नियंत्रण प्रणाली,துல்லியம் கட்டுப்பாட்டு அமைப்பு
ऐस पायलट,ஏஸ் பைலட்
चरित्र कबूल करा,தன்மையை ஒப்புக் கொள்ளுங்கள்
ध्वनिक कपलर,ஒலி கப்ளர்
ध्वनिक कपलिंग,ஒலி இணைப்பு
ध्वनिक विलंब रेखा,ஒலி தாமத வரி
ध्वनिक मेमरी,ஒலி நினைவகம்
ध्वनिक मॉडेम,ஒலி மோடம்
ध्वनिक सिग्नल,ஒலி சமிக்ஞை
ध्वनिक संचयन,ஒலி சேமிப்பு
परिवर्णी शब्द,சுருக்கம்
क्रिया,செயல்
कृती चक्र,செயல் சுழற்சி
कृती ओळ,செயல் வரி
कृती संदेश,செயல் செய்தி
कृती तपशील,செயல் விவரக்குறிப்பு
सक्रियकरण,செயல்படுத்தல்
सक्रिय,செயலில்
सक्रिय फाईल,செயலில் உள்ள கோப்பு
सक्रिय ओळ,செயலில் வரி
सक्रिय दुवा,செயலில் இணைப்பு
सक्रिय मास्टर फाइल,செயலில் உள்ள முதன்மை கோப்பு
सक्रिय मास्टर आयटम,செயலில் உள்ள முதன்மை உருப்படி
सक्रिय उपग्रह,செயலில் உள்ள செயற்கைக்கோள்
सक्रिय स्टेशन,செயலில் நிலையம்
सक्रिय संचयन,செயலில் சேமிப்பு
क्रियाकलाप,செயல்பாடு
क्रियाकलाप पातळी,செயல்பாட்டு நிலை
क्रियाकलाप लोडिंग,செயல்பாடு ஏற்றுதல்
क्रियाकलाप प्रमाण,செயல்பாட்டு விகிதம்
वास्तविक पत्ता (= परिपूर्ण पत्ता),உண்மையான முகவரி (= முழுமையான முகவரி)
वास्तविक कोड (= परिपूर्ण कोड),உண்மையான குறியீடு (= முழுமையான குறியீடு)
वास्तविक डेटा हस्तांतरण दर,உண்மையான தரவு பரிமாற்ற வீதம்
वास्तविक दशांश बिंदू,உண்மையான தசம புள்ளி
वास्तविक सूचना (= प्रभावी सूचना),உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்)
वास्तविक की,உண்மையான விசை
वास्तविक वेळ,உண்மையான நேரம்
वास्तविक कामाची वेळ,உண்மையான வேலை நேரம்
अ‍ॅक्ट्युएटिंग सिग्नल,செயல்பாட்டு சமிக்ஞை
अनुकूलता,தகவமைப்பு
अ‍ॅडॉप्टर,பின்னல்
अ‍ॅडॉप्टिव्ह चॅनेल वाटप,தகவமைப்பு சேனல் ஒதுக்கீடு
अनुकूली एकत्रीकरण,தகவமைப்பு ஒருங்கிணைப்பு
