Hindi,Bengali
अपाक्ष पृष्ठ,অ্যাব্যাক্সিয়াল পৃষ্ঠ
उदर,পেট
उदर महाधमनी,পেটের মহাধমনী
उदर गुच्छिका,পেটের গ্যাংলিয়া
अबेलमॉस्कस एस्कुलेन्टस,আবেলমোসচাস এসকুলেন্টাস
विपथन,অবসন্নতা
ऐबीज (बलूत),Abies
ऐबिंग्डन कछुआ,অ্যাবিংডন কচ্ছপ
अजीवात्जनन,অ্যাবোজেনেসিস
अजीवीय,অ্যাবায়োটিক
"अजीवीय कारक, अजैव कारक",জীবক্রিয়া ফ্যাক্টর
अपसामानय मूत्र,অস্বাভাবিক প্রস্রাব
ए.बी.ओ. रुधिर वर्ग,আবো ব্লাড গ্রুপ
एब्सिसिक अम्ल,অ্যাবসিসিক অ্যাসিড
विलगन,অ্যাবসিশন
अवशोषण करना,শোষণ
अवशोषण शिखर,শোষণ শিখর
अवशोषण,শোষণ
अकेशिया कैटेच्यू,বাবলা ক্যাটেকু
अकेशिया अरेबिका (बबूल),অ্যাকারিয়া আরবিকা
ऐकैप्रिन,অ্যাকাপ্রিন
स्वीकार्य लैंगिक व्यवहार,গ্রহণযোগ্য যৌন আচরণ
सहायक ग्रंथि,আনুষঙ্গিক গ্রন্থি
अतिरिक्त ग्रंथि,আনুষঙ্গিক গ্রন্থি
सहायक अंग,আনুষঙ্গিক অঙ্গ
"पर्यनुकूलन, दशानुकूलन",প্রশংসাপত্র
"पर्यनुकूलित करना, दशानुकूलित करना",প্রশংসিত
समंजन (फोकसन),আবাসন (ফোকাসিং)
नेत्र की समंजन क्षमता,চোখের থাকার ব্যবস্থা
अभिवर्धी वृद्धि,স্বীকৃত বৃদ্ধি
"संचय, संचयन",জমা
कार्बनिक पदार्थों का एकत्रीकरण,জৈব পদার্থ জমে
मृदा संचयन,মাটি জমে
अकोशिकीय,অ্যাসেলুলার
अकोशिकीय जीव,অ্যাসেলুলার জীব
"श्रोणिउलूखल, ऐसीटैबुलम",অ্যাসিটাবুলাম
ऐसीटेल्डिहाइड,অ্যাসিটালডিহাইড
ऐसीटिल सह-ऐंजाइम,এসিটাইল কোএনজাইম
ऐकेटाइना,আছাটিনা
ऐकीन प्रकार,অ্যাকিন টাইপ
ऐकीन,আচিন
ऐक्लेमाइडोस्पोरी,Achlamydosporye
अम्ल वर्षा,এসিড বৃষ্টি
अम्लीय,অ্যাসিডিক
अम्लीय गैस,অ্যাসিডিক গ্যাস
अम्लता,অম্লতা
गुच्छकोष्ठक कोशिका,অ্যাকিনার সেল
अगुहिक,অ্যাকোলোমেট
ऐकोनिटम,অ্যাকোনিটাম
"एकॉर्न कृमि, बंजुक कृमि",অ্যাকর্ন কৃমি
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",অ্যাকোস্টিক জোনিং
उपार्जित लक्षण,অর্জিত চরিত্র
उपार्जित प्रतिरक्षा,অনাক্রম্যতা অর্জিত
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস)
ऐक्रैनिया,অ্যাক্রানিয়া
एक्रिडीन रंजक,অ্যাক্রিডিন ডাই
अग्रकेंद्री,অ্যাক্রোসেন্ট্রিক
अंसकूट,অ্যাক্রোমিয়ন
अग्राभिसारी अनुक्रम,অ্যাক্রোপেটাল সিকোয়েন্স
अग्राभिसारी क्रम,অ্যাক্রোপেটাল অর্ডার
एक्रोसिन,অ্যাক্রোসিন
ऐक्टिन,অ্যাক্টিন
ऐक्टिन-सम प्रोटीन,অ্যাক্টিনের মতো প্রোটিন
त्रिज्यासममित,অ্যাক্টিনোমর্ফিক
एक्टिनोमाइसिटीज,অ্যাক্টিনোমাইসেটস
क्रिया विभव,কর্ম সম্ভাব্য
सक्रियित आपंक,সক্রিয় কর্দম
सक्रियित आपंक फ्लॉक,সক্রিয় স্ল্যাজ ফ্লক
सक्रियण ऊर्जा,অ্যাক্টিভেশন শক্তি
सक्रिय अवशोषण,সক্রিয় শোষণ
सक्रिय प्रतिरक्षा,সক্রিয় অনাক্রম্যতা
सक्रिय विकिरण,সক্রিয় বিকিরণ
सक्रिय स्थल,সক্রিয় সাইট
ऐक्टिविन,অ্যাক্টিভিন
लंबाग्र,একুমিনেট
ऐडैम्सिया,অ্যাডামসিয়া
अनुकूलनशीलता,অভিযোজনযোগ্যতা
अनुकूलन,অভিযোজন
प्रकाश प्रवृत्ति के प्रति अनुकूलन,হালকা শাসনের সাথে অভিযোজন
जलाभाव के प्रति अनुकूलन,জলের ঘাটতির সাথে অভিযোজন
अनुकूली (अभि) लक्षण,অভিযোজিত বৈশিষ্ট্য
अनुकूली प्रतिरक्षा,অভিযোজিত অনাক্রম্যতা
अनुकूली विकिरण,অভিযোজিত বিকিরণ
अनुकूली विशेषक,অভিযোজিত বৈশিষ্ট্য
अभ्यक्ष पृष्ठ,অ্যাড্যাক্সিয়াল পৃষ্ঠ
व्यसनी विकार,আসক্তিজনিত ব্যাধি
ऐडेनीन,অ্যাডেনিন
ऐडिनोकॉर्टिकोट्रॉपिन,অ্যাডেনোকোর্টিকোট্রপিন
ऐडेनोहाइपोफाइसिस,অ্যাডেনোহাইপোফাইসিস
ऐडेनोसिन डाइफास्फेट,অ্যাডেনোসিন ডিফোসফেট
ऐडेनोसिन डीएमीनेज,অ্যাডেনোসিন ডায়ামিনেজ
ऐडेनोसिन मोनोफॉस्फेट,অ্যাডেনোসিন মনোফসফেট
ऐडेनोसिन ट्राइफॉस्फेट,অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি)
एडेनिलेट साइक्लेज,অ্যাডিনলেট সাইক্লাস
आसंजी बल,আঠালো শক্তি
ऐडिपेट,Adipate
वसाणु (वसा कोशिका),অ্যাডিপোকাইট (ফ্যাট সেল)
वसा ऊतक,মেদ কলা
संलग्न,অ্যাডনেট
संलग्न समुदाय,সংলগ্ন সম্প্রদায়
अधिवृक्क,অ্যাড্রিনাল
अधिवृक्क ग्रंथि,অ্যাড্রিনাল গ্রন্থি
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ)
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH)
अधिशोषक,Adsorbent
अधिशोषण,শোষণ
उन्नत कशेरुकी,উন্নত কর্ডেট
लाभकारी उत्परिवर्तन,সুবিধাজনক মিউটেশন
बाह्य कंचुक,অ্যাডভেন্টিয়াল
अपस्थानिक जड़,অ্যাডভেনটিয়াস রুট
प्रतिकूल प्रभाव,বিরূপ প্রভাব
ईडीज,এডেস
संवर्ध-वातन,সংস্কৃতি বায়ুচালনা
वायूतक,এরিচাইমা
"वायव (वि.), एरियल (सं.)",এরিয়াল
वायव जड़,বায়বীয় মূল
वायव प्ररोह,এরিয়াল শ্যুট
वायु श्वसन,বায়ুজীবী শ্বসন
ऑक्सी श्वसन,বায়ুজীবী শ্বসন
सौंदर्यबोध,নান্দনিকতা
पुष्पदल विन्यास,এ্যাস্টিভেশন
ग्रीष्मनिष्क्रियता,এ্যাস্টিভেশন
अभिवाही,Afferent
बंधुता वर्णलेखन,অ্যাফিনিটি ক্রোমাটোগ্রাফি
