English,Kannada
Abbey of Westminster,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
Abditory,ವ್ಯಭಿಚಾರ
Abolition of slavery,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
Aboriginal,ಮೂಲನಿವಾಸಿಗಳು
Abraham Era,ಅಬ್ರಹಾಂ ಯುಗ
Absentee landlords,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
Academy,ಅಕಾಡೆಮಿ
Accra conference,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
Accruals,ಸಂಚಯಗಳು
Acculturation,ಸಂಸ್ಕಾರ
Aceldama,ಅಸೆಲ್ಡಾಮಾ
Achaean (=Achian),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
Achaean League (=Achian League),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
Acropolis,ಆಕ್ರೊಪೊಲಿಸ್
Acta Diurna,ಆಕ್ಟಾ ಡೈರ್ನಾ
Acta Senatus,ಆಕ್ಟಾ ಸೆನಾಟಸ್
Acte Additionel,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
Active record (=current record),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
Act of attainder,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
Act of Indemnity and oblivion,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
Act of Settlement,ವಸಾಹತು ಕಾಯಿದೆ
Ad contractus seal,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
Adullamites,ಅಡುಲಮೈಟ್ಸ್
Adversary,ಎದುರಾಳಿ
Adversary,ಎದುರಾಳಿ
Aeon,ಏಯಾನ್
Aerarium,ಏರೋರಿಯಮ್
Aerial warfare,ವೈಮಾನಿಕ ಯುದ್ಧ
Aetolian League,ಏಟೋಲಿಯನ್ ಲೀಗ್
Age,ವಯಸ್ಸು
Ageing (=aging),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
Ageing process,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
Agelai,ಅಗೆಲೈ
Age of chivalry,ಅಶ್ವದಳದ ವಯಸ್ಸು
Age of Englightment,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
Age of Pericles,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
Age of reason,ಕಾರಣದ ವಯಸ್ಸು
Agrarianism,ಕೃಷಿಧರ್ಮ
Agrarian movement,ಕೃಷಿ ಚಳುವಳಿ
Albion,ಅಲ್ಬಿಯಾನ್
Album,ಆಲ್ಬಮ್
Alderman,ಆಲ್ಡರ್ಮನ್
Allusive arms,ಸೂಚಿಸುವ ತೋಳುಗಳು
Amity,ಸೌಹಾರ್ದತೆ
Amphictyonic Council,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
Amphictyonic League,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
Amphitheatre,ಆಂಫಿಥಿಯೇಟರ್
Amri Nal group (of pottery),ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ)
Anachronism,ಅನಾಕ್ರೊನಿಸಂ
Anachronistic,ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್
Ancestor,ಪೂರ್ವಜ
Ancestor Worship,ಪೂರ್ವಜರ ಆರಾಧನೆ
Ancestry,ಪೂರ್ವಜರು
Ancestry,ಪೂರ್ವಜರು
Ancestry,ಪೂರ್ವಜರು
Ancestry,ಪೂರ್ವಜರು
