Hindi,Bengali
ए.सी. समतुल्य परिपथ,এসি সমতুল্য সার্কিট
अनुरूप से अंकीय परिवर्तक,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
परम शून्य,পরম শূন্য
अवशोषण गुणांक,শোষণ গুণাঙ্ক
अवशोषण स्पेक्ट्रम,শোষণ বর্ণালী
ग्राही परमाणु,রিসেপ্টর পরমাণু
प्रत्यावर्ती धारा युग्मन,বিকল্প বর্তমান যুগল
इलेक्ट्रॉन संचयन,ইলেক্ট্রন সংগ্রহ
होल संचयन,গর্ত স্টোরেজ
सक्रियण ऊर्जा,অ্যাক্টিভেশন শক্তি
सक्रिय प्रवर्धक,সক্রিয় পরিবর্ধক
सक्रिय डायोड परिपथ,সক্রিয় ডায়োড সার্কিট
सक्रिय फिल्टर,সক্রিয় ফিল্টার
सक्रिय उच्च आवृत्ति पारक फिल्टर,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
सक्रिय लोड,সক্রিয় লোড
सक्रिय निमन आवृत्ति पारक फिल्टर,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
सक्रिय क्षेत्र,সক্রিয় এলাকা
अनुकूली इलेक्ट्रॉनिकी,অভিযোজিত ইলেকট্রনিক্স
योजक,যোগকারী
समायोजी बैंड विस्तार,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
प्रवेश्यता,অনুপ্রবেশ
एरियल,এরিয়েল
स्फूर्ति आवृत्ति,পিপ ফ্রিকোয়েন্সি
वातानुकूलक,এয়ার কন্ডিশনার
संरेखन,প্রান্তিককরণ
आल्गोरिदम,অ্যালগরিদম
समस्त पारक फिल्टर,সমস্ত পাস ফিল্টার
मिश्रधातु संधि,খাদ জংশন
क्षीणन,ক্ষয়
प्रत्यावर्ती धारा,বিবর্তিত বিদ্যুৎ
परिवेश ताप,পরিবেষ্টিত তাপমাত্রা
उभयध्रुवीय,বাইপোলার
प्रवर्धन,পরিবর্ধন
प्रवर्धक,পরিবর্ধক
प्रवर्धक दक्षता,পরিবর্ধক দক্ষতা
आयाम,মাত্রা
आयाम क्षीणन,প্রশস্ততা ক্ষয়
आयाम मॉडुलित ए.एम. दोलित्र,প্রশস্ততা মডুলেটেড এএম অসিলেটর
आयाम मॉडुलन,প্রশস্ততা মড্যুলেশন
आयाम मॉडुलक,প্রশস্ততা মডুলেটর
एंगस्ट्रॉम इकाई,অ্যাংস্ট্রম ইউনিট
अनुरूप परिपथ,এনালগ সার্কিট
अनुरूप कंप्यूटर,এনালগ কম্পিউটার
अनुरूप फिल्टर,এনালগ ফিল্টার
अनुरूप बहुमापी,এনালগ মাল্টিমিটার
अनुरूप स्विच,এনালগ সুইচ
AND गेट,এবং গেট
कोणीय आवृत्ति,কৌণিক কম্পাংক
"ऋणायन, एनॉयन","anion, anion"
अनीलन तापमान,অ্যানিলিং তাপমাত্রা
ऐनोड,অ্যানোড
ऐनोड प्रवर्धक,অ্যানোড পরিবর্ধক
ऐनोडी करण,anodyne
ऐन्टेना,অ্যান্টেনা
ऐन्टेना घटक,অ্যান্টেনা উপাদান
परावर्तन रोधी लेपन,বিরোধী প্রতিফলিত আবরণ
प्रतिलघुगुणक प्रवर्धक,অ্যান্টিলগইন পরিবর্ধক
प्रतिअनुनादी परिपथ,অ্যান্টিরেজোন্যান্ট সার্কিট
द्वारक काल,দ্বারক যুগ
आभासीय शक्ति,ভার্চুয়াল শক্তি
तार संयोजन,তারের সংযোগ
सन्निकट वोल्टता लब्धि,আনুমানিক ভোল্টেজ লাভ
आर्मस्ट्रांग माडुलक,আর্মস্ট্রং মডুলেটর
ऐन्टेना-व्यूह,অ্যান্টেনা অ্যারে
"आकार अनुपात, अभिमुखता अनुपात","সাইজ রেশিও, অ্যাসপেক্ট রেশিও"
अस्थायी परिपथ (मुक्तचालित परिपथ),ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট)
स्वचालित बहुकंपित्र,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
अस्थायी बहुकंपित्र,ভাসমান মাল্টিভাইব্রেটর
असममित संधि,অপ্রতিসম জংশন
अतुल्यकाली गणक,অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর
परमाणु,পারমাণবিক
परमाणु संख्या,পারমাণবিক সংখ্যা
परमाणु संरचना,পারমাণবিক গঠন
