Malayalam,English
അബെലി ഗ്രൂപ്പ്,Abelian group
അബെലി ഗ്രൂപ്പ്,abelian semigroup
കൈ,abscissa
"കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ",absolute
കേവലമായ ഒത്തുചേരൽ,absolute convergence
സമ്പൂർണ്ണ പിശക്,absolute error
പരമോന്നത പരമോന്നത,absolute maximum
ഏറ്റവും താഴ്ന്നത്,absolute minimum
യഥാർത്ഥ മൂല്യം,absolute value
കേവല വേഗത,absolute velocity
അമൂർത്ത ബീജഗണിതം,abstract algebra
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,abstract group theory
ത്വരണം,acceleration
ഗുരുത്വാകർഷണ ത്വരണം,acceleration due to gravity
സ്വീകാര്യമായ സെലക്ടർ,acceptable choice set
സ്വീകാര്യമായ നിലവാരം,acceptable quality level
സ്വീകാര്യമായ പരിസരം,acceptable range
സാധുവായ വിശ്വാസ്യത നില,acceptable reliability level
സ്വീകാര്യത സാമ്പിൾ,acceptable sampling
സഞ്ചിത പിശക്,accumulated error
കൃത്യത,accuracy
പ്രയോഗിച്ച ബലം,acting force
"പ്രവൃത്തി, പ്രവൃത്തി",action
പ്രവർത്തനവും പ്രതികരണവും,action and reaction
ഇൻഷുറൻസ് ശാസ്ത്രം,acturial science
നിശിത ത്രികോണം,acute angled triangle
അസൈക്ലിക്,acyclic
സംഗ്രഹിക്കാനായി,add
ചേർക്കുന്നയാൾ,adder
"തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)",addition
യോഗയുടെ ഫോർമുല,addition formula
സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക,addition of complex numbers
പ്രവർത്തനങ്ങളുടെ ആകെത്തുക,addition of functions
മെട്രിക്സുകളുടെ ആകെത്തുക,addition of matrices
ബഹുപദങ്ങളുടെ ആകെത്തുക,addition of polynomials
സാധ്യതകളുടെ ആകെത്തുക,addition of probabilities
വെക്റ്ററുകളുടെ ആകെത്തുക,addition of vectors
"സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം,",addition theorem
സങ്കലന ഗ്രൂപ്പ്,additive group
വിപരീത വിപരീതം,additive inverse
കൂട്ടിച്ചേർക്കൽ,additive property
കൂട്ടിച്ചേർക്കൽ,additivity
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,adjacency matrix
"തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള",adjacent
അടുത്തുള്ള കോൺ,adjacent angles
തൊട്ടടുത്തുള്ള ശീർഷകം,adjacent vertex
സഹകരിക്കാൻ,adjoin
"ഘടിപ്പിച്ച വലയം,",adjoining
പൊതുവായ ഡിറ്റർമിനന്റ്,adjoint determinant
ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു,adjoint differential equation
ഘടിപ്പിച്ച സമവാക്യം,adjoint equation
ഏകീകൃത മാട്രിക്സ്,adjoint matrix
