Bengali,Tamil
অ্যাম্পিয়ার (একক),ஆம்பியர் (அலகு)
অ্যাংস্ট্রাম,ஆங்ஸ்ட்ரம்
A-শ্রেণীর পরিবর্ধক,ஏ-வகுப்பு பெருக்கி
এএন রেডিও সহায়,ஏஎன் ரேடியோ சஹே
একটি-স্ক্যানিং উপস্থাপনা,ஒரு ஸ்கேனிங் விளக்கக்காட்சி
a-দর্শ,ஒரு-தர்ஷ்
A-স্কোপ কর্মক্ষমতা,ஏ-ஸ்கோப் செயல்திறன்
A-T বাঁকা স্ফটিক,ஏ-டி வளைந்த படிகம்
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்"
am,நான்
এএমইউ (পারমাণবিক ভর একক),AMU (அணு நிறை அலகு)
আর্ড-ওয়ার্ক*,aard-vark*
ab-ampere,ab-ஆம்பியர்
A-B শ্রেণীর পরিবর্ধক,A-B வகுப்பு பெருக்கி
adah,அட
A-B শক্তি পিটক,ஏ-பி சக்தி பிடகா
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = சீரமைப்பு விளக்கப்படம் = nomograph
আবে নম্বর (আবে ধ্রুবক),அபே எண் (அபே மாறிலி)
abe রিফ্র্যাক্টোমিটার,அபே ரிஃப்ராக்டோமீட்டர்
অ্যাবে সাইন স্টেট,அபே சைன் நிலை
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,தானியங்கி சார்பு இழப்பீடு
abcoulom,abcoulom
"aberration, aberration","பிறழ்வு, பிறழ்வு"
বিকৃতি সংশোধনকারী লেন্স,பிறழ்வு திருத்தி லென்ஸ்
আকাশ বিকৃতি,வானம் பிறழ்வு
আবফারদ,அபராட்
ইবেনরি,எபென்ரி
আবলুস প্রভাব,கருங்காலி விளைவு
অস্বাভাবিক মেরুকরণ,அசாதாரண துருவமுனைப்பு
অস্বাভাবিক সংক্রমণ,அசாதாரண பரிமாற்றம்
অলৌকিক প্রতিফলন,அமானுஷ்ய பிரதிபலிப்பு
অস্বাভাবিক প্রতিসরণ*,அசாதாரண ஒளிவிலகல்*
অস্বাভাবিক প্রতিরোধ,அமானுஷ்ய எதிர்ப்பு
ab-om,ab-om
"preponderance, ব্যর্থতা","முன்னுரிமை, தோல்வி"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக"
প্রায়ই লাফ দেয়,அடிக்கடி குதிக்கிறது
হাত*,கை*
হারিয়ে যাওয়া প্রতিফলন,பிரதிபலிப்பு இழந்தது
অনুপস্থিত বর্ণালী,ஸ்பெக்ட்ரம் காணவில்லை
"পরম, পরম, ধ্রুবক, নিখুঁত","முழுமையான, முழுமையான, நிலையான, சரியான"
পরম ত্বরণ,முழுமையான முடுக்கம்
পরম বাস্তবতা,முழுமையான உண்மை
পরম ঠিকানা,முழுமையான முகவரி
ভূ-আপেক্ষিক উচ্চতা মিটার,புவிசார்ந்த உயரமானி
ভূতাত্ত্বিক উচ্চতা,புவியியல் உயரம்
পরম অ্যাম্পিয়ার,முழுமையான ஆம்பியர்
পরম ফুটন্ত বিন্দু,முழுமையான கொதிநிலை
পরম আলোকসজ্জা,முழுமையான ஒளிர்வு
পরম ক্ষমতা,முழுமையான கொள்ளளவு
পরম উচ্চতা,முழுமையான உயரம்
পরম রঙ্গক,முழுமையான நிறமி
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন","முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு"
পরম কুলম্ব,முழுமையான கூலம்
সম্পূর্ণ অন্ধকার,முழு இருள்
পরম সময়সূচী,முழுமையான திட்டமிடல்
পরম ঘনত্ব*,முழுமையான அடர்த்தி*
পরম নিষ্কাশন,முழுமையான வடிகால்
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),முழுமையான EMU (மின்காந்த அலகு)
পরম ESU (স্থির শক্তি ইউনিট),முழுமையான ESU (நிலையான அலகு)
পরম দক্ষতা,முழுமையான செயல்திறன்
পরম ইলেক্ট্রোমিটার,முழுமையான எலக்ட்ரோமீட்டர்
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்
পরম আর্দ্রতা,முழுமையான ஈரப்பதம்
পরম ঘটনা,முழுமையான நிகழ்வு
পরম প্রতিসরাঙ্ক সূচক,முழுமையான ஒளிவிலகல் குறியீடு
পরম অস্থিরতা,முழுமையான உறுதியற்ற தன்மை
পরম অস্থিরতা,முழுமையான உறுதியற்ற தன்மை
"পরম তীব্রতা, পরম তীব্রতা","முழுமையான தீவிரம், முழுமையான தீவிரம்"
অ্যাথেনিয়ার পরম সীমা,ஆஸ்தீனியாவின் முழுமையான வரம்பு
পরম আলোকসজ্জা সিল,முழுமையான வெளிச்சம் சன்னல்
পরম হালকা বক্ররেখা,முழுமையான ஒளி வளைவு
পরম মাত্রা,முழுமையான அளவு
পরম ব্যারোমিটার,முழுமையான காற்றழுத்தமானி
সর্বোচ্চ সর্বোচ্চ,உச்ச உச்ச
পরম চরম,முழுமையான தீவிர
পরম সর্বনিম্ন,முற்றிலும் குறைந்த
পরম গতিবেগ,முழுமையான வேகம்
পরম গতি,முழுமையான வேகம்
পরম সঙ্গীত,முழுமையான இசை
পরম পর্যবেক্ষণ,முழுமையான கவனிப்பு
পরম ওম,முழுமையான ஓம்
পরম অভিযোজন,முழுமையான நோக்குநிலை
পরম বৈদ্যুতিক ঋণাত্মকতা,முழுமையான எலக்ட்ரோநெக்டிவிட்டி
পরম মাধ্যাকর্ষণ,முழுமையான ஈர்ப்பு
পরম চাপ,முழுமையான அழுத்தம்
পরম সম্পত্তি,முழுமையான சொத்து
পরম স্কেলার,முழுமையான அளவிடல்
তাপমাত্রার পরম স্কেল*,வெப்பநிலையின் இறுதி அளவு*
"পরম সমলয়, পরম সমলয়","absolute synchrony, absolute synchrony"
পরম চাপ,முழுமையான மன அழுத்தம்
পরম প্রতিসাম্য,முழுமையான சமச்சீர்
পরম গতি শরীর,முழுமையான இயக்க உடல்
পরম ইউনিট সিস্টেম,முழுமையான அலகு அமைப்பு
পরম তাপমাত্রা,முழுமையான வெப்பநிலை
পরম সময়,முழுமையான நேரம்
পরম একক,முழுமையான அலகுகள்
পরম মান,துல்லியமான மதிப்பு
পূর্ণসংখ্যা ক্যালকুলেটর,முழு எண் கால்குலேட்டர்
পরম বেগ,முழுமையான வேகம்
পরম সান্দ্রতা,முழுமையான பாகுத்தன்மை
পরম ওজন,முழுமையான எடை
পরম শূন্য*,முழுமையான பூஜ்ஜியம்*
শূন্যের পরম ভাজক,பூஜ்ஜியத்தின் முழுமையான வகுப்பான்
শোষণ করা,உறிஞ்சி
শোষণ সূচক*,உறிஞ்சுதல் குறியீடு*
শোষিত শক্তি,உறிஞ்சப்பட்ட ஆற்றல்
"শোষক, শোষক","உறிஞ்சும், உறிஞ்சும்"
শোষক মাধ্যম*,உறிஞ்சும் ஊடகம்*
শোষণ ক্ষমতা,உறிஞ்சும் திறன்
শোষণ,உறிஞ்சுதல்
শোষণ যন্ত্র*,உறிஞ்சும் அளவி*
শোষণমিতি*,உறிஞ்சும் அளவீடு*
শোষণ,உறிஞ்சுதல்
শোষণ - ব্যান্ড*,உறிஞ்சுதல் - இசைக்குழு*
শোষণ সার্কিট,உறிஞ்சுதல் சுற்று
শোষণ গুণাঙ্ক,உறிஞ்சுதல் குணகம்
শোষণ কলাম,உறிஞ்சுதல் நெடுவரிசை
শোষণ ধ্রুবক,உறிஞ்சுதல் மாறிலி
শোষণ ধারাবাহিকতা,உறிஞ்சுதல் தொடர்ச்சி
শোষণ অঞ্চল,உறிஞ்சுதல் மண்டலம்
শোষণ বর্তমান,உறிஞ்சுதல் மின்னோட்டம்
