Gujarati,Hindi
એસી સમકક્ષ સર્કિટ,ए.सी. समतुल्य परिपथ
આંકડાકીય કન્વર્ટર માટે એનાલોગ,अनुरूप से अंकीय परिवर्तक
સંપૂર્ણ શૂન્ય,परम शून्य
શોષણ ગુણાંક,अवशोषण गुणांक
શોષણ સ્પેક્ટ્રમ,अवशोषण स्पेक्ट्रम
રીસેપ્ટર અણુ,ग्राही परमाणु
વૈકલ્પિક વર્તમાન જોડાણ,प्रत्यावर्ती धारा युग्मन
ઇલેક્ટ્રોન લણણી,इलेक्ट्रॉन संचयन
છિદ્ર સંગ્રહ,होल संचयन
સક્રિયકરણ ઊર્જા,सक्रियण ऊर्जा
સક્રિય એમ્પ્લીફાયર,सक्रिय प्रवर्धक
સક્રિય ડાયોડ સર્કિટ,सक्रिय डायोड परिपथ
સક્રિય ફિલ્ટર,सक्रिय फिल्टर
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,सक्रिय उच्च आवृत्ति पारक फिल्टर
સક્રિય લોડ,सक्रिय लोड
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,सक्रिय निमन आवृत्ति पारक फिल्टर
સક્રિય વિસ્તાર,सक्रिय क्षेत्र
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,अनुकूली इलेक्ट्रॉनिकी
ઉમેરનાર,योजक
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,समायोजी बैंड विस्तार
પ્રવેશ,प्रवेश्यता
એરિયલ,एरियल
pep આવર્તન,स्फूर्ति आवृत्ति
એર કન્ડીશનર,वातानुकूलक
ગોઠવણી,संरेखन
અલ્ગોરિધમ,आल्गोरिदम
બધા પાસ ફિલ્ટર,समस्त पारक फिल्टर
એલોય જંકશન,मिश्रधातु संधि
એટેન્યુએશન,क्षीणन
વૈકલ્પિક પ્રવાહ,प्रत्यावर्ती धारा
આસપાસનું તાપમાન,परिवेश ताप
દ્વિધ્રુવી,उभयध्रुवीय
એમ્પ્લીફિકેશન,प्रवर्धन
એમ્પ્લીફાયર,प्रवर्धक
એમ્પ્લીફાયર કાર્યક્ષમતા,प्रवर्धक दक्षता
પરિમાણો,आयाम
કંપનવિસ્તાર એટેન્યુએશન,आयाम क्षीणन
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,आयाम मॉडुलित ए.एम. दोलित्र
કંપનવિસ્તાર મોડ્યુલેશન,आयाम मॉडुलन
કંપનવિસ્તાર મોડ્યુલેટર,आयाम मॉडुलक
એંગસ્ટ્રોમ એકમ,एंगस्ट्रॉम इकाई
એનાલોગ સર્કિટ,अनुरूप परिपथ
એનાલોગ કમ્પ્યુટર,अनुरूप कंप्यूटर
એનાલોગ ફિલ્ટર,अनुरूप फिल्टर
એનાલોગ મલ્ટિમીટર,अनुरूप बहुमापी
એનાલોગ સ્વીચ,अनुरूप स्विच
અને દરવાજો,AND गेट
કોણીય આવર્તન,कोणीय आवृत्ति
"anion, anion","ऋणायन, एनॉयन"
એનિલિંગ તાપમાન,अनीलन तापमान
એનોડ,ऐनोड
એનોડ એમ્પ્લીફાયર,ऐनोड प्रवर्धक
anodyne,ऐनोडी करण
એન્ટેના,ऐन्टेना
એન્ટેના ઘટક,ऐन्टेना घटक
વિરોધી પ્રતિબિંબીત કોટિંગ,परावर्तन रोधी लेपन
એન્ટિલોગિન એમ્પ્લીફાયર,प्रतिलघुगुणक प्रवर्धक
પ્રતિરોધક સર્કિટ,प्रतिअनुनादी परिपथ
દ્વારક સમયગાળો,द्वारक काल
વર્ચ્યુઅલ પાવર,आभासीय शक्ति
વાયર કનેક્શન,तार संयोजन
અંદાજિત વોલ્ટેજ ગેઇન,सन्निकट वोल्टता लब्धि
આર્મસ્ટ્રોંગ મોડ્યુલેટર,आर्मस्ट्रांग माडुलक
એન્ટેના એરે,ऐन्टेना-व्यूह
"કદ ગુણોત્તર, પાસા ગુણોત્તર","आकार अनुपात, अभिमुखता अनुपात"
ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ),अस्थायी परिपथ (मुक्तचालित परिपथ)
સ્વચાલિત મલ્ટિવાઇબ્રેટર,स्वचालित बहुकंपित्र
ફ્લોટિંગ મલ્ટિવાઇબ્રેટર,अस्थायी बहुकंपित्र
અસમપ્રમાણ જંકશન,असममित संधि
અસુમેળ કેલ્ક્યુલેટર,अतुल्यकाली गणक
પરમાણુ,परमाणु
અણુ સંખ્યા,परमाणु संख्या
અણુ માળખું,परमाणु संरचना
ઓડિયો એમ્પ્લીફાયર,श्रव्य प्रवर्धक
ઓડિયો એમ્પ્લીફાયર,श्रव्य प्रवर्धक
ઓડિયો કેસેટ,श्रव्य कैसेट
ઓડિયો સર્કિટ,श्रव्य परिपथ
સાંભળી શકાય તેવી આવર્તન,श्रव्य आवृत्ति
આપોઆપ વોલ્ટેજ નિયંત્રણ,स्वत: वोल्टता नियंत्रण
હિમપ્રપાત,एवलांश
સરેરાશ ડિટેક્ટર,औसत संसूचक
અક્ષીય મોડ,अक्षीय विधा
અક્ષીય ગુણોત્તર,अक्षीय अनुपात
એન્ટેના,ऐन्टेना
પાછળનું ઇલેક્ટ્રોમોટિવ બળ,पश्च विद्युत वाहक बल
પાછળનો વિસ્તાર,पश्च क्षेत्र
પાછા સ્કેટર,पश्च प्रकीर्णन
પૃષ્ઠભૂમિ ચાર્જ,पृष्ठभूमि आवेश
બાજુનો અવાજ,पार्श्व रव
પ્રત્યાગમન,पश्चगमन
પશ્ચાદવર્તી ઇરેડિયેશન,पश्चपालि विकिरण
બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ,बैकवार्ड डायोड/पश्च डायोड
બેકવર્ડ વેવ ઓસિલેટર,पश्चगामी तरंग दोलक
"અવરોધ, અવરોધ","बाधिका, व्यारोध"
અવરોધ,बाधिका
સંતુલિત પુલ,संतुलित सेतु
સંતુલિત મોડ્યુલેટર,संतुलित विमॉडुलक
સંતુલિત મોડ્યુલેટર,संतुलित मॉडुलक
સંતુલિત સર્કિટ,संतुलित परिपथ
સંતુલિત ઢાળ ડિટેક્ટર,संतुलित ढाल संसूचक
વર્તમાન સ્ટેબિલાઇઝર પ્રતિકાર,धारा स्थिरक प्रतिरोध
બોલોમીટર,बोलोमीटर
બોલોમીટર પુલ,बोलोमीटर सेतु
બલૂન,बलून
બનાના જેક,बनाना जैक
બનાના પ્લગ,बनाना प्लग
"બેન્ડ, પાટો","बैंड, पट्टी"
બેન્ડ ડ્રાઈવર,बैंड चालक
બેન્ડ ઊર્જા,बैंड ऊर्जा
બેન્ડ ગેપ,बैंड अंतराल
બેડપાર્ક એમ્પ્લીફાયર,बैडपारक प्रवर्धक
બેન્ડ પાસ ફિલ્ટર,बैंड पारक फिल्टर
બાઉડ રેટ જનરેટર,बॉड दर जनित्र
banddispersion,बैंडफैलाव
બેન્ડ રેઝિસ્ટર,बैंड रोधक
બેન્ડ બ્રેકર ફિલ્ટર,बैंड विरामक फिल्टर
બેન્ડ વિસ્તરણ,बैंड विस्तार
બેન્ડ રીમુવર ફિલ્ટર,बैंड वर्जक फिल्टर
બેન્ડ વિસ્તરણ ડિફ્લેક્શન ગુણક,बैंड विस्तार विक्षेपण गुणक
બેન્ડ એક્સ્ટેંશન અંતર ગુણક,बैंड विस्तार दूरी गुणक
"બીમ કેપેસિટર, બેંક કેપેસિટર","पुंज संधारित्र, बैंक संधारित्र"
"બાર્કર કોડ, બાર્કર કોડ","बारकर कूट, बारकर कोड"
barravaugen માપદંડ,बार्रवाउजेन कसौटी
બેરેટર,बैरेटर
અવરોધ,रोध
ઇન્સ્યુલેટીંગ કેપેસિટર,रोध संधारित्र
અવરોધ ઊર્જા,रोधिका उर्जा
રેઝિસ્ટર વોલ્ટેજ,रोधी वोल्टता
બાર્ટલેટ વિન્ડો,बार्टलेट विंडो
"આધાર, આધાર","आधार, बेस"
આધાર બેન્ડ,आधार बैंड
બેઝ બેન્ડ ટ્રાન્સમિશન,आधार बैंड संचरण
બેઝ ચાર્જ,आधार आवेश
આધાર પ્રવાહ,आधार धारा
આધાર વર્તમાન સ્ત્રોત,आधार धारा स्रोत
આધાર ઉતારવું,आधार कर्तन
આધાર મદન,आधार मादन
આધાર ઉત્સર્જક ફીડ,आधार उत्सर्जक संभरण
આધાર ઉત્સર્જક જંકશન,आधार उत्सर्जक संधि
બેઝ ઈન્જેક્શન,आधार अंतःक्षेपण
જમીન રેખા,आधार रेखा
આધાર પ્રતિકાર,आधार प्रतिरोध
આધાર સ્ત્રોત,आधार स्रोत
આધાર વિસ્તરણ પ્રતિકાર,आधार विस्तारण प्रतिरोध
આધાર વિસ્તરણ પ્રતિકાર,आधार विस्तारण प्रतिरोध
આધાર જાડાઈ,आधार मोटाई
બેઝ એક્સેસ,आधार अभिगमन
"આધાર પહોળાઈ મોડ્યુલેશન, આધાર વિસ્તરણ મોડ્યુલેશન","आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन"
આધાર કલેક્ટર સંધિ,आधार संग्राहक संधि
ગંધ,बास
બાસ આવર્તન,बास आवृत्ति
બેટરી,बैटरी
બાઉડ,बॉड
બાઉડ દર,बॉड रेट
બાઉડ રેટ જનરેટર,बॉड दर जनित्र
બોડો કોડ,बोदो कोड
"સંકેત, દીવાદાંડી","संकेत देना, बीकन"
"મણિકા, બીડ","मणिका, बीड"
મેનિક કેપેસિટર,मणिक संधारित्र
મણિકર્તાપિ પ્રતિરોધકો,मणिकातापी प्रतिरोधक
"બીમ એન્ટેના, બીમ એન્ટેના","किरणपुंज ऐन्टेना, बीम ऐन्टेना"
બીમ ડિટેક્ટર,किरणपुंज खोजी
બીમ પાવર નળી,किरणपुंज शक्ति नली
બીમ સ્વિચિંગ નોઝલ,किरणपुंज स्विचन नलिका
બીમ વિસ્તરણ,किरणपुंज विस्तार
હરાવ્યું આવર્તન,विस्पंद आवृत्ति
બીટ-ફ્રિકવન્સી ઓસિલેટર,विस्पन्द-आवृत्ति दोलक
પલ્સ ઓસિલેટર,विस्पंद दोलक
બેલ,बेल
બેન્ડિંગ નુકશાન,बंकन हानि
બેસેલ ફિલ્ટર,बेसेल फिल्टर
બેટા,बीटा
b-h વળાંક,बी-एच वक्र
"પૂર્વગ્રહ, પૂર્વગ્રહ","अभिनति, बायस"
પૂર્વગ્રહ વર્તમાન,बायस धारा
પૂર્વગ્રહ પ્રતિકાર,बायस-प्रतिरोधक
ડબલ એન્ટેના,द्विशंकु ऐन्टेना
દ્વિપક્ષીય લોડ વર્તમાન,द्विदिशी लोड धारा
દ્વિદિશ એન્ટેના,द्विदैशिक ऐन्टेना
દ્વિદિશ પ્રકાશ ઉત્સર્જક ડાયોડ,द्विदैशिक प्रकाश उत्सर्जक डायोड
દ્વિપક્ષીય થાઇરિસ્ટર,द्विदिक् थाइरिस्टर
bi FET ટેકનોલોજી,द्वि FET तकनीक
બાય પોઇન્ટ ટ્રાન્સફોર્મર,द्विसूत्री ट्रांसफार्मर
ડબલ ફ્યુઝન,द्विसूत्री आआवलन
દ્વિપક્ષીય સર્કિટ,द्विपार्श्विक परिपथ
દ્વિસંગી,द्विआधारी
દ્વિસંગી રકમ,द्विआधारी योग
દ્વિસંગી સર્કિટ,द्विआधारी परिपथ
દ્વિસંગી કોડેડ દશાંશ,द्वि-आधारी कोडित दशमलव
દ્વિસંગી કોડેડ દશાંશ સિસ્ટમ,द्वि-आधारी कोडित दशमलव प्रणाली
દ્વિસંગી દ્વિધ્રુવ કેપેસિટર,द्विआधारी द्विपरिवर्तक संधारित्र
દ્વિસંગી કેલ્ક્યુલેટર,द्विआधारी गणक
દ્વિસંગી કેલ્ક્યુલેટર,द्विआधारी गणित्र
દ્વિસંગી ડીકોડર,द्विआधारी कूट वाचक
દ્વિસંગી નિસરણી,द्विआधारी सीढ़ी
બાઈનરી પેથોમીટર,द्विआधारी पथमापी
દ્વિસંગી સ્થિતિ,द्विआधारी अवस्था
દ્વિસંગી-દશાંશ ડીકોડર,द्विआधारी-दशमिक विकोडक
બાઈનરી લોડ,द्विआधारी भार
દ્વિસંગી શબ્દો,द्विआधारी शब्द
દ્વિધ્રુવી,द्विध्रुवी
બાયપોલર કેપેસિટર,द्विध्रुवी संधारित्र
દ્વિધ્રુવી ઉપકરણ,द्विध्रुवी युक्ति
દ્વિધ્રુવી સ્ત્રોત,द्विध्रुवी स्रोत
બાયપોલર ટ્રાંઝિસ્ટર,द्विध्रुवी ट्राजिस्टर
બાયપોલર જંકશન ટ્રાંઝિસ્ટર,द्विध्रुवी संधि ट्रांजिस्टर
ચતુર્ભુજ ફિલ્ટર,द्विघाती फिल्टर
ડબલ સ્થિતિ,द्विस्थितिक
બે તબક્કાનું મલ્ટિવાઇબ્રેટર,द्विस्थितिक बहुकंपित्र
દ્વિપક્ષીય રિલે,द्विस्थितिक रिले
બે તબક્કાની સ્થિતિ,द्विस्थितिक अवस्था
બે-સ્થિતિ ટ્રિગર,द्विस्थितिक ट्रिगर
બીટ ભૂલ,बिट त्रुटि
બીટ ભૂલ દર,बिट त्रुटि दर
બીટ ભૂલ,बिट त्रुटि
બિટકલ ભૂલ,बिटकाल त्रुटि
અંધ બોક્સ,अंध पेटी
કન્ડેન્સ્ડ પલ્સ,समाच्छादी स्पंद
સચિવ,स्रावक
સ્ત્રાવ અવરોધક,स्रावी प्रतिरोधक
અંધત્વ,अंधगति
સેગમેન્ટ ડાયાગ્રામ,खंड आरेख
અવરોધક અવરોધ,अवरूद्ध प्रतिबाधा
ટુકડો ટ્રાન્સફર,खंडक स्थानांतरण
ઇન્ટરસેપ્ટ,अवरोधन
રેઝિસ્ટર કેપેસિટર,अवरोधी संधारित्र
રેઝિસ્ટર કેપેસિટર,अवरोधी संधारित्र
રેઝિસ્ટર ઓસિલેટર,अवरोधी दोलक
અવરોધિત ઓસિલેટર,अवरोधी दोलक
રેઝિસ્ટર વોલ્ટેજ,अवरोधी वोल्टता
બ્લોઅર,ब्लोवर
બોડ ડાયાગ્રામ,बोडे आरेख
વોલ્ટ્ઝમેન સંબંધ,वोल्ट्जमान संबंध
વોલ્ટ્ઝમેન સતત,वोल्ट्जमान स्थिंराक
બોન્ડ,बंध
બંધાયેલ તાણ ગેજ,आबद्ध विकृति प्रमापी
સ્વ-સહાયક એમ્પ્લીફાયર,स्वोत्थानी प्रवर्धक
બુલિયન બીજગણિત,बूलीय बीजगणित
બુલિયન સમીકરણ,बूलीय समीकरण
બુટ Strapon,"बूट स्ट्रैपन, स्वोत्थान"
બૂથનું અલ્ગોરિધમ,बूथ्स आल्गोरिदम
બુટસ્ટ્રેપ પ્રિઝમ સર્કિટ,बूटस्ट्रैप प्रसर्प परिपथ
bosscutts નિયમ,बॉसकर्ट्स नियम
બોઝ-ચૌધરી હોકેનહામ (BCH) કોડ,बोस-चौधरी होकिनहाम (बी.सी.एच) कोड
"કૂદકો, કૂદકો","झंप, उछाल"
બંધાયેલ ઇલેક્ટ્રોન,परिबद्ध इलेक्ट्रॉन
બ્રેગ રિફ્લેક્ટર,ब्रैग परावर्तक
ગૂંથેલા વાયર,गुंफित तार
શાખા,शाखा
શાખાઓ,शाखन
પ્રયોગ બોર્ડ,प्रयोग पट्ट
બ્રેક ઝોન,भंजन क्षेत्र
બ્રેકિંગ વોલ્ટેજ,भंजन वोल्टता
બ્રેકડાઉન ડાયોડ,भंजन डायोड
અસ્થિભંગ ફિક્સેશન,भंजन संनिर्धारण
બ્રેકિંગ વોલ્ટેજ,भंजन वोल्टता
પુલ,सेतु
પુલ સુધારક,सेतु दिष्टकारी
વિશાળ બેન્ડ,विस्तृत बैंड
બ્રોડકાસ્ટ બેન્ડ,प्रसारण बैंड
અપાર્થિવ એરે,निरक्षीय व्यूह
પ્રસારણ,प्रसारण
બ્રોડકાસ્ટ એન્ટેના,प्रसारण ऐन्टेना
બ્રોડકાસ્ટ રીસીવર,प्रसारण ग्राही
ફ્રીક્વન્સી બ્રોડકાસ્ટ રીસીવર,आवृत्ति प्रसारण अभिग्राही
બ્રોડકાસ્ટ ટ્રાન્સમીટર,प्रसारण प्रेषित्र
બૂસ્ટર એન્ટેના,बूस्टर ऐन्टेना
બસ એન્ટેના,बूस ऐन्टेना
બ્રશ નિમજ્જન,ब्रश विसर्जन
પરપોટા અને દરવાજો,बुदबूदु AND गेट
બુડબુડુ અથવા ગેટ,बुदबूदु OR गेट
બબલી મેમરી,बुदबूदु स्मृति
વળતર આપતું વોલ્ટેજ,प्रतिकारी वोल्टता
બફર,बफर
બફર એમ્પ્લીફાયર,बफर प्रवर्धक
બફર સર્કિટ,बफर परिपथ
બફર ઓપરેટર,बफर परिचालक
બફર રજીસ્ટર,बफर पंजी
બલ્બ,बल्व
વસ્તી અસર,समष्टि प्रभाव
મેક્રો સેમિકન્ડક્ટર ઉપકરણ,समष्टि अर्धचालक युक्ति
ટોળું,गुच्छक
ડૂબી ગયેલ વિનિમય,निमज्जित विनिमय
ડૂબી ગયેલ સ્તર,निमज्जित परत
ડૂબી ગયેલો સંપર્ક,निमज्जित संपर्क
બ્લાસ્ટ એમ્પ્લીફાયર,प्रस्फोट प्रवर्धक
બ્લાસ્ટ કવર,प्रस्फोटी समाच्छादी
બ્લાસ્ટ ફાયરિંગ,प्रस्फोट फायरन
વિસ્ફોટ ડોર એમ્પ્લીફાયર,प्रस्फोटी द्वार प्रवर्धक
વિસ્ફોટ મોડ,प्रस्फोटी विधा
વિસ્ફોટ વિભાજક,प्रस्फोटी पृथक्कारक
વિસ્ફોટ સંકેત,प्रस्फोटी संकेत
વિસ્ફોટ ભૂલ સુધારનાર કોડ,प्रस्फोट त्रुटि संशोधक कोड
પૂરતૂ,बस
બસ બાર,बस बार
બસ સંસ્થા,बस संगठन
બસ ધોરણ,बस मानक
માત્ર ક્ષણિક,बस क्षणिक
માખણ વર્થ ફિલ્ટર,बटर वर्थ फिल्टर
bnc વાયર,बीएनसी तार
BNC જોઈન્ટર,बीएनसी जोड़क
બાય-વે,"उपपथ, उपमार्ग"
બાયપાસ કેપેસિટર,उपमार्गी संधारित्र
બાઈટ,बाइट
વી બેન્ડ,V बैंड
સી બેન્ડ એન્ટેના,C बैंड ऐन्टेना
વાયર,तार
વાયર રૂટીંગ,तार मार्ग निर्धारण
ટેલિગ્રાફ ટેલિવિઝન,तार टेलिविजन
કેશ મેમરી,कैश स्मृति
સિસિમ ફ્રીક્વન્સી સ્ટાન્ડર્ડ,सिसिमय आवृत्ति मानक
કેલ્ક્યુલેટર,परिकलित्र
માપાંકન,अंशशोधन
કૉલ સરનામું,कॉल ऐड्रेस
કૉલપિટ ઓસિલેટર,कॉलपिट दोलित्र
કેમ કોર્ડર,कैम कोर्डर
કેમેરા,कैमरा
કેમેરા નળી,कैमरा नली
candela,केंडेला
મીણબત્તીની શક્તિ,कैंडल शक्ति
કેન્ટીલીવર તાણ ગેજ,कैन्टीलिवर विकृति प्रमापी
હોલ્ડિંગ,धारिता
કેપેસીટન્સ બ્લડ પ્રેશર ટ્રાન્સડ્યુસર,धारिता रक्तचाप ट्रान्सड्यूसर
