Bengali,English
ওয়েস্টমিনস্টারের অ্যাবে,Abbey of Westminster
বর্জনীয়,Abditory
দাসত্বের সমাপ্তি,Abolition of slavery
আদিবাসী,Aboriginal
আব্রাহাম যুগ,Abraham Era
অনুপস্থিত জমির মালিক,Absentee landlords
একাডেমী,Academy
আকরা সম্মেলন,Accra conference
সঞ্চয়,Accruals
সংগ্রহ,Acculturation
অ্যাসেলডামা,Aceldama
আচিয়ান (=আচিয়ান),Achaean (=Achian)
আচিয়ান লীগ (=আচিয়ান লীগ),Achaean League (=Achian League)
অ্যাক্রোপলিস,Acropolis
Acta Diurna,Acta Diurna
Acta Senatus,Acta Senatus
অ্যাক্ট অ্যাডিশনেল,Acte Additionel
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),Active record (=current record)
প্রাপ্তির কাজ,Act of attainder
ক্ষতিপূরণ এবং বিস্মৃতির আইন,Act of Indemnity and oblivion
নিষ্পত্তির আইন,Act of Settlement
বিজ্ঞাপন চুক্তি সীল,Ad contractus seal
আদুল্লামাইটস,Adullamites
প্রতিপক্ষ,Adversary
প্রতিপক্ষ,Adversary
Aeon,Aeon
এরারিয়াম,Aerarium
বায়বীয় যুদ্ধ,Aerial warfare
এটোলিয়ান লীগ,Aetolian League
বয়স,Age
বার্ধক্য (=বার্ধক্য),Ageing (=aging)
বার্ধক্য প্রক্রিয়া,Ageing process
এগেলাই,Agelai
বীরত্বের বয়স,Age of chivalry
এনলাইটমেন্টের বয়স,Age of Englightment
পেরিক্লেসের বয়স,Age of Pericles
কারণ বয়স,Age of reason
কৃষিবাদ,Agrarianism
কৃষি আন্দোলন,Agrarian movement
অ্যালবিয়ন,Albion
অ্যালবাম,Album
অল্ডারম্যান,Alderman
লোভনীয় অস্ত্র,Allusive arms
বন্ধুত্ব,Amity
অ্যাম্ফিক্টোনিক কাউন্সিল,Amphictyonic Council
Amphictyonic লীগ,Amphictyonic League
অ্যাম্ফিথিয়েটার,Amphitheatre
আমরি নল দল (মৃৎপাত্রের),Amri Nal group (of pottery)
অ্যানাক্রোনিজম,Anachronism
অ্যানাক্রোনিস্টিক,Anachronistic
পূর্বপুরুষ,Ancestor
পূর্ব পুরুষের পুজা,Ancestor Worship
বংশ,Ancestry
বংশ,Ancestry
বংশ,Ancestry
বংশ,Ancestry
প্রাচীন শাসন,Ancien regime
প্রাচীন,Ancient
প্রাচীন গীতিনাট্য,Ancient ballad
প্রাচীন বিশ্বাস,Ancient belief
প্রাচীন রীতি,Ancient custom
প্রাচীন ইতিহাস,Ancient history
প্রাচীন স্মৃতিস্তম্ভ,Ancient monuments
উপাখ্যান,Anecdote
অ্যাঞ্জেলট,Angelot
এঞ্জেলাস,Angelus
অ্যাঞ্জেভিন (=এনজেভিন),Angevin (=anjevin)
কোণ,Angles
অ্যাংলিকান,Anglican
অ্যাংলিকান কমিউনিয়ন,Anglican Communion
অ্যাংলিকানিজম,Anglicanism
অ্যাংলো-ফোব,Anglo-phobe
অ্যাংলো-ফোবিয়া,Anglo-phobia
অ্যাংলো-স্যাক্সন,Anglo-Saxon
অ্যাংলো-স্যাক্সোনিজম,Anglo-Saxonism
অ্যানালিস্ট,Annalist
ইতিহাস,Annals
সংযোজন,Annexation
এন্টে-বেলাম,Ante-bellum
তারিখের আগে,Ante date
করণিকবাদ বিরোধী,Anti-clericalism
অ্যান্টি-ক্লারিক্যাল আইন,Anti-clerical legislation
প্রাচীনত্ব,Antiquity
ভাড়া বিরোধী,Anti-rent
ভাড়া বিরোধী,Anti-rent
সেমিটিজম বিরোধী,Anti Semitism
আনজাক,Anzac
আপেলা,Apella
আরালু,Aralu
আর্চ বিশপ,Arch bishop
আর্চ ডুচি,Arch duchy
আর্চ ডিউক,Arch duke
আর্কিফ (= আর্কাইভাল সংগ্রহ),Archief (=archival collection)
আর্কিপিস্কোপেট,Archiepiscopate
আভিজাত্য,Aristocracy
অভিজাত,Aristocrat
আভিজাত্য স্নোবারি,Aristocratic snobbery
এরিস্টটলীয়,Aristotelian
আরমাডা,Armada
আরমাদা (=স্প্যানিশ আরমাদা),Armada (=The Spanish Armada)
আর্মোরিস্ট (= আর্মারিস্ট),Armorist (=armourist)
বর্ম (= বর্ম),Armour (=armor)
আর্মারিস্ট,Armourist
আরিয়ান,Aryan
আরিয়ান,Aryan
আসকারী,Askari
বরাদ্দ,Assignat
সহায়তা,Assize
সহায়তা,Assize
সহায়তা,Assize
অস্ত্র আইনের সহায়তা,Assize of Arms Act
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,Assize of Darrein Presentment
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,Assize of Mort 'D' Ancestor
নভেল ডিসিসিনের অ্যাসাইজ,Assize of Novel Disseisin
নৃশংসতা,Atrocity
আক্রমণ,Attack
অলিক কাউন্সিল,Aulic Council
দেবীর কুঠার (=দেহী কুঠার),Axe of the Geddess (=the Geddess axe)
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),Axis (=The Rome-Berlin-Tokyo Axis)
ব্যাবিলন,Babylon
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),Babylonian captivity (=Babylonish captivity)
বাচনাল ভক্ত,Bacchanal devotee
বাচনালিয়া,Bacchanalia
ব্যাচেলর,Bachelor
বাগদাদ চুক্তি,Baghdad Pact
বলকান লীগ,Balkan League
বলকান চুক্তি,Balkan Pact
বলকান যুদ্ধ,Balkan Wars
বাল্টিক চুক্তি,Baltic Pact
দস্যু,Bandit
বান্দুং সম্মেলন,Bandung Conference
নির্বাসন,Banishment
ব্যানার,Banner
অসভ্য,Barbarian
বারবিকান,Barbican
বারদোলী সত্যাগ্রহ,Bardoli satyagraha
