Punjabi,Kannada
ਅਬੇਲੀ ਸਮੂਹ,ಅಬೆಲಿ ಗುಂಪು
ਅਬੇਲੀ ਸਮੂਹ,ಅಬೆಲಿ ಗುಂಪು
ਹੱਥ,ಕೈ
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
ਪੂਰਨ ਗਲਤੀ,ಸಂಪೂರ್ಣ ದೋಷ
ਪਰਮ ਸਰਵਉੱਚ,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
ਸਭ ਤੋਂ ਘੱਟ,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
ਸਹੀ ਮੁੱਲ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ਪੂਰਨ ਗਤੀ,ಸಂಪೂರ್ಣ ವೇಗ
ਸਾਰ ਅਲਜਬਰਾ,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ਪ੍ਰਵੇਗ,ವೇಗವರ್ಧನೆ
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
