English,Punjabi
Abelian group,ਅਬੇਲੀ ਸਮੂਹ
abelian semigroup,ਅਬੇਲੀ ਸਮੂਹ
abscissa,ਹੱਥ
absolute,"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
absolute convergence,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
absolute error,ਪੂਰਨ ਗਲਤੀ
absolute maximum,ਪਰਮ ਸਰਵਉੱਚ
absolute minimum,ਸਭ ਤੋਂ ਘੱਟ
absolute value,ਸਹੀ ਮੁੱਲ
absolute velocity,ਪੂਰਨ ਗਤੀ
abstract algebra,ਸਾਰ ਅਲਜਬਰਾ
abstract group theory,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
acceleration,ਪ੍ਰਵੇਗ
acceleration due to gravity,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
acceptable choice set,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
acceptable quality level,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
acceptable range,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
acceptable reliability level,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
acceptable sampling,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
accumulated error,ਸੰਚਿਤ ਗਲਤੀ
accuracy,ਸ਼ੁੱਧਤਾ
acting force,ਲਾਗੂ ਫੋਰਸ
action,"ਕਾਰਵਾਈ, ਕੰਮ"
action and reaction,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
acturial science,ਬੀਮਾ ਵਿਗਿਆਨ
acute angled triangle,ਤੀਬਰ ਤਿਕੋਣ
acyclic,acyclic
add,ਸੰਪੇਕਸ਼ਤ
adder,ਜੋੜਨ ਵਾਲਾ
addition,"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)"
addition formula,ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ
addition of complex numbers,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
addition of functions,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
addition of matrices,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
addition of polynomials,ਬਹੁਪਦ ਦਾ ਜੋੜ
addition of probabilities,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
addition of vectors,ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ
addition theorem,"ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ"
additive group,additive ਗਰੁੱਪ
additive inverse,additive ਉਲਟ
additive property,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
additivity,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
adjacency matrix,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
adjacent,"ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ"
adjacent angles,ਨੇੜੇ ਦੇ ਕੋਣ
adjacent vertex,ਨੇੜੇ ਦਾ ਸਿਰਾ
adjoin,ਜੋੜਨ ਲਈ
adjoining,ਨੱਥੀ ਨੱਥੀ
adjoint determinant,ਆਮ ਨਿਰਣਾਇਕ
adjoint differential equation,ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ
adjoint equation,ਜੁੜੇ ਸਮੀਕਰਨ
adjoint matrix,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
adjoint of matrix,ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ
adjugate matrix,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
admissible decision function,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
admissible hypothesis,ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ
aerodynamic force,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
aerodynamics,ਐਰੋਡਾਇਨਾਮਿਕਸ
affine geometry,ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ
affine mapping,ਸਮਰੂਪ ਮੈਪਿੰਗ
affine transformation,ਸਮਰੂਪ ਤਬਦੀਲੀ
aggregating variables,ਕੁੱਲ ਵੇਰੀਏਬਲ
algebra,"algebra, algebra, algebra, algebra"
algebraically closed,"ਬੀਜੀ ਬੰਦ, ਬੀਜੀ"
algebraic equation,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
algebraic expression,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
algebraic form,ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ
algebraic function,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
algebraic geometry,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
algebraic multiplicity,ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ
algebraic system,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
all-integer problem,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
allocation problem,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ
alphabetical notation,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
alphabetic character,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
alternate angle,ਬਦਲਵੇਂ ਕੋਣ
alternating form,ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ
alternating group,ਵਿਕਲਪਕ ਸਮੂਹ
alternating matrix,ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ
alternating series,ਵਿਕਲਪਿਕ ਲੜੀ
alternative hypothesis,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
alternative optima,ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ
alternative outcome,ਵਿਕਲਪਿਕ ਨਤੀਜਾ
analog-to-digital converter,ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ
analogue computer,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
analysis,ਵਿਸ਼ਲੇਸ਼ਣ
analysis of covariance,ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ
analysis of enumeration data,ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ
analysis of variance,ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ
analytic geometry,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
analytic function,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ
angle,ਕੋਣ
angle of contact,ਸਪਰਸ਼ ਕੋਣ
angle of deflection,ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ
angle of depression,ਡਿਪਰੈਸ਼ਨ ਕੋਣ
angle of deviation,ਭਟਕਣ ਕੋਣ
angle of diffraction,ਵਿਭਿੰਨ ਕੋਣ
angle of elevation,ਉਚਾਈ ਕੋਣ
angle of incidence,ਘਟਨਾ ਦਾ ਕੋਣ
angle of projection,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
angle of reflection,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
angle of refraction,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
angle of rotation,ਰੋਟੇਸ਼ਨ ਕੋਣ
angle of total reflection,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ
angular acceleration,ਕੋਣੀ ਪ੍ਰਵੇਗ
angular motion,ਕੋਣੀ ਵੇਗ
angular speed,ਕੋਣੀ ਗਤੀ
angular velocity,ਕੋਣੀ ਵੇਗ
annulus,ਰਿੰਗ ਉਂਗਲ
answer,ਜਵਾਬ
anti – derivative,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
antisymmetric function,isometric ਫੰਕਸ਼ਨ
applicable,"ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ"
application,ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ
