Kannada,Gujarati
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,ગર્ભિત અંગ
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,ગર્ભિત બીજ
ಗರ್ಭಪಾತ,ગર્ભપાત
ಸಂಪೂರ್ಣ ಕಳೆ,પૂર્ણ નીંદણ
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,સમારકામ
ಹೀರುವಿಕೆ,સમાવેશ
ಪ್ರಪಾತದ ಸಾಸಿವೆ,એબિસિનિયન સરસવ
ಉಜ್ಜೆ,વાસ્તવિકતા
ಉಪನಾಮದ,ઉચ્ચારણ
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),ઉકાળો (કોષ)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,સ્વીકૃત સહનશીલતા
ಪರಿಕರ,સહાયક
ಒಗ್ಗೂಡಿಸುವಿಕೆ,સ્વાર્થીકરણ
ಸಂಗ್ರಹಣೆ,સંચય
ನಿಖರತೆ,ચોકસાઈ
ಕಸಚೂಕು,એકરખાંશ
ಸಮಗ್ರೀಕರಣ,સુશોભિતતા
ಆಮ್ಲೀಕರಣ,એસ્બરેશન
ಆಚಿಮೀಟರ್ ಚೀಟಿ,અમ્લમાપક
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,અમલ્ય
ಸಿಹಿನೀರಿನ,અમ્લ્ક
ಆಮ್ಲೀಯ,એસિડ્યુલેટેડ રોક ફોસ્ફેટ
ಸಂಚೇಮದ,કષ્ટાત્મક
ಜಲಚರಗಳು,પાણીમાં જતું
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,સંપાદન
ಎಕರೆ,એકર
ಎಕರೆ,એકર વિસ્તાર
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,સંકુચિત રંગસૂત્ર
ಖುಷಿಯ,આછું
ಸುಣ್ಣ,આછક
ಅಂಧ,કૃત્ય
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,સક્રિય રુટ ક્ષેત્ર
ತೀವ್ರ,તીવ્ર
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,અનુકૂલનક્ષમતા
ರೂಪಾಂತರ,અનુકૂલન
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,સંલગ્નતા
ಅಡಿ,ચરબીયુક્ત
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,સમાયોજન સમીકરણ
ಮಣ್ಣು,ગોરી માટી
ವ್ಯಭಿಚಾರಮಾಡುವ,વ્યભિચાર
ಸಾಹಸದ,આકસ્મિક
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,જાસૂસી
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,વાતજ પ્રક્રિયા
ಅಯೋಲಿಯನ್,વાતજ
ಗಾಳಿಗೊಡ್ಡು,હાથબદલો કરવો
ವೈಮಾನಿಕ,હવાઈ
ವಾಯುಮಾಪಕ,વાયુવાસી
ವಾಯುಪಾವತಿ,વિમાન
ಅಸ್ವಸ್ಥತೆ,નિલાસ્ય
ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ),એટીઓલોજી (ઇટીઓલોજી)
ಸಂಯಮ,વનીકરણ
ಆಂದೋಲನ,આંદોલન
ಅಣಕೇಡು,ગુનો
ಕೃಷಿ,કૃષિ
ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ,કૃષિ ચિકિત્સક
ಕೃಷಿ ದುಡಿಮೆ,કૃષિ -મજૂર
ಕೃಷಿ ಮಾರಾಟ,કૃષિ
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,કૃષિ પ્રૌ નગર
ಕೃಷಿ,કૃષિ
ಕೃಪಣಸಾಮರಿ,કૃષિવિજ્icultureાની
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,કૃષિવિવિધિ
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು,કૃષિવિજ્ologicalાનની ખામી
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ,કૃષિવિજ્iologyાન
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,કૃષિ વિવિધતા
ಕೃಷಿ ವಲಯ,કૃષિવિજ્ingાન
ಕೃಚಾರಕ,કૃષિ -પ્રવેશ
ಕೃಷಿ ಶಾಸ್ತ್ರ,કૃષિવિજ્ologyાન
ಕೃಷಿ ವಿಜ್ಞಾನ,કૃષિવિજ્yાન
ಅಬ್ವಿಶರ,જૂથબદ્ધ
ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್,કૃષિ કે થાંભલા
Agrostology,કૃષિવિજ્ologyાન
ಕೃಪೆ,કૃષિવંશ
ಗಾಳಿ ಸಸ್ಯ,વિમાન
ಅಕೋಚಿ ಮಣ್ಣು,અકીયોચી માટી
ಆಲ್ಬೋ,માદા
ಆಲ್ಫಿಸೋಲ್ಸ್,ક alંગું
ಪಾಚಿ,શેવાળ
ಪಾಚಿಯ ಕಾಯಿಲೆ,મૂર્ત રોગ
ಕ್ಷಾರ ನೀರು,ક્ષારયુક્ત પાણી
ಕ್ಷಾರೀಯ,ક્ષુદ્ર
ಇಳಿಜಾರು,એલીલ
ಆಲಿನೋಕೆಮಿಕಲ್ಸ್,એલેલોકેમિકલ્સ
ಅನನುಕಣ,એલેલોમોર્ફ
ಅಲಲೋಪತಿ,અખરોશ
ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್,એલી પાક
ನಿಯೋಜಕ,ફાળવણી
ಅಲೋಗಮಿ,સહ -સંબંધ
ಮಾಪಕ,એલોમેટ્રી
ಸೂತ್ರ,ફિલોપ્લોઇડ
ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್),એલોસિનાપ્સિસ (એલોસિન્ડિસિસ)
ಪರ್ಯಾಯ ಬೇರಿಂಗ್,વૈકલ્પિક બેરિંગ
ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ,વૈકલ્પિક જમીનનો ઉપયોગ
ಸುತ್ತುವರಿಯುವ,ઠેકડેલું
ಅಚಲ,ઉદ્ધત
ಅಮೀಟಾಸಿ,ક્ષુત્વ
ಕಸಚುಗಾರ,મરણોત્તર
ಅಮೋನೀಕರಣ,ચંદ્ર
ಅಮೋನಿಗೆ ಮಾಡುವವ,એમોનિફાયર
ಅಬ್ಬರಿಸು,આતુર
ಉಭಯಮತ್ರ,Amાળ
ಉದ್ದವಾದ,અતિશય
ಅನಾಬಾಲಿಸಂ,અનોખા
ಬಯೆರೋಲೆ,એનોરોબ
ಅನೆಲಾಯ್ಡ್,Anડતું
ಕೋನ ನೆಡುವುದು,અંકિત -વાવેતર
ಪಶುಸಂಗೋಪನೆ,પશુપાલન
ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ,પશુ ઇનકાર
ಅನಿಮೇಟ್ ಎನರ್ಜಿ,સજીવ
ಹದಮೆರಗಿ,શિરદર્શક
ವಾರ್ಷಿಕ ಸಸ್ಯ,વાર્ષિક પ્લાન્ટ
ವಾರ್ಷಿಕ,વાર્ષિક
ಸ ೦ ಗೀತ,કળશ
ಆಂಥ್ರಾಕ್ಸ್,એક જાતની નશરીય
ಮಾನವಜನ್ಯದ ಅಂಶ,માનવ -પરિબળ
ಪ್ರತಿಜೀವಕ,એન્ટિબાઈસિસ
ಪ್ರತಿಜೀವಕ,એન્ટિબાઇટર
ಪ್ರತಿವಿಷ,મારોશત
ಆವರಣಕಾರಕ,એન્ટી ox કિસડન્ટો
ಪ್ರತಿಚರಣ,પુષ્પ
ಉಚ್ಚಾರಣಾ,હડંગું
ಮುನಸು,Apષધ
ಸುಲಿಯ ಮೊಗ್ಗು,ક budદડી
ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ,મડાગાંઠ
ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್),માપી (મધમાખી રાખવી)
ತಿಕ್ಕಲು,અનુવાદ
ಅಪಶೂನ್ಯತೆ,એપોપ્ટોસિસ
ಅನುಬಂಧ,સંલગ્ન
ಜೀರ್ಣಕಾರಕವಾಗಿ,મોહક
ಅನ್ವಯಿಕ,લાગુ કરવું
ಜಲಚರಗಳು,જળચર નીંદણ
ಆಕ್ಷರ,વૃક્ષને લગતું
ಗುಂಡಿನ ಕವಚ,હવાઇકરણ
ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,સર્વસામાન્ય રેકોર્ડ
ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು,ક્ષેત્ર આંકડા
ಪ್ರದೇಶ,વિસ્તાર
ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,શુષ્ક ઇકોસિસ્ટમ
ಹದಮೆರಗಿ,અણીદાર
ಸುವಾಸನೆ,સુગંધ
ಆರ್ಯ ಸಸ್ಯ,સુગંધિત છોડ
ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ,સુગંધિત ચોખા
ಬಾಣ,તંગર
ಕಸ ರೋಗಿಗಳು,મહાપમાવર
ಅಸೆಪ್ಟ್,ખસી
ಅಲೈಂಗಿಕ ಪ್ರಸಾರ,અજાતીય પ્રચાર
ಪರಾಕ್ರಮ,પરાકાષ્ઠા
ಸ್ವಸಮಾನಗಳು,અસ્ક્યામત
ಏಕೀಕರಣ,આત્મસાત
ಸಂಘ,મંડળ
ತಗ್ಗು,આહલાદક
ಕಸ ರೋಗ,અસમપ્રાપ્ત
ಅಟಾವ್ ವಾದ,તૃષ્ણા
ವ್ಯಭಿಚಾರಿ,અણમા
ಕ್ಷೀಣತೆ,કૃશતા
ಸ್ವಯಂಚಾಲಿತ,સ્વતસ્તરી
ಆಟೊಲಿಸಿಸ್,સ્વચાલનતા
ದಾಟುವಿಕೆ,સ્વચાલિત થાંભલા
ಸ್ವಯಂಚಾಲನ ಫಲಕ,સ્વોલપ્લોઇડ
ಸಮಶೀತ,Uxક્સિન્સ
AWN (ಬಿರುಗೂದಲುಗಳು),AWN (બરછટ)
ಬಾದು,બદામ
ಅಡೆ,કુંવાર
ಹುಳಿ,અમરાન્થસ
ಅಮ್ಮ,ક amંગું
ಅಂಜಾನ್ ಹುಲ್ಲು,અંજાન ઘાસ
ಆಧಿವಾತ,ગૂંજ
"ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ","ઓનલા, ભારતીય ગૂસબેરી"
ಸೇಬು,સફરજન
ಏಪ್ರಲಿ,દુર્દ્રાવી
ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್,જાસ્મિન
ಅರೆನಗವ,અરેકા અખરોટ
ಹಳ್ಳ,ખલાસી
ಅಸ್ಫೊಟಿಡಾ,અફેટીડા
ಬೂದಿ ಸೋರೆಕಾಯಿ,રાખ
ಅಶೋಕ ಮರ,અશોક વૃક્ષ
ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ),એશ્થમા નીંદણ (યુફોર્બિયા)
ಶತಾವರಿ,શતાવરીનો શતાાયણ
ಆವಕಾಡು,એવોકાડો
ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್),અલ્ફાલ્ફા (લ્યુસર્ન)
ಇರುವೆಗಳು,કીડી
ಗಿಡಹೇನುಗಳು,એફિડ
ಸೈನ್ಯದ ಹುಳು,સૈન્યમાં
