English,Malayalam
Abbey of Westminster,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
Abditory,ഒഴിഞ്ഞുമാറുക
Abolition of slavery,അടിമത്തം നിർത്തലാക്കൽ
Aboriginal,ആദിവാസികൾ
Abraham Era,അബ്രഹാം യുഗം
Absentee landlords,ഹാജരാകാത്ത ഭൂവുടമകൾ
Academy,അക്കാദമി
Accra conference,അക്ര സമ്മേളനം
Accruals,സമാഹരണങ്ങൾ
Acculturation,സംസ്കരണം
Aceldama,അസെൽഡാമ
Achaean (=Achian),അച്ചായൻ (=അച്ചിയൻ)
Achaean League (=Achian League),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
Acropolis,അക്രോപോളിസ്
Acta Diurna,ആക്റ്റ ദിയുർന
Acta Senatus,ആക്റ്റ സെനറ്റസ്
Acte Additionel,ആക്റ്റ് അഡീഷണൽ
Active record (=current record),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
Act of attainder,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
Act of Indemnity and oblivion,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
Act of Settlement,സെറ്റിൽമെന്റ് നിയമം
Ad contractus seal,പരസ്യ കരാർ മുദ്ര
Adullamites,അഡുല്ലമൈറ്റുകൾ
Adversary,എതിരാളി
Adversary,എതിരാളി
Aeon,അയോൺ
Aerarium,എയറേറിയം
Aerial warfare,ആകാശ യുദ്ധം
Aetolian League,എറ്റോലിയൻ ലീഗ്
Age,വയസ്സ്
Ageing (=aging),വാർദ്ധക്യം (=വാർദ്ധക്യം)
Ageing process,പ്രായമാകൽ പ്രക്രിയ
Agelai,അഗെലൈ
Age of chivalry,ധീരതയുടെ പ്രായം
Age of Englightment,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
Age of Pericles,പെരിക്കിൾസിന്റെ പ്രായം
Age of reason,യുക്തിയുടെ പ്രായം
Agrarianism,കാർഷികവാദം
Agrarian movement,കാർഷിക പ്രസ്ഥാനം
Albion,ആൽബിയോൺ
Album,ആൽബം
Alderman,ആൽഡർമാൻ
Allusive arms,വശീകരിക്കുന്ന ആയുധങ്ങൾ
Amity,അമിറ്റി
Amphictyonic Council,ആംഫിക്റ്റോണിക് കൗൺസിൽ
Amphictyonic League,ആംഫിക്റ്റോണിക് ലീഗ്
Amphitheatre,ആംഫി തിയേറ്റർ
Amri Nal group (of pottery),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
Anachronism,അനാക്രോണിസം
Anachronistic,അനാക്രോണിസ്റ്റിക്
Ancestor,പൂർവ്വികൻ
Ancestor Worship,പൂർവിക ആരാധന
Ancestry,വംശപരമ്പര
Ancestry,വംശപരമ്പര
Ancestry,വംശപരമ്പര
Ancestry,വംശപരമ്പര
Ancien regime,പുരാതന ഭരണം
Ancient,പുരാതന
Ancient ballad,പുരാതന ബാലഡ്
Ancient belief,പുരാതന വിശ്വാസം
Ancient custom,പുരാതന ആചാരം
Ancient history,പുരാതനമായ ചരിത്രം
Ancient monuments,പുരാതന സ്മാരകങ്ങൾ
Anecdote,ഉപകഥ
Angelot,ആഞ്ചലോട്ട്
Angelus,ആഞ്ചലസ്
Angevin (=anjevin),ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ)
Angles,കോണുകൾ
Anglican,ആംഗ്ലിക്കൻ
Anglican Communion,ആംഗ്ലിക്കൻ കൂട്ടായ്മ
Anglicanism,ആംഗ്ലിക്കനിസം
Anglo-phobe,ആംഗ്ലോ-ഫോബ്
Anglo-phobia,ആംഗ്ലോ-ഫോബിയ
Anglo-Saxon,ആംഗ്ലോ-സാക്സൺ
Anglo-Saxonism,ആംഗ്ലോ-സാക്‌സോണിസം
