English,Punjabi
Abbey of Westminster,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
Abditory,ਨਿਮਰਤਾ
Abolition of slavery,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
Aboriginal,ਆਦਿਵਾਸੀ
Abraham Era,ਅਬਰਾਹਮ ਯੁੱਗ
Absentee landlords,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
Academy,ਅਕੈਡਮੀ
Accra conference,ਅਕਰਾ ਕਾਨਫਰੰਸ
Accruals,ਪ੍ਰਾਪਤੀ
Acculturation,ਐਕਲਚਰੇਸ਼ਨ
Aceldama,ਐਸੇਲਡਾਮਾ
Achaean (=Achian),ਅਚੀਅਨ (=ਅਚੀਅਨ)
Achaean League (=Achian League),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
Acropolis,ਐਕ੍ਰੋਪੋਲਿਸ
Acta Diurna,ਐਕਟਾ ਦਿਉਰਨਾ
Acta Senatus,ਐਕਟਾ ਸੇਨੇਟਸ
Acte Additionel,ਐਕਟ ਐਡੀਸ਼ਨਲ
Active record (=current record),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
Act of attainder,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
Act of Indemnity and oblivion,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
Act of Settlement,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
Ad contractus seal,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
Adullamites,ਅਦੁਲਾਮਾਈਟਸ
Adversary,ਵਿਰੋਧੀ
Adversary,ਵਿਰੋਧੀ
Aeon,ਏਯੋਨ
Aerarium,ਏਰੈਰੀਅਮ
Aerial warfare,ਹਵਾਈ ਜੰਗ
Aetolian League,ਏਟੋਲੀਅਨ ਲੀਗ
Age,ਉਮਰ
Ageing (=aging),ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
Ageing process,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
Agelai,ਅਗੇਲੈ
Age of chivalry,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
Age of Englightment,ਗਿਆਨ ਦੀ ਉਮਰ
Age of Pericles,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
Age of reason,ਕਾਰਨ ਦੀ ਉਮਰ
Agrarianism,ਖੇਤੀਵਾਦ
Agrarian movement,ਖੇਤੀ ਅੰਦੋਲਨ
Albion,ਐਲਬੀਅਨ
Album,ਐਲਬਮ
Alderman,ਐਲਡਰਮੈਨ
Allusive arms,ਲੁਭਾਉਣੇ ਹਥਿਆਰ
Amity,ਦੋਸਤੀ
Amphictyonic Council,Amphictyonic ਕੌਂਸਲ
Amphictyonic League,ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ
Amphitheatre,ਅਖਾੜਾ
Amri Nal group (of pottery),ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ)
Anachronism,ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ
Anachronistic,ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ
Ancestor,ਪੂਰਵਜ
Ancestor Worship,ਪੂਰਵਜ ਦੀ ਪੂਜਾ
Ancestry,ਵੰਸ਼
Ancestry,ਵੰਸ਼
Ancestry,ਵੰਸ਼
Ancestry,ਵੰਸ਼
Ancien regime,ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ
Ancient,ਪ੍ਰਾਚੀਨ
Ancient ballad,ਪ੍ਰਾਚੀਨ ਗੀਤ
Ancient belief,ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ
Ancient custom,ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ
Ancient history,ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ
Ancient monuments,ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ
Anecdote,ਕਿੱਸਾ
Angelot,ਐਂਜਲੋਟ
Angelus,ਐਂਜਲਸ
Angevin (=anjevin),ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ)
Angles,ਕੋਣ
Anglican,ਐਂਗਲੀਕਨ
Anglican Communion,ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ
Anglicanism,ਐਂਗਲੀਕਨਵਾਦ
Anglo-phobe,ਐਂਗਲੋ-ਫੋਬ
Anglo-phobia,ਐਂਗਲੋ-ਫੋਬੀਆ
Anglo-Saxon,ਐਂਗਲੋ-ਸੈਕਸਨ
Anglo-Saxonism,ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ
Annalist,ਐਨਾਲਿਸਟ
Annals,ਇਤਿਹਾਸ
Annexation,ਅਨੇਕਸ਼ਨ
Ante-bellum,ਐਂਟੀ-ਬੇਲਮ
Ante date,ਪਿਛਲੀ ਤਾਰੀਖ
Anti-clericalism,ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ
Anti-clerical legislation,ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ
Antiquity,ਪੁਰਾਤਨਤਾ
Anti-rent,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
Anti-rent,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
Anti Semitism,ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ
Anzac,ਐਨਜ਼ੈਕ
Apella,ਅਪੇਲਾ
Aralu,ਅਰਲੂ
Arch bishop,ਆਰਕ ਬਿਸ਼ਪ
Arch duchy,ਆਰਕ ਡਚੀ
Arch duke,ਆਰਕ ਡਿਊਕ
Archief (=archival collection),ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ)
Archiepiscopate,ਆਰਚੀਪੀਸਕੋਪੇਟ
Aristocracy,ਕੁਲੀਨ
Aristocrat,ਰਈਸ
Aristocratic snobbery,ਕੁਲੀਨ ਸਨੋਬਰੀ
Aristotelian,ਅਰਿਸਟੋਟਲੀਅਨ
Armada,ਆਰਮਾਡਾ
Armada (=The Spanish Armada),ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ)
Armorist (=armourist),ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ)
Armour (=armor),ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ)
Armourist,ਸ਼ਸਤਰਧਾਰਕ
Aryan,ਆਰੀਅਨ
Aryan,ਆਰੀਅਨ
Askari,ਅਸਕਰੀ
Assignat,ਅਸਾਈਨੈਟ
Assize,ਅਸਾਈਜ਼
Assize,ਅਸਾਈਜ਼
Assize,ਅਸਾਈਜ਼
Assize of Arms Act,ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ
Assize of Darrein Presentment,ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ
Assize of Mort 'D' Ancestor,ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ
Assize of Novel Disseisin,ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ
Atrocity,ਅੱਤਿਆਚਾਰ
Attack,ਹਮਲਾ
Aulic Council,ਔਲਿਕ ਕੌਂਸਲ
Axe of the Geddess (=the Geddess axe),ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ)
Axis (=The Rome-Berlin-Tokyo Axis),ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ)
Babylon,ਬਾਬਲ
Babylonian captivity (=Babylonish captivity),ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ)
Bacchanal devotee,ਬਚਨਲ ਭਗਤ
Bacchanalia,ਬਚਨਲਿਆ
Bachelor,ਕੁਆਰਾ
Baghdad Pact,ਬਗਦਾਦ ਸਮਝੌਤਾ
Balkan League,ਬਾਲਕਨ ਲੀਗ
Balkan Pact,ਬਾਲਕਨ ਸਮਝੌਤਾ
Balkan Wars,ਬਾਲਕਨ ਯੁੱਧ
Baltic Pact,ਬਾਲਟਿਕ ਸਮਝੌਤਾ
Bandit,ਡਾਕੂ
Bandung Conference,ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ
Banishment,ਦੇਸ਼ ਨਿਕਾਲੇ
Banner,ਬੈਨਰ
Barbarian,ਵਹਿਸ਼ੀ
Barbican,ਬਾਰਬੀਕਨ
Bardoli satyagraha,ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ
Barn Burners,ਬਾਰਨ ਬਰਨਰ
Baron,ਬੈਰਨ
Baronage,ਬੈਰੋਨੇਜ
Barones majores,ਬੈਰੋਨਸ ਮੇਜਰਸ
Barones minores,ਬੈਰੋਨਸ ਨਾਬਾਲਗ
Baroness,ਬੈਰੋਨੇਸ
Baronet,ਬੈਰੋਨੇਟ
Baronetage,ਬੈਰੋਨੇਟੇਜ
Baronetage,ਬੈਰੋਨੇਟੇਜ
Baronetcy,ਬੈਰੋਨੇਟਸੀ
Barony,ਬੈਰੋਨੀ
Barracoon,ਬੈਰਾਕੂਨ
Barracoon,ਬੈਰਾਕੂਨ
Barricade (=barricado),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
Barricade (=barricado),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
Barricade (=barricado),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
Base camp,ਬੇਸ ਕੈਂਪ
Basilica,ਬੇਸਿਲਿਕਾ
Basilica,ਬੇਸਿਲਿਕਾ
Bastila,ਬਸਤੀਲਾ
Bastille,ਬੈਸਟਿਲ
Bastille,ਬੈਸਟਿਲ
Battery,ਬੈਟਰੀ
Battle,ਲੜਾਈ
Batlle-array,ਬੈਟਲੇ-ਐਰੇ
Battle cry,ਲੜਾਈ ਦਾ ਰੋਣਾ
Battle din,ਲੜਾਈ ਦੀਨ
Battle field,ਲੜਾਈ ਦਾ ਮੈਦਾਨ
Battle hymn,ਲੜਾਈ ਦਾ ਭਜਨ
Battle of the Spurs,ਸਪਰਸ ਦੀ ਲੜਾਈ
