Tamil,Marathi
அசாதாரணமானது,असामान्य
கருக்கலைப்பு,गर्भपात
சிராய்ப்பு,घर्षण
திடீரென்று,अचानक
முழுமையான புல வலிமை,परिपूर्ण फील्ड सामर्थ्य
முழுமையான வெப்பநிலை,परिपूर्ण तापमान
துல்லியமான மதிப்பு,परिपूर्ण मूल्य
உறிஞ்சும்,शोषून घ्या
உறிஞ்சுதல் சக செயல்திறன்,शोषण सह-कार्यक्षम
உறிஞ்சுதல் இழப்பு,शोषण तोटा
சுருக்கம்,गोषवारा
முடுக்கமானி,एक्सेलरोमीटर
ஏற்பு சோதனை,स्वीकृती चाचणी
அணுகல்,प्रवेश
நுழைவு கட்டுப்பாடு,प्रवेश नियंत्रण
அணுகல் புள்ளி,प्रवेश बिंदू
அணுகல் நேரம்,प्रवेश वेळ
அணுகல்,प्रवेशयोग्यता
குவிப்பான் செல்,संचयक सेल
துல்லியம்,अचूकता
துல்லியமானது,अचूक
முடிச்சு லென்ஸ்,अ‍ॅक्रोमॅटिक लेन्स
அமிலம்,आम्ल
அமில ஆதாரம்,आम्ल पुरावा
அமிலத்தன்மை,आंबटपणा
ஒப்புதல் பிட்,पावती बिट
ஒலி,ध्वनिक
ஒலி தொடர்பு,ध्वनिक संप्रेषण
ஒலி பரவல்,ध्वनिक प्रसार
ஒலி சமநிலைப்படுத்தி,ध्वनिक समतुल्य
ஒலி கருத்து,ध्वनिक अभिप्राय
ஒலி வடிகட்டி,ध्वनिक फिल्टर
ஒலி மின்மறுப்பு,ध्वनिक प्रतिबाधा
ஒலி முகமூடி,ध्वनिक मास्किंग
ஒலி சக்தி,ध्वनिक शक्ती
சட்டவிரோத சொத்து,ध्वनिक मालमत्ता
ஒலி எதிர்வினை,ध्वनिक प्रतिक्रिया
ஒலி ரிஃப்ளெக்ஸ்,ध्वनिक प्रतिक्षेप
ஒலி ஓடு,ध्वनिक टाइल
ஒலி அலை,ध्वनिक लाट
ஒலியியல் உறிஞ்சுதல்,ध्वनिक शोषण
ஒலியியல் விழிப்புணர்வு மாறிலி,ध्वनीविषयक क्षीणन स्थिर
ஒலியியல் ஈரமாக்குதல்,ध्वनिकी ओलसर
ஒலியியல் தாமத வரி,ध्वनिक विलंब रेखा
ஒலியியல் விலகல்,ध्वनिक विकृती
ஒலியியல் குழாய்,ध्वनिक नलिका
ஒலியியல் ஆற்றல்,ध्वनिक ऊर्जा
ஒலியியல் கருத்து,ध्वनिक अभिप्राय
ஒலியியல் வடிகட்டி,ध्वनिक फिल्टर
ஒலியியல் மின்மறுப்பு,ध्वनीविषयक प्रतिबाधा
ஒலியியல் பரப்புதல் மாறிலி,ध्वनीविषयक प्रसार स्थिर
ஒலியியல் எதிர்ப்பு,ध्वनिक प्रतिकार
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,ध्वनिकरित्या इन्सुलेटेड
ஒலியியல்,ध्वनिकी
கையகப்படுத்தல்,संपादन
சுருக்கம்,परिवर्णी शब्द
செயல் பகுதி,कृती क्षेत्र
செயல்படுத்தப்பட்ட இழை,सक्रिय फिलामेंट
செயலில்,सक्रिय
செயலில் உள்ள பகுதி,सक्रिय क्षेत्र
செயலில் சாளரம்,सक्रिय विंडो
தகவமைப்பு,अनुकूलता
அடாப்டர் (அடாப்டர்),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
முகவரி புத்தகம்,अॅड्रेस बुक
முகவரி பஸ்,अ‍ॅड्रेस बस
முகவரி தீர்மானம்,पत्ता ठराव
அருகிலுள்ள சேனல் குறுக்கீடு,लगतच चॅनेल हस्तक्षेप
அருகிலுள்ள சேனல் தேர்வு,लगतच चॅनेल निवड
அருகிலுள்ள அதிர்வெண்,समीप वारंवारता
அருகிலுள்ள அதிர்வெண் சேனல்,समीप फ्रिक्वेन्सी चॅनेल
அருகிலுள்ள படம் கேரியர்,लगतचे चित्र वाहक
அருகிலுள்ள ஒலி கேரியர்,समीप ध्वनी वाहक
அருகிலுள்ள நிலையம்,समीप स्टेशन
சரிசெய்யக்கூடியது,समायोज्य
சரிசெய்யக்கூடிய மின்தேக்கி,समायोज्य कंडेन्सर
அழுத்தம் சரிசெய்தல்,दबाव समायोजित करणे
குறடு சரிசெய்தல்,पाना समायोजित करणे
சரிசெய்தல்,समायोजन
நிர்வாகி,प्रशासक
மேம்பட்ட தொழில்நுட்பம்,आधुनिक तंत्रज्ञान
வான்வழி,हवाई
வான்வழி வரிசை,एरियल अ‍ॅरे
வான்வழி பூஸ்டர்,एरियल बूस्टर
வான்வழி மின்னோட்டம்,एरियल करंट
வான்வழி பூமி சுவிட்ச்,एरियल अर्थिंग स्विच
வான்வழி செயல்திறன்,हवाई कार्यक्षमता
வான்வழி மின்மறுப்பு,हवाई प्रतिबाधा
வான்வழி தூண்டல்,एरियल इंडक्टन्स
வான்வழி இன்சுலேட்டர்,एरियल इन्सुलेटर
வான்வழி ஏற்றுதல் சுருள்,एरियल लोडिंग कॉइल
வான்வழி புகைப்படம்,एरियल फोटोग्राफी
வான்வழி சக்தி,हवाई शक्ती
வான்வழி கதிர்வீச்சு,एरियल रेडिएशन रीस्टन्स
வான்வழி எதிர்வினை,हवाई प्रतिक्रिया
ஏரோடைனமிக்ஸ்,एरोडायनामिक्स
ஏஜென்சி,एजन्सी
காற்று அழுத்தி,एअर कॉम्प्रेसर
ஏர் மின்தேக்கி,एअर कंडेन्सर
குளிா்ந்த காற்று,वातानुकूलित
காற்று கோர்ட் சுருள்,एअर कोर्ड कॉइल
ஏர் கண்டிஷனிங்,वातानुकुलीत
ஆல்பெடோ,अल्बेडो
வழிமுறை,अल्गोरिदम
மாற்றுப்பெயர்ச்சி,अलियासिंग
சீரமைத்தல்,संरेखित
சீரமைப்பு,संरेखन
அனைத்து அலை வான்வழி,सर्व वेव्ह एरियल
ஒதுக்கீடு,वाटप
அகரவரிசை,वर्णमाला
எண்ணெழுத்து,अल्फान्यूमेरिक
எண்ணெழுத்து எழுத்து,अल्फान्यूमेरिक वर्ण
எண்ணெழுத்து தகவல்,अल्फान्यूमेरिक माहिती
மாற்று மின்னோட்டம் (ஏ.சி.),वैकल्पिक चालू (ए.सी.)
மாற்று,वैकल्पिक
மின்மாற்றி,अल्टरनेटर
உயரம்,समुद्रसपाटीपासूनची उंची
அப்போஜியின் உயரம்,अपोजीची उंची
பெரிஜியின் உயரம்,पेरिगीची उंची
அமெச்சூர் வானொலி தொடர்பு,हौशी रेडिओ संप्रेषण
சூழ்நிலை,वातावरण
சுற்றுப்புற மைக்ரோஃபோன்,वातावरण मायक्रोफोन
சுற்றுப்புற நிலை,वातावरणीय स्थिती
சுற்றுப்புற விளக்குகள்,वातावरणीय प्रकाश
சுற்றுப்புற சத்தம்,सभोवतालचा आवाज
சுற்றுப்புற வெப்பநிலை,वातावरणीय तापमान
அமெரிக்கன் ஸ்டாண்டர்ட் கோட்,अमेरिकन मानक कोड
ஆம்பியர்,अँपियर
ஆம்பியர் மீட்டர்,अ‍ॅम्पेअर मीटर
