Bengali,Odiya
"1.অ্যাবাকাস, 2. গণনা","1. ଆବାକସ୍, ୨। ଗଣନା"
অস্বাভাবিক সমাপ্তি,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
পথিমধ্যে রোধ করা,ବାଧା
"1. পরম, 2. সর্বোচ্চ","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
পরম ঠিকানা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
পরম ঠিকানাযোগ্যতা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
পরম সংযোজনকারী,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. পরম কোড, 2. পরম কোড","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
পরম আদেশ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
পরম নির্দেশ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
পরম মোড,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
পরম পথ,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
বিমূর্ত ক্লাস,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
বিমূর্ত তথ্য প্রকার,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
বিমূর্ত মেশিন,ବିସ୍ତୃତ ମେସିନ୍ |
বিমূর্ত প্রতীক,ବିସ୍ତୃତ ପ୍ରତୀକ |
বিমূর্ত বাক্য গঠন,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
স্বীকৃতি পরীক্ষা,ଗ୍ରହଣ ପରୀକ୍ଷା
অ্যাক্সেস সার্টিফিকেশন,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
প্রবেশাধিকার নিয়ন্ত্রণ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
অ্যাক্সেস স্ক্যানিং,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
আনুষাঙ্গিক,ଆନୁଷଙ୍ଗିକ
অ্যাকাউন্টিং,ହିସାବ
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
সঞ্চয়কারী,ଜମାକାରୀ
"1. নির্ভুলতা, 2. সঠিকতা","1. ସଠିକତା, 2 ସଠିକତା"
অ্যাক্সেস,ପ୍ରବେଶ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
অ্যাক্সেস সূচক,ପ୍ରବେଶ ସୂଚକ
অ্যাক্সেস কী,ପ୍ରବେଶ କୀ
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
অ্যাক্সেস মোড,ପ୍ରବେଶ ମୋଡ୍
সুযোগ সুবিধা,ସୁବିଧା ପ୍ରବେଶ
অ্যাক্সেস নিরাপত্তা,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
প্রবেশাধিকার সময়,ପ୍ରବେଶ ସମୟ
স্বীকৃতি,ସ୍ୱୀକୃତି
ধ্বনিবিদ্যা,ଆକାଶବାଣୀ
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ"
কর্ম বার্তা,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
সক্রিয়করণ,ସକ୍ରିୟ
সক্রিয় সার্ভার পৃষ্ঠা,ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |
সক্রিয় সংস্করণ,ସକ୍ରିୟ ସଂସ୍କରଣ |
অ্যাসাইক্লিক,acyclic
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍"
যোগ করা),to sum)
সমষ্টি ফাইল,ରାଶି ଫାଇଲ୍ |
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ"
যোগকারী,ଆଡର୍
জানি,ଜାଣନ୍ତୁ |
ঠিকানা বাস,ଠିକଣା ବସ୍
ঠিকানা ফাইল,ଠିକଣା ଫାଇଲ୍ |
ঠিকানা বিন্যাস,ଠିକଣା ଫର୍ମାଟ୍
ঠিকানা জেনারেটর,ଠିକଣା ଜେନେରେଟର
ঠিকানা লাইন,ଠିକଣା ରେଖା
ঠিকানা ম্যাপিং,ଠିକଣା ମ୍ୟାପିଂ
ঠিকানা নির্দেশক,ଠିକଣା ସୂଚକ
ঠিকানা রেজিস্টার,ଠିକଣା ରେଜିଷ୍ଟର
ঠিকানা ভাঙ্গন,ଠିକଣା ଭାଙ୍ଗିବା
ঠিকানা অনুবাদ,ଠିକଣା ଅନୁବାଦ
