Malayalam,Telugu
വിലക്ഷണമായ,అసాధారణ
ഉപേക്ഷിക്കുക,అబార్ట్
വധനം,అబ్రేషన్
ആകസ്മികമായ,ఆకస్మిక
കേവല ഫീൽഡ് ശക്തി,సంపూర్ణ క్షేత్ర బలం
കേവല താപനില,సంపూర్ణ ఉష్ణోగ్రత
യഥാർത്ഥ മൂല്യം,సంపూర్ణ విలువ
ഉള്ക്കൊള്ളുക,గ్రహించండి
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,శోషణ సహ-సమర్థత
ആഗിരണം നഷ്ടം,శోషణ నష్టం
വേര്പെട്ടുനില്ക്കുന്ന,నైరూప్య
ആക്സിലറോമീറ്റർ,యాక్సిలెరోమీటర్
സ്വീകാര്യത പരിശോധന,అంగీకార పరీక్ష
പ്രവേശനം,యాక్సెస్
പ്രവേശന നിയന്ത്രണം,యాక్సెస్ నియంత్రణ
പ്രവേശന പോയിന്റ്,యాక్సెస్ పాయింట్
ആക്സസ് സമയം,ప్రాప్యత సమయం
പ്രവേശനക്ഷമത,సౌలభ్యాన్ని
സഞ്ചിത സെൽ,సంచిత కణం
കൃതത,ఖచ్చితత్వం
സൂക്ഷ്മമായ,ఖచ్చితమైనది
അച്രോമാറ്റിക് ലെൻസ്,అచ్రోమాటిక్ లెన్స్
പുളിപ്പുള്ള,ఆమ్లము
ആസിഡ് തെളിവ്,యాసిడ్ ప్రూఫ్
അസിഡിറ്റി,ఆమ్లత్వం
അംഗീകാര ബിറ്റ്,రసీదు బిట్
അക്കോസ്റ്റിക്,శబ్ద
അക്കോസ്റ്റിക് ആശയവിനിമയം,ఎకౌస్టిక్ కమ్యూనికేషన్
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,శబ్ద వ్యాప్తి
അക്കോസ്റ്റിക് ഇക്വൈസർ,ఎకౌస్టిక్ ఈక్వలైజర్
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,శబ్ద అభిప్రాయం
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,శబ్ద వడపోత
അക്കോസ്റ്റിക് ഇംപാസ്,శబ్ద ఇంపెడెన్స్
അക്കോസ്റ്റിക് മാസ്കിംഗ്,ఎకౌస్టిక్ మాస్కింగ్
അക്കോസ്റ്റിക് പവർ,శబ్ద శక్తి
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,శబ్ద ఆస్తి
അക്കോട്ടിക് റിയാൻസ്,శబ్ద ప్రతిచర్య
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,ఎకౌస్టిక్ రిఫ్లెక్స్
അക്കോസ്റ്റിക് ടൈൽ,శబ్ద టైల్
അക്ക ou സ്റ്റിക് തരംഗം,శబ్ద వేవ్
ശബ്ദ ആഗിരണം,శబ్ద శోషణ
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
അക്കോസ്റ്റിക്കൽ നനവ്,శబ్ద డంపింగ్
അക്കോസ്റ്റിക്കൽ കാലതാമസം,శబ్ద ఆలస్యం రేఖ
അക്കോസ്റ്റിക്കൽ വക്രമാനം,శబ్ద వక్రీకరణ
അക്കോസ്റ്റിക്കൽ നാളം,శబ్ద వాహిక
അക്കോസ്റ്റിക്കൽ എനർജി,శబ్ద శక్తి
അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്,శబ్ద అభిప్రాయం
അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ,శబ్ద వడపోత
അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്,శబ్ద ఇంపెడెన్స్
അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം,శబ్ద ప్రచారం స్థిరాంకం
അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്,శబ్ద నిరోధకత
ശബ്ദപരമായി ഇൻസുലേറ്റ്,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
അക്കോസ്റ്റിക്സ്,ధ్వని
കൈവശപ്പെടുത്തൽ,సముపార్జన
സംക്ഷേപം,ఎక్రోనిం
പ്രവർത്തന മേഖല,కార్యాచరణ ప్రాంతం
സജീവമാക്കിയ ഫിലമെന്റ്,సక్రియం చేయబడిన ఫిలమెంట్
സജീവമായ,క్రియాశీల
സജീവ ഏരിയ,క్రియాశీల ప్రాంతం
സജീവ വിൻഡോ,క్రియాశీల విండో
പൊരുത്തപ്പെടലി,అనుకూలత
അഡാപ്റ്റർ (അഡാപ്റ്റർ),అడాప్టర్
അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
മേൽവിലാസ പുസ്തകം,చిరునామా పుస్తకం
വിലാസ ബസ്,చిరునామా బస్సు
വിലാസ മിഴിവ്,చిరునామా తీర్మానం
തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
അടുത്തുള്ള ആവൃത്തി,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
അടുത്തുള്ള സ്റ്റേഷൻ,ప్రక్కనే ఉన్న స్టేషన్
കമീകരിക്കുന്ന,సర్దుబాటు
ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ,సర్దుబాటు కండెన్సర్
സമ്മർദ്ദം ക്രമീകരിക്കുന്നു,సర్దుబాటు ఒత్తిడిని
റെഞ്ച് ക്രമീകരിക്കുന്നു,రెంచ్ సర్దుబాటు
കമപ്പെടുത്തല്,సర్దుబాటు
ഭരണാധിപന്,నిర్వాహకుడు
നൂതന സാങ്കേതികവിദ്യ,అధునాతన సాంకేతిక పరిజ్ఞానం
ഏരിയൽ,ఆకాశయాన
