English,Assamese
A (Ampere unit of current),এম্পিয়াৰ (ইউনিট)
A (angstrom),angstrum
A amplifier,এ-ক্লাছ এম্প্লিফায়াৰ
A-N radio range,এ এন ৰেডিঅ&#39; সহায়
A-scan presentation,a-স্কেনিং উপস্থাপন
A-scope,আ-দৰ্শ
A-scope display,এ-স্কোপ পৰিৱেশন
A-T Cut crystal,A-T বক্ৰ স্ফটিক
A.c-d.c. gain,"এ চি-ডি চি লাভ, ক. চিডি। চি লাভী, এ. চিডি। গ) পৰিবৰ্ধন"
A.M. (ante meridiem),am
A.m.u. (atomic mass unit),এ এম ইউ (পাৰমাণৱিক ভৰ একক)
Aard-vark,aard-vark* গেস্টবুক
Ab ampere,ab-ampere
AB amplifier,A-B শ্ৰেণীৰ এম্প্লিফায়াৰ
Ab initio,আদাহ
AB power pack,ক-খ শক্তি পিটকা
Abac=alignment chart=nomograph,abc = প্ৰান্তিককৰণ চাৰ্ট = নোমোগ্ৰাফ
Abbe number (=Abbe constant),Abe সংখ্যা (Abe ধ্ৰুৱক)
ABBE refractometer,abe বিবৰ্তনমাপক
Abbe sine condition,abe চাইন অৱস্থা
Abc (automatic bias compensation),স্বয়ংক্ৰিয় পক্ষপাতিত্ব ক্ষতিপূৰণ
Abcoulomb,abcoulom
Aberration,বিচ্যুতি
Aberration corrector lens,বিচ্যুতি সংশোধক লেন্স
Aberration of light,আকাশৰ বিচ্যুতি
Abfarad,abfarad
Abhenry,এবেনৰী
Abney effect (=Abney law),আবলুস ইফেক্ট
Abnormal polarisation,অস্বাভাৱিক মেৰুকৰণ
Abnormal propagation,অস্বাভাৱিক সংক্ৰমণ
Abnormal reflection,অস্বাভাৱিক প্ৰতিফলন
Abnormal refraction,অস্বাভাৱিক বিবৰ্তন*
Abnormal resistance,পেৰানাৰ্মেল ৰেজিষ্টেন্স
Abohm,ab-om
Abortion,"preponderance, বিফলতা"
Abrupt,"সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত"
Abrupt jump,সঘনাই জপিয়াই পৰে
Abscissa,হাত*
Absent reflection,হেৰুৱা প্ৰতিফলন
Absent spectrum,অনুপস্থিত বৰ্ণালী
Absolute,"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
Absolute acceleration,নিৰপেক্ষ ত্বৰণ
Absolute accuracy,নিৰপেক্ষ বাস্তৱতা
Absolute address-specific address,নিৰপেক্ষ ঠিকনা
Absolute altimeter,ভূ-আপেক্ষিক উচ্চতামাপক
Absolute altitude,ভূতাত্ত্বিক উচ্চতা
Absolute ampere,নিৰপেক্ষ এম্পিয়াৰ
Absolute boilling point,নিৰপেক্ষ উতলাংক
Absolute bolometric luminosity,নিৰপেক্ষ আলোকসজ্জা
Absolute capacity,নিৰপেক্ষ ধাৰণক্ষমতা
Absolute ceiling,নিৰপেক্ষ উচ্চতা
Absolute colour index,নিৰপেক্ষ ৰঞ্জক পদাৰ্থ
Absolute configuration,"নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস"
Absolute coulomb,নিৰপেক্ষ coulomb
Absolute darkness,সম্পূৰ্ণ অন্ধকাৰ
Absolute dating,নিৰপেক্ষ সময়সূচী
Absolute density,নিৰপেক্ষ ঘনত্ব*
Absolute drift,নিৰপেক্ষ নিষ্কাশন
Absolute e.m.u.,নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক)
Absolute e.s.u.,নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক)
Absolute efficiency,নিৰপেক্ষ দক্ষতা
Absolute electrometer,নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ
Absolute frequency,নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক
Absolute humidity,নিৰপেক্ষ আৰ্দ্ৰতা
Absolute incidence,নিৰপেক্ষ প্ৰাদুৰ্ভাৱ
Absolute index of refraction,নিৰপেক্ষ বিবৰ্তন সূচকাংক
Absolute instability,নিৰপেক্ষ অস্থিৰতা
Absolute intensity,নিৰপেক্ষ অস্থিৰতা
Absolute length,"নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা"
Absolute limit of hysteresis,এষ্টেনিয়াৰ নিৰপেক্ষ সীমা
Absolute luminance threshold,নিৰপেক্ষ আলোকসজ্জা sill
Absolute luminosity curve,নিৰপেক্ষ পোহৰৰ বক্ৰ
Absolute magnitude,নিৰপেক্ষ পৰিমাণ
Absolute manometer,নিৰপেক্ষ বেৰ&#39;মিটাৰ
Absolute maximum,পৰম পৰম
Absolute maximum rating,নিৰপেক্ষ চৰম
Absolute minimum,নিৰপেক্ষ সৰ্বনিম্ন
Absolute momentum,নিৰপেক্ষ গতিবেগ
Absolute motion,নিৰপেক্ষ গতি
Absolute music=pure music,নিৰপেক্ষ সংগীত
Absolute observation,নিৰপেক্ষ পৰ্যবেক্ষণ
Absolute ohm,নিৰপেক্ষ ওম
Absolute orientation,নিৰপেক্ষ অভিমুখীতা
Absolute permittivity,নিৰপেক্ষ বিদ্যুৎঋণাত্মকতা
Absolute pitch,নিৰপেক্ষ মাধ্যাকৰ্ষণ
Absolute pressure = true pressure,নিৰপেক্ষ চাপ
Absolute property,নিৰপেক্ষ সম্পত্তি
Absolute scalar,নিৰপেক্ষ স্কেলাৰ
Absolute scale of temperature,উষ্ণতাৰ চূড়ান্ত স্কেল*
Absolute simultancity,"নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা"
Absolute stress,নিৰপেক্ষ চাপ
Absolute symmetry,নিৰপেক্ষ প্ৰতিসমতা
Absolute system of motion,নিৰপেক্ষ গতি শৰীৰ
Absolute system of units,নিৰপেক্ষ একক ব্যৱস্থা
Absolute temperature,নিৰপেক্ষ উষ্ণতা
Absolute time,নিৰপেক্ষ সময়
Absolute unit,নিৰপেক্ষ এককসমূহ
Absolute value,নিৰপেক্ষ মূল্য
Absolute value computer,পূৰ্ণসংখ্যা কেলকুলেটৰ
Absolute velocity,নিৰপেক্ষ বেগ
Absolute viscosity,নিৰপেক্ষ আঠালতীয়াতা
Absolute weight,নিৰপেক্ষ ওজন
Absolute zero,নিৰপেক্ষ শূন্য*
Absolute zero devisor,শূন্যৰ নিৰপেক্ষ হজক
Absorb,শুহি লোৱা
Absorbance,শোষণ সূচকাংক*
Absorbed energy,শোষিত শক্তি
Absorber,"শোষক, শোষক"
Absorbing medium,শোষক মাধ্যম*
Absorbing power,শোষণ ক্ষমতা
Absorptance,শোষণ ক্ষমতা
Absorptiometer,শোষণমাপক*
Absorptiometry,শোষণমিতি*
Absorption,শোষণ
Absorption band,শোষণ - বেণ্ড*
Absorption circuit,শোষণ বৰ্তনী
Absorption coeffieient,শোষণ সহগ
Absorption column,শোষণ স্তম্ভ
Absorption constant,শোষণ ধ্ৰুৱক
Absorption continua,শোষণ ধাৰাবাহিকতা
Absorption cross section,শোষণ অঞ্চল
Absorption current,শোষণ কাৰেণ্ট
Absorption curve (=transmission curve),শোষণ বক্ৰ*
Absorption discontinuity,শোষণ ভাঙন
Absorption edge,শোষণ কোৰ
Absorption factor,শোষণ কাৰক
Absorption filter,শোষণ ফিল্টাৰ
Absorption flame photometry,শোষণ শিখা ফটোমেট্ৰি*
Absorption hygrometer,শোষণ হাইগ্ৰ’মিটাৰ
Absorption index,শোষণ ঘাত
Absorption limit,শোষণ প্ৰান্তীয়
Absorption line,শোষণ ৰেখা
Absorption loss,শোষণ ক্ষতি
Absorption modulation=loss modulation,শোষণ মডুলেচন
Absorption of light,পোহৰ শোষণ
Absorption of radiant energy,বিকিৰণ শক্তি শোষণ কৰা
Absorption peak,শোষণ শিখৰ
Absorption photometry,শোষণ আলোকমিতি
Absorption ratio,শোষণ অনুপাত
Absorption series,শোষণ পৰিসৰ*
Absorption spectro photometry,শোষণ বৰ্ণালী আলোকমিতি*
Absorption spectrum,শোষণ বৰ্ণালী*
Absorption tube,"শোষণ নলী, শোষণ নলী"
Absorption vavemeter,শোষণ হাইগ্ৰ’মিটাৰ
Absorptive,শোষক*
Absorptive attenuator,শোষক বাষ্পীভৱনকাৰী
Absorptive law,শোষণ নিয়ম*
Absorptive medium,শোষণ মাধ্যম
Absorptive power,"শোষণ ক্ষমতা, শোষণ ক্ষমতা*"
Absorptivity,শোষণ ক্ষমতা*
Abstract set=studio decoration,ষ্টুডিঅ&#39; সজ্জা
Abundance ratio,বহুগুণতা অনুপাত
Abvolt,abvolt
Abwatt,বিষয়ে
Accelerate,ত্বৰান্বিত কৰক
Accelerate-stop distance,ত্বৰণ-বন্ধ দূৰত্ব
Accelerated,খৰধৰকৈ উঠিল
Accelerated ageing test,দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা
Accelerated flow,দ্ৰুত প্ৰবাহ
Accelerated motion,দ্ৰুত গতি
Accelerated system,দ্ৰুত শৰীৰ
Accelerating balance,ত্বৰণকাৰী ওজনকাৰী
Accelerating electrode,ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*
Accelerating period,ত্বৰক সময়*
Accelerating phase,ত্বৰণকাৰী পৰ্যায়
Accelerating rate,ত্বৰণকাৰীৰ হাৰ
Accelerating voltage,এক্সিলেটৰ ভোল্টেজ*
Acceleration,বেগ বৃদ্ধি
Acceleration blowout=rich extinction=flame out,ত্বৰান্বিত দহন
Acceleration coefficient,ত্বৰণ সহগ
Acceleration component,ত্বৰণ উপাদান
Acceleration due to gravity,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
Acceleration factor,ত্বৰণ কাৰক
Acceleration feedback,ত্বৰিত চাৰ্জ
Acceleration of gravity,মাধ্যাকৰ্ষণৰ ত্বৰণ
Acceleration potential,ত্বৰণ বিভৱ
Acceleration principle,ত্বৰণ আইন
Acceleration process,ত্বৰণ প্ৰক্ৰিয়া
Acceleration space,ত্বৰণ অঞ্চল
Acceleration technique,ত্বৰণ পদ্ধতি
Acceleration tolerance,"ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা"
Acceleration vector,ত্বৰণ ভেক্টৰ
Acceleration voltage,ত্বৰণ-ভোল্টেজ
Acceleration wave,ত্বৰণ তৰংগ
Accelerative,ত্বৰণকাৰী
Accelerator,"accelerate, ত্বৰণকাৰী*"
Accelerator equation,ত্বৰক সমীকৰণ
Accelerograph,ত্বৰণকাৰী*
Accelerometer,এক্সিলেৰমিটাৰ
Accelerometer matching,এক্সিলেৰমিটাৰ মিলন
Accentuator,প্ৰিষ্ট্ৰেছাৰ
Acceptable character,বৈধ আখৰ
Acceptance angle,গ্ৰহণযোগ্যতা কোণ
Acceptance specifications,গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ
Acceptance test,গ্ৰহণযোগ্য পৰীক্ষা
