Tamil,Marathi
"1.அபாகஸ், 2. எண்ணும்","1.अॅबॅकस, 2. मोजणी"
அசாதாரண முடிவு,असामान्य शेवट
இடைமறிக்கவும்,इंटरसेप्ट
"1. முழுமையான, 2. உச்சம்","1. निरपेक्ष, 2. सर्वोच्च"
முழுமையான முகவரி,परिपूर्ण पत्ता
முழுமையான முகவரித்திறன்,परिपूर्ण पत्ता योग्यता
முழுமையான அசெம்பிளர்,परिपूर्ण असेंबलर
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
முழுமையான கட்டளை,निरपेक्ष आज्ञा
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
முழுமையான அறிவுறுத்தல்,परिपूर्ण सूचना
முழுமையான பயன்முறை,परिपूर्ण मोड
முழுமையான பாதை,परिपूर्ण मार्ग
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
சுருக்க வர்க்கம்,अमूर्त वर्ग
சுருக்க தரவு வகை,अमूर्त डेटा प्रकार
சுருக்க இயந்திரம்,अमूर्त मशीन
சுருக்க சின்னம்,अमूर्त चिन्ह
சுருக்க தொடரியல்,अमूर्त वाक्यरचना
ஏற்பு சோதனை,स्वीकृती चाचणी
அணுகல் சான்றிதழ்,प्रवेश प्रमाणपत्र
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. प्रवेश कोड, 2. प्रवेश कोड"
நுழைவு கட்டுப்பாடு,प्रवेश नियंत्रण
அணுகல் ஸ்கேனிங்,प्रवेश स्कॅनिंग
பாகங்கள்,उपकरणे
கணக்கியல்,लेखा
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. खाते आयडी, 2. लेखा ओळख"
திரட்டி,संचयक
"1. துல்லியம், 2. துல்லியம்","1. अचूकता, 2. अचूकता"
அணுகல்,प्रवेश
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,प्रवेश नियंत्रण बाइट्स
அணுகல் காட்டி,प्रवेश सूचक
அணுகல் விசை,प्रवेश की
"1. அணுகல் அணி, 2. அணுகல் அணி","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
அணுகல் முறை,प्रवेश मोड
அணுகல் சலுகைகள்,प्रवेश विशेषाधिकार
அணுகல் பாதுகாப்பு,प्रवेश सुरक्षा
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
அணுகல் நேரம்,प्रवेश वेळ
ஒப்புகை,पोचपावती
ஒலியியல்,ध्वनीशास्त्र
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய","1. संक्षेप, 2. संक्षेप, 3. पासून लहान"
செயல் செய்தி,क्रिया संदेश
செயல்படுத்துதல்,सक्रियकरण
செயலில் உள்ள சர்வர் பக்கம்,सक्रिय सर्व्हर पृष्ठ
