Odiya,Telugu
ଆବଦ୍ଧ,తగ్గింపు
ସଂକ୍ଷିପ୍ତକରଣ,సంక్షిప్తీకరణ
ଅପହରଣ,అపహరణ
ଆବେରୀ,Abeyance
ଦକ୍ଷତା,సామర్థ్యం
Ab initio,అబ్ ఇనిషియో
ସକ୍ଷମ,సామర్థ్యం
ଅସ୍ୱାଭାବିକ |,అసాధారణ
ଚତୁରତା,రద్దు
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,నిర్మూలన పోస్ట్
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,పైన పేర్కొన్నారు
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,పైన కోట్ చేయబడింది
ଉପରେ କହିଲା,పైన చెప్పారు
ଅନୁପସ୍ଥିତି,లేకపోవడం
ଅଧ୍ୟାପୀ,హాజరుకాని
ଅନୁପସ୍ଥିତତା,హాజరుకానితనం
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,హాజరుకాని ప్రకటన
ସଂପୂର୍ଣ୍ଣ,సంపూర్ణ
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,సంపూర్ణ గుత్తాధిపత్యం
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,సంపూర్ణ యాజమాన్యం
ଶୋଷଣ,శోషణ
ବିସ୍ତୃତ,నైరూప్య
ବିସ୍ତୃତ,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
ଅବ urd ଧ |,అసంబద్ధం
ପ୍ରଚୁରତା,సమృద్ధి
ଶକ୍ତିର ଅପବ୍ୟବହାର |,అధికార దుర్వినియోగం
ଅପମାନଜନକ ଭାଷା |,దుర్వినియోగ భాష
ଏକାଡେମିକ୍ |,విద్యావేత్త
ଏକାଡେମିକ୍ ଆଲୋଚନା,విద్యా చర్చ
ଏକାଡେମିକ୍ ଛୁଟି |,విద్యా సెలవు
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,విద్యా అర్హత
ଏକାଡେମିକ୍ ରେକର୍ଡ |,విద్యా రికార్డు
ଧ୍ୟାନଦେଇ,ACCEDE
ଗ୍ରହଣ କର,అంగీకరించండి
ଗ୍ରହଣ,అంగీకారం
ଅଫିସ୍ ଗ୍ରହଣ,కార్యాలయం అంగీకారం
ଟେଣ୍ଡର ଗ୍ରହଣ,టెండర్ అంగీకారం
ପ୍ରବେଶ,యాక్సెస్
ପ୍ରବେଶ,ప్రవేశం
ଆନୁଷଙ୍ଗିକ,అనుబంధ
ଦୁର୍ଘଟଣା,ప్రమాదం
ସୁକମ୍ଲାଇଜେସନ୍,అలవాటు
ଆବାସ,వసతి
ସାଥୀ,తోడు
ଆକର୍ଡ,ఒప్పందం
ସମ୍ପତ୍ତୀ,అనుగుణంగా
ସେହି ଅନୁଯାୟୀ |,దీని ప్రకారం
ଖାତା,ఖాతా
ଉତ୍ତରଦାୟିତ୍ୱ,జవాబుదారీతనం
ଉତ୍ତରଦାୟୀ |,జవాబుదారీతనం
ଆକାଉଣ୍ଟାଣ୍ଟି,అకౌంటెన్సీ
ଆକାଉଣ୍ଟାଣ୍ଟ,అకౌంటెంట్
ଖାତା ପାଇଁ,ఖాతా
ଖାତା ହେଡ୍,ఖాతా హెడ్
ଅଭିଯୋଗ ଲାଭ,సేకరించిన ప్రయోజనం
ପେନ୍ ପେନ୍ସନ୍,పెన్షన్ పెన్షన్
ଜମା,చేరడం
ସଠିକତା,ఖచ్చితత్వం
ସଠିକ୍,ఖచ్చితమైనది
ଅଭିଯୋଗ,నిందించండి
ଅଭିଯୁକ୍ତ,ఆరోపణలు
ସଫଳତା,సాధన
ସ୍ୱୀକୃତି,గుర్తింపు
ସ୍ୱୀକୃତି ଦେବାର |,రసీదు గడువు
ପରିଚୟ,పరిచయము
ଅଧିଗ୍ରହଣ,సముపార్జన
ନିର୍ଦ୍ଦୋଷ,సముపార్జన
କାର୍ଯ୍ୟ କର,చట్టం
ଅଭିନୟ ଭତ୍ତା,నటన భత్యం
କାର୍ଯ୍ୟ,చర్య
କ୍ରିୟା ଯୋଜନା,కార్య ప్రణాళిక
ସକ୍ରିୟ,క్రియాశీల
ସକ୍ରିୟ ଭାବରେ |,చురుకుగా
କାର୍ଯ୍ୟକର୍ତ୍ତା,కార్యకర్త
God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ,దైవఘటన
ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ,దుష్ప్రవర్తన చర్య
କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |,కమీషన్ మరియు కమీషన్
ପ୍ରକୃତ,అసలు
କାର୍ଯ୍ୟ,వాస్తవాలు
ଆଡାପ୍ଟେସନ୍,అనుసరణ
ଯୋଗ,అదనంగా
ଅତିରିକ୍ତ ଚାର୍ଜ,అదనపు ఛార్జ్
ଅତିରିକ୍ତ ପାଣ୍ଠି,అదనపు ఫండ్
ଅତିରିକ୍ତ ଅନୁଦାନ,అదనపు గ్రాంట్
ଅତିରିକ୍ତ ସୂଚନା,అదనపు సమాచారం
ଅତିରିକ୍ତ ଦେୟ,అదనపు వేతనం
ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ,అదనంగా మరియు మార్పు
ଠିକଣା,చిరునామా
ଆଡ୍ରେସେେ |,చిరునామా
ସ୍ୱାଗତିବାର ଠିକଣା,స్వాగత చిరునామా
ପର୍ଯ୍ୟାପ୍ତ,తగినంత
ନିୟମ ପାଳନ,కట్టుబడి
ଅନୁପଚାରି,తాత్కాలిక హాక్
ବିଜ୍ଞାପନ ହକ୍ ଦାବି |,తాత్కాలిక దావా
ବିଜ୍ଞାପନ ହକ୍ କମିଟି |,తాత్కాలిక కమిటీ
AD HOC ବୃଦ୍ଧି |,తాత్కాలిక పెరుగుదల
ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |,తాత్కాలిక చెల్లింపు
ସଂଲଗ୍ନ,ప్రక్కనే
ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ),ప్రక్కనే (= పరస్పర)
ସ୍ଥଗିତତା,వాయిదా
ଆଡଜାଇବା ଗତି,వాయిదా చలన
ସମର୍ଥନ କର ଘର,అనుబంధం
ଗୁଚିଚୀନିକ,తీర్పు
ସମର୍ଥନ,తీర్పు
ଆଦ୍ବ୍ରୀକରଣ,న్యాయాధికారి
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,సర్దుబాటు
