Bengali,Punjabi
অবসান,ਪਰੇਸ਼ਾਨੀ
সংক্ষেপণ,ਸੰਖੇਪ
অপহরণ,ਅਗਵਾ
অবসান,ਧਾਰਨਾ
ক্ষমতা,ਯੋਗਤਾ
অ্যাব initio,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
সক্ষম,ਯੋਗ
অস্বাভাবিক,ਅਸਧਾਰਨ
বিলুপ্তি,ਖਤਮ
বিলোপ পোস্ট,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
উপর্যুক্ত,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
উপরে উদ্ধৃত,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
উপরে বলেছেন,ਉਪਰੋਕਤ ਕਿਹਾ
অনুপস্থিতি,ਗੈਰਹਾਜ਼ਰੀ
অনুপস্থিত,ਗੈਰਹਾਜ਼ਰ
অনুপস্থিতি,ਗੈਰਹਾਜ਼ਰ
অনুপস্থিত বিবৃতি,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
পরম,ਅਸੀਮ
পরম একচেটিয়া,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
পরম মালিকানা,ਸੰਪੂਰਨ ਮਾਲਕੀ
শোষণ,ਸਮਾਈ
বিমূর্ত,ਸਾਰ
অ্যাবস্ট্রাক্টস্টেটমেন্ট,ਸੰਖੇਪ
অযৌক্তিক,ਬੇਹੂਦਾ
প্রাচুর্য,ਬਹੁਤਾਤ
ক্ষমতার অপব্যবহার,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
অবমাননাকর ভাষা,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
একাডেমিক,ਅਕਾਦਮਿਕ
একাডেমিক আলোচনা,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
একাডেমিক ছুটি,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
শিক্ষাগত যোগ্যতা,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
