Hindi,Bengali
आबेली समूह,আবেলি গ্রুপ
आबेली सामिसमूह,আবেলি গ্রুপ
भुज,হাত
"निरपेक्ष, परम, अचर, परिशुद्‌ध","পরম, পরম, ধ্রুবক, সুনির্দিষ্ট"
निरपेक्ष अभिसरण,পরম মিলন
निरपेक्ष त्रुटि,পরম ত্রুটি
परम उच्चिष्ठ,সর্বোচ্চ সর্বোচ্চ
परम निम्निष्ठ,পরম সর্বনিম্ন
निरपेक्ष मान,পরম মান
निरपेक्ष वेग,পরম বেগ
अमूर्त बीजगणित,বিমূর্ত বীজগণিত
अमूर्त समूह सिद्‌धांत,বিমূর্ত গ্রুপ তত্ত্ব
त्वरण,ত্বরণ
गुरुत्वीय त्वरण,মহাকর্ষীয় ত্বরণ
स्वीकार्य वरण-समुच्चय,গ্রহণযোগ্য নির্বাচক
स्वीकार्य गुणता स्तर,গ্রহণযোগ্য মানের স্তর
स्वीकार्य परिसर,গ্রহণযোগ্য প্রাঙ্গনে
मान्य विश्वसनीयता स्तर,বৈধ নির্ভরযোগ্যতা স্তর
स्वीकरण-प्रतिचयन,গ্রহণযোগ্যতা নমুনা
संचित त्रुटि,সঞ্চিত ত্রুটি
यथार्थता,সঠিকতা
लगा हुआ बल,প্রযুক্ত বল
" क्रिया , कर्म","কর্ম, কাজ"
क्रिया और प्रतिक्रिया,কর্ম এবং প্রতিক্রিয়া
बीमा विज्ञान,বীমা বিজ্ঞান
न्यूनकोण त्रिभुज,তীব্র ত্রিভুজ
अचक्रीय,অ্যাসাইক্লিক
"योग करना, जोड़ना",যোগফল
योजक,যোগকারী
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","যোগফল, যোগ, যোগফল (গ.), যোগ (v.)"
योग का सूत्र,যোগের সূত্র
सम्मिश्र संख्याओं का योग,জটিল সংখ্যার যোগফল
फलनों का योग,ফাংশনের যোগফল
आव्यूहों का योग,ম্যাট্রিক্সের যোগফল
बहुपदों का योग,বহুপদীর সমষ্টি
प्रायिकताओं का योग,সম্ভাবনার যোগফল
सदिशों का योग,ভেক্টরের সমষ্টি
"योग प्रमेय बेरीज सिद्‌धांत,","যোগ উপপাদ্য, বেরি তত্ত্ব"
योज्य समूह,সংযোজনকারী গ্রুপ
योज्य व्युत्क्रम,সংযোজন বিপরীত
"योज्यता, योगशीलता",যোগযোগ্যতা
योज्यता,যোগযোগ্যতা
आसन्नता आव्यूह,অন্তিক ম্যাট্রিক্স
" संलग्न, निकटवर्ती , आसन्न","সংলগ্ন, সংলগ্ন, সংলগ্ন"
आसन्न कोण,সংলগ্ন কোণ
आसन्न शीर्ष,সংলগ্ন শীর্ষবিন্দু
सहबद्‌ध करना,যুক্ত করা
"संलग्न संलग्नीत,",সংযুক্ত ঘের
सहखंडज सारणिक,সাধারণ নির্ধারক
संलग्न अवकल समीकरण,সংযুক্ত ডিফারেনশিয়াল সমীকরণ
संलग्न समीकरण,সংযুক্ত সমীকরণ
सहखंडज आव्यूह,সমগোত্রীয় ম্যাট্রিক্স
आव्यूह सहखंडज,ম্যাট্রিক্স সমন্বয়
सहखंडज आव्यूह,সমগোত্রীয় ম্যাট্রিক্স
ग्राह्य निर्णय फलन,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ग्राह्य परिकल्पना,গ্রহণযোগ্য অনুমান
वायुगतिक बल,এরোডাইনামিক বল
वायु गतिकी,বায়ুগতিবিদ্যা
