Hindi,Gujarati
अजीवात् जनन,અજૈવિક પ્રજનન
अपसामान्य,પેરાનોર્મલ
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. ચોથું પેટ 2. Evomasome
रुद्ध-वृद्धि अंग,સ્ટોમેટલ વૃદ્ધિ અંગ
रुद्ध वृद्धि बीज,રૂંધાયેલ વૃદ્ધિ બીજ
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ
अवशोषित धनायन,શોષિત કેશન
अवशोषण,શોષણ
ऐबिसिनी सरसों,એબિસિનિયન મસ્ટર્ડ
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. એકેરિસાઇડ
अकेंद्री,કેન્દ્રબિંદુ
प्रवर्धन (कोशिका),એમ્પ્લીફિકેશન (કોષ)
स्वीकृत सह्यता,મંજૂર સહનશીલતા
1.अतिरिक्त 2. सहायक 3. गौण,1. વધારાની 2. સહાયક 3. સહાયક
पर्यनुकूलन,અનુકૂલન
संचय,સંચય
1.vयथार्थता 2. परिशुद्धता,1. શુષ્કતા 2. ચોકસાઇ
1. एसर्वुलस 2. बीजाणुपात्र,1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન
1. अम्लीकरण 2. अम्लन,1. એસિડીકરણ 2. એસિડીકરણ
1.अम्लतामापी 2. एसिडीमीटर,1. એસિડિમીટર 2. એસિડિમીટર
अम्लता,એસિડિટી
अम्लरागी,એસિડોફાઇલ
अम्लीकृत रॉक फॉस्फेट,એસિડિફાઇડ રોક ફોસ્ફેટ
अम्लसह,એસિડિફાઇડ
जलभृत,જલભર
अधिग्रहण,સંપાદન
एकड़,એકર
1.क्षेत्रफल 2. रकबा,1. વિસ્તાર 2. વિસ્તાર
उपांत बिंदु क्रोमोसोम,અંતિમ બિંદુ રંગસૂત્ર
अग्राभिसारी,આગળ દેખાતું
ऐक्रोसोम,એક્રોસમ
एक्टिनोमाइसिटीज,એક્ટિનોમીસેટ્સ
सक्रिय मूलक्षेत्र,સક્રિય કોર
1.उग्र 2. तीव्र,1. ગુસ્સે 2. તીવ્ર
अनुकूलनशीलता,અનુકૂલનક્ષમતા
अनुकूलन,કસ્ટમાઇઝેશન
1. आसंजन 2. अभिलाग,1. સંલગ્નતા 2. સંલગ્નતા
वसामय,સેબેસીયસ
समायोजन समीकरण,ગોઠવણ સમીકરણ
ऐडोब मृदा,એડોબ માટી
अपमिश्रक,ભેળસેળ કરનાર
अपस्थानिक,એક્ટોપિક
इसीडियोस्पोर इसीडियम बीजाणु,ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ
वातोढ़ प्रक्रिया,એરોડાયનેમિક પ્રક્રિયા
वातोढ़,વેન્ટ્રલ
वातन करना,વાયુયુક્ત કરવું
