Gujarati,Hindi
એમ્પીયર (એકમ),ऐम्पियर (मात्रक)
એંગસ્ટ્રમ,ऐंगस्ट्रम
એ-ક્લાસ એમ્પ્લીફાયર,ए-वर्ग प्रवर्धक
એએન રેડિયો સહાય,ए.एन रेडियो सहाय
a-સ્કેનીંગ પ્રસ્તુતિ,ए-क्रमवीक्षण प्रस्तुति
a-દર્શ,ए-दर्श
A-સ્કોપ કામગીરી,ए-स्कोप प्रदर्शन
A-T વક્ર ક્રિસ્ટલ,ए-टी कर्तित क्रिस्टल
"એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
છું,पूर्वाह्न
AMU (અણુ સમૂહ એકમ),ए.एम.यू. (परमाणु संहति मात्रक)
આર્ડ-વાર્ક*,आर्ड-वार्क*
એબ-એમ્પીયર,ऐब-ऐम्पियर
A-B વર્ગ એમ્પ્લીફાયર,ए-बी वर्ग प्रवर्धक
અદાહ,आदितः
A-B શક્તિ પિટક,ए-बी शक्ति पिटक
abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
અબે નંબર (અબે સતત),ऐबे संख्या (ऐबे नियतांक)
અબે રીફ્રેક્ટોમીટર,ऐबे अपवर्तनमापी
અબે સાઈન સ્ટેટ,ऐबे ज्या अवस्था
આપોઆપ પૂર્વગ્રહ વળતર,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
વિકૃતિ,"विपथन, अपेरण"
વિકૃતિ સુધારક લેન્સ,विपथन संशोधक लेन्स
આકાશ વિકૃતિ,आकाश-विपथन
અફરદ,एबफैराड
એબેનરી,एबहेनरी
ઇબોની અસર,ऐबनी प्रभाव (ऐबनी नियम)
અસામાન્ય ધ્રુવીકરણ,अपसामान्य ध्रुवण
અસામાન્ય ટ્રાન્સમિશન,अपसामान्य संचरण
પેરાનોર્મલ પ્રતિબિંબ,अपसामान्य परावर्तन
અસામાન્ય રીફ્રેક્શન*,अपसामान्य अपवर्तन*
પેરાનોર્મલ પ્રતિકાર,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"પ્રબળતા, નિષ્ફળતા","पूर्वपात, विफलन"
"જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
ઘણી વાર કૂદકો,सहसा जंप
હાથ*,भुज*
પ્રતિબિંબ ગુમાવ્યું,लुप्त परावर्तन
ગુમ થયેલ સ્પેક્ટ્રમ,लुप्त स्पैक्ट्रम
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","निरपेक्ष, परम, अचर, परिशुद्ध"
સંપૂર્ણ પ્રવેગક,निरपेक्ष त्वरण
સંપૂર્ણ વાસ્તવિકતા,निरपेक्ष यथार्थता
સંપૂર્ણ સરનામું,निरपेक्ष पता
જિયો-રિલેટિવ અલ્ટીમીટર,भूसापेक्ष तुंगतामापी
ભૌગોલિક ઊંચાઈ,भूसापेक्ष तुंगता
સંપૂર્ણ એમ્પીયર,निरपेक्ष ऐम्पियर
સંપૂર્ણ ઉત્કલન બિંદુ,परम क्वथनांक
સંપૂર્ણ તેજ,निरपेक्ष तेजमापीय दीप्ति
સંપૂર્ણ ક્ષમતા,निरपेक्ष धारिता
ચોક્કસ ઊંચાઈ,निरपेक्ष ऊँचाई
સંપૂર્ણ રંગદ્રવ્ય,निरपेक्ष वर्णाक
"સંપૂર્ણ રૂપરેખાંકન, અસ્પષ્ટ રૂપરેખાંકન","निरपेक्ष विन्यास, असंदिग्ध विन्यास"
સંપૂર્ણ કૂલમ્બ,निरपेक्ष कूलॉम
સંપૂર્ણ અંધકાર,पूर्ण अंधकार
સંપૂર્ણ સમયપત્રક,निरपेक्ष कालनिर्धारण
સંપૂર્ણ ઘનતા*,निरपेक्ष घनत्व*
સંપૂર્ણ ડ્રેનેજ,निरपेक्ष अपवहन
સંપૂર્ણ EMU (ઇલેક્ટ્રોમેગ્નેટિક એકમ),निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक)
સંપૂર્ણ ESU (સ્થિર એકમ),निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक)
સંપૂર્ણ કાર્યક્ષમતા,निरपेक्ष दक्षता
સંપૂર્ણ ઇલેક્ટ્રોમીટર,निरपेक्ष विद्युतमापी
સંપૂર્ણ આવર્તન સંપૂર્ણ આવર્તન,"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति"
સંપૂર્ણ ભેજ,निरपेक्ष आर्द्रता
સંપૂર્ણ ઘટના,निरपेक्ष आपतन
સંપૂર્ણ રીફ્રેક્ટિવ ઇન્ડેક્સ,निरपेक्ष अपवर्तनांक
સંપૂર્ણ અસ્થિરતા,निरपेक्ष अस्‍थायित्व
સંપૂર્ણ અસ્થિરતા,निरपेक्ष अस्‍थायित्व
"સંપૂર્ણ તીવ્રતા, સંપૂર્ણ તીવ્રતા","निरपेक्ष तीव्रता, निरपेक्ष उग्रता"
અસ્થેનિયાની સંપૂર્ણ મર્યાદા,शैथिल्य की निरपेक्ष सीमा
સંપૂર્ણ રોશની,निरपेक्ष ज्योतिर्मयता देहली
સંપૂર્ણ પ્રકાશ વળાંક,निरपेक्ष ज्योति वक्र
સંપૂર્ણ તીવ્રતા,निरपेक्ष कांतिमान
સંપૂર્ણ બેરોમીટર,निरपेक्ष दाबांतरमापी
સર્વોચ્ચ સર્વોચ્ચ,परम उच्चिष्ठ
સંપૂર્ણ મર્યાદા,निरपेक्ष चरम सीमांक
એકદમ નીચું,परम निम्निष्ठ
સંપૂર્ણ વેગ,निरपेक्ष संवेग
સંપૂર્ણ ઝડપ,निरपेक्ष गति
સંપૂર્ણ સંગીત,निरपेक्ष संगीत
સંપૂર્ણ અવલોકન,निरपेक्ष प्रेक्षण
સંપૂર્ણ ઓહ્મ,निरपेक्ष ओम
સંપૂર્ણ અભિગમ,निरपेक्ष दिगविन्यास
સંપૂર્ણ ઇલેક્ટ્રોનેગેટિવિટી,निरपेक्ष विद्युत्-शीलता
સંપૂર્ણ ગુરુત્વાકર્ષણ,निरपेक्ष तारत्व
સંપૂર્ણ દબાણ,निरपेक्ष दाब
સંપૂર્ણ મિલકત,निरपेक्ष गुणधर्म
સંપૂર્ણ સ્કેલર,निरपेक्ष अदिश
તાપમાનનું સંપૂર્ણ માપ*,ताप का परम मापक्रम*
"સંપૂર્ણ સુમેળ, સંપૂર્ણ સુમેળ","निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता"
સંપૂર્ણ તણાવ,निरपेक्ष प्रतिबल
સંપૂર્ણ સમપ્રમાણતા,निरपेक्ष सममिति
સંપૂર્ણ ગતિ શરીર,निरपेक्ष गति-निकाय
સંપૂર્ણ એકમ સિસ્ટમ,निरपेक्ष मात्रक पद्धति
સંપૂર્ણ તાપમાન,परम ताप
ચોક્કસ સમય,निरपेक्ष काल
સંપૂર્ણ એકમો,निरपेक्ष मात्रक
સંપૂર્ણ મૂલ્ય,निरपेक्ष मान
પૂર્ણાંક કેલ્ક્યુલેટર,पूर्णाक अभिकलित्र
સંપૂર્ણ વેગ,निरपेक्ष वेग
સંપૂર્ણ સ્નિગ્ધતા,निरपेक्ष श्यानता
સંપૂર્ણ વજન,निरपेक्ष भार
સંપૂર્ણ શૂન્ય*,परम शून्य*
શૂન્યનો સંપૂર્ણ વિભાજક,शून्य का निरपेक्ष भाजक
શોષી લેવું,अवशोषण करना
શોષણ સૂચકાંક*,अवशोषणांक*
શોષિત ઊર્જા,अवशोषित ऊर्जा
"શોષક, શોષક","अवशोषक, अवशोषी"
શોષક માધ્યમ*,अवशोषी माध्यम*
શોષણ ક્ષમતા,अवशोषण सामर्थ्य
શોષણ,अवशोषणांश
શોષણમાપક*,अवशोषणमापी*
શોષણમેટ્રી*,अवशोषणामिति*
શોષણ,अवशोषण
શોષણ - બેન્ડ*,अवशोषण - बैन्ड*
શોષણ સર્કિટ,अवशोषण परिपथ
શોષણ ગુણાંક,अवशोषण-गुणांक
શોષણ કૉલમ,अवशोषण-स्तम्भ
સતત શોષણ,अवशोषण-स्थिरांक
શોષણ સાતત્ય,अवशोषण सांतत्यक
શોષણ ઝોન,अवशोषण-परिक्षेत्र
શોષણ વર્તમાન,अवशोषण-धारा
શોષણ વક્ર*,अवशोषण वक्र*
શોષણ અસ્થિભંગ,अवशोषण भंग
શોષણ કોર,अवशोषण कोर
શોષણ પરિબળ,अवशोषण गुणक
શોષણ ફિલ્ટર,अवशोषण फिल्टर
શોષણ જ્યોત ફોટોમેટ્રી*,अवशोषण ज्वाला प्रकाशमिति*
શોષણ હાઇગ્રોમીટર,अवशोषण आर्द्रतामापी
શોષણ ઘાતાંક,अवशोषण घातांक
શોષણ સીમાંત,अवशोषण सीमांत
શોષણ રેખા,अवशोषण रेखा
શોષણ નુકશાન,अवशोषणजन्य हानि
શોષણ મોડ્યુલેશન,अवशोषण माडुलन
પ્રકાશ શોષણ,प्रकाश अवशोषण
રેડિયેશન ઊર્જાનું શોષણ,विकिरण ऊर्जा का अवशोषण
શોષણની ટોચ,अवशोषण शिखर
શોષણ ફોટોમેટ્રી,अवशोषण प्रकाशमिति
શોષણ ગુણોત્તર,अवशोषण अनुपात
શોષણ શ્રેણી*,अवशोषण श्रेणी*
શોષણ સ્પેક્ટ્રમ ફોટોમેટ્રી*,अवशोषण स्पेक्ट्रम प्रकाशमिति*
શોષણ સ્પેક્ટ્રમ*,अवशोषण स्पेक्ट्रम*
"શોષણ નળી, શોષણ નળી","अवशोषण नली, अवशोषण नाल"
શોષણ હાઇગ્રોમીટર,अवशोषण तरगमापी
શોષક*,अवशोषी*
શોષક બાષ્પીભવક,अवशोषी क्षीणकारी
શોષણ કાયદો*,अवशोषण नियम*
શોષણ માધ્યમ,अवशोषण माध्यम
"શોષક ક્ષમતા, શોષણ*","अवशोषण क्षमता, अवशोषकता*"
શોષણ*,अवशोषकता*
સ્ટુડિયો સરંજામ,स्टूडिओ सज्जा
ગુણાકાર ગુણોત્તર,बाहुल्य अनुपात
અવગણના,ऐबवोल्ट
વિશે,ऐबवाट
વેગ આપો,त्वरित करना
પ્રવેગક-સ્ટોપ અંતર,त्वरण-विराम दूरी
ઉતાવળ કરી,त्वरित
ઝડપી સમય અસર પરીક્ષણ,त्वरित कालप्रभावन परीक्षण
ઝડપી પ્રવાહ,त्वरित प्रवाह
ઝડપી ગતિ,त्वरित गति
ઝડપી શરીર,त्वरित निकाय
પ્રવેગક તોલનાર,त्वरक तुला
પ્રવેગક ઇલેક્ટ્રોડ*,त्वरक इलैक्ट्रोड*
પ્રવેગક સમય*,त्वरक काल*
પ્રવેગક તબક્કો,त्वरक प्रावस्था
પ્રવેગક દર,त्वरक दर
એક્સિલરેટર વોલ્ટેજ*,त्वरक वोल्टता*
પ્રવેગ,त्वरण
ત્વરિત કમ્બશન,त्वरणिक अपदहन
પ્રવેગક ગુણાંક,त्वरण गुणांक
પ્રવેગક ઘટક,त्वरण घटक
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,गुरूत्वीय त्वरण
પ્રવેગક પરિબળ,त्वरण गुणक
ઝડપી ચાર્જ,त्वरणिक प्रतिभरण
ગુરુત્વાકર્ષણ પ્રવેગક,गुरूत्व त्वरण
પ્રવેગક સંભવિત,त्वरण विभव
પ્રવેગક કાયદો,त्वरण-नियम
પ્રવેગક પ્રક્રિયા,त्वरण-प्रक्रम
પ્રવેગક ક્ષેત્ર,त्वरण प्रेदश
પ્રવેગક પદ્ધતિ,त्वरण प्रविधी
"પ્રવેગ સહનશીલતા, પ્રવેગ સહનશીલતા","त्वरण सहिष्णुता, त्वरण सहनसीमा"
પ્રવેગક વેક્ટર,त्वरण-सदिश
પ્રવેગક-વોલ્ટેજ,त्वरण-वोल्टता
પ્રવેગક તરંગ,त्वरण तरंग
પ્રવેગક,त्वरक
"પ્રવેગક, પ્રવેગક*","त्वरित्र, त्वरक*"
પ્રવેગક સમીકરણ,त्वरक समीकरण
એક્સિલરેટર*,त्वरणलेखी*
એક્સેલરોમીટર,त्वरणमापी
એક્સેલરોમીટર મેચિંગ,त्वरणमापीय सुमेलन
prestresser,प्राक्प्रबलक
માન્ય અક્ષરો,मान्य वर्ण
સ્વીકૃતિ કોણ,स्वीकरण-कोण
સ્વીકૃતિ સ્પષ્ટીકરણ,स्वीकरण-विनिर्देश
સ્વીકાર્ય પરીક્ષણ,स्वीकारी परीक्षण
