Gujarati,Punjabi
અબેલી જૂથ,ਅਬੇਲੀ ਸਮੂਹ
અબેલી જૂથ,ਅਬੇਲੀ ਸਮੂਹ
હાથ,ਹੱਥ
"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
સંપૂર્ણ સંકલન,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
સંપૂર્ણ ભૂલ,ਪੂਰਨ ਗਲਤੀ
સર્વોચ્ચ સર્વોચ્ચ,ਪਰਮ ਸਰਵਉੱਚ
એકદમ નીચું,ਸਭ ਤੋਂ ਘੱਟ
સંપૂર્ણ મૂલ્ય,ਸਹੀ ਮੁੱਲ
સંપૂર્ણ વેગ,ਪੂਰਨ ਗਤੀ
અમૂર્ત બીજગણિત,ਸਾਰ ਅਲਜਬਰਾ
અમૂર્ત જૂથ સિદ્ધાંત,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
પ્રવેગ,ਪ੍ਰਵੇਗ
ગુરુત્વાકર્ષણ પ્રવેગક,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
સ્વીકાર્ય પસંદગીકાર,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
સ્વીકાર્ય ગુણવત્તા સ્તર,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
સ્વીકાર્ય જગ્યા,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
માન્ય વિશ્વસનીયતા સ્તર,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
સ્વીકૃતિ નમૂના,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
સંચિત ભૂલ,ਸੰਚਿਤ ਗਲਤੀ
ચોકસાઈ,ਸ਼ੁੱਧਤਾ
બળ લાગુ કર્યું,ਲਾਗੂ ਫੋਰਸ
"ક્રિયા, ખત","ਕਾਰਵਾਈ, ਕੰਮ"
