Hindi,Telugu
अपसामान्य,అసాధారణ
विफलन,అబార్ట్
" अपघर्षण , घिसाई",అబ్రేషన్
" असंलग्न , अचानक, सहसा   , विच्छिन्न",ఆకస్మిక
निरपेक्ष क्षेत्र सामर्थ्य,సంపూర్ణ క్షేత్ర బలం
परम ताप,సంపూర్ణ ఉష్ణోగ్రత
निरपेक्ष मान,సంపూర్ణ విలువ
"अवशोषित करना, अवशोषण करना",గ్రహించండి
अवशोषण गुणांक,శోషణ సహ-సమర్థత
अवशोषण हानि,శోషణ నష్టం
" अमूर्त , सारांश, सार, संक्षेप",నైరూప్య
त्वरणमापी,యాక్సిలెరోమీటర్
स्वीकृति परीक्षण,అంగీకార పరీక్ష
अभिगम,యాక్సెస్
अभिगम नियंत्रण,యాక్సెస్ నియంత్రణ
अभिगम बिंदु,యాక్సెస్ పాయింట్
अभिगम काल,ప్రాప్యత సమయం
अभिगम्यता,సౌలభ్యాన్ని
संचायक सेल,సంచిత కణం
यथार्थता,ఖచ్చితత్వం
यथार्थ,ఖచ్చితమైనది
अवर्णक लेन्स,అచ్రోమాటిక్ లెన్స్
"अम्ल, ऐसिड",ఆమ్లము
अम्लसह,యాసిడ్ ప్రూఫ్
अम्लता,ఆమ్లత్వం
"पावती द्वयंक, पावती बिट",రసీదు బిట్
ध्वानिक,శబ్ద
ध्वानिक संचार,ఎకౌస్టిక్ కమ్యూనికేషన్
ध्वानिक विसरण,శబ్ద వ్యాప్తి
ध्वानिक समकारी,ఎకౌస్టిక్ ఈక్వలైజర్
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",శబ్ద అభిప్రాయం
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",శబ్ద వడపోత
ध्वानिक प्रतिबाधा,శబ్ద ఇంపెడెన్స్
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ఎకౌస్టిక్ మాస్కింగ్
ध्वानिक षक्ति,శబ్ద శక్తి
ध्वानिक गुणधर्म,శబ్ద ఆస్తి
ध्वानिक प्रतिघात,శబ్ద ప్రతిచర్య
ध्वानिक प्रतिवर्त,ఎకౌస్టిక్ రిఫ్లెక్స్
ध्वानिक टाइल,శబ్ద టైల్
ध्वानिक तरंग,శబ్ద వేవ్
ध्वानिक अवशोषण गुणांक,శబ్ద శోషణ
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
ध्वानिक अवमंदन,శబ్ద డంపింగ్
ध्वानिक विलंब लाइन,శబ్ద ఆలస్యం రేఖ
