Tamil,English
அபேலி குழு,Abelian group
அபேலி குழு,abelian semigroup
கை,abscissa
"முழுமையான, முழுமையான, நிலையான, துல்லியமான",absolute
முழுமையான ஒருங்கிணைப்பு,absolute convergence
முழுமையான பிழை,absolute error
உச்ச உச்ச,absolute maximum
முற்றிலும் குறைந்த,absolute minimum
துல்லியமான மதிப்பு,absolute value
முழுமையான வேகம்,absolute velocity
சுருக்க இயற்கணிதம்,abstract algebra
சுருக்க குழு கோட்பாடு,abstract group theory
முடுக்கம்,acceleration
ஈர்ப்பு முடுக்கம்,acceleration due to gravity
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,acceptable choice set
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,acceptable quality level
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,acceptable range
சரியான நம்பகத்தன்மை நிலை,acceptable reliability level
ஏற்பு மாதிரி,acceptable sampling
திரட்டப்பட்ட பிழை,accumulated error
துல்லியம்,accuracy
பயன்படுத்தப்படும் சக்தி,acting force
"செயல், செயல்",action
செயல் மற்றும் எதிர்வினை,action and reaction
காப்பீட்டு அறிவியல்,acturial science
கடுமையான முக்கோணம்,acute angled triangle
அசைக்ளிக்,acyclic
மொத்தத்தில்,add
சேர்ப்பான்,adder
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)",addition
யோகா சூத்திரம்,addition formula
கலப்பு எண்களின் கூட்டுத்தொகை,addition of complex numbers
செயல்பாடுகளின் கூட்டுத்தொகை,addition of functions
மெட்ரிக்குகளின் கூட்டுத்தொகை,addition of matrices
பல்லுறுப்புக்கோவைகளின் தொகை,addition of polynomials
நிகழ்தகவுகளின் கூட்டுத்தொகை,addition of probabilities
திசையன்களின் தொகை,addition of vectors
"தொகை தேற்றம், பெர்ரி கோட்பாடு,",addition theorem
சேர்க்கை குழு,additive group
தலைகீழ் சேர்க்கை,additive inverse
சேர்க்கை,additive property
சேர்க்கை,additivity
அருகாமை அணி,adjacency matrix
"அருகாமை, அருகாமை, அருகாமை",adjacent
அருகில் உள்ள கோணம்,adjacent angles
அருகில் உள்ள உச்சி,adjacent vertex
தொடர்புபடுத்த,adjoin
"இணைக்கப்பட்ட உறை,",adjoining
பொதுவான தீர்மானிப்பான்,adjoint determinant
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,adjoint differential equation
இணைக்கப்பட்ட சமன்பாடு,adjoint equation
ஒரே மாதிரியான அணி,adjoint matrix
அணி ஒருங்கிணைப்பு,adjoint of matrix
ஒரே மாதிரியான அணி,adjugate matrix
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,admissible decision function
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,admissible hypothesis
காற்றியக்க விசை,aerodynamic force
காற்றியக்கவியல்,aerodynamics
ஒரே மாதிரியான வடிவியல்,affine geometry
ஒரே மாதிரியான மேப்பிங்,affine mapping
ஒரே மாதிரியான மாற்றம்,affine transformation
மொத்த மாறி,aggregating variables
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்",algebra
"விதை மூடிய, விதை",algebraically closed
இயற்கணித சமன்பாடு,algebraic equation
இயற்கணித வெளிப்பாடு,algebraic expression
இயற்கணித ஒருமைப்பாடு,algebraic form
இயற்கணித செயல்பாடு,algebraic function
இயற்கணித வடிவியல்,algebraic geometry
இயற்கணித பன்மை,algebraic multiplicity
இயற்கணித அமைப்பு,algebraic system
அனைத்து முழு எண் பிரச்சனை,all-integer problem
"ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி,",allocation problem
அகரவரிசைக் குறியீடு,alphabetical notation
அகரவரிசை எழுத்து,alphabetic character
மாற்று கோணங்கள்,alternate angle
"மாற்று ஒரே மாதிரியான மாற்று வடிவம்,",alternating form
மாற்று குழு,alternating group
மாற்று அணி,alternating matrix
மாற்று தொடர்,alternating series
மாற்று கருதுகோள்,alternative hypothesis
மாற்று உகந்தது,alternative optima
மாற்று முடிவு,alternative outcome
அனலாக்-இலக்க மாற்றி,analog-to-digital converter
"அனலாக் கணினி,",analogue computer
பகுப்பாய்வு,analysis
இணைநிலை பகுப்பாய்வு,analysis of covariance
கணக்கெடுப்பு-தரவு பகுப்பாய்வு,analysis of enumeration data
மாறுபாடு பகுப்பாய்வு,analysis of variance
பகுப்பாய்வு வடிவியல்,analytic geometry
