English,Punjabi
Acidoid,ਐਸਿਡੌਇਡ
Aeolian soil,ਏਓਲੀਅਨ ਮਿੱਟੀ
Aggregate,ਕੁੱਲ
Aggregation,ਐਗਰੀਗੇਸ਼ਨ
Agrology,ਖੇਤੀ ਵਿਗਿਆਨ
Agronomy,ਖੇਤੀ ਵਿਗਿਆਨ
A-horizon,ਏ-ਹੋਰੀਜ਼ਨ
Ao-horizon ,ਆਉ-ਦਿਮਾਗ
Aoo-horizon,ਆਉ—ਅੰਦਾਜ਼
Air capacity of soil,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
Air content of soil,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
Air picnometer,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
Allitic soil,ਐਲੀਟਿਕ ਮਿੱਟੀ
Alluvial soil,ਐਲਵੀਅਲ ਮਿੱਟੀ
Ampholytoid,ਐਮਫੋਲੀਟੋਇਡ
Anion,ਐਨੀਅਨ
"Apparent specific gravity volume weight or bulk specific gravity,""","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
Arris,ਅਰਿਸ
Ashlar fine masonry,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
Ashlar masonry,ਐਸ਼ਲਰ ਚਿਣਾਈ
Azonal soil,ਅਜੋਨਲ ਮਿੱਟੀ
Back acter ,ਪਿਛਲਾ ਅਦਾਕਾਰ
Back arch,ਪਿਛਲਾ arch
Back band,ਬੈਕ ਬੈਂਡ
Back brush,ਪਿੱਛੇ ਬੁਰਸ਼
Back check,ਵਾਪਸ ਜਾਂਚ
Back counter,ਪਿੱਛੇ ਕਾਊਂਟਰ
Back cutting,ਵਾਪਸ ਕੱਟਣਾ
Back draft damper,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
Back drain,ਬੈਕ ਡਰੇਨ
Back drop,ਬੈਕ ਡਰਾਪ
Back fill,ਵਾਪਸ ਭਰੋ
Back fillet,ਬੈਕ ਫਿਲਲੇਟ
Back flap hinge,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
Back flow connection,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
Back flow preventer,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
Back gauge ,ਬੈਕ ਗੇਜ
Back gutter ,ਪਿਛਲਾ ਗਟਰ
Back hearth,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
Backing,ਬੈਕਿੰਗ
Backing board,ਬੈਕਿੰਗ ਬੋਰਡ
Back pressure,ਪਿੱਠ ਦਾ ਦਬਾਅ
Back prop,ਬੈਕ ਪ੍ਰੋਪ
Back sight ,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
Back water,ਵਾਪਸ ਪਾਣੀ
Baffle,ਘਬਰਾਹਟ
Bagwork ,ਬੈਗਵਰਕ
Ballast,ਬੈਲਸਟ
Ball clay,ਬਾਲ ਮਿੱਟੀ
