Odiya,Hindi
ଆବେଲି ଗୋଷ୍ଠୀ |,आबेली समूह
ଆବେଲି ଗୋଷ୍ଠୀ |,आबेली सामिसमूह
ହାତ,भुज
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |","निरपेक्ष, परम, अचर, परिशुद्‌ध"
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,निरपेक्ष अभिसरण
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,निरपेक्ष त्रुटि
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,परम उच्चिष्ठ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,परम निम्निष्ठ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,निरपेक्ष मान
ସଂପୂର୍ଣ୍ଣ ବେଗ,निरपेक्ष वेग
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,अमूर्त बीजगणित
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,अमूर्त समूह सिद्‌धांत
ତ୍ୱରଣ,त्वरण
ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |,गुरुत्वीय त्वरण
ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |,स्वीकार्य वरण-समुच्चय
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,स्वीकार्य गुणता स्तर
ଗ୍ରହଣୀୟ ପରିସର,स्वीकार्य परिसर
ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,मान्य विश्वसनीयता स्तर
ଗ୍ରହଣ ନମୁନା,स्वीकरण-प्रतिचयन
ସଂଗୃହିତ ତ୍ରୁଟି |,संचित त्रुटि
ସଠିକତା,यथार्थता
ପ୍ରୟୋଗ ଶକ୍ତି,लगा हुआ बल
"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ","क्रिया, कर्म"
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,क्रिया और प्रतिक्रिया
ବୀମା ବିଜ୍ଞାନ |,बीमा विज्ञान
ତୀବ୍ର ତ୍ରିରଙ୍ଗା |,न्यूनकोण त्रिभुज
acyclic,अचक्रीय
ସଂକ୍ଷେପରେ,"योग करना, जोड़ना"
ଆଡର୍,योजक
"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
ଯୋଗର ସୂତ୍ର,योग का सूत्र
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |,सम्मिश्र संख्याओं का योग
କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି,फलनों का योग
ମାଟ୍ରିକ୍ସର ରାଶି,आव्यूहों का योग
ବହୁଜନର ସମଷ୍ଟି |,बहुपदों का योग
ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି,प्रायिकताओं का योग
ଭେକ୍ଟରର ରାଶି,सदिशों का योग
"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ,",योग प्रमेय बेरीज सिद्‌धांत
ଯୋଗୀ ଗୋଷ୍ଠୀ |,योज्य समूह
ଯୋଗୀ ଓଲଟା |,योज्य व्युत्क्रम
ଯୋଗନୀୟତା |,"योज्यता, योगशीलता"
ଯୋଗନୀୟତା |,योज्यता
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,आसन्नता आव्यूह
"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ","संलग्न, निकटवर्ती, आसन्न"
ସଂଲଗ୍ନ କୋଣ,आसन्न कोण
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,आसन्न शीर्ष
ସହଯୋଗ କରିବାକୁ,सहबद्‌ध करना
"ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର,",संलग्न संलग्नीत
ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |,सहखंडज सारणिक
ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |,संलग्न अवकल समीकरण
ସଂଲଗ୍ନ ସମୀକରଣ,संलग्न समीकरण
