Marathi,Odiya
गर्भपात,ପରିତ୍ୟାଗ
गर्भपात टाइमर,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
परिपूर्ण पत्ता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
परिपूर्ण पत्ता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
परिपूर्ण असेंबलर,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
परिपूर्ण कोड,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
परिपूर्ण कोडिंग,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
परिपूर्ण आज्ञा,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
परिपूर्ण समन्वय,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
परिपूर्ण डेटा,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
परिपूर्ण त्रुटी,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
परिपूर्ण अभिव्यक्ती,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
परिपूर्ण सूचना,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
परिपूर्ण लोडर,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
परिपूर्ण ऑर्डर,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
परिपूर्ण प्रोग्रामिंग,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
परिपूर्ण संज्ञा,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
परिपूर्ण मूल्य,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
परिपूर्ण वेक्टर,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
गोषवारा,ବିସ୍ତୃତ
अमूर्त,ବିସ୍ତୃତ
अमूर्त प्रतीक,ବିସ୍ତୃତ ପ୍ରତୀକ |
प्रवेग कालावधी,ତ୍ୱରଣ ସମୟ
प्रवेग वेळ,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
उच्चारण,ଉଚ୍ଚାରଣ
स्वीकृती चाचणी,ଗ୍ରହଣ ପରୀକ୍ଷା
प्रवेश,ପ୍ରବେଶ
प्रवेश आर्म,ଆକ୍ସେସ୍ ବାହୁ
प्रवेश व्यवस्था,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
प्रवेश प्राधिकरण,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
प्रवेश शुल्क,ପ୍ରବେଶ ଚାର୍ଜ
प्रवेश वर्ग,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
प्रवेश डेटा बेस व्यवस्थापन,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
प्रवेश वातावरण,ପ୍ରବେଶ ପରିବେଶ ସେବା
प्रवेश अंतर,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
प्रवेश निर्देशांक,ପ୍ରବେଶ ସୂଚକାଙ୍କ
Line क्सेस लाइन,ଆକ୍ସେସ୍ ଲାଇନ୍ |
प्रवेश यंत्रणा,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
प्रवेश पद्धत,ପ୍ରବେଶ ପଦ୍ଧତି
प्रवेश पद्धत दिनचर्या,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
प्रवेश मोड,ପ୍ରବେଶ ମୋଡ୍
प्रवेश बरोबर,ଅଧିକାର ପ୍ରବେଶ
प्रवेश स्कॅन,ପ୍ରବେଶ ସ୍କାନ
प्रवेश वेळ,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
लेखा,ହିସାବ
लेखा वित्त प्रणाली,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
लेखा मशीन,ହିସାବ ଯନ୍ତ୍ର
