Punjabi,Hindi
ਅਬੇਲੀ ਸਮੂਹ,आबेली समूह
ਅਬੇਲੀ ਸਮੂਹ,आबेली सामिसमूह
ਹੱਥ,भुज
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","निरपेक्ष, परम, अचर, परिशुद्‌ध"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,निरपेक्ष अभिसरण
ਪੂਰਨ ਗਲਤੀ,निरपेक्ष त्रुटि
ਪਰਮ ਸਰਵਉੱਚ,परम उच्चिष्ठ
ਸਭ ਤੋਂ ਘੱਟ,परम निम्निष्ठ
ਸਹੀ ਮੁੱਲ,निरपेक्ष मान
ਪੂਰਨ ਗਤੀ,निरपेक्ष वेग
ਸਾਰ ਅਲਜਬਰਾ,अमूर्त बीजगणित
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,अमूर्त समूह सिद्‌धांत
ਪ੍ਰਵੇਗ,त्वरण
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,गुरुत्वीय त्वरण
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,स्वीकार्य वरण-समुच्चय
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,स्वीकार्य गुणता स्तर
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,स्वीकार्य परिसर
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,मान्य विश्वसनीयता स्तर
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,स्वीकरण-प्रतिचयन
ਸੰਚਿਤ ਗਲਤੀ,संचित त्रुटि
ਸ਼ੁੱਧਤਾ,यथार्थता
ਲਾਗੂ ਫੋਰਸ,लगा हुआ बल
"ਕਾਰਵਾਈ, ਕੰਮ","क्रिया, कर्म"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,क्रिया और प्रतिक्रिया
ਬੀਮਾ ਵਿਗਿਆਨ,बीमा विज्ञान
ਤੀਬਰ ਤਿਕੋਣ,न्यूनकोण त्रिभुज
acyclic,अचक्रीय
ਸੰਪੇਕਸ਼ਤ,"योग करना, जोड़ना"
ਜੋੜਨ ਵਾਲਾ,योजक
"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ,योग का सूत्र
ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,सम्मिश्र संख्याओं का योग
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,फलनों का योग
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,आव्यूहों का योग
ਬਹੁਪਦ ਦਾ ਜੋੜ,बहुपदों का योग
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,प्रायिकताओं का योग
ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ,सदिशों का योग
"ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ,",योग प्रमेय बेरीज सिद्‌धांत
additive ਗਰੁੱਪ,योज्य समूह
additive ਉਲਟ,योज्य व्युत्क्रम
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,"योज्यता, योगशीलता"
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,योज्यता
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,आसन्नता आव्यूह
"ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ","संलग्न, निकटवर्ती, आसन्न"
ਨੇੜੇ ਦੇ ਕੋਣ,आसन्न कोण
ਨੇੜੇ ਦਾ ਸਿਰਾ,आसन्न शीर्ष
ਜੋੜਨ ਲਈ,सहबद्‌ध करना
"ਨੱਥੀ ਨੱਥੀ,",संलग्न संलग्नीत
ਆਮ ਨਿਰਣਾਇਕ,सहखंडज सारणिक
ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ,संलग्न अवकल समीकरण
ਜੁੜੇ ਸਮੀਕਰਨ,संलग्न समीकरण
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,सहखंडज आव्यूह
ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ,आव्यूह सहखंडज
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,सहखंडज आव्यूह
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,ग्राह्य निर्णय फलन
ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ,ग्राह्य परिकल्पना
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,वायुगतिक बल
ਐਰੋਡਾਇਨਾਮਿਕਸ,वायु गतिकी
ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ,सजातीय ज्यामिति
ਸਮਰੂਪ ਮੈਪਿੰਗ,सजातीय प्रतिचित्रण
ਸਮਰੂਪ ਤਬਦੀਲੀ,सजातीय रूपांतरण
ਕੁੱਲ ਵੇਰੀਏਬਲ,समुच्चयी चर
"algebra, algebra, algebra, algebra","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
"ਬੀਜੀ ਬੰਦ, ਬੀਜੀ","बीजतः संवृत, बीजतः"
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,बीजीय समीकरण
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,बीजीय व्यंजक
ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ,बीजीय समघात
ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ,बीजीय फलन
ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ,बीजीय ज्यामिति
ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ,बीजीय बहुकता
ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ,बीजीय निकाय
ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ,सर्व-पूर्णांक समस्या
"ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ,",नियतन समस्या वाटपप्रश्न
ਵਰਣਮਾਲਾ ਸੰਕੇਤ,अक्षरात्मक संकेत पद्‌धति
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,अक्षरात्मक संप्रतीक
ਬਦਲਵੇਂ ਕੋਣ,एकांतर कोण
"ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ,",एकांतर समघात प्रत्यावर्ती रूप
ਵਿਕਲਪਕ ਸਮੂਹ,एकांतर समूह
ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ,एकांतर आव्यूह
ਵਿਕਲਪਿਕ ਲੜੀ,एकांतर श्रेणी
ਵਿਕਲਪਕ ਅਨੁਮਾਨ,वैकल्पिक परिकल्पना
ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ,वैकल्पिक इष्टमत
ਵਿਕਲਪਿਕ ਨਤੀਜਾ,वैकल्पिक परिणाम
ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ,अनुरूप-अंकीय परिवर्तक
"ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,",अनुरूप कम्प्यूटर
ਵਿਸ਼ਲੇਸ਼ਣ,विश्लेषण
ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ,सहप्रसरण-विश्लेषण
ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ,गणन-आंकड़ों का विश्लेषण
ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ,प्रसरण-विश्लेषण
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ,विश्लेषिक ज्यामिति
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ,विश्लेषिक फलन
ਕੋਣ,कोण
ਸਪਰਸ਼ ਕੋਣ,स्पर्श-कोण
ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ,विक्षेप-कोण
ਡਿਪਰੈਸ਼ਨ ਕੋਣ,अवनमन-कोण
ਭਟਕਣ ਕੋਣ,विचलन-कोण
ਵਿਭਿੰਨ ਕੋਣ,विवर्तन-कोण
ਉਚਾਈ ਕੋਣ,उन्नयन-कोण
ਘਟਨਾ ਦਾ ਕੋਣ,आपतन-कोण
ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ,प्रक्षेप-कोण
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,परावर्तन-कोण
ਅਪਵਰਤਨ ਦਾ ਕੋਣ,अपवर्तन-कोण
ਰੋਟੇਸ਼ਨ ਕੋਣ,घूर्णन-कोण
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ,पूर्ण परावर्तन-कोण
ਕੋਣੀ ਪ੍ਰਵੇਗ,कोणीय त्वरण
ਕੋਣੀ ਵੇਗ,कोणीय गति
ਕੋਣੀ ਗਤੀ,कोणीय चाल
ਕੋਣੀ ਵੇਗ,कोणीय वेग
ਰਿੰਗ ਉਂਗਲ,वलयिका
ਜਵਾਬ,उत्तर
ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ,प्रति-अवकलज
isometric ਫੰਕਸ਼ਨ,प्रतिसममित फलन
"ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ","आच्छाद्य, अनु प्रयोज्य, लागू"
"ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ,",अनुप्रयोग उपयोजन
ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,अनुप्रयुक्त गतिशील प्रोग्रामन
ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ,अनुप्रयुक्त ज्यामिति
ਲਾਗੂ ਗਣਿਤ,अनुप्रयुक्त गणित
ਲਾਗੂ ਅੰਕੜੇ,अनुप्रयुक्त सांख्यिकी
"ਲਗਭਗ, ਲਗਭਗ","सन्निकटतः, लगभग"
ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ,सन्निकटतः संतत फलन
"ਮੈਕਰੋ ਵਿਧੀ, ਅਨੁਮਾਨ ਵਿਧੀ","स्थूल विधि, सन्निकट विधि"
ਅੰਦਾਜ਼ਨ ਹੱਲ,सन्निकट हल
ਲਗਭਗ ਸਮੱਸਿਆ,सन्निकटन-समस्या
ਲਗਭਗ ਸੰਪਤੀ,सन्निकटन-गुणधर्म
ਯੋਗਤਾ ਟੈਸਟ,अभिक्षमता-परीक्षावली
ਆਰਗਨ ਚਿੱਤਰ,आरगाँ आरेख
ਸਵੈ-ਇੱਛਤ,स्वेच्छगहीतृ
"ਬੇਤਰਤੀਬ, ਬੇਤਰਤੀਬ","स्वेच्छ, यादृच्छिक"
ਆਪਹੁਦਰੇ ਸਥਿਰ,स्वेच्छ अचर
ਮੁਫ਼ਤ ਤੱਤ,स्वेच्छ अवयव
ਮਨਮਾਨੀ ਬਿੰਦੂ,स्वेच्छ बिन्दु
ਆਰਕੀਮੀਡ ਦਾ ਕਾਨੂੰਨ,आर्किमीडी नियम
ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ,आर्किमीडीज़ का नियम
"ਚਾਪ-ਲੰਬਾਈ, ਚਾਪ-ਲੰਬਾਈ","चाप-दैर्घ्य, चाप-लम्बाई"
ਚੱਕਰ ਚਾਪ,वत्तृ चाप
ਉਲਟ ਸਾਈਨ ਵੰਡ,प्रतिलोम ज्या बंटन
ਉਲਟ ਸਾਈਨ ਪਰਿਵਰਤਨ,प्रतिलोम ज्या रूपांतरण
"ਖੇਤਰ, ਖੇਤਰ","क्षेत्र, क्षेत्रफल"
ਖੇਤਰੀ ਸੰਰਚਨਾ,क्षेत्रीय विन्यास
ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਕੋਣ,सम्मिश्र संख्या का कोणांक
ਗਣਿਤ ਦਾ ਮਤਲਬ,समांतर माध्य
ਡਿਜ਼ੀਟਲ ਕਾਰਵਾਈ,अंकीय संक्रिया
ਡਿਜ਼ੀਟਲ ਯੂਨਿਟ,अंकीय एकक
"ਸੰਰਚਨਾ, ਵਿਵਸਥਾ","विन्यास, व्यवस्था"
"ਐਰੇ, ਐਰੇ","व्यूह, सरणी"
ਨਕਲੀ ਉਪਗ੍ਰਹਿ,कृत्रिम उपग्रह
ਨਕਲੀ ਵੇਰੀਏਬਲ,कृत्रिम चर
ਚੜ੍ਹਨ ਲਈ,आरोहण करना
ਚੜ੍ਹਦਾ,आरोही
ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ,परिमाण का आरोही क्रम
ਚੜ੍ਹਦਾ ਗ੍ਰੇਡ,आरोही श्रेणी
ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ,कोडांतरक भाषा
"ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਅਸਾਈਨਮੈਂਟ ਸਵਾਲ,",नियतन समस्या नियतन प्रश्न
ਸਹਿਯੋਗੀ ਨਿਯਮ,साहचर्य नियम
ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਨਿਯਮ,संकारकों का साहचर्य नियम
ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ,साहचर्य-संक्रिया
ਸਾਥੀ,सहचारिता
