Marathi,Assamese
वेस्टमिन्स्टरचे मठाधीश,ৱেষ্টমিনিষ্টাৰৰ এবে
निषिद्ध,এবডিটৰী
गुलामगिरीचे उच्चाटन,দাসত্ব বিলুপ্ত কৰা
आदिवासी,আদিবাসী
अब्राहम युग,আব্ৰাহাম যুগ
अनुपस्थित जमीनदार,অনুপস্থিত ঘৰৰ মালিক
अकादमी,একাডেমী
अक्रा परिषद,আক্ৰা সন্মিলন
जमा,এক্ৰুৱেল
संवर्धन,সংস্কৃতিকৰণ
एसेलडामा,এচেলডামা
आचियन (=अचियन),আখিয়ান (=আচিয়ান)
आचियन लीग (=अचियन लीग),আচায়ান লীগ (=আচিয়ান লীগ)
एक्रोपोलिस,এক্ৰ&#39;পলিছ
Acta Diurna,এক্টা ডিউৰ্না
Acta Senatus,এক্টা চেনেটাছ
ऍक्ट अॅडिशनल,এক্টে এডিচনেল
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
प्राप्तकर्त्याची कृती,প্ৰাপ্তিৰ কাৰ্য্য
नुकसानभरपाई आणि विस्मरणाचा कायदा,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
सेटलमेंटचा कायदा,বন্দোবস্তৰ আইন
जाहिरात करार सील,এড কন্ট্ৰেক্টাছ ছীল
अदुल्लामाइट्स,এডুলামাইটছ
विरोधक,বিৰোধী
विरोधक,বিৰোধী
एऑन,ইয়ন
एरेरियम,এৰেৰিয়াম
हवाई युद्ध,আকাশী যুদ্ধ
एटोलियन लीग,এটলিয়ান লীগ
वय,বয়স
वृद्धत्व (=वृद्धत्व),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
वृद्धत्व प्रक्रिया,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
अगेलाय,আগেলাই
पराक्रमाचे वय,অশ্বাৰোহীৰ যুগ
ज्ञानाचे वय,এজ অৱ ইংলাইটমেণ্ট
पेरिकल्सचे वय,পেৰিক্লিছৰ বয়স
कारण वय,যুক্তিৰ বয়স
कृषीवाद,কৃষিবাদ
कृषी चळवळ,কৃষি আন্দোলন
अल्बिओन,এলবিয়ন
अल्बम,এলবাম
अल्डरमन,এলডাৰমেন
मोहक हात,আলোকসজ্জা বাহু
मैत्री,এমিটি
एम्फेक्टियोनिक परिषद,এম্ফিক্টয়নিক কাউন্সিল
एम्फेक्टियोनिक लीग,এম্ফিক্টয়নিক লীগ
अॅम्फिथिएटर,এম্ফিথিয়েটাৰ
अमरी नल गट (मातीचा),অমৰি নল গোট (মৃৎশিল্পৰ)
अनाक्रोनिझम,এনাক্ৰ’নিজম
अनाक्रोनिस्टिक,এনাক্ৰ’নিষ্টিক
पूर्वज,পূৰ্বপুৰুষ
पूर्वजांची पूजा,পূৰ্বপুৰুষ পূজা
वंशपरंपरा,বংশ
वंशपरंपरा,বংশ
वंशपरंपरा,বংশ
वंशपरंपरा,বংশ
प्राचीन राजवट,Ancien শাসন ব্যৱস্থা
प्राचीन,পৌৰাণিক
प्राचीन बालगीत,প্ৰাচীন বেলাড
प्राचीन श्रद्धा,প্ৰাচীন বিশ্বাস
प्राचीन प्रथा,প্ৰাচীন প্ৰথা
प्राचीन इतिहास,প্ৰাচীন ইতিহাস
प्राचीन स्मारके,প্ৰাচীন কীৰ্তিচিহ্ন
किस्सा,উপাখ্যান
अँजेलोट,এঞ্জেলট
एंजलस,এঞ্জেলছ
अँजेविन (=अंजेविन),এঞ্জেভিন (=anjevin)
कोन,কোণ
अँग्लिकन,এংলিকান
अँग्लिकन कम्युनियन,এংলিকান কমিউনিয়ন
अँग्लिकनवाद,এংলিকানিজম
अँग्लो-फोब,এংলো-ফ’ব
अँग्लो-फोबिया,এংলো-ফ’বিয়া
अँग्लो-सॅक्सन,এংলো-চেক্সন
अँग्लो-सॅक्सोनवाद,এংলো-চেক্সনবাদ
अॅनालिस्ट,এনালিষ্ট
इतिहास,এনালছ
संलग्नीकरण,সংলগ্নকৰণ
अँटी-बेलम,এণ্টে-বেলাম
पूर्वीची तारीख,এণ্টে তাৰিখ
कारकुनविरोधी,কেৰাণীবাদ বিৰোধী
कारकुनी विरोधी कायदा,কেৰাণী বিৰোধী আইন
पुरातन वास्तू,প্ৰাচীনতা
विरोधी भाडे,ভাড়া বিৰোধী
विरोधी भाडे,ভাড়া বিৰোধী
सेमिटिझम विरोधी,চেমিটিজম বিৰোধী
अँझॅक,এঞ্জেক
अपेला,এপেলা
अरालू,আৰালু
आर्च बिशप,আৰ্ক বিচপ
आर्च डची,আৰ্ক ডাচি
आर्च ड्यूक,আৰ্ক ড্যুক
आर्काइफ (=अभिलेख संग्रह),আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
आर्किपिस्कोपेट,আৰ্কিপিস্কোপেট
अभिजात वर्ग,অভিজাত শ্ৰেণী
कुलीन,অভিজাত
खानदानी स्नोबरी,অভিজাত স্নোবৰী
अॅरिस्टोटेलियन,এৰিষ্ট&#39;টেলিয়ান
आरमार,আৰ্মাডা
आरमार (=स्पॅनिश आरमार),আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
आर्मोरिस्ट (= आर्मरिस्ट),আৰ্মৰিষ্ট (=armourist)
चिलखत (= चिलखत),কৱচ (=কৱচ)
आर्मरिस्ट,আৰ্মৰিষ্ট
आर्यन,আৰ্য্য
आर्यन,আৰ্য্য
अस्करी,আস্কৰী
नियुक्त करा,Assignat
Assize,Assize
Assize,Assize
Assize,Assize
शस्त्रास्त्र कायद्याची मदत,এছাইজ অৱ আৰ্মছ এক্ট
डॅरेन प्रेझेंटमेंटची मदत,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
