English,Marathi
abiogenesis,अजैविक पुनरुत्पादन
abnormal,अलौकिक
abomasum,1. चौथे पोट 2. इवोमासोम
aborted organ,रंध्र वाढीचा अवयव
aborted seed,वाढ खुंटलेले बीज
abortion,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
absolute weed,1. अवांछित तण 2. पूर्ण तण
absorbed cation,शोषलेले केशन
absorption,शोषण
abyssinian mustard,Abyssinian मोहरी
acaricide,1. ऍकेरिसाइड
accentric,केंद्राभिमुख
accentuate (cell),प्रवर्धन (सेल)
accepted tolerance,मंजूर सहिष्णुता
accessory,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
acclimatization,रुपांतर
accumulation,जमा
accuracy,1. अचूकता 2. अचूकता
acervulus,1. एसरव्हुलस 2. स्पोरोफाइट
acetification,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
acidification,1. आम्लीकरण 2. आम्लीकरण
acidimeter,1. ऍसिडोमीटर 2. ऍसिडीमीटर
acidity,आंबटपणा
acidophilic,ऍसिडोफाइल
acidulated rock phosphate,ऍसिडिफाइड रॉक फॉस्फेट
aciduric,आम्लीकृत
acquifer,जलचर
acquisition,संपादन
acre,एकर
acreage,1. क्षेत्रफळ 2. क्षेत्रफळ
acrocentric chromosome,अंतिम बिंदू गुणसूत्र
acropetal,पुढे दिसणारा
acrosome,acrosome
actinomycetes,actinomycetes
active root zone,सक्रिय कोर
acute,1. उग्र 2. तीव्र
adaptability,अनुकूलता
adaptation,सानुकूलन
adhesion,1. आसंजन 2. आसंजन
adipose,सेबेशियस
adjustment equation,समायोजन समीकरण
adobe soil,adobe माती
adulterant,भेसळ करणारा
adventitious,एक्टोपिक
aecidiospore,Isidiospore Isidium बीजाणू
aeolian process,वायुगतिकीय प्रक्रिया
aeolian,वेंट्रल
aerate,वायुवीजन करणे
aerial,1. हवा 2. आकाशी
aerometer,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
aerosol,एरोसोल
aestivation,1. फुलणे 2. उन्हाळी सुप्तता
aetiology (etiology),रोग विज्ञान
afforestation,वनीकरण
agitation,1. आंदोलन 2. अशांतता
agmark,Agmark
agrarian,1. जमिनीशी संबंधित 2. कृषी
agricultural clinic,कृषी चिकित्सालय
agricultural labour,1. शेतमजूर 2. शेतमजूर
agricultural marketing,कृषी विपणन
agricultural technology,कृषी तंत्रज्ञान
agriculture,1. शेती 2. शेती 3. कृषी विज्ञान
agrisilviculture,कृषी वनीकरण
agrobiodiversity,कृषी जैवविविधता
agrobiological defects,कृषी सेंद्रिय दोष
agrobiology,कृषी जीवशास्त्र
agroclimatic diversity,कृषी-हवामान विविधता
agroclimatic zoning,कृषी हवामान क्षेत्र निर्मिती
agroforestry,कृषी वनीकरण
agrology,कृषीशास्त्र
agronomy,कृषीविषयक
agropastoral,कृषी खेडूत
agroprocessing,पीक प्रक्रिया
agrostology,गवत विज्ञान
agrotype,पीक प्रकार
air plant,epiphyte
akiochi soil,aikiochi माती
albinism,रंगाधळेपण
alfisols,अल्फिसोल
algae,एकपेशीय वनस्पती
algal disease,एकपेशीय वनस्पती रोग
alkali water,अल्कली पाणी
alkaline,अल्कधर्मी
allele,पर्यायी
allelochemicals,allelo रसायनशास्त्र
allelomorph,एलील
allelopathy,ऍलेलोपॅथी
alley cropping,वेठी पीक
allocarpy,पूर्णता
allogamy,गर्भाधान
allometry,1. सापेक्षता 2. अॅलोमेट्री
allopolyploid,मल्टिप्लॉइडी
allosynapsis (allosyndesis),1. पॅराझिगोसिटी
alternate bearing,1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य
alternate land use,पर्यायी जमिनीचा वापर
ambient,वातावरण
ameliorant,सुधारक
amitosis,मायटोसिस
amminization,आमीनान
ammonification,अमोनियन
ammonifier,amniferous
amorph,1. अप्रभावी रूप 2. अरुपी
amphimixis,उभयचर मिश्रण
amphoteric,एम्फोटेरिक
anabolism,साठा करणे
anaerobe,1. ऍनेरोबिक 2. ऍनेरोबिक जीव
aneuploid,हॅप्लॉइड
angle planting,टोकदार लागवड
animal husbandry,पशुसंवर्धन
animal refuse,प्राण्यांचे मलमूत्र
animate energy,जिवंत ऊर्जा
anisoploid,विसंगत
annual plant,एक वर्ष जुनी वनस्पती
annual,वार्षिक
anthesis,1. परमानंद 2. तेज
anthrax,ऍन्थ्रॅक्स
anthropogenic factor,मानववंशजन्य घटक
antibiosis,जगणे
antibiotic,1. प्रतिजैविक 2. प्रतिजैविक
antidote,तिरस्करणीय
antioxidants,अँटिऑक्सिडंट
antitoxin,अँटीटॉक्सिन
anulus,अनामिका
aphid,1. ऍफिड 2. महू 3. चेपा
apical bud,शीर्ष अंकुर
apical dominance,शिखर प्रभावीता
apiculture (bee keeping),मधमाशी पालन
apomixis,लैंगिकता
apoptosis,apoptosis
appendage,परिशिष्ट
appetizer,भूक वाढवणारे
applied,लागू
aquatic weed,जलीय तण
arboreal,1. झाड 2. वृक्षवासी
arborization,शाखा
archaeo-botanical records,प्रोटोबोटॅनिकल रेकॉर्ड
area statistics,झोन क्रमांक
area,1. क्षेत्रफळ 2. क्षेत्रफळ
arid ecosystem,कोरडे इकोसिस्टम
aril,cotyledon
aroma,सौरभ
aromatic plant,सुगंधी वनस्पती
aromatic rice,सुवासिक तांदूळ
arrowing,इक्षु पुष्पन
asepsis,ऍसेप्टिक
aseptic,1. ऍसेप्टिक 2. ऍसेप्टिक
asexual propagation,अलैंगिक पुनरुत्पादन
assay,आकार
assets,मालमत्ता
assimilation,1. आत्मसात करणे 2. आत्मसात करणे
association,1. संघटना 2. संघटना
astringent,1. स्तंभ 2. तुरटपणा
asynapsis,heterozygosity
atavism,1. पूर्वज 2. Atavism
atomizer,कण
atrophy,1. पुष्टीकरण 2. कमजोरी
autogamy,स्वत: ची जोडणी
autolysis,ऑटोलिसिस
autooxidation,1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण
autopolyploid,स्वत: मल्टिप्लेक्स
auxins,ऑक्सिन
awn (bristle),1. हादरले 2. टॉड
baccilovirus,दंडात्मक व्हायरस
bacillus,1. बॅसिलस 2. बॅसिलस
bacteria,1. जीवाणू 2. जीवाणू
bacteriotoxin,जिवाणू विष
bagasse,बॅगासे
balance sheet,ताळेबंद
balanced fertilization,संतुलित खतांचा वापर
bar diagram,बार आलेख
bark,झाडाची साल
barometer,1. बॅरोमीटर 2. बॅरोमीटर
barren,1. बजर 2. जड 3. वांझ
base,1. बेस 2. बेस 3. कपंग
basin,1. तळा 2. खोरे
basipetal,तलाबिसरी
basisternum,1. बेसिस्टर्नम 2. रूट धारक
bay monsoon,गल्फ मान्सून
bearing plant,फळ वनस्पती
bed,पलंग
bedder,बेड प्लांट
bedding,बेडिंग
beet molasses,बीट मोलॅसेस
bellows,घुंगरू
belt,1. पट्टी 2. भूप्रदेश
benefit-cost analysis,नफा-खर्च विश्लेषण
biased (sampling),इच्छुक (नमुना)
biennial,द्विवार्षिक वनस्पती
binomial,द्विपद
bioagent,बायोफॅक्टर
bioclimate,जैविक हवामान
bioenergy,जैव ऊर्जा
bionomics,प्राणी पर्यावरणशास्त्र
bio-reactor,1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर
biosphere,बायोस्फीअर
biotic,जैविक
biotype,प्राणी
bisexual,दिविलिंगी
blanching,धवलन
blast,1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग
blend,मिश्रण
blight,1. अंगमारी (रोग) 2. अनिष्ट (रोग)
blister,1. फोड 2. फोड 3. उद्रेक 4. फोड
blue revolution,निळी क्रांती
bottom heat chamber,प्लॅनर हीटिंग चेंबर
bottom heat technique,प्लॅनर हीटिंग तंत्रज्ञान
bran,कोंडा
branching,शाखा
branchlet,1. डहाळी 2. उपशाखा
breed,जाती
breeding,पुनरुत्पादन
brimming,लवकर उगवण उपचार
brood,1. शावक 2. अंडी 3. गर्भ
budding,होतकरू
budget,बजेट
buffer,1.अॅम्फोटेरिक 2. बफर
bulb,रताळे
bunt,बंट (रोग)
by-product,1. उप-उत्पादन 2. उप-उत्पादन
c moisture characteristic curve,c ओलावा तपशील वक्र
cake,तेल केक
calcarious,1. चुना 2. कॅल्शियम
calcification,कॅल्शिअन
calcination of phosphate,फॉस्फेट काढणे
callosity,1. किनटा 2. कॅलाटा
callus,1.कॉलस 2. किरण
calyx,1. सेपल्स 2. कॅलिक्स
calyx-end,बाह्य टोक
cambium,इधा
canker,कॅन्कर (जीवाणूजन्य रोग)
canning,कॅनिंग
canopy,आकाश
capital,वित्त
