Tamil,Kannada
கருக்கலைப்பு,ಸ್ಥಗಿತಗೊಳಿಸು
டைமரை நிறுத்துங்கள்,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
முழுமையான முகவரி,ಸಂಪೂರ್ಣ ವಿಳಾಸ
முழுமையான முகவரி,ಸಂಪೂರ್ಣ ವಿಳಾಸ
முழுமையான அசெம்பிளர்,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
முழுமையான குறியீடு,ಸಂಪೂರ್ಣ ಕೋಡ್
முழுமையான குறியீட்டு முறை,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
முழுமையான கட்டளை,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
முழுமையான ஒருங்கிணைப்பு,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
முழுமையான தரவு,ಸಂಪೂರ್ಣ ಡೇಟಾ
முழுமையான பிழை,ಸಂಪೂರ್ಣ ದೋಷ
முழுமையான வெளிப்பாடு,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
முழுமையான அறிவுறுத்தல்,ಸಂಪೂರ್ಣ ಸೂಚನೆ
முழுமையான ஏற்றி,ಸಂಪೂರ್ಣ ಲೋಡರ್
முழுமையான வரிசை,ಸಂಪೂರ್ಣ ಕ್ರಮ
முழுமையான நிரலாக்க,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
முழுமையான சொல்,ಸಂಪೂರ್ಣ ಪದ
துல்லியமான மதிப்பு,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
முழுமையான திசையன்,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
சுருக்கம்,ಅಮೂರ್ತ
சுருக்கம்,ಅಮೂರ್ತಗೊಳಿಸುವ
சுருக்க சின்னம்,ಅಮೂರ್ತ ಚಿಹ್ನೆ
முடுக்கம் காலம்,ವೇಗವರ್ಧನೆ ಅವಧಿ
முடுக்கம் நேரம்,ವೇಗವರ್ಧಕ ಸಮಯ
உச்சரிப்பு,ಉಚ್ಚಾರಣಾ
ஏற்பு சோதனை,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
அணுகல்,ಪ್ರವೇಶ
அணுகல் கை,ಪ್ರವೇಶ
அணுகல் ஏற்பாடு,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
அணுகல் அதிகாரம்,ಪ್ರವೇಶ
அணுகல் கட்டணம்,ಪ್ರವೇಶ
அணுகல் வகுப்பு,ಪ್ರವೇಶ ವರ್ಗ
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
அணுகல் சூழல்,ಪ್ರವೇಶ ಪರಿಸರ
அணுகல் இடைவெளி,ಪ್ರವೇಶದ ಅಂತರ
அணுகல் அட்டவணை,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
அணுகல் வரி,ಪ್ರವೇಶ
