Assamese,Bengali
"১.এবাকাছ, ২. গণনা কৰি আছে","1.অ্যাবাকাস, 2. গণনা"
অস্বাভাৱিক অন্ত,অস্বাভাবিক সমাপ্তি
ইন্টাৰচেপ্ট,পথিমধ্যে রোধ করা
"১.নিৰপেক্ষ, ২. পৰম","1. পরম, 2. সর্বোচ্চ"
নিৰপেক্ষ ঠিকনা,পরম ঠিকানা
নিৰপেক্ষ ঠিকনাযোগ্যতা,পরম ঠিকানাযোগ্যতা
নিৰপেক্ষ এছেম্বলাৰ,পরম সংযোজনকারী
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. পরম কোড, 2. পরম কোড"
নিৰপেক্ষ আদেশ,পরম আদেশ
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
নিৰপেক্ষ নিৰ্দেশনা,পরম নির্দেশ
নিৰপেক্ষ ধৰণ,পরম মোড
নিৰপেক্ষ পথ,পরম পথ
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
বিমূৰ্ত শ্ৰেণী,বিমূর্ত ক্লাস
বিমূৰ্ত তথ্যৰ ধৰণ,বিমূর্ত তথ্য প্রকার
বিমূৰ্ত মেচিন,বিমূর্ত মেশিন
বিমূৰ্ত চিহ্ন,বিমূর্ত প্রতীক
বিমূৰ্ত বাক্যবিন্যাস,বিমূর্ত বাক্য গঠন
গ্ৰহণযোগ্যতা পৰীক্ষা,স্বীকৃতি পরীক্ষা
প্ৰৱেশ প্ৰমাণীকৰণ,অ্যাক্সেস সার্টিফিকেশন
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
প্ৰৱেশ নিয়ন্ত্ৰণ,প্রবেশাধিকার নিয়ন্ত্রণ
অভিগম স্কেনিং,অ্যাক্সেস স্ক্যানিং
আনুষংগিক বস্তু,আনুষাঙ্গিক
হিচাপ-নিকাচ,অ্যাকাউন্টিং
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
এক্যুলেটৰ,সঞ্চয়কারী
"১/ সঠিকতা, ২. শুদ্ধতা","1. নির্ভুলতা, 2. সঠিকতা"
প্ৰৱেশাধিকাৰ,অ্যাক্সেস
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,অ্যাক্সেস নিয়ন্ত্রণ বাইট
প্ৰৱেশ সূচক,অ্যাক্সেস সূচক
অভিগম কি&#39;,অ্যাক্সেস কী
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
অভিগম ধৰণ,অ্যাক্সেস মোড
অভিগম বিশেষাধিকাৰসমূহ,সুযোগ সুবিধা
অভিগম সুৰক্ষা,অ্যাক্সেস নিরাপত্তা
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
প্ৰৱেশ সময়,প্রবেশাধিকার সময়
স্বীকৃতি,স্বীকৃতি
শব্দবিজ্ঞান,ধ্বনিবিদ্যা
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
কাৰ্য্য বাৰ্তা,কর্ম বার্তা
সক্ৰিয়কৰণ,সক্রিয়করণ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,সক্রিয় সার্ভার পৃষ্ঠা
সক্ৰিয় সংস্কৰণ,সক্রিয় সংস্করণ
অচক্ৰীয়,অ্যাসাইক্লিক
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
আদা কম্পিউটাৰ ভাষা,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
to sum),যোগ করা)
যোগফল নথিপত্ৰ,সমষ্টি ফাইল
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
adder,যোগকারী
ঠিকনা,জানি
ঠিকনা বাছ,ঠিকানা বাস
ঠিকনা নথিপত্ৰ,ঠিকানা ফাইল
ঠিকনা বিন্যাস,ঠিকানা বিন্যাস
ঠিকনা উৎপাদক,ঠিকানা জেনারেটর
ঠিকনা ৰেখা,ঠিকানা লাইন
ঠিকনা মেপিং,ঠিকানা ম্যাপিং
ঠিকনা সূচক,ঠিকানা নির্দেশক
ঠিকনা পঞ্জীয়ন,ঠিকানা রেজিস্টার
ঠিকনা ভাঙি যোৱা,ঠিকানা ভাঙ্গন
ঠিকনা অনুবাদ,ঠিকানা অনুবাদ
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি","1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
সম্বোধন কৰা,সম্বোধন
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী","1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
সংলগ্ন কৰা হৈছে,সংযুক্তি
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ","1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
"১.পৰিচালক, ২. নিয়ন্ত্ৰক","1. ম্যানেজার, 2. নিয়ামক"
এডোব এক্ৰ&#39;বেট,অ্যাডোবি অ্যাক্রোব্যাট
এডোব ফটোশ্বপ,অ্যাডোবি ফটোশপ
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. উন্নত তথ্য, 2. উন্নত তথ্য"
উন্নত তথ্য ব্যৱস্থা,উন্নত তথ্য সিস্টেম
উন্নত প্ৰযুক্তি (AT),উন্নত প্রযুক্তি (AT)
কাৰ্য কৰা,কর্ম
একত্ৰীকৰণ,সমষ্টি
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus পৃষ্ঠা-নিৰ্মাণ,aldus পৃষ্ঠা তৈরি
সতৰ্কবাণী বাকচ,সতর্কতা বাক্স
algol (কম্পিউটাৰ ভাষা),আলগোল (কম্পিউটার ভাষা)
"1. এলগৰিদম , 2. এলগৰিদম","1. অ্যালগরিদম, 2. অ্যালগরিদম"
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ","1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ"
এলগৰিদম দক্ষতা,অ্যালগরিদম দক্ষতা
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka","1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে"
প্ৰান্তিককৰণ,প্রান্তিককরণ
"১.আবণ্টন, ২. আবণ্টন","1. বরাদ্দ, 2. বরাদ্দ"
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম","1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে"
আলফানিউমেৰিক,আলফানিউমেরিক
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড","1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড"
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা)
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ","1. আলফা সংস্করণ, 2। আলফা ফর্ম"
alt কি&#39;,alt কী
আলতাভিস্তা,আলতাভিস্তা
বহুগুণতা,বহুগুণ
অস্পষ্ট ব্যাকৰণ,অস্পষ্ট ব্যাকরণ
আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI)
আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii),আমেরিকান স্ট্যান্ডার্ড কাট (ascii)
"1. অনুৰূপ, ২. এনালগ","1. সাদৃশ্যপূর্ণ, 2. এনালগ"
"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ","1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার"
"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ","1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. এনালগ মডেম, 2. এনালগ মডেম"
এনালগ টু ডিজিটেল কনভাৰ্টাৰ,এনালগ থেকে ডিজিটাল কনভার্টার
শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত),শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত)
শেষ বৰ্তনী,শেষ সার্কিট
