Tamil,Bengali
"1.அபாகஸ், 2. எண்ணும்","1.অ্যাবাকাস, 2. গণনা"
அசாதாரண முடிவு,অস্বাভাবিক সমাপ্তি
இடைமறிக்கவும்,পথিমধ্যে রোধ করা
"1. முழுமையான, 2. உச்சம்","1. পরম, 2. সর্বোচ্চ"
முழுமையான முகவரி,পরম ঠিকানা
முழுமையான முகவரித்திறன்,পরম ঠিকানাযোগ্যতা
முழுமையான அசெம்பிளர்,পরম সংযোজনকারী
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. পরম কোড, 2. পরম কোড"
முழுமையான கட்டளை,পরম আদেশ
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
முழுமையான அறிவுறுத்தல்,পরম নির্দেশ
முழுமையான பயன்முறை,পরম মোড
முழுமையான பாதை,পরম পথ
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
சுருக்க வர்க்கம்,বিমূর্ত ক্লাস
சுருக்க தரவு வகை,বিমূর্ত তথ্য প্রকার
சுருக்க இயந்திரம்,বিমূর্ত মেশিন
சுருக்க சின்னம்,বিমূর্ত প্রতীক
சுருக்க தொடரியல்,বিমূর্ত বাক্য গঠন
ஏற்பு சோதனை,স্বীকৃতি পরীক্ষা
அணுகல் சான்றிதழ்,অ্যাক্সেস সার্টিফিকেশন
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
நுழைவு கட்டுப்பாடு,প্রবেশাধিকার নিয়ন্ত্রণ
அணுகல் ஸ்கேனிங்,অ্যাক্সেস স্ক্যানিং
பாகங்கள்,আনুষাঙ্গিক
கணக்கியல்,অ্যাকাউন্টিং
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
திரட்டி,সঞ্চয়কারী
"1. துல்லியம், 2. துல்லியம்","1. নির্ভুলতা, 2. সঠিকতা"
அணுகல்,অ্যাক্সেস
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,অ্যাক্সেস নিয়ন্ত্রণ বাইট
அணுகல் காட்டி,অ্যাক্সেস সূচক
அணுகல் விசை,অ্যাক্সেস কী
"1. அணுகல் அணி, 2. அணுகல் அணி","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
அணுகல் முறை,অ্যাক্সেস মোড
அணுகல் சலுகைகள்,সুযোগ সুবিধা
அணுகல் பாதுகாப்பு,অ্যাক্সেস নিরাপত্তা
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
அணுகல் நேரம்,প্রবেশাধিকার সময়
ஒப்புகை,স্বীকৃতি
ஒலியியல்,ধ্বনিবিদ্যা
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
செயல் செய்தி,কর্ম বার্তা
செயல்படுத்துதல்,সক্রিয়করণ
செயலில் உள்ள சர்வர் பக்கம்,সক্রিয় সার্ভার পৃষ্ঠা
செயலில் உள்ள பதிப்பு,সক্রিয় সংস্করণ
அசைக்ளிக்,অ্যাসাইক্লিক
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
அட கணினி மொழி,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"1. ஆப்டிமைசர், 2. உகப்பாக்கி","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
மொத்தத்தில்),যোগ করা)
தொகை கோப்பு,সমষ্টি ফাইল
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
சேர்ப்பான்,যোগকারী
தெரியும்,জানি
முகவரி பேருந்து,ঠিকানা বাস
முகவரி கோப்பு,ঠিকানা ফাইল
முகவரி வடிவம்,ঠিকানা বিন্যাস
முகவரி ஜெனரேட்டர்,ঠিকানা জেনারেটর
முகவரி வரி,ঠিকানা লাইন
முகவரி மேப்பிங்,ঠিকানা ম্যাপিং
முகவரி காட்டி,ঠিকানা নির্দেশক
முகவரி பதிவு,ঠিকানা রেজিস্টার
முகவரி முறிவு,ঠিকানা ভাঙ্গন
முகவரி மொழிபெயர்ப்பு,ঠিকানা অনুবাদ
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்","1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
உரையாற்றுதல்,সম্বোধন
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்","1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
இணைப்பு,সংযুক্তি
"1. மேலாண்மை, 2. கட்டுப்பாடு","1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
"1. மேலாளர், 2. கட்டுப்படுத்தி","1. ম্যানেজার, 2. নিয়ামক"
அடோப் அக்ரோபேட்,অ্যাডোবি অ্যাক্রোব্যাট
அடோ போட்டோஷாப்,অ্যাডোবি ফটোশপ
