Telugu,Bengali
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,ওয়েস্টমিনস্টারের অ্যাবে
పదవీ విరమణ,বর্জনীয়
బానిసత్వ నిర్మూలన,দাসত্বের সমাপ্তি
ఆదివాసి,আদিবাসী
అబ్రహం యుగం,আব্রাহাম যুগ
గైర్హాజరు భూస్వాములు,অনুপস্থিত জমির মালিক
అకాడమీ,একাডেমী
అక్ర సమావేశం,আকরা সম্মেলন
సంపాదన,সঞ্চয়
సంస్కారము,সংগ্রহ
అసెల్డామా,অ্যাসেলডামা
అచెయన్ (=అచియన్),আচিয়ান (=আচিয়ান)
అచీయన్ లీగ్ (=అచియన్ లీగ్),আচিয়ান লীগ (=আচিয়ান লীগ)
అక్రోపోలిస్,অ্যাক্রোপলিস
ఆక్టా డియుర్నా,Acta Diurna
ఆక్టా సెనాటస్,Acta Senatus
యాక్టే అడిషనల్,অ্যাক্ট অ্যাডিশনেল
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
సాధించేవారి చర్య,প্রাপ্তির কাজ
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,ক্ষতিপূরণ এবং বিস্মৃতির আইন
సెటిల్మెంట్ చట్టం,নিষ্পত্তির আইন
ప్రకటన ఒప్పంద ముద్ర,বিজ্ঞাপন চুক্তি সীল
అడుల్లామైట్స్,আদুল্লামাইটস
విరోధి,প্রতিপক্ষ
విరోధి,প্রতিপক্ষ
అయాన్,Aeon
ఏరోరియం,এরারিয়াম
వైమానిక యుద్ధం,বায়বীয় যুদ্ধ
ఏటోలియన్ లీగ్,এটোলিয়ান লীগ
వయస్సు,বয়স
వృద్ధాప్యం (=వృద్ధాప్యం),বার্ধক্য (=বার্ধক্য)
వృద్ధాప్య ప్రక్రియ,বার্ধক্য প্রক্রিয়া
అగెలై,এগেলাই
శౌర్య యుగం,বীরত্বের বয়স
జ్ఞానోదయం వయస్సు,এনলাইটমেন্টের বয়স
పెరికిల్స్ వయస్సు,পেরিক্লেসের বয়স
కారణం వయస్సు,কারণ বয়স
వ్యవసాయం,কৃষিবাদ
వ్యవసాయ ఉద్యమం,কৃষি আন্দোলন
అల్బియాన్,অ্যালবিয়ন
ఆల్బమ్,অ্যালবাম
ఆల్డర్మాన్,অল্ডারম্যান
అల్లుడు చేతులు,লোভনীয় অস্ত্র
